year,age,population
1990,0,171.052
1990,1,168.575
1990,2,166.059
1990,3,163.510
1990,4,160.931
1990,5,158.332
1990,6,155.714
1990,7,153.089
1990,8,150.454
1990,9,147.823
1990,10,145.074
1990,11,142.078
1990,12,139.484
1990,13,137.539
1990,14,135.880
1990,15,134.085
1990,16,132.490
1990,17,129.440
1990,18,124.140
1990,19,117.474
1990,20,111.032
1990,21,104.397
1990,22,98.926
1990,23,95.410
1990,24,93.184
1990,25,90.768
1990,26,88.446
1990,27,86.083
1990,28,83.478
1990,29,80.741
1990,30,78.212
1990,31,75.815
1990,32,73.424
1990,33,71.010
1990,34,68.590
1990,35,66.228
1990,36,63.943
1990,37,61.578
1990,38,59.055
1990,39,56.471
1990,40,53.951
1990,41,51.439
1990,42,49.177
1990,43,47.287
1990,44,45.645
1990,45,44.020
1990,46,42.465
1990,47,40.867
1990,48,39.153
1990,49,37.378
1990,50,35.679
1990,51,34.019
1990,52,32.418
1990,53,30.909
1990,54,29.458
1990,55,28.038
1990,56,26.647
1990,57,25.263
1990,58,23.863
1990,59,22.472
1990,60,21.115
1990,61,19.797
1990,62,18.517
1990,63,17.286
1990,64,16.101
1990,65,14.953
1990,66,13.836
1990,67,12.760
1990,68,11.719
1990,69,10.710
1990,70,9.752
1990,71,8.837
1990,72,7.969
1990,73,7.155
1990,74,6.389
1990,75,5.667
1990,76,4.990
1990,77,4.366
1990,78,3.809
1990,79,3.309
1990,80,2.852
1990,81,2.438
1990,82,2.053
1990,83,1.689
1990,84,1.358
1990,85,1.063
1990,86,0.795
1990,87,0.584
1990,88,0.431
1990,89,0.322
1990,90,0.231
1990,91,0.179
1990,92,0.131
1990,93,0.089
1990,94,0.052
1990,95,0.024
1990,96,0.025
1990,97,0.012
1990,98,0.012
1990,99,0.003
1990,100,0.006
1991,0,175.138
1991,1,170.311
1991,2,167.597
1991,3,164.992
1991,4,162.471
1991,5,160.011
1991,6,157.621
1991,7,155.316
1991,8,152.901
1991,9,150.287
1991,10,147.555
1991,11,144.753
1991,12,141.719
1991,13,139.087
1991,14,137.108
1991,15,135.417
1991,16,133.583
1991,17,131.942
1991,18,128.869
1991,19,123.582
1991,20,116.956
1991,21,110.547
1991,22,103.953
1991,23,98.502
1991,24,94.978
1991,25,92.728
1991,26,90.292
1991,27,87.948
1991,28,85.572
1991,29,82.965
1991,30,80.236
1991,31,77.710
1991,32,75.319
1991,33,72.932
1991,34,70.526
1991,35,68.114
1991,36,65.760
1991,37,63.480
1991,38,61.118
1991,39,58.595
1991,40,56.009
1991,41,53.482
1991,42,50.967
1991,43,48.693
1991,44,46.783
1991,45,45.121
1991,46,43.475
1991,47,41.892
1991,48,40.272
1991,49,38.536
1991,50,36.738
1991,51,35.019
1991,52,33.338
1991,53,31.718
1991,54,30.196
1991,55,28.736
1991,56,27.306
1991,57,25.908
1991,58,24.516
1991,59,23.109
1991,60,21.709
1991,61,20.346
1991,62,19.024
1991,63,17.743
1991,64,16.517
1991,65,15.340
1991,66,14.202
1991,67,13.099
1991,68,12.040
1991,69,11.026
1991,70,10.047
1991,71,9.125
1991,72,8.243
1991,73,7.407
1991,74,6.625
1991,75,5.884
1991,76,5.193
1991,77,4.544
1991,78,3.950
1991,79,3.424
1991,80,2.956
1991,81,2.531
1991,82,2.145
1991,83,1.794
1991,84,1.466
1991,85,1.172
1991,86,0.915
1991,87,0.681
1991,88,0.499
1991,89,0.365
1991,90,0.273
1991,91,0.192
1991,92,0.149
1991,93,0.110
1991,94,0.074
1991,95,0.043
1991,96,0.025
1991,97,0.014
1991,98,0.013
1991,99,0.003
1991,100,0.006
1992,0,180.920
1992,1,176.130
1992,2,169.554
1992,3,166.610
1992,4,163.912
1992,5,161.424
1992,6,159.081
1992,7,156.902
1992,8,154.906
1992,9,152.703
1992,10,150.112
1992,11,147.279
1992,12,144.421
1992,13,141.353
1992,14,138.678
1992,15,136.665
1992,16,134.943
1992,17,133.070
1992,18,131.380
1992,19,128.284
1992,20,123.013
1992,21,116.425
1992,22,110.055
1992,23,103.500
1992,24,98.076
1992,25,94.544
1992,26,92.270
1992,27,89.815
1992,28,87.451
1992,29,85.063
1992,30,82.456
1992,31,79.733
1992,32,77.214
1992,33,74.825
1992,34,72.444
1992,35,70.044
1992,36,67.637
1992,37,65.292
1992,38,63.017
1992,39,60.657
1992,40,58.134
1992,41,55.544
1992,42,53.013
1992,43,50.493
1992,44,48.210
1992,45,46.283
1992,46,44.597
1992,47,42.928
1992,48,41.325
1992,49,39.678
1992,50,37.916
1992,51,36.102
1992,52,34.360
1992,53,32.657
1992,54,31.018
1992,55,29.483
1992,56,28.014
1992,57,26.575
1992,58,25.171
1992,59,23.772
1992,60,22.356
1992,61,20.945
1992,62,19.578
1992,63,18.249
1992,64,16.970
1992,65,15.749
1992,66,14.580
1992,67,13.453
1992,68,12.361
1992,69,11.321
1992,70,10.332
1992,71,9.389
1992,72,8.495
1992,73,7.651
1992,74,6.850
1992,75,6.094
1992,76,5.382
1992,77,4.717
1992,78,4.100
1992,79,3.535
1992,80,3.040
1992,81,2.604
1992,82,2.210
1992,83,1.854
1992,84,1.536
1992,85,1.243
1992,86,0.988
1992,87,0.765
1992,88,0.570
1992,89,0.413
1992,90,0.302
1992,91,0.217
1992,92,0.156
1992,93,0.122
1992,94,0.087
1992,95,0.060
1992,96,0.033
1992,97,0.016
1992,98,0.015
1992,99,0.002
1992,100,0.006
1993,0,187.748
1993,1,181.110
1993,2,175.358
1993,3,168.814
1993,4,165.630
1993,5,162.848
1993,6,160.387
1993,7,158.165
1993,8,156.196
1993,9,154.509
1993,10,152.520
1993,11,149.947
1993,12,147.015
1993,13,144.101
1993,14,140.999
1993,15,138.281
1993,16,136.232
1993,17,134.477
1993,18,132.567
1993,19,130.825
1993,20,127.704
1993,21,122.452
1993,22,115.903
1993,23,109.572
1993,24,103.058
1993,25,97.655
1993,26,94.122
1993,27,91.824
1993,28,89.351
1993,29,86.965
1993,30,84.568
1993,31,81.958
1993,32,79.246
1993,33,76.728
1993,34,74.343
1993,35,71.968
1993,36,69.573
1993,37,67.171
1993,38,64.830
1993,39,62.561
1993,40,60.203
1993,41,57.682
1993,42,55.086
1993,43,52.551
1993,44,50.026
1993,45,47.734
1993,46,45.787
1993,47,44.083
1993,48,42.388
1993,49,40.760
1993,50,39.091
1993,51,37.308
1993,52,35.468
1993,53,33.706
1993,54,31.979
1993,55,30.326
1993,56,28.775
1993,57,27.297
1993,58,25.848
1993,59,24.438
1993,60,23.030
1993,61,21.608
1993,62,20.185
1993,63,18.812
1993,64,17.479
1993,65,16.199
1993,66,14.982
1993,67,13.823
1993,68,12.705
1993,69,11.625
1993,70,10.604
1993,71,9.643
1993,72,8.730
1993,73,7.867
1993,74,7.060
1993,75,6.293
1993,76,5.565
1993,77,4.882
1993,78,4.245
1993,79,3.655
1993,80,3.121
1993,81,2.657
1993,82,2.253
1993,83,1.891
1993,84,1.562
1993,85,1.277
1993,86,1.023
1993,87,0.802
1993,88,0.617
1993,89,0.458
1993,90,0.328
1993,91,0.236
1993,92,0.169
1993,93,0.116
1993,94,0.091
1993,95,0.069
1993,96,0.043
1993,97,0.024
1993,98,0.016
1993,99,0.003
1993,100,0.006
1994,0,194.688
1994,1,186.442
1994,2,179.428
1994,3,173.521
1994,4,168.124
1994,5,164.703
1994,6,161.832
1994,7,159.404
1994,8,157.297
1994,9,155.537
1994,10,154.164
1994,11,152.386
1994,12,149.831
1994,13,146.797
1994,14,143.829
1994,15,140.688
1994,16,137.930
1994,17,135.845
1994,18,134.055
1994,19,132.105
1994,20,130.314
1994,21,127.168
1994,22,121.928
1994,23,115.420
1994,24,109.124
1994,25,102.650
1994,26,97.270
1994,27,93.730
1994,28,91.408
1994,29,88.914
1994,30,86.513
1994,31,84.101
1994,32,81.489
1994,33,78.783
1994,34,76.270
1994,35,73.888
1994,36,71.517
1994,37,69.125
1994,38,66.730
1994,39,64.393
1994,40,62.127
1994,41,59.770
1994,42,57.247
1994,43,54.646
1994,44,52.108
1994,45,49.578
1994,46,47.276
1994,47,45.308
1994,48,43.581
1994,49,41.864
1994,50,40.211
1994,51,38.519
1994,52,36.710
1994,53,34.847
1994,54,33.064
1994,55,31.315
1994,56,29.644
1994,57,28.076
1994,58,26.588
1994,59,25.128
1994,60,23.713
1994,61,22.299
1994,62,20.865
1994,63,19.433
1994,64,18.054
1994,65,16.715
1994,66,15.433
1994,67,14.222
1994,68,13.071
1994,69,11.960
1994,70,10.895
1994,71,9.889
1994,72,8.955
1994,73,8.073
1994,74,7.247
1994,75,6.470
1994,76,5.738
1994,77,5.039
1994,78,4.382
1994,79,3.772
1994,80,3.213
1994,81,2.708
1994,82,2.274
1994,83,1.902
1994,84,1.573
1994,85,1.271
1994,86,1.019
1994,87,0.802
1994,88,0.618
1994,89,0.470
1994,90,0.342
1994,91,0.245
1994,92,0.171
1994,93,0.115
1994,94,0.080
1994,95,0.064
1994,96,0.046
1994,97,0.029
1994,98,0.014
1994,99,0.003
1994,100,0.007
1995,0,200.982
1995,1,191.787
1995,2,183.976
1995,3,177.410
1995,4,171.955
1995,5,167.471
1995,6,163.817
1995,7,160.856
1995,8,158.453
1995,9,156.465
1995,10,154.918
1995,11,153.852
1995,12,152.285
1995,13,149.752
1995,14,146.614
1995,15,143.591
1995,16,140.410
1995,17,137.612
1995,18,135.490
1995,19,133.668
1995,20,131.676
1995,21,129.835
1995,22,126.665
1995,23,121.436
1995,24,114.965
1995,25,108.702
1995,26,102.267
1995,27,96.906
1995,28,93.359
1995,29,91.014
1995,30,88.500
1995,31,86.075
1995,32,83.652
1995,33,81.038
1995,34,78.338
1995,35,75.828
1995,36,73.448
1995,37,71.080
1995,38,68.694
1995,39,66.303
1995,40,63.970
1995,41,61.707
1995,42,59.349
1995,43,56.826
1995,44,54.222
1995,45,51.675
1995,46,49.141
1995,47,46.825
1995,48,44.841
1995,49,43.089
1995,50,41.350
1995,51,39.670
1995,52,37.953
1995,53,36.120
1995,54,34.236
1995,55,32.429
1995,56,30.656
1995,57,28.967
1995,58,27.383
1995,59,25.887
1995,60,24.416
1995,61,22.993
1995,62,21.569
1995,63,20.127
1995,64,18.685
1995,65,17.299
1995,66,15.954
1995,67,14.670
1995,68,13.463
1995,69,12.319
1995,70,11.220
1995,71,10.166
1995,72,9.177
1995,73,8.268
1995,74,7.419
1995,75,6.624
1995,76,5.883
1995,77,5.183
1995,78,4.513
1995,79,3.882
1995,80,3.302
1995,81,2.769
1995,82,2.295
1995,83,1.892
1995,84,1.552
1995,85,1.252
1995,86,0.981
1995,87,0.761
1995,88,0.580
1995,89,0.433
1995,90,0.321
1995,91,0.230
1995,92,0.162
1995,93,0.105
1995,94,0.065
1995,95,0.041
1995,96,0.034
1995,97,0.025
1995,98,0.014
1995,99,0.005
1995,100,0.007
1996,0,206.293
1996,1,199.125
1996,2,190.673
1996,3,183.370
1996,4,177.109
1996,5,171.796
1996,6,167.288
1996,7,163.453
1996,8,160.359
1996,9,157.966
1996,10,156.077
1996,11,154.549
1996,12,153.447
1996,13,151.847
1996,14,149.279
1996,15,146.106
1996,16,143.046
1996,17,139.822
1996,18,136.981
1996,19,134.826
1996,20,132.975
1996,21,130.955
1996,22,129.085
1996,23,125.900
1996,24,120.673
1996,25,114.219
1996,26,107.973
1996,27,101.558
1996,28,96.215
1996,29,92.683
1996,30,90.349
1996,31,87.850
1996,32,85.437
1996,33,83.025
1996,34,80.420
1996,35,77.721
1996,36,75.215
1996,37,72.839
1996,38,70.469
1996,39,68.079
1996,40,65.679
1996,41,63.340
1996,42,61.064
1996,43,58.701
1996,44,56.170
1996,45,53.559
1996,46,51.007
1996,47,48.466
1996,48,46.139
1996,49,44.146
1996,50,42.380
1996,51,40.628
1996,52,38.937
1996,53,37.207
1996,54,35.362
1996,55,33.464
1996,56,31.646
1996,57,29.861
1996,58,28.162
1996,59,26.566
1996,60,25.059
1996,61,23.579
1996,62,22.148
1996,63,20.724
1996,64,19.284
1996,65,17.851
1996,66,16.477
1996,67,15.147
1996,68,13.881
1996,69,12.698
1996,70,11.581
1996,71,10.515
1996,72,9.494
1996,73,8.539
1996,74,7.663
1996,75,6.850
1996,76,6.091
1996,77,5.384
1996,78,4.723
1996,79,4.089
1996,80,3.495
1996,81,2.953
1996,82,2.457
1996,83,2.017
1996,84,1.651
1996,85,1.347
1996,86,1.081
1996,87,0.845
1996,88,0.652
1996,89,0.493
1996,90,0.366
1996,91,0.268
1996,92,0.192
1996,93,0.137
1996,94,0.089
1996,95,0.052
1996,96,0.036
1996,97,0.026
1996,98,0.018
1996,99,0.006
1996,100,0.007
1997,0,211.052
1997,1,202.116
1997,2,197.365
1997,3,189.653
1997,4,182.853
1997,5,176.894
1997,6,171.717
1997,7,167.187
1997,8,163.168
1997,9,159.938
1997,10,157.558
1997,11,155.764
1997,12,154.252
1997,13,153.120
1997,14,151.483
1997,15,148.880
1997,16,145.672
1997,17,142.566
1997,18,139.302
1997,19,136.423
1997,20,134.230
1997,21,132.348
1997,22,130.296
1997,23,128.402
1997,24,125.196
1997,25,119.973
1997,26,113.531
1997,27,107.296
1997,28,100.899
1997,29,95.571
1997,30,92.054
1997,31,89.730
1997,32,87.241
1997,33,84.842
1997,34,82.440
1997,35,79.842
1997,36,77.144
1997,37,74.641
1997,38,72.264
1997,39,69.894
1997,40,67.500
1997,41,65.090
1997,42,62.740
1997,43,60.457
1997,44,58.081
1997,45,55.540
1997,46,52.926
1997,47,50.365
1997,48,47.813
1997,49,45.479
1997,50,43.472
1997,51,41.694
1997,52,39.928
1997,53,38.224
1997,54,36.480
1997,55,34.623
1997,56,32.712
1997,57,30.876
1997,58,29.084
1997,59,27.371
1997,60,25.763
1997,61,24.245
1997,62,22.753
1997,63,21.317
1997,64,19.887
1997,65,18.451
1997,66,17.027
