year,age,population
1990,0,2404.022
1990,1,2349.495
1990,2,2304.805
1990,3,2268.892
1990,4,2240.695
1990,5,2219.153
1990,6,2203.203
1990,7,2191.788
1990,8,2183.844
1990,9,2178.311
1990,10,2172.571
1990,11,2164.000
1990,12,2159.336
1990,13,2160.641
1990,14,2162.170
1990,15,2160.493
1990,16,2161.530
1990,17,2129.300
1990,18,2047.216
1990,19,1933.609
1990,20,1822.482
1990,21,1705.935
1990,22,1607.747
1990,23,1542.839
1990,24,1499.735
1990,25,1451.846
1990,26,1404.253
1990,27,1357.713
1990,28,1309.861
1990,29,1261.952
1990,30,1216.856
1990,31,1173.111
1990,32,1132.522
1990,33,1095.987
1990,34,1061.674
1990,35,1028.485
1990,36,998.584
1990,37,959.984
1990,38,907.230
1990,39,846.659
1990,40,788.791
1990,41,729.995
1990,42,683.998
1990,43,658.206
1990,44,645.561
1990,45,632.237
1990,46,621.770
1990,47,606.209
1990,48,580.461
1990,49,548.987
1990,50,520.717
1990,51,493.095
1990,52,471.255
1990,53,458.396
1990,54,451.321
1990,55,443.666
1990,56,436.764
1990,57,427.815
1990,58,414.804
1990,59,399.155
1990,60,384.270
1990,61,369.431
1990,62,354.394
1990,63,339.363
1990,64,324.150
1990,65,308.847
1990,66,294.025
1990,67,277.114
1990,68,257.031
1990,69,235.318
1990,70,214.139
1990,71,192.523
1990,72,175.147
1990,73,164.388
1990,74,157.914
1990,75,151.199
1990,76,145.382
1990,77,137.729
1990,78,126.490
1990,79,113.155
1990,80,100.934
1990,81,89.162
1990,82,78.456
1990,83,69.438
1990,84,61.664
1990,85,54.079
1990,86,46.922
1990,87,40.186
1990,88,33.769
1990,89,27.777
1990,90,22.342
1990,91,17.368
1990,92,13.241
1990,93,10.145
1990,94,7.856
1990,95,5.921
1990,96,4.375
1990,97,3.162
1990,98,2.184
1990,99,1.431
1990,100,3.251
1991,0,2411.488
1991,1,2388.632
1991,2,2339.918
1991,3,2298.887
1991,4,2264.815
1991,5,2236.981
1991,6,2214.344
1991,7,2195.861
1991,8,2182.413
1991,9,2173.915
1991,10,2168.689
1991,11,2162.593
1991,12,2153.404
1991,13,2147.904
1991,14,2148.058
1991,15,2148.317
1991,16,2145.447
1991,17,2145.213
1991,18,2112.533
1991,19,2031.248
1991,20,1919.243
1991,21,1809.659
1991,22,1694.794
1991,23,1597.920
1991,24,1533.630
1991,25,1490.699
1991,26,1443.115
1991,27,1395.842
1991,28,1349.656
1991,29,1302.263
1991,30,1254.863
1991,31,1210.210
1991,32,1166.875
1991,33,1126.629
1991,34,1090.348
1991,35,1056.224
1991,36,1023.206
1991,37,993.442
1991,38,954.986
1991,39,902.404
1991,40,842.014
1991,41,784.298
1991,42,725.637
1991,43,679.719
1991,44,653.922
1991,45,641.216
1991,46,627.820
1991,47,617.252
1991,48,601.619
1991,49,575.857
1991,50,544.397
1991,51,516.117
1991,52,488.477
1991,53,466.562
1991,54,453.543
1991,55,446.248
1991,56,438.376
1991,57,431.249
1991,58,422.080
1991,59,408.865
1991,60,393.025
1991,61,377.951
1991,62,362.936
1991,63,347.718
1991,64,332.491
1991,65,317.088
1991,66,301.603
1991,67,286.582
1991,68,269.594
1991,69,249.617
1991,70,228.118
1991,71,207.151
1991,72,185.797
1991,73,168.516
1991,74,157.580
1991,75,150.766
1991,76,143.770
1991,77,137.682
1991,78,129.884
1991,79,118.708
1991,80,105.587
1991,81,93.580
1991,82,82.047
1991,83,71.648
1991,84,63.017
1991,85,55.687
1991,86,48.571
1991,87,41.899
1991,88,35.679
1991,89,29.813
1991,90,24.383
1991,91,19.505
1991,92,15.090
1991,93,11.441
1991,94,8.707
1991,95,6.691
1991,96,4.683
1991,97,3.353
1991,98,2.312
1991,99,1.532
1991,100,3.470
1992,0,2415.813
1992,1,2378.130
1992,2,2374.732
1992,3,2331.803
1992,4,2294.402
1992,5,2262.148
1992,6,2234.661
1992,7,2210.914
1992,8,2189.888
1992,9,2174.400
1992,10,2165.344
1992,11,2160.419
1992,12,2153.964
1992,13,2144.152
1992,14,2137.814
1992,15,2136.817
1992,16,2135.805
1992,17,2131.742
1992,18,2130.236
1992,19,2097.086
1992,20,2016.550
1992,21,1906.076
1992,22,1797.967
1992,23,1684.712
1992,24,1589.092
1992,25,1525.378
1992,26,1482.593
1992,27,1435.287
1992,28,1388.302
1992,29,1342.442
1992,30,1295.478
1992,31,1248.557
1992,32,1204.321
1992,33,1161.366
1992,34,1121.440
1992,35,1085.389
1992,36,1051.434
1992,37,1018.565
1992,38,988.920
1992,39,950.584
1992,40,898.143
1992,41,837.894
1992,42,780.294
1992,43,721.733
1992,44,675.863
1992,45,650.047
1992,46,637.272
1992,47,623.795
1992,48,613.120
1992,49,597.406
1992,50,571.611
1992,51,540.148
1992,52,511.840
1992,53,484.165
1992,54,462.162
1992,55,448.972
1992,56,441.455
1992,57,433.360
1992,58,426.005
1992,59,416.610
1992,60,403.183
1992,61,387.142
1992,62,371.869
1992,63,356.669
1992,64,341.260
1992,65,325.830
1992,66,310.226
1992,67,294.548
1992,68,279.320
1992,69,262.244
1992,70,242.360
1992,71,221.063
1992,72,200.296
1992,73,179.188
1992,74,161.993
1992,75,150.872
1992,76,143.715
1992,77,136.433
1992,78,130.069
1992,79,122.122
1992,80,111.005
1992,81,98.085
1992,82,86.288
1992,83,74.985
1992,84,64.887
1992,85,56.637
1992,86,49.748
1992,87,43.096
1992,88,36.902
1992,89,31.197
1992,90,25.876
1992,91,21.006
1992,92,16.681
1992,93,12.821
1992,94,9.650
1992,95,7.275
1992,96,5.530
1992,97,3.558
1992,98,2.452
1992,99,1.644
1992,100,3.700
1993,0,2418.180
1993,1,2390.546
1993,2,2363.212
1993,3,2361.335
1993,4,2324.181
1993,5,2290.405
1993,6,2259.965
1993,7,2232.816
1993,8,2207.957
1993,9,2184.381
1993,10,2166.847
1993,11,2157.230
1993,12,2152.608
1993,13,2145.792
1993,14,2135.354
1993,15,2128.176
1993,16,2126.026
1993,17,2123.745
1993,18,2118.485
1993,19,2115.709
1993,20,2082.079
1993,21,2002.277
1993,22,1893.310
1993,23,1786.654
1993,24,1674.985
1993,25,1580.599
1993,26,1517.448
1993,27,1474.801
1993,28,1427.760
1993,29,1381.056
1993,30,1335.512
1993,31,1288.967
1993,32,1242.515
1993,33,1198.686
1993,34,1156.104
1993,35,1116.488
1993,36,1080.659
1993,37,1046.866
1993,38,1014.139
1993,39,984.608
1993,40,946.383
1993,41,894.071
1993,42,833.952
1993,43,776.455
1993,44,717.981
1993,45,672.152
1993,46,646.308
1993,47,633.462
1993,48,619.902
1993,49,609.117
1993,50,593.317
1993,51,567.487
1993,52,536.012
1993,53,507.670
1993,54,479.955
1993,55,457.857
1993,56,444.497
1993,57,436.753
1993,58,428.435
1993,59,420.849
1993,60,411.226
1993,61,397.584
1993,62,381.339
1993,63,365.865
1993,64,350.475
1993,65,334.871
1993,66,319.235
1993,67,303.427
1993,68,287.554
1993,69,272.114
1993,70,254.945
1993,71,235.153
1993,72,214.051
1993,73,193.480
1993,74,172.615
1993,75,155.500
1993,76,144.194
1993,77,136.690
1993,78,129.122
1993,79,122.481
1993,80,114.383
1993,81,103.320
1993,82,90.602
1993,83,79.010
1993,84,67.935
1993,85,58.138
1993,86,50.266
1993,87,43.816
1993,88,37.626
1993,89,31.912
1993,90,26.719
1993,91,21.944
1993,92,17.630
1993,93,13.860
1993,94,10.554
1993,95,7.859
1993,96,5.844
1993,97,4.370
1993,98,2.604
1993,99,1.768
1993,100,3.938
1994,0,2420.627
1994,1,2402.119
1994,2,2381.377
1994,3,2358.856
1994,4,2347.534
1994,5,2316.166
1994,6,2286.022
1994,7,2257.401
1994,8,2230.597
1994,9,2204.627
1994,10,2178.504
1994,11,2158.929
1994,12,2148.751
1994,13,2144.432
1994,14,2137.255
1994,15,2126.193
1994,16,2118.176
1994,17,2114.873
1994,18,2111.323
1994,19,2104.866
1994,20,2100.818
1994,21,2066.717
1994,22,1987.659
1994,23,1880.220
1994,24,1775.036
1994,25,1664.972
1994,26,1571.837
1994,27,1509.259
1994,28,1466.758
1994,29,1419.990
1994,30,1373.574
1994,31,1328.355
1994,32,1282.236
1994,33,1236.262
1994,34,1192.846
1994,35,1150.645
1994,36,1111.346
1994,37,1075.746
1994,38,1042.121
1994,39,1009.542
1994,40,980.128
1994,41,942.020
1994,42,889.848
1994,43,829.868
1994,44,772.483
1994,45,714.107
1994,46,668.325
1994,47,642.459
1994,48,629.545
1994,49,615.902
1994,50,605.010
1994,51,589.127
1994,52,563.265
1994,53,531.785
1994,54,503.413
1994,55,475.661
1994,56,453.473
1994,57,439.944
1994,58,431.976
1994,59,423.436
1994,60,415.620
1994,61,405.770
1994,62,391.916
1994,63,375.468
1994,64,359.796
1994,65,344.219
1994,66,328.424
1994,67,312.582
1994,68,296.573
1994,69,280.508
1994,70,264.858
1994,71,247.602
1994,72,227.901
1994,73,207.000
1994,74,186.627
1994,75,166.010
1994,76,148.978
1994,77,137.487
1994,78,129.640
1994,79,121.785
1994,80,114.868
1994,81,106.621
1994,82,95.613
1994,83,83.100
1994,84,71.716
1994,85,60.870
1994,86,51.374
1994,87,43.883
1994,88,37.874
1994,89,32.148
1994,90,26.914
1994,91,22.233
1994,92,18.005
1994,93,14.251
1994,94,11.035
1994,95,8.284
1994,96,6.066
1994,97,4.411
1994,98,3.209
1994,99,1.902
1994,100,4.181
1995,0,2424.602
1995,1,2413.188
1995,2,2397.670
1995,3,2378.688
1995,4,2356.873
1995,5,2332.862
1995,6,2307.290
1995,7,2280.790
1995,8,2253.999
1995,9,2227.550
1995,10,2200.478
1995,11,2171.819
1995,12,2150.207
1995,13,2139.474
1995,14,2135.459
1995,15,2127.925
1995,16,2116.243
1995,17,2107.389
1995,18,2102.936
1995,19,2098.115
1995,20,2090.466
1995,21,2085.148
1995,22,2050.586
1995,23,1972.304
1995,24,1866.432
1995,25,1762.758
1995,26,1654.341
1995,27,1562.490
1995,28,1500.511
1995,29,1458.169
1995,30,1411.694
1995,31,1365.582
1995,32,1320.703
1995,33,1275.029
1995,34,1229.550
1995,35,1186.564
1995,36,1144.759
1995,37,1105.791
1995,38,1070.434
1995,39,1036.988
1995,40,1004.569
1995,41,975.284
1995,42,937.309
1995,43,885.293
1995,44,825.476
1995,45,768.225
1995,46,709.968
1995,47,664.249
1995,48,638.372
1995,49,625.393
1995,50,611.674
1995,51,600.678
1995,52,584.719
1995,53,558.834
1995,54,527.359
1995,55,498.969
1995,56,471.191
1995,57,448.922
1995,58,435.228
1995,59,427.038
1995,60,418.279
1995,61,410.237
1995,62,400.163
1995,63,386.102
1995,64,369.459
1995,65,353.592
1995,66,337.836
1995,67,321.854
1995,68,305.814
1995,69,289.609
1995,70,273.357
1995,71,257.505
1995,72,240.165
1995,73,220.566
1995,74,199.872
1995,75,179.705
1995,76,159.342
1995,77,142.402
1995,78,130.729
1995,79,122.541
1995,80,114.403
1995,81,107.212
1995,82,98.819
1995,83,87.872
1995,84,75.567
1995,85,64.394
1995,86,53.783
1995,87,44.592
1995,88,37.484
1995,89,31.917
1995,90,26.658
1995,91,21.905
1995,92,17.740
1995,93,14.060
1995,94,10.866
1995,95,8.206
1995,96,6.011
1995,97,4.271
1995,98,2.976
1995,99,2.046
1995,100,4.429
1996,0,2435.280
1996,1,2423.664
