year,age,population
1990,0,2.972
1990,1,3.051
1990,2,3.097
1990,3,3.113
1990,4,3.102
1990,5,3.068
1990,6,3.014
1990,7,2.947
1990,8,2.865
1990,9,2.775
1990,10,2.675
1990,11,2.561
1990,12,2.469
1990,13,2.410
1990,14,2.373
1990,15,2.331
1990,16,2.287
1990,17,2.230
1990,18,2.146
1990,19,2.050
1990,20,1.958
1990,21,1.867
1990,22,1.777
1990,23,1.691
1990,24,1.606
1990,25,1.524
1990,26,1.442
1990,27,1.374
1990,28,1.333
1990,29,1.306
1990,30,1.279
1990,31,1.251
1990,32,1.226
1990,33,1.203
1990,34,1.176
1990,35,1.152
1990,36,1.134
1990,37,1.093
1990,38,1.017
1990,39,0.918
1990,40,0.825
1990,41,0.726
1990,42,0.655
1990,43,0.623
1990,44,0.617
1990,45,0.610
1990,46,0.609
1990,47,0.594
1990,48,0.557
1990,49,0.507
1990,50,0.464
1990,51,0.422
1990,52,0.391
1990,53,0.386
1990,54,0.390
1990,55,0.396
1990,56,0.401
1990,57,0.402
1990,58,0.393
1990,59,0.377
1990,60,0.363
1990,61,0.348
1990,62,0.336
1990,63,0.322
1990,64,0.310
1990,65,0.296
1990,66,0.283
1990,67,0.270
1990,68,0.258
1990,69,0.248
1990,70,0.237
1990,71,0.226
1990,72,0.214
1990,73,0.197
1990,74,0.178
1990,75,0.160
1990,76,0.143
1990,77,0.125
1990,78,0.109
1990,79,0.095
1990,80,0.080
1990,81,0.066
1990,82,0.053
1990,83,0.044
1990,84,0.036
1990,85,0.029
1990,86,0.023
1990,87,0.018
1990,88,0.015
1990,89,0.010
1990,90,0.008
1990,91,0.007
1990,92,0.006
1990,93,0.004
1990,94,0.003
1990,95,0.002
1990,96,0.000
1990,97,0.001
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,3.024
1991,1,3.016
1991,2,3.076
1991,3,3.113
1991,4,3.125
1991,5,3.115
1991,6,3.086
1991,7,3.043
1991,8,2.982
1991,9,2.901
1991,10,2.808
1991,11,2.706
1991,12,2.593
1991,13,2.494
1991,14,2.417
1991,15,2.353
1991,16,2.287
1991,17,2.218
1991,18,2.144
1991,19,2.053
1991,20,1.956
1991,21,1.865
1991,22,1.772
1991,23,1.690
1991,24,1.620
1991,25,1.557
1991,26,1.499
1991,27,1.441
1991,28,1.390
1991,29,1.354
1991,30,1.325
1991,31,1.295
1991,32,1.267
1991,33,1.238
1991,34,1.214
1991,35,1.184
1991,36,1.157
1991,37,1.134
1991,38,1.090
1991,39,1.018
1991,40,0.926
1991,41,0.837
1991,42,0.745
1991,43,0.675
1991,44,0.637
1991,45,0.621
1991,46,0.604
1991,47,0.593
1991,48,0.572
1991,49,0.536
1991,50,0.489
1991,51,0.451
1991,52,0.411
1991,53,0.384
1991,54,0.385
1991,55,0.395
1991,56,0.407
1991,57,0.419
1991,58,0.423
1991,59,0.408
1991,60,0.383
1991,61,0.361
1991,62,0.336
1991,63,0.318
1991,64,0.305
1991,65,0.297
1991,66,0.288
1991,67,0.278
1991,68,0.268
1991,69,0.255
1991,70,0.244
1991,71,0.230
1991,72,0.218
1991,73,0.204
1991,74,0.187
1991,75,0.167
1991,76,0.148
1991,77,0.129
1991,78,0.112
1991,79,0.097
1991,80,0.084
1991,81,0.070
1991,82,0.059
1991,83,0.048
1991,84,0.039
1991,85,0.031
1991,86,0.025
1991,87,0.020
1991,88,0.016
1991,89,0.012
1991,90,0.009
1991,91,0.006
1991,92,0.006
1991,93,0.005
1991,94,0.004
1991,95,0.002
1991,96,0.000
1991,97,0.001
1991,98,0.000
1991,99,0.000
1991,100,0.000
1992,0,3.128
1992,1,3.172
1992,2,3.056
1992,3,3.099
1992,4,3.126
1992,5,3.133
1992,6,3.125
1992,7,3.101
1992,8,3.068
1992,9,3.013
1992,10,2.935
1992,11,2.838
1992,12,2.734
1992,13,2.623
1992,14,2.517
1992,15,2.420
1992,16,2.331
1992,17,2.240
1992,18,2.147
1992,19,2.054
1992,20,1.957
1992,21,1.860
1992,22,1.767
1992,23,1.676
1992,24,1.600
1992,25,1.546
1992,26,1.507
1992,27,1.471
1992,28,1.438
1992,29,1.406
1992,30,1.374
1992,31,1.341
1992,32,1.311
1992,33,1.281
1992,34,1.250
1992,35,1.222
1992,36,1.191
1992,37,1.161
1992,38,1.132
1992,39,1.088
1992,40,1.018
1992,41,0.932
1992,42,0.848
1992,43,0.763
1992,44,0.694
1992,45,0.651
1992,46,0.624
1992,47,0.598
1992,48,0.577
1992,49,0.549
1992,50,0.512
1992,51,0.472
1992,52,0.436
1992,53,0.400
1992,54,0.377
1992,55,0.383
1992,56,0.399
1992,57,0.418
1992,58,0.437
1992,59,0.443
1992,60,0.424
1992,61,0.389
1992,62,0.358
1992,63,0.324
1992,64,0.299
1992,65,0.287
1992,66,0.285
1992,67,0.279
1992,68,0.273
1992,69,0.265
1992,70,0.253
1992,71,0.238
1992,72,0.223
1992,73,0.210
1992,74,0.194
1992,75,0.176
1992,76,0.155
1992,77,0.136
1992,78,0.116
1992,79,0.098
1992,80,0.084
1992,81,0.073
1992,82,0.062
1992,83,0.051
1992,84,0.042
1992,85,0.033
1992,86,0.028
1992,87,0.021
1992,88,0.017
1992,89,0.012
1992,90,0.011
1992,91,0.006
1992,92,0.005
1992,93,0.005
1992,94,0.004
1992,95,0.003
1992,96,0.002
1992,97,0.000
1992,98,0.001
1992,99,0.000
1992,100,0.000
1993,0,3.252
1993,1,3.245
1993,2,3.235
1993,3,3.089
1993,4,3.114
1993,5,3.130
1993,6,3.133
1993,7,3.127
1993,8,3.109
1993,9,3.085
1993,10,3.038
1993,11,2.960
1993,12,2.861
1993,13,2.756
1993,14,2.647
1993,15,2.533
1993,16,2.417
1993,17,2.303
1993,18,2.187
1993,19,2.070
1993,20,1.959
1993,21,1.855
1993,22,1.758
1993,23,1.666
1993,24,1.575
1993,25,1.505
1993,26,1.468
1993,27,1.453
1993,28,1.439
1993,29,1.432
1993,30,1.417
1993,31,1.391
1993,32,1.355
1993,33,1.323
1993,34,1.291
1993,35,1.259
1993,36,1.228
1993,37,1.195
1993,38,1.161
1993,39,1.128
1993,40,1.082
1993,41,1.015
1993,42,0.936
1993,43,0.858
1993,44,0.779
1993,45,0.712
1993,46,0.663
1993,47,0.626
1993,48,0.590
1993,49,0.558
1993,50,0.525
1993,51,0.488
1993,52,0.453
1993,53,0.421
1993,54,0.387
1993,55,0.369
1993,56,0.380
1993,57,0.403
1993,58,0.427
1993,59,0.454
1993,60,0.463
1993,61,0.438
1993,62,0.394
1993,63,0.354
1993,64,0.310
1993,65,0.280
1993,66,0.269
1993,67,0.271
1993,68,0.269
1993,69,0.268
1993,70,0.262
1993,71,0.249
1993,72,0.232
1993,73,0.215
1993,74,0.201
1993,75,0.184
1993,76,0.165
1993,77,0.144
1993,78,0.123
1993,79,0.102
1993,80,0.084
1993,81,0.071
1993,82,0.061
1993,83,0.053
1993,84,0.043
1993,85,0.036
1993,86,0.029
1993,87,0.023
1993,88,0.017
1993,89,0.013
1993,90,0.010
1993,91,0.008
1993,92,0.005
1993,93,0.003
1993,94,0.005
1993,95,0.002
1993,96,0.003
1993,97,0.001
1993,98,0.002
1993,99,0.000
1993,100,0.000
1994,0,3.351
1994,1,3.292
1994,2,3.247
1994,3,3.213
1994,4,3.110
1994,5,3.118
1994,6,3.124
1994,7,3.122
1994,8,3.117
1994,9,3.105
1994,10,3.092
1994,11,3.051
1994,12,2.975
1994,13,2.874
1994,14,2.767
1994,15,2.661
1994,16,2.539
1994,17,2.407
1994,18,2.265
1994,19,2.127
1994,20,1.985
1994,21,1.857
1994,22,1.746
1994,23,1.651
1994,24,1.559
1994,25,1.467
1994,26,1.405
1994,27,1.385
1994,28,1.393
1994,29,1.404
1994,30,1.419
1994,31,1.424
1994,32,1.402
1994,33,1.364
1994,34,1.331
1994,35,1.297
1994,36,1.263
1994,37,1.229
1994,38,1.195
1994,39,1.157
1994,40,1.120
1994,41,1.072
1994,42,1.008
1994,43,0.937
1994,44,0.864
1994,45,0.793
1994,46,0.727
1994,47,0.672
1994,48,0.626
1994,49,0.579
1994,50,0.538
1994,51,0.499
1994,52,0.463
1994,53,0.432
1994,54,0.404
1994,55,0.372
1994,56,0.361
1994,57,0.376
1994,58,0.404
1994,59,0.435
1994,60,0.469
1994,61,0.481
1994,62,0.451
1994,63,0.397
1994,64,0.349
1994,65,0.296
1994,66,0.259
1994,67,0.250
1994,68,0.256
1994,69,0.259
1994,70,0.261
1994,71,0.258
1994,72,0.244
1994,73,0.226
1994,74,0.207
1994,75,0.191
1994,76,0.173
1994,77,0.152
1994,78,0.132
1994,79,0.110
1994,80,0.088
1994,81,0.070
1994,82,0.058
1994,83,0.049
1994,84,0.043
1994,85,0.036
1994,86,0.030
1994,87,0.023
1994,88,0.019
1994,89,0.013
1994,90,0.010
1994,91,0.007
1994,92,0.006
1994,93,0.003
1994,94,0.002
1994,95,0.003
1994,96,0.001
1994,97,0.002
1994,98,0.001
1994,99,0.000
1994,100,0.000
1995,0,3.392
1995,1,3.297
1995,2,3.226
1995,3,3.174
1995,4,3.141
1995,5,3.119
1995,6,3.108
1995,7,3.104
1995,8,3.098
1995,9,3.095
1995,10,3.088
1995,11,3.085
1995,12,3.051
1995,13,2.978
1995,14,2.874
1995,15,2.767
1995,16,2.663
1995,17,2.536
1995,18,2.385
1995,19,2.220
1995,20,2.057
1995,21,1.893
1995,22,1.748
1995,23,1.632
1995,24,1.537
1995,25,1.446
1995,26,1.355
1995,27,1.300
1995,28,1.297
1995,29,1.328
1995,30,1.361
1995,31,1.402
1995,32,1.424
1995,33,1.408
1995,34,1.367
1995,35,1.332
1995,36,1.298
1995,37,1.261
1995,38,1.226
1995,39,1.189
1995,40,1.149
1995,41,1.107
1995,42,1.057
1995,43,0.998
1995,44,0.934
1995,45,0.866
1995,46,0.803
1995,47,0.739
1995,48,0.679
1995,49,0.622
1995,50,0.567
1995,51,0.516
1995,52,0.471
1995,53,0.435
1995,54,0.410
1995,55,0.385
1995,56,0.357
1995,57,0.350
1995,58,0.370
1995,59,0.405
1995,60,0.441
1995,61,0.482
1995,62,0.496
1995,63,0.462
1995,64,0.399
1995,65,0.342
1995,66,0.281
1995,67,0.238
1995,68,0.229
1995,69,0.241
1995,70,0.247
1995,71,0.253
1995,72,0.253
1995,73,0.239
1995,74,0.218
1995,75,0.198
1995,76,0.181
1995,77,0.161
1995,78,0.140
1995,79,0.119
1995,80,0.097
1995,81,0.073
1995,82,0.055
1995,83,0.045
1995,84,0.038
1995,85,0.033
1995,86,0.028
1995,87,0.024
1995,88,0.018
1995,89,0.014
1995,90,0.009
1995,91,0.007
1995,92,0.004
1995,93,0.003
1995,94,0.002
1995,95,0.000
1995,96,0.002
1995,97,0.000
1995,98,0.002
1995,99,0.000
1995,100,0.000
1996,0,3.424
1996,1,3.294
1996,2,3.214
1996,3,3.156
1996,4,3.115
1996,5,3.089
1996,6,3.073
1996,7,3.065
1996,8,3.062
1996,9,3.058
1996,10,3.054
1996,11,3.048
1996,12,3.043
1996,13,3.004
1996,14,2.917
1996,15,2.794
1996,16,2.671
1996,17,2.548
1996,18,2.412
1996,19,2.266
1996,20,2.116
1996,21,1.965
1996,22,1.814
1996,23,1.685
1996,24,1.586
1996,25,1.511
1996,26,1.438
1996,27,1.367
1996,28,1.324
1996,29,1.317
1996,30,1.335
1996,31,1.355
1996,32,1.382
1996,33,1.394
1996,34,1.373
1996,35,1.332
1996,36,1.296
1996,37,1.258
1996,38,1.222
1996,39,1.190
1996,40,1.159
1996,41,1.124
1996,42,1.088
1996,43,1.042
1996,44,0.985
1996,45,0.920
1996,46,0.852
1996,47,0.789
1996,48,0.725
1996,49,0.664
1996,50,0.606
1996,51,0.551
1996,52,0.498
1996,53,0.454
1996,54,0.419
1996,55,0.398
1996,56,0.374
1996,57,0.350
1996,58,0.344
1996,59,0.361
1996,60,0.391
1996,61,0.423
1996,62,0.460
1996,63,0.471
1996,64,0.436
1996,65,0.376
1996,66,0.319
1996,67,0.260
1996,68,0.219
1996,69,0.211
1996,70,0.225
1996,71,0.233
1996,72,0.241
1996,73,0.242
1996,74,0.228
1996,75,0.206
1996,76,0.185
1996,77,0.167
1996,78,0.147
1996,79,0.127
1996,80,0.107
1996,81,0.087
1996,82,0.065
1996,83,0.049
1996,84,0.039
1996,85,0.033
1996,86,0.029
1996,87,0.024
1996,88,0.020
1996,89,0.016
1996,90,0.011
1996,91,0.008
1996,92,0.006
1996,93,0.003
1996,94,0.002
1996,95,0.002
1996,96,0.002
1996,97,0.000
1996,98,0.002
1996,99,0.000
1996,100,0.000
1997,0,3.401
1997,1,3.270
1997,2,3.182
1997,3,3.118
1997,4,3.073
1997,5,3.042
1997,6,3.025
1997,7,3.014
1997,8,3.009
1997,9,3.007
1997,10,3.005
1997,11,3.001
1997,12,2.994
1997,13,2.989
1997,14,2.944
1997,15,2.844
1997,16,2.702
1997,17,2.563
1997,18,2.422
1997,19,2.278
1997,20,2.138
1997,21,2.002
1997,22,1.865
1997,23,1.728
1997,24,1.614
1997,25,1.534
1997,26,1.477
1997,27,1.425
1997,28,1.374
1997,29,1.342
1997,30,1.332
1997,31,1.335
1997,32,1.344
1997,33,1.357
1997,34,1.357
1997,35,1.334
1997,36,1.291
1997,37,1.254
1997,38,1.213
1997,39,1.178
1997,40,1.149
1997,41,1.123
1997,42,1.095
1997,43,1.064
1997,44,1.023
1997,45,0.967
1997,46,0.902
1997,47,0.835
1997,48,0.772
1997,49,0.707
1997,50,0.647
1997,51,0.588
1997,52,0.533
1997,53,0.478
1997,54,0.434
1997,55,0.402
1997,56,0.383
1997,57,0.362
1997,58,0.342
1997,59,0.335
1997,60,0.351
1997,61,0.377
1997,62,0.403
1997,63,0.435
1997,64,0.443
1997,65,0.410
1997,66,0.350
1997,67,0.296
1997,68,0.237
1997,69,0.199
1997,70,0.192
1997,71,0.208
1997,72,0.217
1997,73,0.228
1997,74,0.231
1997,75,0.216
1997,76,0.193
1997,77,0.172
1997,78,0.152
1997,79,0.132
1997,80,0.113
1997,81,0.095
1997,82,0.077
1997,83,0.057
1997,84,0.042
1997,85,0.033
1997,86,0.028
1997,87,0.024
1997,88,0.020
1997,89,0.017
1997,90,0.013
1997,91,0.009
1997,92,0.006
1997,93,0.004
1997,94,0.003
1997,95,0.002
1997,96,0.001
1997,97,0.000
1997,98,0.002
1997,99,0.000
1997,100,0.000
1998,0,3.340
1998,1,3.208
1998,2,3.110
1998,3,3.065
1998,4,3.016
1998,5,2.985
1998,6,2.964
1998,7,2.954
1998,8,2.951
1998,9,2.947
1998,10,2.948
1998,11,2.947
1998,12,2.942
1998,13,2.935
1998,14,2.929
1998,15,2.880
1998,16,2.765
1998,17,2.606
1998,18,2.451
1998,19,2.292
1998,20,2.141
1998,21,2.005
1998,22,1.885
1998,23,1.762
1998,24,1.638
1998,25,1.542
1998,26,1.478
1998,27,1.442
1998,28,1.408
1998,29,1.379
1998,30,1.358
1998,31,1.343
1998,32,1.334
1998,33,1.330
1998,34,1.329
1998,35,1.319
1998,36,1.291
1998,37,1.249
1998,38,1.209
1998,39,1.167
1998,40,1.132
1998,41,1.106
1998,42,1.086
1998,43,1.062
1998,44,1.039
1998,45,1.003
1998,46,0.948
1998,47,0.882
1998,48,0.816
1998,49,0.753
1998,50,0.689
1998,51,0.627
1998,52,0.570
1998,53,0.513
1998,54,0.458
1998,55,0.414
1998,56,0.383
1998,57,0.368
1998,58,0.349
1998,59,0.333
1998,60,0.328
1998,61,0.339
1998,62,0.361
1998,63,0.383
1998,64,0.410
1998,65,0.415
1998,66,0.382
1998,67,0.325
1998,68,0.271
1998,69,0.215
