year,age,population
1990,0,11.882
1990,1,11.735
1990,2,11.543
1990,3,11.323
1990,4,11.070
1990,5,10.791
1990,6,10.501
1990,7,10.202
1990,8,9.893
1990,9,9.589
1990,10,9.286
1990,11,8.986
1990,12,8.725
1990,13,8.503
1990,14,8.325
1990,15,8.154
1990,16,7.980
1990,17,7.881
1990,18,7.880
1990,19,7.954
1990,20,8.021
1990,21,8.110
1990,22,8.125
1990,23,8.017
1990,24,7.834
1990,25,7.662
1990,26,7.474
1990,27,7.317
1990,28,7.208
1990,29,7.130
1990,30,7.031
1990,31,6.924
1990,32,6.785
1990,33,6.610
1990,34,6.400
1990,35,6.193
1990,36,5.972
1990,37,5.737
1990,38,5.478
1990,39,5.202
1990,40,4.930
1990,41,4.654
1990,42,4.381
1990,43,4.106
1990,44,3.839
1990,45,3.579
1990,46,3.319
1990,47,3.102
1990,48,2.942
1990,49,2.825
1990,50,2.716
1990,51,2.616
1990,52,2.514
1990,53,2.400
1990,54,2.274
1990,55,2.164
1990,56,2.055
1990,57,1.970
1990,58,1.913
1990,59,1.877
1990,60,1.841
1990,61,1.804
1990,62,1.752
1990,63,1.663
1990,64,1.548
1990,65,1.441
1990,66,1.334
1990,67,1.234
1990,68,1.145
1990,69,1.068
1990,70,0.989
1990,71,0.910
1990,72,0.834
1990,73,0.756
1990,74,0.681
1990,75,0.609
1990,76,0.539
1990,77,0.474
1990,78,0.420
1990,79,0.364
1990,80,0.316
1990,81,0.270
1990,82,0.229
1990,83,0.195
1990,84,0.158
1990,85,0.130
1990,86,0.105
1990,87,0.083
1990,88,0.067
1990,89,0.049
1990,90,0.036
1990,91,0.027
1990,92,0.021
1990,93,0.014
1990,94,0.013
1990,95,0.009
1990,96,0.003
1990,97,0.002
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,12.203
1991,1,11.870
1991,2,11.704
1991,3,11.509
1991,4,11.292
1991,5,11.049
1991,6,10.790
1991,7,10.526
1991,8,10.240
1991,9,9.929
1991,10,9.608
1991,11,9.292
1991,12,8.982
1991,13,8.713
1991,14,8.482
1991,15,8.300
1991,16,8.122
1991,17,7.942
1991,18,7.844
1991,19,7.858
1991,20,7.949
1991,21,8.035
1991,22,8.141
1991,23,8.176
1991,24,8.087
1991,25,7.922
1991,26,7.768
1991,27,7.600
1991,28,7.451
1991,29,7.332
1991,30,7.236
1991,31,7.117
1991,32,6.991
1991,33,6.833
1991,34,6.647
1991,35,6.425
1991,36,6.203
1991,37,5.971
1991,38,5.724
1991,39,5.465
1991,40,5.189
1991,41,4.921
1991,42,4.648
1991,43,4.373
1991,44,4.091
1991,45,3.811
