year,age,population
1990,0,2966.268
1990,1,2811.123
1990,2,2667.843
1990,3,2535.699
1990,4,2413.957
1990,5,2301.886
1990,6,2198.747
1990,7,2103.809
1990,8,2016.347
1990,9,1935.620
1990,10,1861.227
1990,11,1792.760
1990,12,1727.851
1990,13,1665.109
1990,14,1604.791
1990,15,1548.469
1990,16,1495.764
1990,17,1444.196
1990,18,1392.654
1990,19,1341.789
1990,20,1293.307
1990,21,1246.812
1990,22,1201.825
1990,23,1158.256
1990,24,1116.093
1990,25,1075.429
1990,26,1036.248
1990,27,998.282
1990,28,961.395
1990,29,925.691
1990,30,891.276
1990,31,858.024
1990,32,826.388
1990,33,796.596
1990,34,768.332
1990,35,741.158
1990,36,715.270
1990,37,689.783
1990,38,664.270
1990,39,639.143
1990,40,615.073
1990,41,591.692
1990,42,570.255
1990,43,551.361
1990,44,534.292
1990,45,517.699
1990,46,501.865
1990,47,485.841
1990,48,469.036
1990,49,451.853
1990,50,435.302
1990,51,419.172
1990,52,403.365
1990,53,387.945
1990,54,372.851
1990,55,357.944
1990,56,343.224
1990,57,328.764
1990,58,314.552
1990,59,300.556
1990,60,286.735
1990,61,273.126
1990,62,259.494
1990,63,245.735
1990,64,231.951
1990,65,218.385
1990,66,205.024
1990,67,191.788
1990,68,178.659
1990,69,165.705
1990,70,153.032
1990,71,140.675
1990,72,128.559
1990,73,116.670
1990,74,105.099
1990,75,93.975
1990,76,83.293
1990,77,73.222
1990,78,63.861
1990,79,55.173
1990,80,47.024
1990,81,39.397
1990,82,32.607
1990,83,26.790
1990,84,21.808
1990,85,17.338
1990,86,13.372
1990,87,10.099
1990,88,7.555
1990,89,5.614
1990,90,4.072
1990,91,2.936
1990,92,2.050
1990,93,1.321
1990,94,0.761
1990,95,0.456
1990,96,0.360
1990,97,0.278
1990,98,0.166
1990,99,0.048
1990,100,0.091
1991,0,3059.891
1991,1,2917.594
1991,2,2770.678
1991,3,2634.997
1991,4,2509.787
1991,5,2394.249
1991,6,2287.812
1991,7,2189.871
1991,8,2098.677
1991,9,2013.053
1991,10,1932.799
1991,11,1858.540
1991,12,1789.708
1991,13,1724.420
1991,14,1661.659
1991,15,1601.492
1991,16,1544.965
1991,17,1491.805
1991,18,1439.867
1991,19,1388.145
1991,20,1337.229
1991,21,1288.630
1991,22,1241.988
1991,23,1196.899
1991,24,1153.282
1991,25,1111.119
1991,26,1070.463
1991,27,1031.297
1991,28,993.345
1991,29,956.462
1991,30,920.760
1991,31,886.355
1991,32,853.122
1991,33,821.500
1991,34,791.708
1991,35,763.438
1991,36,736.261
1991,37,710.358
1991,38,684.882
1991,39,659.430
1991,40,634.385
1991,41,610.385
1991,42,587.072
1991,43,565.660
1991,44,546.719
1991,45,529.561
1991,46,512.870
1991,47,496.928
1991,48,480.789
1991,49,463.876
1991,50,446.581
1991,51,429.900
1991,52,413.627
1991,53,397.667
1991,54,382.080
1991,55,366.809
1991,56,351.718
1991,57,336.812
1991,58,322.142
1991,59,307.693
1991,60,293.438
1991,61,279.366
1991,62,265.521
1991,63,251.654
1991,64,237.665
1991,65,223.664
1991,66,209.913
1991,67,196.388
1991,68,183.028
1991,69,169.825
1991,70,156.848
1991,71,144.193
1991,72,131.881
1991,73,119.900
1991,74,108.237
