year,age,population
1990,0,70.042
1990,1,68.177
1990,2,66.360
1990,3,64.593
1990,4,62.882
1990,5,61.236
1990,6,59.660
1990,7,58.158
1990,8,56.739
1990,9,55.406
1990,10,54.118
1990,11,52.829
1990,12,51.799
1990,13,51.134
1990,14,50.691
1990,15,50.245
1990,16,49.880
1990,17,49.219
1990,18,48.067
1990,19,46.604
1990,20,45.164
1990,21,43.615
1990,22,42.334
1990,23,41.521
1990,24,40.959
1990,25,40.299
1990,26,39.707
1990,27,38.555
1990,28,36.527
1990,29,33.965
1990,30,31.493
1990,31,28.945
1990,32,26.837
1990,33,25.473
1990,34,24.595
1990,35,23.663
1990,36,22.833
1990,37,21.827
1990,38,20.478
1990,39,18.958
1990,40,17.581
1990,41,16.244
1990,42,15.253
1990,43,14.779
1990,44,14.651
1990,45,14.523
1990,46,14.455
1990,47,14.358
1990,48,14.148
1990,49,13.870
1990,50,13.648
1990,51,13.465
1990,52,13.223
1990,53,12.886
1990,54,12.486
1990,55,12.088
1990,56,11.679
1990,57,11.273
1990,58,10.882
1990,59,10.499
1990,60,10.107
1990,61,9.710
1990,62,9.301
1990,63,8.874
1990,64,8.434
1990,65,7.994
1990,66,7.539
1990,67,7.134
1990,68,6.808
1990,69,6.529
1990,70,6.242
1990,71,5.981
1990,72,5.625
1990,73,5.115
1990,74,4.517
1990,75,3.944
1990,76,3.361
1990,77,2.884
1990,78,2.573
1990,79,2.372
1990,80,2.167
1990,81,1.989
1990,82,1.775
1990,83,1.493
1990,84,1.173
1990,85,0.888
1990,86,0.620
1990,87,0.408
1990,88,0.285
1990,89,0.221
1990,90,0.164
1990,91,0.123
1990,92,0.090
1990,93,0.058
1990,94,0.028
1990,95,0.013
1990,96,0.010
1990,97,0.008
1990,98,0.005
1990,99,0.003
1990,100,0.002
1991,0,66.448
1991,1,69.201
1991,2,67.786
1991,3,66.240
1991,4,64.597
1991,5,62.890
1991,6,61.132
1991,7,59.324
1991,8,57.652
1991,9,56.213
1991,10,54.950
1991,11,53.676
1991,12,52.370
1991,13,51.329
1991,14,50.660
1991,15,50.219
1991,16,49.776
1991,17,49.417
1991,18,48.759
1991,19,47.600
1991,20,46.126
1991,21,44.679
1991,22,43.122
1991,23,41.846
1991,24,41.055
1991,25,40.525
1991,26,39.895
1991,27,39.331
1991,28,38.212
1991,29,36.221
1991,30,33.698
1991,31,31.264
1991,32,28.756
1991,33,26.662
1991,34,25.272
1991,35,24.341
1991,36,23.360
1991,37,22.476
1991,38,21.432
1991,39,20.068
1991,40,18.551
1991,41,17.171
1991,42,15.830
1991,43,14.841
1991,44,14.381
1991,45,14.271
1991,46,14.164
1991,47,14.122
1991,48,14.031
1991,49,13.797
1991,50,13.474
1991,51,13.212
1991,52,12.984
1991,53,12.721
1991,54,12.402
1991,55,12.043
1991,56,11.681
1991,57,11.312
1991,58,10.927
1991,59,10.531
1991,60,10.123
1991,61,9.712
1991,62,9.296
1991,63,8.869
1991,64,8.428
1991,65,7.980
1991,66,7.528
1991,67,7.063
1991,68,6.655
1991,69,6.335
1991,70,6.070
1991,71,5.799
1991,72,5.554
1991,73,5.216
1991,74,4.724
1991,75,4.143
1991,76,3.589
1991,77,3.030
1991,78,2.571
1991,79,2.274
1991,80,2.084
1991,81,1.891
1991,82,1.724
