year,age,population
1990,0,9.614
1990,1,10.074
1990,2,10.415
1990,3,10.646
1990,4,10.788
1990,5,10.848
1990,6,10.844
1990,7,10.789
1990,8,10.693
1990,9,10.575
1990,10,10.419
1990,11,10.214
1990,12,10.101
1990,13,10.147
1990,14,10.287
1990,15,10.406
1990,16,10.544
1990,17,10.589
1990,18,10.480
1990,19,10.280
1990,20,10.098
1990,21,9.895
1990,22,9.797
1990,23,9.872
1990,24,10.053
1990,25,10.206
1990,26,10.373
1990,27,10.441
1990,28,10.351
1990,29,10.160
1990,30,9.971
1990,31,9.744
1990,32,9.593
1990,33,9.576
1990,34,9.627
1990,35,9.641
1990,36,9.672
1990,37,9.524
1990,38,9.109
1990,39,8.526
1990,40,7.978
1990,41,7.435
1990,42,6.967
1990,43,6.633
1990,44,6.403
1990,45,6.165
1990,46,5.914
1990,47,5.824
1990,48,5.969
1990,49,6.258
1990,50,6.539
1990,51,6.842
1990,52,7.048
1990,53,7.077
1990,54,6.980
1990,55,6.895
1990,56,6.799
1990,57,6.650
1990,58,6.446
1990,59,6.194
1990,60,5.919
1990,61,5.628
1990,62,5.298
1990,63,4.926
1990,64,4.531
1990,65,4.137
1990,66,3.748
1990,67,3.379
1990,68,3.044
1990,69,2.745
1990,70,2.453
1990,71,2.155
1990,72,1.970
1990,73,1.943
1990,74,2.017
1990,75,2.089
1990,76,2.183
1990,77,2.211
1990,78,2.127
1990,79,1.965
1990,80,1.824
1990,81,1.688
1990,82,1.539
1990,83,1.373
1990,84,1.201
1990,85,1.026
1990,86,0.850
1990,87,0.691
1990,88,0.566
1990,89,0.465
1990,90,0.366
1990,91,0.274
1990,92,0.197
1990,93,0.144
1990,94,0.106
1990,95,0.076
1990,96,0.055
1990,97,0.037
1990,98,0.024
1990,99,0.011
1990,100,0.020
1991,0,9.416
1991,1,9.573
1991,2,9.964
1991,3,10.262
1991,4,10.471
1991,5,10.609
1991,6,10.680
1991,7,10.706
1991,8,10.672
1991,9,10.577
1991,10,10.448
1991,11,10.289
1991,12,10.085
1991,13,9.975
1991,14,10.019
1991,15,10.158
1991,16,10.277
1991,17,10.414
1991,18,10.457
1991,19,10.344
1991,20,10.137
1991,21,9.951
1991,22,9.742
1991,23,9.642
1991,24,9.723
1991,25,9.912
1991,26,10.075
1991,27,10.251
1991,28,10.329
1991,29,10.249
1991,30,10.068
1991,31,9.890
1991,32,9.673
1991,33,9.532
1991,34,9.527
1991,35,9.589
1991,36,9.615
1991,37,9.655
1991,38,9.514
1991,39,9.101
1991,40,8.517
1991,41,7.967
1991,42,7.422
1991,43,6.949
1991,44,6.609
1991,45,6.371
1991,46,6.125
1991,47,5.865
1991,48,5.768
1991,49,5.913
1991,50,6.203
1991,51,6.485
1991,52,6.789
1991,53,6.996
1991,54,7.019
1991,55,6.917
1991,56,6.825
1991,57,6.724
1991,58,6.570
1991,59,6.362
1991,60,6.107
1991,61,5.829
1991,62,5.534
1991,63,5.203
1991,64,4.832
1991,65,4.439
1991,66,4.046
1991,67,3.658
1991,68,3.291
1991,69,2.960
1991,70,2.663
1991,71,2.374
1991,72,2.080
1991,73,1.893
1991,74,1.858
1991,75,1.918
1991,76,1.977
1991,77,2.059
1991,78,2.078
1991,79,1.988
1991,80,1.824
1991,81,1.681
1991,82,1.543
1991,83,1.396
1991,84,1.238
1991,85,1.077
1991,86,0.913
1991,87,0.749
1991,88,0.603
1991,89,0.490
1991,90,0.400
1991,91,0.314
1991,92,0.233
1991,93,0.166
1991,94,0.121
1991,95,0.087
1991,96,0.057
1991,97,0.040
1991,98,0.024
1991,99,0.012
1991,100,0.021
1992,0,9.338
1992,1,9.699
1992,2,9.540
1992,3,9.862
1992,4,10.116
1992,5,10.305
1992,6,10.436
1992,7,10.522
1992,8,10.575
1992,9,10.563
1992,10,10.469
1992,11,10.329
1992,12,10.167
1992,13,9.965
1992,14,9.855
1992,15,9.900
1992,16,10.037
1992,17,10.155
1992,18,10.292
1992,19,10.333
1992,20,10.216
1992,21,10.003
1992,22,9.810
1992,23,9.597
1992,24,9.495
1992,25,9.581
1992,26,9.779
1992,27,9.951
1992,28,10.137
1992,29,10.225
1992,30,10.155
1992,31,9.984
1992,32,9.816
1992,33,9.609
1992,34,9.479
1992,35,9.485
1992,36,9.559
1992,37,9.595
1992,38,9.645
1992,39,9.512
1992,40,9.100
1992,41,8.514
1992,42,7.962
1992,43,7.414
1992,44,6.937
1992,45,6.590
1992,46,6.345
1992,47,6.089
1992,48,5.820
1992,49,5.717
1992,50,5.860
1992,51,6.153
1992,52,6.436
1992,53,6.743
1992,54,6.947
1992,55,6.968
1992,56,6.858
1992,57,6.761
1992,58,6.655
1992,59,6.495
1992,60,6.282
1992,61,6.024
1992,62,5.744
1992,63,5.445
1992,64,5.112
1992,65,4.742
1992,66,4.349
1992,67,3.958
1992,68,3.572
1992,69,3.206
1992,70,2.877
1992,71,2.583
1992,72,2.297
1992,73,2.006
1992,74,1.818
1992,75,1.774
1992,76,1.821
1992,77,1.868
1992,78,1.936
1992,79,1.947
1992,80,1.850
1992,81,1.685
1992,82,1.538
1992,83,1.401
1992,84,1.254
1992,85,1.104
1992,86,0.953
1992,87,0.801
1992,88,0.649
1992,89,0.516
1992,90,0.414
1992,91,0.336
1992,92,0.260
1992,93,0.193
1992,94,0.136
1992,95,0.097
1992,96,0.069
1992,97,0.041
1992,98,0.025
1992,99,0.013
1992,100,0.023
1993,0,9.334
1993,1,9.546
1993,2,9.722
1993,3,9.511
1993,4,9.765
1993,5,9.976
1993,6,10.143
1993,7,10.270
1993,8,10.368
1993,9,10.450
1993,10,10.458
1993,11,10.367
1993,12,10.215
1993,13,10.050
1993,14,9.849
1993,15,9.741
1993,16,9.784
1993,17,9.921
1993,18,10.038
1993,19,10.176
1993,20,10.214
1993,21,10.092
1993,22,9.873
1993,23,9.675
1993,24,9.456
1993,25,9.353
1993,26,9.443
1993,27,9.652
1993,28,9.832
1993,29,10.027
1993,30,10.126
1993,31,10.066
1993,32,9.904
1993,33,9.747
1993,34,9.550
1993,35,9.431
1993,36,9.447
1993,37,9.534
1993,38,9.580
1993,39,9.640
1993,40,9.514
1993,41,9.104
1993,42,8.515
1993,43,7.960
1993,44,7.411
1993,45,6.928
1993,46,6.574
1993,47,6.321
1993,48,6.057
1993,49,5.777
1993,50,5.670
1993,51,5.810
1993,52,6.105
1993,53,6.391
1993,54,6.698
1993,55,6.904
1993,56,6.919
1993,57,6.803
1993,58,6.700
1993,59,6.588
1993,60,6.423
1993,61,6.206
1993,62,5.945
1993,63,5.660
1993,64,5.359
1993,65,5.024
1993,66,4.653
1993,67,4.263
1993,68,3.872
1993,69,3.486
1993,70,3.123
1993,71,2.795
1993,72,2.506
1993,73,2.220
1993,74,1.934
1993,75,1.744
1993,76,1.690
1993,77,1.724
1993,78,1.759
1993,79,1.816
1993,80,1.815
1993,81,1.714
1993,82,1.546
1993,83,1.398
1993,84,1.257
1993,85,1.113
1993,86,0.970
1993,87,0.831
1993,88,0.690
1993,89,0.549
1993,90,0.428
1993,91,0.338
1993,92,0.272
1993,93,0.208
1993,94,0.152
1993,95,0.106
1993,96,0.074
1993,97,0.050
1993,98,0.026
1993,99,0.013
1993,100,0.024
1994,0,9.320
1994,1,9.385
1994,2,9.465
1994,3,9.555
1994,4,9.483
1994,5,9.667
1994,6,9.835
1994,7,9.982
1994,8,10.102
1994,9,10.214
1994,10,10.325
1994,11,10.354
1994,12,10.264
1994,13,10.100
1994,14,9.933
1994,15,9.733
1994,16,9.626
1994,17,9.669
1994,18,9.805
1994,19,9.921
1994,20,10.059
1994,21,10.095
1994,22,9.968
1994,23,9.743
1994,24,9.540
1994,25,9.314
1994,26,9.211
1994,27,9.306
1994,28,9.523
1994,29,9.713
1994,30,9.917
1994,31,10.027
1994,32,9.977
1994,33,9.825
1994,34,9.678
1994,35,9.490
1994,36,9.382
1994,37,9.410
1994,38,9.508
1994,39,9.565
1994,40,9.635
1994,41,9.517
1994,42,9.107
1994,43,8.515
1994,44,7.960
1994,45,7.406
1994,46,6.919
1994,47,6.559
1994,48,6.296
