year,age,population
1990,0,15005.618
1990,1,15231.805
1990,2,15405.499
1990,3,15533.862
1990,4,15624.028
1990,5,15683.166
1990,6,15718.413
1990,7,15736.940
1990,8,15745.867
1990,9,15752.372
1990,10,15748.171
1990,11,15724.978
1990,12,15767.089
1990,13,15912.512
1990,14,16122.125
1990,15,16326.175
1990,16,16547.509
1990,17,16714.834
1990,18,16788.559
1990,19,16807.404
1990,20,16838.988
1990,21,16856.780
1990,22,16943.685
1990,23,17143.604
1990,24,17409.191
1990,25,17648.250
1990,26,17877.908
1990,27,18056.783
1990,28,18154.460
1990,29,18189.441
1990,30,18215.048
1990,31,18225.959
1990,32,18183.663
1990,33,18076.022
1990,34,17918.595
1990,35,17725.957
1990,36,17479.505
1990,37,17266.023
1990,38,17125.132
1990,39,17008.628
1990,40,16874.427
1990,41,16785.973
1990,42,16453.030
1990,43,15744.618
1990,44,14824.463
1990,45,13941.103
1990,46,12989.423
1990,47,12416.393
1990,48,12451.852
1990,49,12865.639
1990,50,13225.716
1990,51,13652.127
1990,52,13819.706
1990,53,13533.842
1990,54,12970.999
1990,55,12475.794
1990,56,11947.566
1990,57,11612.490
1990,58,11607.509
1990,59,11797.269
1990,60,11913.873
1990,61,12016.186
1990,62,11978.100
1990,63,11711.575
1990,64,11282.637
1990,65,10878.276
1990,66,10500.549
1990,67,9980.668
1990,68,9266.111
1990,69,8446.693
1990,70,7628.351
1990,71,6746.254
1990,72,6151.017
1990,73,6013.980
1990,74,6160.290
1990,75,6258.648
1990,76,6393.158
1990,77,6340.357
1990,78,5961.301
1990,79,5373.428
1990,80,4839.480
1990,81,4314.491
1990,82,3804.896
1990,83,3342.698
1990,84,2917.138
1990,85,2484.317
1990,86,2051.719
1990,87,1671.379
1990,88,1364.472
1990,89,1115.064
1990,90,882.463
1990,91,670.523
1990,92,498.019
1990,93,368.861
1990,94,274.478
1990,95,200.285
1990,96,147.630
1990,97,106.408
1990,98,69.756
1990,99,39.145
1990,100,67.901
1991,0,14643.854
1991,1,15041.885
1991,2,15271.294
1991,3,15449.862
1991,4,15584.206
1991,5,15680.940
1991,6,15747.272
1991,7,15790.388
1991,8,15814.082
1991,9,15823.813
1991,10,15827.953
1991,11,15821.721
1991,12,15796.949
1991,13,15834.200
1991,14,15970.197
1991,15,16167.814
1991,16,16360.234
1991,17,16569.314
1991,18,16728.817
1991,19,16801.808
1991,20,16824.709
1991,21,16859.518
1991,22,16880.046
1991,23,16971.599
1991,24,17178.461
1991,25,17451.951
1991,26,17698.806
1991,27,17937.166
1991,28,18118.760
1991,29,18209.915
1991,30,18232.403
1991,31,18245.900
1991,32,18243.584
1991,33,18190.624
1991,34,18077.339
1991,35,17917.275
1991,36,17721.086
1991,37,17471.385
1991,38,17252.603
1991,39,17102.920
1991,40,16975.753
1991,41,16831.359
1991,42,16731.909
1991,43,16392.350
1991,44,15684.266
1991,45,14768.513
1991,46,13888.784
1991,47,12941.546
1991,48,12368.118
1991,49,12395.236
1991,50,12795.688
1991,51,13142.978
1991,52,13555.447
1991,53,13712.358
1991,54,13421.690
1991,55,12857.360
1991,56,12359.370
1991,57,11828.646
1991,58,11486.659
1991,59,11467.806
1991,60,11639.341
1991,61,11738.825
1991,62,11824.367
1991,63,11770.647
1991,64,11490.669
1991,65,11050.227
1991,66,10633.567
1991,67,10241.550
1991,68,9714.599
1991,69,9003.950
1991,70,8194.471
1991,71,7385.638
1991,72,6516.522
1991,73,5919.790
1991,74,5758.048
1991,75,5865.913
1991,76,5929.922
1991,77,6030.159
1991,78,5954.592
1991,79,5571.641
1991,80,4993.199
1991,81,4468.259
1991,82,3953.648
1991,83,3460.089
1991,84,3020.069
1991,85,2621.133
1991,86,2216.764
1991,87,1814.311
1991,88,1464.006
1991,89,1185.621
1991,90,963.281
1991,91,757.907
1991,92,573.279
1991,93,423.707
1991,94,311.115
1991,95,228.597
1991,96,154.058
1991,97,110.622
1991,98,72.329
1991,99,40.581
1991,100,72.024
1992,0,14239.370
1992,1,14661.937
1992,2,15079.456
1992,3,15311.845
1992,4,15495.113
1992,5,15635.337
1992,6,15738.614
1992,7,15812.169
1992,8,15863.199
1992,9,15892.155
1992,10,15902.820
1992,11,15904.721
1992,12,15896.609
1992,13,15870.451
1992,14,15902.930
1992,15,16029.507
1992,16,16215.044
1992,17,16395.737
1992,18,16592.509
1992,19,16744.134
1992,20,16816.414
1992,21,16843.458
1992,22,16881.541
1992,23,16904.867
1992,24,17001.097
1992,25,17214.840
1992,26,17496.130
1992,27,17750.684
1992,28,17997.645
1992,29,18181.922
1992,30,18266.596
1992,31,18276.700
1992,32,18278.196
1992,33,18262.725
1992,34,18199.187
1992,35,18080.252
1992,36,17917.556
1992,37,17717.771
1992,38,17464.816
1992,39,17240.702
1992,40,17082.185
1992,41,16944.274
1992,42,16789.642
1992,43,16679.151
1992,44,16332.934
1992,45,15625.124
1992,46,14713.804
1992,47,13837.660
1992,48,12894.839
1992,49,12321.052
1992,50,12339.982
1992,51,12727.312
1992,52,13062.007
1992,53,13460.739
1992,54,13607.102
1992,55,13311.575
1992,56,12745.579
1992,57,12244.654
1992,58,11711.250
1992,59,11362.258
