year,age,population
1990,0,655.460
1990,1,676.669
1990,2,691.265
1990,3,699.866
1990,4,703.093
1990,5,701.564
1990,6,695.905
1990,7,686.730
1990,8,674.661
1990,9,660.322
1990,10,643.791
1990,11,625.154
1990,12,607.717
1990,13,593.172
1990,14,580.533
1990,15,566.947
1990,16,552.791
1990,17,539.912
1990,18,528.885
1990,19,519.056
1990,20,509.066
1990,21,499.025
1990,22,488.873
1990,23,478.388
1990,24,467.496
1990,25,456.441
1990,26,445.297
1990,27,432.732
1990,28,418.152
1990,29,402.120
1990,30,385.726
1990,31,368.657
1990,32,351.664
1990,33,335.202
1990,34,318.840
1990,35,302.632
1990,36,287.695
1990,37,269.046
1990,38,244.580
1990,39,217.265
1990,40,191.473
1990,41,165.480
1990,42,147.440
1990,43,141.590
1990,44,143.923
1990,45,146.039
1990,46,149.412
1990,47,152.296
1990,48,152.908
1990,49,152.150
1990,50,152.750
1990,51,154.204
1990,52,154.763
1990,53,153.836
1990,54,151.879
1990,55,149.791
1990,56,147.218
1990,57,144.908
1990,58,143.274
1990,59,141.796
1990,60,139.747
1990,61,137.502
1990,62,133.401
1990,63,126.612
1990,64,118.012
1990,65,109.426
1990,66,100.633
1990,67,91.853
1990,68,83.420
1990,69,75.315
1990,70,67.143
1990,71,58.941
1990,72,51.674
1990,73,45.771
1990,74,40.891
1990,75,36.212
1990,76,31.830
1990,77,27.989
1990,78,24.706
1990,79,21.875
1990,80,19.386
1990,81,17.271
1990,82,15.166
1990,83,12.879
1990,84,10.552
1990,85,8.514
1990,86,6.679
1990,87,5.116
1990,88,3.875
1990,89,2.903
1990,90,2.056
1990,91,1.333
1990,92,0.795
1990,93,0.443
1990,94,0.237
1990,95,0.145
1990,96,0.115
1990,97,0.087
1990,98,0.057
1990,99,0.029
1990,100,0.017
1991,0,656.208
1991,1,657.697
1991,2,675.377
1991,3,687.958
1991,4,695.777
1991,5,699.177
1991,6,698.803
1991,7,695.303
1991,8,687.489
1991,9,675.096
1991,10,659.378
1991,11,641.976
1991,12,622.697
1991,13,604.545
1991,14,589.224
1991,15,575.789
1991,16,561.422
1991,17,546.494
1991,18,533.021
1991,19,521.663
1991,20,511.717
1991,21,501.648
1991,22,491.566
1991,23,481.608
1991,24,471.625
1991,25,461.443
1991,26,451.128
1991,27,440.780
1991,28,428.965
1991,29,415.017
1991,30,399.530
