year,age,population
1990,0,515.560
1990,1,496.756
1990,2,480.002
1990,3,465.036
1990,4,451.592
1990,5,439.416
1990,6,428.240
1990,7,417.804
1990,8,407.848
1990,9,398.106
1990,10,388.740
1990,11,379.901
1990,12,369.241
1990,13,355.661
1990,14,340.153
1990,15,324.961
1990,16,309.821
1990,17,294.480
1990,18,279.102
1990,19,263.835
1990,20,248.725
1990,21,233.834
1990,22,219.798
1990,23,206.964
1990,24,195.201
1990,25,183.911
1990,26,173.090
1990,27,163.712
1990,28,156.166
1990,29,150.012
1990,30,144.385
1990,31,139.409
1990,32,134.817
1990,33,130.378
1990,34,126.174
1990,35,122.475
1990,36,119.168
1990,37,116.180
1990,38,113.476
1990,39,110.997
1990,40,108.689
1990,41,106.542
1990,42,104.354
1990,43,102.024
1990,44,99.583
1990,45,97.223
1990,46,94.937
1990,47,92.430
1990,48,89.581
1990,49,86.520
1990,50,83.485
1990,51,80.407
1990,52,77.497
1990,53,74.874
1990,54,72.435
1990,55,69.951
1990,56,67.472
1990,57,64.944
1990,58,62.317
1990,59,59.630
1990,60,56.966
1990,61,54.313
1990,62,51.645
1990,63,48.962
1990,64,46.267
1990,65,43.586
1990,66,40.926
1990,67,38.255
1990,68,35.559
1990,69,32.867
1990,70,30.224
1990,71,27.640
1990,72,25.102
1990,73,22.616
1990,74,20.205
1990,75,17.882
1990,76,15.654
1990,77,13.569
1990,78,11.651
1990,79,9.896
1990,80,8.253
1990,81,6.718
1990,82,5.398
1990,83,4.331
1990,84,3.473
1990,85,2.719
1990,86,2.072
1990,87,1.546
1990,88,1.129
1990,89,0.807
1990,90,0.570
1990,91,0.413
1990,92,0.290
1990,93,0.184
1990,94,0.092
1990,95,0.053
1990,96,0.044
1990,97,0.036
1990,98,0.022
1990,99,0.004
1990,100,0.010
1991,0,528.814
1991,1,505.618
1991,2,486.914
1991,3,470.430
1991,4,455.853
1991,5,442.872
1991,6,431.278
1991,7,420.863
1991,8,410.802
1991,9,400.585
1991,10,390.201
1991,11,380.325
1991,12,371.007
1991,13,360.101
1991,14,346.659
1991,15,331.575
1991,16,316.802
1991,17,302.084
1991,18,287.446
1991,19,273.146
1991,20,259.197
1991,21,245.402
1991,22,231.842
1991,23,219.049
1991,24,207.278
1991,25,196.424
1991,26,186.028
1991,27,176.089
1991,28,167.308
1991,29,159.965
1991,30,153.734
1991,31,147.983
1991,32,142.794
1991,33,137.993
1991,34,133.422
1991,35,129.118
1991,36,125.247
1991,37,121.728
1991,38,118.477
1991,39,115.451
1991,40,112.610
1991,41,109.938
1991,42,107.418
1991,43,104.898
1991,44,102.304
1991,45,99.652
1991,46,97.076
1991,47,94.581
1991,48,91.896
1991,49,88.911
1991,50,85.741
1991,51,82.608
1991,52,79.445
1991,53,76.445
1991,54,73.712
1991,55,71.154
1991,56,68.563
1991,57,65.985
1991,58,63.356
1991,59,60.627
1991,60,57.837
1991,61,55.079
1991,62,52.339
1991,63,49.593
1991,64,46.843
1991,65,44.090
1991,66,41.363
1991,67,38.666
1991,68,35.979
1991,69,33.293
1991,70,30.631
1991,71,28.031
1991,72,25.498
1991,73,23.032
1991,74,20.636
1991,75,18.332
1991,76,16.123
1991,77,14.015
1991,78,12.062
1991,79,10.290
1991,80,8.688
1991,81,7.199
1991,82,5.818
1991,83,4.639
1991,84,3.694
1991,85,2.942
1991,86,2.289
1991,87,1.740
1991,88,1.296
1991,89,0.939
1991,90,0.662
1991,91,0.465
1991,92,0.339
1991,93,0.239
1991,94,0.152
1991,95,0.074
1991,96,0.046
1991,97,0.037
1991,98,0.023
1991,99,0.005
1991,100,0.011
1992,0,554.375
1992,1,526.951
1992,2,500.017
1992,3,481.255
1992,4,464.899
1992,5,450.587
1992,6,437.953
1992,7,426.841
1992,8,417.090
1992,9,407.318
1992,10,396.755
1992,11,385.649
1992,12,375.183
1992,13,365.313
1992,14,354.072
1992,15,340.651
1992,16,325.863
1992,17,311.380
1992,18,296.956
1992,19,282.892
1992,20,269.540
1992,21,256.782
1992,22,244.171
1992,23,231.819
1992,24,220.148
1992,25,209.332
1992,26,199.288
1992,27,189.691
1992,28,180.541
1992,29,172.280
1992,30,165.074
1992,31,158.716
1992,32,152.795
1992,33,147.349
1992,34,142.301
1992,35,137.560
1992,36,133.122
1992,37,129.048
1992,38,125.288
1992,39,121.751
1992,40,118.378
1992,41,115.155
1992,42,112.102
1992,43,109.189
1992,44,106.319
1992,45,103.443
1992,46,100.556
1992,47,97.748
1992,48,95.023
1992,49,92.141
1992,50,88.993
1992,51,85.691
1992,52,82.433
1992,53,79.161
1992,54,76.044
1992,55,73.181
1992,56,70.483
1992,57,67.763
1992,58,65.066
1992,59,62.316
1992,60,59.461
1992,61,56.547
1992,62,53.671
1992,63,50.824
1992,64,47.977
1992,65,45.136
1992,66,42.304
1992,67,39.506
1992,68,36.753
1992,69,34.026
1992,70,31.327
1992,71,28.673
1992,72,26.092
1992,73,23.591
1992,74,21.173
1992,75,18.848
1992,76,16.629
1992,77,14.516
1992,78,12.509
1992,79,10.670
1992,80,9.028
1992,81,7.564
1992,82,6.214
1992,83,4.975
1992,84,3.926
1992,85,3.094
1992,86,2.440
1992,87,1.883
1992,88,1.425
1992,89,1.058
1992,90,0.759
1992,91,0.525
1992,92,0.365
1992,93,0.268
1992,94,0.190
1992,95,0.121
1992,96,0.058
1992,97,0.039
1992,98,0.025
1992,99,0.005
1992,100,0.011
1993,0,587.054
1993,1,553.624
1993,2,524.805
1993,3,496.542
1993,4,477.641
1993,5,461.345
1993,6,447.236
1993,7,434.897
1993,8,424.220
1993,9,415.095
1993,10,405.570
1993,11,394.616
1993,12,382.735
1993,13,371.634
1993,14,361.167
1993,15,349.540
1993,16,336.085
1993,17,321.528
1993,18,307.276
1993,19,293.085
1993,20,279.536
1993,21,267.078
1993,22,255.460
1993,23,243.985
1993,24,232.791
1993,25,222.197
1993,26,212.293
1993,27,203.018
1993,28,194.182
1993,29,185.787
1993,30,178.010
1993,31,170.912
1993,32,164.397
1993,33,158.281
1993,34,152.554
1993,35,147.237
1993,36,142.304
1993,37,137.713
1993,38,133.417
1993,39,129.401
1993,40,125.559
1993,41,121.824
1993,42,118.206
1993,43,114.754
1993,44,111.436
1993,45,108.202
1993,46,105.030
1993,47,101.897
1993,48,98.842
1993,49,95.875
1993,50,92.781
1993,51,89.459
1993,52,86.008
1993,53,82.612
1993,54,79.215
1993,55,75.969
1993,56,72.962
1993,57,70.112
1993,58,67.252
1993,59,64.423
1993,60,61.539
1993,61,58.547
1993,62,55.494
1993,63,52.490
1993,64,49.520
1993,65,46.561
1993,66,43.616
1993,67,40.693
1993,68,37.814
1993,69,34.988
1993,70,32.213
1993,71,29.488
1993,72,26.831
1993,73,24.258
1993,74,21.777
1993,75,19.399
1993,76,17.133
1993,77,14.993
1993,78,12.964
1993,79,11.051
1993,80,9.319
1993,81,7.799
1993,82,6.469
1993,83,5.252
1993,84,4.150
1993,85,3.228
1993,86,2.505
1993,87,1.946
1993,88,1.483
1993,89,1.116
1993,90,0.824
1993,91,0.582
1993,92,0.388
1993,93,0.267
1993,94,0.197
1993,95,0.143
1993,96,0.090
1993,97,0.041
1993,98,0.025
1993,99,0.006
1993,100,0.012
1994,0,619.622
1994,1,580.967
1994,2,547.633
1994,3,519.098
1994,4,492.953
1994,5,473.915
1994,6,457.682
1994,7,443.780
1994,8,431.741
1994,9,421.504
1994,10,413.011
1994,11,403.737
1994,12,392.391
1994,13,379.731
1994,14,367.991
1994,15,356.925
1994,16,344.911
1994,17,331.425
1994,18,317.102
1994,19,303.085
1994,20,289.131
1994,21,276.105
1994,22,264.551
1994,23,254.082
1994,24,243.754
1994,25,233.731
1994,26,224.223
1994,27,215.240
1994,28,206.743
1994,29,198.675
1994,30,191.040
1994,31,183.754
1994,32,176.766
1994,33,170.096
1994,34,163.781
1994,35,157.774
1994,36,152.186
1994,37,147.061
1994,38,142.315
1994,39,137.798
1994,40,133.523
1994,41,129.375
1994,42,125.278
1994,43,121.258
1994,44,117.408
1994,45,113.681
1994,46,110.082
1994,47,106.610
1994,48,103.231
1994,49,99.927
1994,50,96.717
1994,51,93.411
1994,52,89.912
1994,53,86.313
1994,54,82.777
1994,55,79.256
1994,56,75.880
1994,57,72.729
1994,58,69.726
1994,59,66.724
1994,60,63.763
1994,61,60.746
1994,62,57.615
1994,63,54.424
1994,64,51.289
1994,65,48.198
1994,66,45.126
1994,67,42.077
1994,68,39.061
1994,69,36.101
1994,70,33.205
1994,71,30.379
1994,72,27.629
1994,73,24.969
1994,74,22.406
1994,75,19.946
1994,76,17.606
1994,77,15.403
1994,78,13.340
1994,79,11.399
1994,80,9.578
1994,81,7.956
1994,82,6.560
1994,83,5.363
1994,84,4.282
1994,85,3.318
1994,86,2.523
1994,87,1.911
1994,88,1.449
1994,89,1.079
1994,90,0.804
1994,91,0.588
1994,92,0.403
1994,93,0.251
1994,94,0.167
1994,95,0.126
1994,96,0.095
1994,97,0.060
1994,98,0.024
1994,99,0.006
1994,100,0.012
1995,0,646.821
1995,1,604.880
1995,2,568.550
1995,3,537.305
1995,4,510.624
1995,5,487.986
1995,6,468.864
1995,7,452.737
1995,8,439.083
1995,9,427.378
1995,10,417.612
1995,11,409.778
1995,12,400.782
1995,13,389.071
1995,14,375.666
1995,15,363.315
1995,16,351.677
1995,17,339.308
1995,18,325.826
1995,19,311.780
1995,20,298.037
1995,21,284.361
1995,22,271.895
1995,23,261.280
1995,24,251.997
1995,25,242.851
1995,26,234.029
1995,27,225.641
1995,28,217.609
1995,29,209.915
1995,30,202.642
1995,31,195.793
1995,32,189.020
1995,33,182.162
1995,34,175.353
1995,35,168.858
1995,36,162.585
1995,37,156.739
1995,38,151.437
1995,39,146.548
1995,40,141.820
1995,41,137.297
1995,42,132.854
1995,43,128.402
1995,44,123.992
1995,45,119.751
1995,46,115.624
1995,47,111.666
1995,48,107.905
1995,49,104.287
1995,50,100.741
1995,51,97.297
1995,52,93.786
1995,53,90.120
1995,54,86.381
1995,55,82.715
1995,56,79.078
1995,57,75.582
1995,58,72.293
1995,59,69.146
1995,60,66.010
1995,61,62.925
1995,62,59.780
1995,63,56.520
1995,64,53.198
1995,65,49.941
1995,66,46.736
1995,67,43.559
1995,68,40.414
1995,69,37.314
1995,70,34.280
1995,71,31.321
1995,72,28.452
1995,73,25.685
1995,74,23.030
1995,75,20.482
1995,76,18.050
1995,77,15.757
1995,78,13.621
1995,79,11.642
1995,80,9.794
1995,81,8.073
1995,82,6.563
1995,83,5.297
1995,84,4.237
1995,85,3.295
1995,86,2.473
1995,87,1.808
1995,88,1.308
1995,89,0.945
1995,90,0.671
1995,91,0.488
1995,92,0.349
1995,93,0.222
1995,94,0.112
1995,95,0.067
1995,96,0.055
1995,97,0.046
1995,98,0.029
1995,99,0.007
1995,100,0.013
1996,0,669.351
1996,1,633.981
1996,2,595.427
1996,3,561.753
1996,4,532.521
1996,5,507.296
1996,6,485.590
1996,7,466.908
1996,8,451.085
1996,9,437.787
1996,10,426.421
1996,11,416.719
1996,12,408.739
1996,13,399.588
1996,14,387.794
1996,15,374.339
1996,16,361.860
1996,17,350.041
1996,18,337.512
1996,19,323.918
1996,20,309.794
1996,21,295.963
1996,22,282.198
1996,23,269.665
1996,24,259.014
1996,25,249.719
1996,26,240.569
1996,27,231.752
1996,28,223.380
1996,29,215.374
1996,30,207.716
1996,31,200.485
1996,32,193.685
1996,33,186.969
1996,34,180.172
1996,35,173.429
1996,36,167.002
1996,37,160.798
1996,38,155.019
1996,39,149.781
1996,40,144.952
1996,41,140.281
1996,42,135.814
1996,43,131.418
1996,44,127.002
1996,45,122.617
1996,46,118.398
1996,47,114.287
1996,48,110.339
1996,49,106.580
1996,50,102.959
1996,51,99.403
1996,52,95.944
1996,53,92.413
1996,54,88.719
1996,55,84.945
1996,56,81.243
1996,57,77.567
1996,58,74.025
1996,59,70.685
1996,60,67.480
1996,61,64.290
1996,62,61.150
1996,63,57.955
1996,64,54.648
1996,65,51.284
1996,66,47.991
1996,67,44.756
1996,68,41.559
1996,69,38.409
1996,70,35.315
1996,71,32.295
1996,72,29.361
1996,73,26.532
1996,74,23.826
1996,75,21.249
1996,76,18.785
1996,77,16.444
1996,78,14.257
1996,79,12.246
1996,80,10.403
1996,81,8.693
1996,82,7.112
1996,83,5.737
1996,84,4.595
1996,85,3.651
1996,86,2.823
1996,87,2.110
1996,88,1.537
1996,89,1.104
1996,90,0.786
1996,91,0.556
1996,92,0.405
1996,93,0.292
1996,94,0.185
1996,95,0.092
1996,96,0.059
1996,97,0.049
1996,98,0.029
1996,99,0.008
1996,100,0.014
1997,0,686.776
1997,1,644.752
1997,2,619.990
1997,3,584.896
1997,4,553.942
1997,5,526.778
1997,6,503.057
1997,7,482.321
1997,8,464.115
1997,9,448.623
1997,10,435.707
1997,11,424.699
1997,12,415.080
1997,13,406.967
1997,14,397.678
1997,15,385.821
1997,16,372.340
1997,17,359.756
1997,18,347.777
1997,19,335.109
1997,20,321.429
1997,21,307.251
1997,22,293.358
1997,23,279.527
1997,24,266.949
1997,25,256.282
1997,26,246.992
1997,27,237.853
1997,28,229.057
1997,29,220.717
1997,30,212.751
1997,31,205.141
1997,32,197.966
1997,33,191.229
1997,34,184.580
1997,35,177.858
1997,36,171.192
1997,37,164.844
1997,38,158.721
1997,39,153.019
1997,40,147.855
1997,41,143.095
1997,42,138.489
1997,43,134.087
1997,44,129.745
1997,45,125.372
1997,46,121.021
1997,47,116.831
1997,48,112.745
1997,49,108.812
1997,50,105.063
1997,51,101.444
1997,52,97.885
1997,53,94.420
1997,54,90.871
1997,55,87.158
1997,56,83.356
1997,57,79.623
1997,58,75.915
1997,59,72.334
1997,60,68.947
1997,61,65.693
1997,62,62.451
1997,63,59.264
1997,64,56.024
1997,65,52.676
1997,66,49.275
1997,67,45.953
1997,68,42.693
1997,69,39.483
1997,70,36.331
1997,71,33.250
1997,72,30.252
1997,73,27.345
1997,74,24.561
1997,75,21.922
1997,76,19.428
1997,77,17.053
1997,78,14.806
1997,79,12.729
1997,80,10.847
1997,81,9.145
1997,82,7.575
1997,83,6.137
1997,84,4.898
1997,85,3.884
1997,86,3.059
1997,87,2.344
1997,88,1.744
1997,89,1.263
1997,90,0.897
1997,91,0.625
1997,92,0.440
1997,93,0.322
1997,94,0.234
1997,95,0.148
1997,96,0.071
1997,97,0.053
1997,98,0.031
1997,99,0.008
1997,100,0.014
1998,0,701.210
1998,1,661.410
1998,2,625.511
1998,3,605.524
1998,4,573.915
1998,5,545.703
1998,6,520.625
1998,7,498.423
1998,8,478.674
1998,9,460.958
1998,10,445.808
1998,11,433.284
1998,12,422.643
1998,13,413.114
1998,14,404.875
1998,15,395.455
1998,16,383.544
1998,17,370.050
1998,18,357.369
1998,19,345.240
1998,20,332.444
1998,21,318.687
1998,22,304.468
1998,23,290.523
1998,24,276.638
1998,25,264.025
1998,26,253.350
1998,27,244.072
1998,28,234.952
1998,29,226.185
1998,30,217.882
1998,31,209.962
1998,32,202.408
1998,33,195.294
1998,34,188.623
1998,35,182.048
1998,36,175.405
1998,37,168.823
1998,38,162.558
1998,39,156.521
1998,40,150.901
1998,41,145.814
1998,42,141.125
1998,43,136.591
1998,44,132.255
1998,45,127.971
1998,46,123.645
1998,47,119.332
1998,48,115.173
1998,49,111.114
1998,50,107.202
1998,51,103.465
1998,52,99.851
1998,53,96.291
1998,54,92.821
1998,55,89.261
1998,56,85.528
1998,57,81.704
1998,58,77.942
1998,59,74.204
1998,60,70.589
1998,61,67.157
1998,62,63.854
1998,63,60.566
1998,64,57.334
1998,65,54.050
1998,66,50.664
1998,67,47.231
1998,68,43.880
1998,69,40.599
1998,70,37.379
1998,71,34.227
1998,72,31.162
1998,73,28.185
1998,74,25.310
1998,75,22.574
1998,76,20.004
1998,77,17.592
1998,78,15.310
1998,79,13.158
1998,80,11.194
1998,81,9.441
1998,82,7.880
1998,83,6.453
1998,84,5.158
1998,85,4.057
1998,86,3.172
1998,87,2.463
1998,88,1.866
1998,89,1.376
1998,90,0.988
1998,91,0.689
1998,92,0.466
1998,93,0.322
1998,94,0.240
1998,95,0.175
1998,96,0.111
1998,97,0.050
1998,98,0.033
1998,99,0.008
1998,100,0.016
1999,0,715.896
1999,1,678.492
1999,2,644.117
1999,3,612.613
1999,4,591.300
1999,5,563.156
1999,6,537.670
1999,7,514.667
1999,8,493.975
1999,9,475.204
1999,10,457.970
1999,11,443.156
1999,12,431.019
1999,13,420.741
1999,14,411.298
1999,15,402.931
1999,16,393.376
1999,17,381.408
1999,18,367.894
1999,19,355.114
1999,20,342.829
1999,21,329.902
1999,22,316.064
1999,23,301.797
1999,24,287.796
1999,25,273.852
1999,26,261.200
1999,27,250.514
1999,28,241.244
1999,29,232.139
1999,30,223.397
1999,31,215.129
1999,32,207.254
1999,33,199.750
1999,34,192.696
1999,35,186.090
1999,36,179.585
1999,37,173.018
1999,38,166.517
1999,39,160.335
1999,40,154.379
1999,41,148.840
1999,42,143.828
1999,43,139.211
1999,44,134.743
1999,45,130.473
1999,46,126.246
1999,47,121.965
1999,48,117.688
1999,49,113.559
1999,50,109.526
1999,51,105.632
1999,52,101.906
1999,53,98.296
1999,54,94.735
1999,55,91.258
1999,56,87.684
1999,57,83.933
1999,58,80.082
1999,59,76.292
1999,60,72.523
1999,61,68.871
1999,62,65.394
1999,63,62.042
1999,64,58.705
1999,65,55.427
1999,66,52.099
1999,67,48.674
1999,68,45.207
1999,69,41.826
1999,70,38.523
1999,71,35.291
1999,72,32.140
1999,73,29.087
1999,74,26.133
1999,75,23.288
1999,76,20.598
1999,77,18.094
1999,78,15.768
1999,79,13.574
1999,80,11.519
1999,81,9.664
1999,82,8.041
1999,83,6.620
1999,84,5.335
1999,85,4.183
1999,86,3.219
1999,87,2.461
1999,88,1.871
1999,89,1.387
1999,90,1.010
1999,91,0.714
1999,92,0.483
1999,93,0.305
1999,94,0.206
1999,95,0.156
1999,96,0.118
1999,97,0.074
1999,98,0.029
1999,99,0.009
1999,100,0.017
2000,0,733.085
2000,1,697.465
2000,2,664.201
2000,3,633.209
2000,4,604.398
2000,5,577.682
2000,6,552.976
2000,7,530.189
2000,8,509.237
2000,9,490.032
2000,10,472.220
2000,11,455.450
2000,12,440.959
2000,13,429.194
2000,14,419.269
2000,15,409.903
2000,16,401.398
2000,17,391.700
2000,18,379.662
2000,19,366.114
2000,20,353.222
2000,21,340.770
2000,22,327.697
2000,23,313.764
2000,24,299.436
2000,25,285.364
2000,26,271.346
2000,27,258.643
2000,28,247.933
2000,29,238.663
2000,30,229.565
2000,31,220.838
2000,32,212.597
2000,33,204.757
2000,34,197.298
2000,35,190.295
2000,36,183.747
2000,37,177.306
2000,38,170.810
2000,39,164.382
2000,40,158.275
2000,41,152.397
2000,42,146.931
2000,43,141.990
2000,44,137.438
2000,45,133.034
2000,46,128.825
2000,47,124.650
2000,48,120.410
