year,age,population
1990,0,1003.635
1990,1,1039.772
1990,2,1067.040
1990,3,1086.163
1990,4,1097.874
1990,5,1102.895
1990,6,1101.960
1990,7,1095.791
1990,8,1085.120
1990,9,1070.674
1990,10,1052.634
1990,11,1031.183
1990,12,1009.777
1990,13,990.235
1990,14,971.648
1990,15,951.154
1990,16,929.172
1990,17,907.996
1990,18,888.443
1990,19,869.749
1990,20,850.670
1990,21,831.855
1990,22,811.170
1990,23,787.558
1990,24,762.272
1990,25,737.441
1990,26,712.413
1990,27,689.652
1990,28,670.532
1990,29,653.823
1990,30,636.309
1990,31,617.895
1990,32,601.044
1990,33,586.424
1990,34,572.559
1990,35,558.746
1990,36,546.835
1990,37,526.437
1990,38,492.851
1990,39,451.586
1990,40,412.243
1990,41,372.181
1990,42,340.907
1990,43,323.898
1990,44,316.500
1990,45,308.404
1990,46,301.440
1990,47,294.987
1990,48,287.624
1990,49,279.981
1990,50,274.013
1990,51,269.214
1990,52,264.504
1990,53,259.498
1990,54,254.295
1990,55,249.247
1990,56,244.120
1990,57,238.925
1990,58,233.642
1990,59,228.062
1990,60,222.272
1990,61,216.601
1990,62,208.859
1990,63,198.075
1990,64,185.375
1990,65,172.737
1990,66,159.631
1990,67,147.914
1990,68,138.669
1990,69,130.986
1990,70,123.008
1990,71,115.266
1990,72,106.819
1990,73,97.060
1990,74,86.616
1990,75,76.704
1990,76,67.065
1990,77,58.310
1990,78,50.860
1990,79,44.416
1990,80,38.239
1990,81,32.456
1990,82,27.227
1990,83,22.550
1990,84,18.399
1990,85,14.704
1990,86,11.431
1990,87,8.697
1990,88,6.537
1990,89,4.859
1990,90,3.496
1990,91,2.439
1990,92,1.634
1990,93,1.019
1990,94,0.580
1990,95,0.361
1990,96,0.288
1990,97,0.230
1990,98,0.141
1990,99,0.036
1990,100,0.071
1991,0,993.343
1991,1,1004.814
1991,2,1036.013
1991,3,1060.589
1991,4,1078.848
1991,5,1091.108
1991,6,1098.138
1991,7,1100.720
1991,8,1096.842
1991,9,1085.896
1991,10,1069.580
1991,11,1050.421
1991,12,1028.166
1991,13,1005.945
1991,14,985.662
1991,15,966.397
1991,16,945.188
1991,17,922.453
1991,18,900.751
1991,19,881.011
1991,20,862.372
1991,21,843.359
1991,22,824.653
1991,23,804.141
1991,24,780.749
1991,25,755.721
1991,26,731.190
1991,27,706.503
1991,28,684.050
1991,29,665.168
1991,30,648.651
1991,31,631.344
1991,32,613.146
1991,33,596.478
1991,34,581.999
1991,35,568.245
1991,36,554.535
1991,37,542.705
1991,38,522.422
1991,39,489.008
1991,40,447.945
1991,41,408.782
1991,42,368.888
1991,43,337.734
1991,44,320.770
1991,45,313.362
1991,46,305.244
1991,47,298.242
1991,48,291.732
1991,49,284.299
1991,50,276.571
1991,51,270.495
1991,52,265.572
1991,53,260.715
1991,54,255.538
1991,55,250.145
1991,56,244.901
1991,57,239.579
1991,58,234.158
1991,59,228.608
1991,60,222.741
1991,61,216.670
1991,62,210.714
1991,63,202.748
1991,64,191.832
1991,65,179.064
1991,66,166.371
1991,67,153.245
1991,68,141.474
1991,69,132.106
1991,70,124.271
1991,71,116.186
1991,72,108.357
1991,73,99.931
1991,74,90.347
1991,75,80.190
1991,76,70.578
1991,77,61.266
1991,78,52.873
1991,79,45.808
1991,80,39.772
1991,81,34.019
1991,82,28.670
1991,83,23.878
1991,84,19.636
1991,85,15.911
1991,86,12.633
1991,87,9.767
1991,88,7.390
1991,89,5.510
1991,90,4.055
1991,91,2.898
1991,92,2.028
1991,93,1.364
1991,94,0.848
1991,95,0.473
1991,96,0.303
1991,97,0.241
1991,98,0.145
1991,99,0.037
1991,100,0.075
1992,0,993.398
1992,1,1014.821
1992,2,1004.457
1992,3,1030.665
1992,4,1052.507
1992,5,1069.875
1992,6,1082.665
1992,7,1091.697
1992,8,1097.793
1992,9,1096.215
1992,10,1085.011
1992,11,1066.848
1992,12,1046.598
1992,13,1023.573
1992,14,1000.570
1992,15,979.575
1992,16,959.663
1992,17,937.769
1992,18,914.316
1992,19,892.120
1992,20,872.224
1992,21,853.667
1992,22,834.750
1992,23,816.182
1992,24,795.874
1992,25,772.739
1992,26,748.007
1992,27,723.815
1992,28,699.505
1992,29,677.396
1992,30,658.781
1992,31,642.481
1992,32,625.408
1992,33,607.453
1992,34,590.996
1992,35,576.678
1992,36,563.057
1992,37,549.471
1992,38,537.741
1992,39,517.602
1992,40,484.413
1992,41,443.616
1992,42,404.691
1992,43,365.029
1992,44,334.041
1992,45,317.147
1992,46,309.740
1992,47,301.615
1992,48,294.585
