year,age,population
1990,0,50.610
1990,1,48.437
1990,2,46.534
1990,3,44.880
1990,4,43.443
1990,5,42.197
1990,6,41.112
1990,7,40.164
1990,8,39.324
1990,9,38.562
1990,10,37.883
1990,11,37.284
1990,12,36.597
1990,13,35.739
1990,14,34.762
1990,15,33.826
1990,16,32.908
1990,17,31.935
1990,18,30.888
1990,19,29.799
1990,20,28.704
1990,21,27.591
1990,22,26.543
1990,23,25.603
1990,24,24.735
1990,25,23.860
1990,26,23.012
1990,27,22.108
1990,28,21.117
1990,29,20.075
1990,30,19.070
1990,31,18.080
1990,32,17.163
1990,33,16.357
1990,34,15.630
1990,35,14.922
1990,36,14.245
1990,37,13.596
1990,38,12.969
1990,39,12.371
1990,40,11.806
1990,41,11.267
1990,42,10.780
1990,43,10.350
1990,44,9.969
1990,45,9.608
1990,46,9.280
1990,47,8.941
1990,48,8.569
1990,49,8.187
1990,50,7.830
1990,51,7.488
1990,52,7.188
1990,53,6.950
1990,54,6.752
1990,55,6.557
1990,56,6.367
1990,57,6.197
1990,58,6.047
1990,59,5.908
1990,60,5.772
1990,61,5.646
1990,62,5.468
1990,63,5.211
1990,64,4.903
1990,65,4.601
1990,66,4.292
1990,67,4.001
1990,68,3.743
1990,69,3.508
1990,70,3.267
1990,71,3.030
1990,72,2.789
1990,73,2.546
1990,74,2.301
1990,75,2.065
1990,76,1.841
1990,77,1.625
1990,78,1.426
1990,79,1.239
1990,80,1.062
1990,81,0.896
1990,82,0.748
1990,83,0.621
1990,84,0.513
1990,85,0.415
1990,86,0.330
1990,87,0.257
1990,88,0.196
1990,89,0.147
1990,90,0.105
1990,91,0.074
1990,92,0.050
1990,93,0.031
1990,94,0.018
1990,95,0.011
1990,96,0.008
1990,97,0.008
1990,98,0.004
1990,99,0.001
1990,100,0.002
1991,0,52.131
1991,1,50.383
1991,2,48.371
1991,3,46.574
1991,4,44.983
1991,5,43.571
1991,6,42.316
1991,7,41.186
1991,8,40.206
1991,9,39.374
1991,10,38.640
1991,11,37.973
1991,12,37.375
1991,13,36.691
1991,14,35.844
1991,15,34.880
1991,16,33.955
1991,17,33.048
1991,18,32.083
1991,19,31.040
1991,20,29.953
1991,21,28.860
1991,22,27.746
1991,23,26.697
1991,24,25.749
1991,25,24.872
1991,26,23.987
1991,27,23.128
1991,28,22.213
1991,29,21.211
1991,30,20.160
1991,31,19.144
1991,32,18.144
1991,33,17.217
1991,34,16.401
1991,35,15.668
1991,36,14.951
1991,37,14.266
1991,38,13.611
1991,39,12.978
1991,40,12.374
1991,41,11.804
1991,42,11.261
1991,43,10.768
1991,44,10.333
1991,45,9.946
1991,46,9.580
1991,47,9.245
1991,48,8.901
1991,49,8.525
1991,50,8.140
1991,51,7.778
1991,52,7.433
1991,53,7.128
1991,54,6.885
1991,55,6.681
1991,56,6.481
1991,57,6.284
1991,58,6.108
1991,59,5.950
1991,60,5.802
1991,61,5.658
1991,62,5.523
1991,63,5.338
1991,64,5.075
1991,65,4.762
1991,66,4.456
1991,67,4.143
1991,68,3.850
1991,69,3.587
1991,70,3.349
1991,71,3.105
1991,72,2.867
1991,73,2.625
1991,74,2.385
1991,75,2.144
1991,76,1.912
1991,77,1.693
1991,78,1.484
1991,79,1.294
1991,80,1.117
1991,81,0.951
1991,82,0.796
1991,83,0.658
1991,84,0.543
1991,85,0.445
1991,86,0.359
1991,87,0.282
1991,88,0.220
1991,89,0.166
1991,90,0.123
1991,91,0.087
1991,92,0.062
1991,93,0.041
1991,94,0.026
1991,95,0.015
1991,96,0.009
1991,97,0.007
1991,98,0.004
1991,99,0.002
1991,100,0.002
1992,0,53.280
1992,1,51.228
1992,2,50.036
1992,3,48.187
1992,4,46.502
1992,5,44.977
1992,6,43.595
1992,7,42.332
1992,8,41.161
1992,9,40.152
1992,10,39.328
1992,11,38.626
1992,12,37.971
1992,13,37.376
1992,14,36.698
1992,15,35.861
1992,16,34.915
1992,17,34.002
1992,18,33.109
1992,19,32.154
1992,20,31.118
1992,21,30.035
1992,22,28.946
1992,23,27.835
1992,24,26.786
1992,25,25.834
1992,26,24.950
1992,27,24.057
1992,28,23.188
1992,29,22.264
1992,30,21.254
1992,31,20.196
1992,32,19.173
1992,33,18.163
1992,34,17.230
1992,35,16.407
1992,36,15.667
1992,37,14.944
1992,38,14.254
1992,39,13.592
1992,40,12.956
1992,41,12.348
1992,42,11.773
1992,43,11.228
1992,44,10.730
1992,45,10.291
1992,46,9.899
1992,47,9.527
1992,48,9.189
1992,49,8.839
1992,50,8.461
1992,51,8.072
1992,52,7.708
1992,53,7.360
1992,54,7.051
1992,55,6.803
1992,56,6.594
1992,57,6.388
1992,58,6.187
1992,59,6.003
1992,60,5.838
1992,61,5.682
1992,62,5.529
1992,63,5.387
1992,64,5.195
1992,65,4.926
1992,66,4.610
1992,67,4.300
1992,68,3.984
1992,69,3.688
1992,70,3.422
1992,71,3.182
1992,72,2.935
1992,73,2.696
1992,74,2.456
1992,75,2.217
1992,76,1.981
1992,77,1.755
1992,78,1.540
1992,79,1.340
1992,80,1.157
1992,81,0.993
1992,82,0.837
1992,83,0.693
1992,84,0.567
1992,85,0.463
1992,86,0.377
1992,87,0.300
1992,88,0.235
1992,89,0.181
1992,90,0.136
1992,91,0.098
1992,92,0.069
1992,93,0.049
1992,94,0.034
1992,95,0.020
1992,96,0.012
1992,97,0.007
1992,98,0.004
1992,99,0.002
1992,100,0.002
1993,0,54.106
1993,1,52.305
1993,2,50.613
1993,3,49.620
1993,4,47.939
1993,5,46.369
1993,6,44.910
1993,7,43.560
1993,8,42.292
1993,9,41.080
1993,10,40.045
1993,11,39.229
1993,12,38.561
1993,13,37.917
1993,14,37.327
1993,15,36.655
1993,16,35.832
1993,17,34.902
1993,18,34.004
1993,19,33.124
1993,20,32.182
1993,21,31.154
1993,22,30.077
1993,23,28.993
1993,24,27.887
1993,25,26.838
1993,26,25.885
1993,27,24.994
1993,28,24.093
1993,29,23.217
1993,30,22.286
1993,31,21.269
1993,32,20.205
1993,33,19.175
1993,34,18.159
1993,35,17.220
1993,36,16.390
1993,37,15.645
1993,38,14.918
1993,39,14.221
1993,40,13.556
1993,41,12.917
1993,42,12.304
1993,43,11.728
1993,44,11.178
1993,45,10.679
1993,46,10.235
1993,47,9.839
1993,48,9.462
1993,49,9.119
1993,50,8.767
1993,51,8.385
1993,52,7.993
1993,53,7.628
1993,54,7.277
1993,55,6.965
1993,56,6.712
1993,57,6.498
1993,58,6.287
1993,59,6.080
1993,60,5.891
1993,61,5.719
1993,62,5.554
1993,63,5.394
1993,64,5.243
1993,65,5.045
1993,66,4.771
1993,67,4.452
1993,68,4.138
1993,69,3.820
1993,70,3.521
1993,71,3.253
1993,72,3.010
1993,73,2.762
1993,74,2.522
1993,75,2.283
1993,76,2.046
1993,77,1.816
1993,78,1.595
1993,79,1.386
1993,80,1.193
1993,81,1.021
1993,82,0.866
1993,83,0.722
1993,84,0.590
1993,85,0.475
1993,86,0.383
1993,87,0.308
1993,88,0.242
1993,89,0.187
1993,90,0.142
1993,91,0.105
1993,92,0.074
1993,93,0.051
1993,94,0.036
1993,95,0.025
1993,96,0.016
1993,97,0.008
1993,98,0.005
1993,99,0.000
1993,100,0.003
1994,0,54.700
1994,1,53.217
1994,2,51.747
1994,3,50.300
1994,4,49.210
1994,5,47.696
1994,6,46.239
1994,7,44.847
1994,8,43.529
1994,9,42.256
1994,10,41.003
1994,11,39.940
1994,12,39.134
1994,13,38.498
1994,14,37.868
1994,15,37.280
1994,16,36.616
1994,17,35.804
1994,18,34.893
1994,19,34.008
1994,20,33.143
1994,21,32.212
1994,22,31.193
1994,23,30.121
1994,24,29.042
1994,25,27.941
1994,26,26.894
1994,27,25.937
1994,28,25.039
1994,29,24.133
1994,30,23.248
1994,31,22.309
1994,32,21.285
1994,33,20.216
1994,34,19.179
1994,35,18.156
1994,36,17.210
1994,37,16.375
1994,38,15.625
1994,39,14.892
1994,40,14.191
1994,41,13.521
1994,42,12.878
1994,43,12.262
1994,44,11.683
1994,45,11.131
1994,46,10.627
1994,47,10.180
1994,48,9.780
1994,49,9.399
1994,50,9.050
1994,51,8.694
1994,52,8.310
1994,53,7.917
1994,54,7.548
1994,55,7.194
1994,56,6.879
1994,57,6.623
1994,58,6.402
1994,59,6.187
1994,60,5.975
1994,61,5.779
1994,62,5.600
1994,63,5.428
1994,64,5.259
1994,65,5.100
1994,66,4.896
1994,67,4.617
1994,68,4.294
1994,69,3.976
1994,70,3.657
1994,71,3.355
1994,72,3.085
1994,73,2.839
1994,74,2.590
1994,75,2.348
1994,76,2.110
1994,77,1.877
1994,78,1.651
1994,79,1.435
1994,80,1.233
1994,81,1.047
1994,82,0.884
1994,83,0.740
1994,84,0.608
1994,85,0.487
1994,86,0.384
1994,87,0.302
1994,88,0.239
1994,89,0.184
1994,90,0.139
1994,91,0.104
1994,92,0.074
1994,93,0.050
1994,94,0.033
1994,95,0.023
1994,96,0.017
1994,97,0.010
1994,98,0.005
1994,99,0.000
1994,100,0.003
1995,0,55.134
1995,1,53.990
1995,2,52.775
1995,3,51.501
1995,4,50.187
1995,5,48.848
1995,6,47.499
1995,7,46.153
1995,8,44.828
1995,9,43.539
1995,10,42.260
1995,11,40.966
1995,12,39.874
1995,13,39.077
1995,14,38.472
1995,15,37.855
1995,16,37.270
1995,17,36.611
1995,18,35.812
1995,19,34.916
1995,20,34.046
1995,21,33.193
1995,22,32.273
1995,23,31.262
1995,24,30.194
1995,25,29.119
1995,26,28.021
1995,27,26.975
1995,28,26.014
1995,29,25.109
1995,30,24.195
1995,31,23.301
1995,32,22.354
1995,33,21.322
1995,34,20.246
1995,35,19.201
1995,36,18.171
1995,37,17.218
1995,38,16.375
1995,39,15.620
1995,40,14.881
1995,41,14.173
1995,42,13.499
1995,43,12.852
1995,44,12.232
1995,45,11.649
1995,46,11.094
1995,47,10.587
1995,48,10.135
1995,49,9.730
1995,50,9.344
1995,51,8.991
1995,52,8.630
1995,53,8.243
1995,54,7.847
1995,55,7.476
1995,56,7.119
1995,57,6.800
1995,58,6.539
1995,59,6.313
1995,60,6.093
1995,61,5.876
1995,62,5.673
1995,63,5.487
1995,64,5.306
1995,65,5.129
1995,66,4.963
1995,67,4.751
1995,68,4.468
1995,69,4.140
1995,70,3.820
1995,71,3.497
1995,72,3.193
1995,73,2.919
1995,74,2.671
1995,75,2.420
1995,76,2.177
1995,77,1.940
1995,78,1.709
1995,79,1.488
1995,80,1.278
1995,81,1.080
1995,82,0.902
1995,83,0.748
1995,84,0.616
1995,85,0.494
1995,86,0.385
1995,87,0.292
1995,88,0.223
1995,89,0.170
1995,90,0.126
1995,91,0.091
1995,92,0.066
1995,93,0.044
1995,94,0.025
1995,95,0.015
1995,96,0.011
1995,97,0.008
1995,98,0.005
1995,99,0.002
1995,100,0.003
1996,0,55.432
1996,1,55.021
1996,2,53.938
1996,3,52.765
1996,4,51.520
1996,5,50.223
1996,6,48.890
1996,7,47.537
1996,8,46.189
1996,9,44.874
1996,10,43.601
1996,11,42.334
1996,12,41.045
1996,13,39.964
1996,14,39.184
1996,15,38.602
1996,16,38.006
1996,17,37.439
1996,18,36.792
1996,19,35.995
1996,20,35.091
1996,21,34.215
1996,22,33.353
1996,23,32.421
1996,24,31.392
1996,25,30.302
1996,26,29.206
1996,27,28.085
1996,28,27.016
1996,29,26.036
1996,30,25.114
1996,31,24.183
1996,32,23.272
1996,33,22.310
1996,34,21.268
1996,35,20.185
1996,36,19.134
1996,37,18.099
1996,38,17.141
1996,39,16.297
1996,40,15.542
1996,41,14.802
1996,42,14.095
1996,43,13.422
1996,44,12.771
1996,45,12.147
1996,46,11.561
1996,47,11.002
1996,48,10.493
1996,49,10.040
1996,50,9.634
1996,51,9.248
1996,52,8.895
1996,53,8.533
1996,54,8.144
1996,55,7.745
1996,56,7.372
1996,57,7.012
1996,58,6.690
1996,59,6.423
1996,60,6.192
1996,61,5.967
1996,62,5.743
1996,63,5.534
1996,64,5.340
1996,65,5.148
1996,66,4.963
1996,67,4.788
1996,68,4.569
1996,69,4.282
1996,70,3.952
1996,71,3.631
1996,72,3.308
1996,73,3.004
1996,74,2.733
1996,75,2.488
1996,76,2.241
1996,77,2.004
1996,78,1.774
1996,79,1.553
1996,80,1.343
1996,81,1.146
1996,82,0.960
1996,83,0.795
1996,84,0.654
1996,85,0.535
1996,86,0.427
1996,87,0.330
1996,88,0.250
1996,89,0.188
1996,90,0.142
1996,91,0.105
1996,92,0.076
1996,93,0.055
1996,94,0.037
1996,95,0.020
1996,96,0.012
1996,97,0.009
1996,98,0.005
1996,99,0.001
1996,100,0.003
1997,0,55.579
1997,1,55.177
1997,2,54.966
1997,3,53.942
1997,4,52.810
1997,5,51.594
1997,6,50.313
1997,7,48.983
1997,8,47.624
1997,9,46.274
1997,10,44.967
1997,11,43.710
1997,12,42.452
1997,13,41.167
1997,14,40.096
1997,15,39.334
1997,16,38.773
1997,17,38.197
1997,18,37.648
1997,19,37.012
1997,20,36.216
1997,21,35.304
1997,22,34.421
1997,23,33.549
1997,24,32.602
1997,25,31.555
1997,26,30.443
1997,27,29.324
1997,28,28.179
1997,29,27.086
1997,30,26.086
1997,31,25.145
1997,32,24.196
1997,33,23.266
1997,34,22.290
1997,35,21.237
1997,36,20.145
1997,37,19.086
1997,38,18.046
1997,39,17.082
1997,40,16.236
1997,41,15.479
1997,42,14.739
1997,43,14.032
1997,44,13.357
1997,45,12.704
1997,46,12.075
1997,47,11.485
1997,48,10.921
1997,49,10.409
1997,50,9.955
1997,51,9.548
1997,52,9.162
1997,53,8.808
1997,54,8.443
1997,55,8.053
1997,56,7.653
1997,57,7.275
1997,58,6.912
1997,59,6.586
1997,60,6.314
1997,61,6.077
1997,62,5.846
1997,63,5.616
1997,64,5.401
1997,65,5.196
1997,66,4.996
1997,67,4.802
1997,68,4.616
1997,69,4.392
1997,70,4.100
1997,71,3.767
1997,72,3.445
1997,73,3.121
1997,74,2.819
1997,75,2.548
1997,76,2.307
1997,77,2.065
1997,78,1.832
1997,79,1.609
1997,80,1.398
1997,81,1.200
1997,82,1.014
1997,83,0.840
1997,84,0.689
1997,85,0.561
1997,86,0.454
1997,87,0.359
1997,88,0.277
1997,89,0.206
1997,90,0.154
1997,91,0.114
1997,92,0.084
1997,93,0.061
1997,94,0.044
1997,95,0.029
1997,96,0.016
1997,97,0.010
1997,98,0.006
1997,99,0.001
1997,100,0.003
1998,0,55.560
1998,1,55.515
1998,2,55.192
1998,3,54.874
1998,4,53.909
1998,5,52.821
1998,6,51.633
1998,7,50.368
1998,8,49.045
1998,9,47.679
1998,10,46.329
1998,11,45.031
1998,12,43.789
1998,13,42.542
1998,14,41.263
1998,15,40.202
1998,16,39.458
1998,17,38.919
1998,18,38.362
1998,19,37.833
1998,20,37.209
1998,21,36.413
1998,22,35.495
1998,23,34.604
1998,24,33.723
1998,25,32.763
1998,26,31.698
1998,27,30.564
1998,28,29.423
1998,29,28.253
1998,30,27.139
1998,31,26.118
1998,32,25.160
1998,33,24.194
1998,34,23.245
1998,35,22.253
1998,36,21.191
1998,37,20.092
1998,38,19.026
1998,39,17.980
1998,40,17.012
1998,41,16.164
1998,42,15.405
1998,43,14.665
1998,44,13.960
1998,45,13.284
1998,46,12.627
1998,47,11.995
1998,48,11.400
1998,49,10.833
1998,50,10.318
1998,51,9.863
1998,52,9.456
1998,53,9.069
1998,54,8.713
1998,55,8.349
1998,56,7.957
1998,57,7.553
1998,58,7.173
1998,59,6.807
1998,60,6.478
1998,61,6.200
1998,62,5.958
1998,63,5.720
1998,64,5.486
1998,65,5.262
1998,66,5.050
1998,67,4.839
1998,68,4.636
1998,69,4.442
1998,70,4.210
1998,71,3.914
1998,72,3.580
1998,73,3.256
1998,74,2.932
1998,75,2.630
1998,76,2.362
1998,77,2.123
1998,78,1.886
1998,79,1.658
1998,80,1.443
1998,81,1.241
1998,82,1.055
1998,83,0.881
1998,84,0.720
1998,85,0.581
1998,86,0.467
1998,87,0.373
1998,88,0.292
1998,89,0.221
1998,90,0.163
1998,91,0.120
1998,92,0.086
1998,93,0.062
1998,94,0.046
1998,95,0.033
1998,96,0.022
1998,97,0.011
1998,98,0.006
1998,99,0.001
1998,100,0.004
1999,0,55.376
1999,1,55.601
1999,2,55.523
1999,3,55.168
1999,4,54.638
1999,5,53.736
1999,6,52.693
1999,7,51.536
1999,8,50.292
1999,9,48.978
1999,10,47.610
1999,11,46.260
1999,12,44.977
1999,13,43.754
1999,14,42.521
1999,15,41.250
1999,16,40.202
1999,17,39.478
1999,18,38.963
1999,19,38.428
1999,20,37.918
1999,21,37.309
1999,22,36.515
1999,23,35.592
1999,24,34.696
1999,25,33.809
1999,26,32.839
1999,27,31.758
1999,28,30.605
1999,29,29.443
1999,30,28.255
1999,31,27.120
1999,32,26.082
1999,33,25.108
1999,34,24.127
1999,35,23.163
1999,36,22.160
1999,37,21.090
1999,38,19.985
1999,39,18.916
1999,40,17.866
1999,41,16.898
1999,42,16.049
1999,43,15.291
1999,44,14.553
1999,45,13.851
1999,46,13.175
1999,47,12.518
1999,48,11.883
1999,49,11.286
1999,50,10.716
1999,51,10.200
1999,52,9.744
1999,53,9.339
1999,54,8.952
1999,55,8.597
1999,56,8.232
1999,57,7.839
1999,58,7.434
1999,59,7.053
1999,60,6.683
1999,61,6.352
1999,62,6.071
1999,63,5.822
1999,64,5.580
1999,65,5.340
1999,66,5.110
1999,67,4.890
1999,68,4.671
1999,69,4.457
1999,70,4.256
1999,71,4.017
1999,72,3.719
1999,73,3.382
1999,74,3.059
1999,75,2.734
1999,76,2.434
1999,77,2.169
1999,78,1.934
1999,79,1.702
1999,80,1.480
1999,81,1.273
1999,82,1.081
1999,83,0.906
1999,84,0.747
1999,85,0.597
1999,86,0.472
1999,87,0.371
1999,88,0.291
1999,89,0.223
1999,90,0.166
1999,91,0.119
1999,92,0.085
1999,93,0.058
1999,94,0.040
1999,95,0.031
1999,96,0.023
1999,97,0.014
1999,98,0.006
1999,99,0.001
1999,100,0.004
2000,0,55.059
2000,1,55.430
2000,2,55.500
2000,3,55.302
2000,4,54.861
2000,5,54.206
2000,6,53.369
2000,7,52.375
2000,8,51.255
2000,9,50.035
2000,10,48.734
2000,11,47.369
2000,12,46.027
2000,13,44.760
2000,14,43.562
2000,15,42.346
2000,16,41.089
2000,17,40.057
2000,18,39.356
2000,19,38.866
2000,20,38.355
2000,21,37.866
2000,22,37.273
2000,23,36.485
2000,24,35.561
2000,25,34.663
2000,26,33.772
2000,27,32.795
2000,28,31.703
2000,29,30.535
2000,30,29.359
2000,31,28.154
2000,32,27.003
2000,33,25.952
2000,34,24.967
2000,35,23.974
2000,36,22.998
2000,37,21.986
2000,38,20.913
2000,39,19.807
2000,40,18.738
2000,41,17.690
2000,42,16.722
2000,43,15.877
2000,44,15.123
2000,45,14.389
2000,46,13.692
2000,47,13.020
2000,48,12.364
2000,49,11.729
2000,50,11.131
2000,51,10.561
2000,52,10.046
2000,53,9.592
2000,54,9.188
2000,55,8.804
2000,56,8.450
2000,57,8.086
2000,58,7.694
2000,59,7.289
2000,60,6.907
2000,61,6.537
2000,62,6.204
2000,63,5.919
2000,64,5.667
2000,65,5.420
2000,66,5.176
2000,67,4.941
2000,68,4.713
2000,69,4.485
2000,70,4.265
2000,71,4.055
2000,72,3.811
2000,73,3.510
2000,74,3.174
2000,75,2.851
2000,76,2.528
2000,77,2.231
2000,78,1.969
2000,79,1.739
2000,80,1.513
2000,81,1.297
2000,82,1.099
2000,83,0.918
2000,84,0.756
2000,85,0.609
2000,86,0.473
2000,87,0.362
2000,88,0.275
2000,89,0.208
2000,90,0.154
2000,91,0.110
2000,92,0.076
2000,93,0.050
2000,94,0.029
2000,95,0.019
2000,96,0.015
2000,97,0.012
2000,98,0.007
2000,99,0.001
2000,100,0.004
2001,0,55.315
2001,1,55.184
2001,2,55.438
2001,3,55.447
2001,4,55.234
2001,5,54.814
2001,6,54.216
2001,7,53.472
2001,8,52.538
2001,9,51.411
2001,10,50.140
2001,11,48.805
2001,12,47.413
2001,13,46.033
2001,14,44.723
2001,15,43.474
2001,16,42.205
2001,17,40.893
2001,18,39.805
2001,19,39.050
2001,20,38.505
2001,21,37.941
2001,22,37.400
2001,23,36.761
2001,24,35.938
2001,25,34.986
2001,26,34.063
2001,27,33.150
2001,28,32.158
2001,29,31.061
2001,30,29.894
2001,31,28.722
2001,32,27.527
2001,33,26.388
2001,34,25.351
2001,35,24.383
2001,36,23.408
2001,37,22.453
2001,38,21.467
2001,39,20.422
2001,40,19.349
2001,41,18.313
2001,42,17.298
2001,43,16.360
2001,44,15.534
2001,45,14.794
2001,46,14.074
2001,47,13.391
2001,48,12.733
2001,49,12.095
2001,50,11.478
2001,51,10.897
2001,52,10.344
2001,53,9.841
2001,54,9.396
2001,55,8.997
2001,56,8.616
2001,57,8.266
2001,58,7.903
2001,59,7.514
2001,60,7.112
2001,61,6.730
2001,62,6.361
2001,63,6.026
2001,64,5.738
2001,65,5.482
2001,66,5.231
2001,67,4.982
2001,68,4.742
2001,69,4.508
2001,70,4.273
2001,71,4.046
2001,72,3.830
2001,73,3.583
2001,74,3.285
2001,75,2.956
2001,76,2.641
2001,77,2.326
2001,78,2.038
2001,79,1.788
2001,80,1.570
2001,81,1.356
2001,82,1.153
2001,83,0.969
2001,84,0.804
2001,85,0.657
2001,86,0.527
2001,87,0.406
2001,88,0.308
2001,89,0.233
2001,90,0.174
2001,91,0.128
2001,92,0.092
2001,93,0.064
2001,94,0.041
2001,95,0.024
2001,96,0.016
2001,97,0.012
2001,98,0.007
2001,99,0.001
2001,100,0.004
2002,0,55.483
2002,1,55.717
2002,2,55.110
2002,3,55.245
2002,4,55.193
2002,5,54.966
2002,6,54.569
2002,7,54.030
2002,8,53.382
2002,9,52.511
2002,10,51.382
2002,11,50.065
2002,12,48.701
2002,13,47.284
2002,14,45.873
2002,15,44.524
2002,16,43.229
2002,17,41.910
2002,18,40.549
2002,19,39.408
2002,20,38.600
2002,21,38.004
2002,22,37.388
2002,23,36.796
2002,24,36.115
2002,25,35.259
2002,26,34.282
2002,27,33.337
2002,28,32.405
2002,29,31.402
2002,30,30.303
2002,31,29.142
2002,32,27.980
2002,33,26.797
2002,34,25.674
2002,35,24.656
2002,36,23.708
2002,37,22.755
2002,38,21.826
2002,39,20.866
2002,40,19.856
2002,41,18.819
2002,42,17.820
2002,43,16.842
2002,44,15.936
2002,45,15.134
2002,46,14.410
2002,47,13.707
2002,48,13.040
2002,49,12.399
2002,50,11.780
2002,51,11.185
2002,52,10.624
2002,53,10.088
2002,54,9.600
2002,55,9.165
2002,56,8.771
2002,57,8.397
2002,58,8.050
2002,59,7.692
2002,60,7.307
2002,61,6.907
2002,62,6.528
2002,63,6.161
2002,64,5.826
2002,65,5.535
2002,66,5.277
2002,67,5.021
2002,68,4.770
2002,69,4.526
2002,70,4.285
2002,71,4.044
2002,72,3.811
2002,73,3.590
2002,74,3.342
2002,75,3.047
2002,76,2.727
2002,77,2.419
2002,78,2.115
2002,79,1.838
2002,80,1.599
2002,81,1.394
2002,82,1.194
2002,83,1.004
2002,84,0.835
2002,85,0.686
2002,86,0.557
2002,87,0.441
2002,88,0.337
2002,89,0.254
2002,90,0.189
2002,91,0.139
2002,92,0.103
2002,93,0.072
2002,94,0.052
2002,95,0.033
2002,96,0.018
2002,97,0.013
2002,98,0.007
2002,99,0.001
2002,100,0.004
2003,0,55.668
2003,1,55.662
2003,2,55.585
2003,3,54.922
2003,4,54.937
2003,5,54.825
2003,6,54.584
2003,7,54.211
2003,8,53.732
2003,9,53.181
2003,10,52.377
2003,11,51.246
2003,12,49.886
2003,13,48.495
2003,14,47.057
2003,15,45.619
2003,16,44.232
2003,17,42.894
2003,18,41.530
2003,19,40.120
2003,20,38.931
2003,21,38.071
2003,22,37.423
2003,23,36.758
2003,24,36.118
2003,25,35.395
2003,26,34.506
2003,27,33.508
2003,28,32.542
2003,29,31.595
2003,30,30.582
2003,31,29.483
2003,32,28.331
2003,33,27.179
2003,34,26.013
2003,35,24.909
2003,36,23.910
2003,37,22.984
2003,38,22.057
2003,39,21.153
2003,40,20.224
2003,41,19.249
2003,42,18.250
2003,43,17.290
2003,44,16.353
2003,45,15.479
2003,46,14.702
2003,47,13.997
2003,48,13.313
2003,49,12.662
2003,50,12.039
2003,51,11.442
2003,52,10.870
2003,53,10.327
2003,54,9.813
2003,55,9.338
2003,56,8.915
2003,57,8.529
2003,58,8.160
2003,59,7.819
2003,60,7.464
2003,61,7.084
2003,62,6.689
2003,63,6.313
2003,64,5.948
2003,65,5.614
2003,66,5.322
2003,67,5.060
2003,68,4.802
2003,69,4.547
2003,70,4.301
2003,71,4.053
2003,72,3.807
2003,73,3.570
2003,74,3.343
2003,75,3.093
2003,76,2.804
2003,77,2.492
2003,78,2.193
2003,79,1.900
2003,80,1.633
2003,81,1.408
2003,82,1.215
2003,83,1.029
2003,84,0.854
2003,85,0.700
2003,86,0.567
2003,87,0.454
2003,88,0.355
2003,89,0.268
2003,90,0.199
2003,91,0.145
2003,92,0.105
2003,93,0.075
2003,94,0.054
2003,95,0.039
2003,96,0.025
2003,97,0.012
2003,98,0.007
2003,99,0.001
2003,100,0.005
2004,0,55.988
2004,1,55.696
2004,2,55.436
2004,3,55.196
2004,4,54.722
2004,5,54.620
2004,6,54.446
2004,7,54.193
2004,8,53.843
2004,9,53.424
2004,10,52.970
2004,11,52.231
2004,12,51.100
2004,13,49.698
2004,14,48.279
2004,15,46.823
2004,16,45.355
2004,17,43.932
2004,18,42.553
2004,19,41.141
2004,20,39.685
2004,21,38.446
2004,22,37.537
2004,23,36.837
2004,24,36.123
2004,25,35.434
2004,26,34.669
2004,27,33.750
2004,28,32.729
2004,29,31.745
2004,30,30.780
2004,31,29.759
2004,32,28.660
2004,33,27.516
2004,34,26.376
2004,35,25.226
2004,36,24.141
2004,37,23.163
2004,38,22.258
2004,39,21.356
2004,40,20.478
2004,41,19.580
2004,42,18.639
2004,43,17.681
2004,44,16.759
2004,45,15.860
2004,46,15.022
2004,47,14.269
2004,48,13.582
2004,49,12.917
2004,50,12.283
2004,51,11.678
2004,52,11.103
2004,53,10.552
2004,54,10.031
2004,55,9.536
2004,56,9.076
2004,57,8.664
2004,58,8.285
2004,59,7.923
2004,60,7.586
2004,61,7.236
2004,62,6.861
2004,63,6.469
2004,64,6.098
2004,65,5.735
2004,66,5.401
2004,67,5.108
2004,68,4.844
2004,69,4.582
2004,70,4.325
2004,71,4.075
2004,72,3.822
2004,73,3.571
2004,74,3.327
2004,75,3.096
2004,76,2.845
2004,77,2.560
2004,78,2.258
2004,79,1.968
2004,80,1.684
2004,81,1.430
2004,82,1.217
2004,83,1.036
2004,84,0.865
2004,85,0.704
2004,86,0.565
2004,87,0.448
2004,88,0.353
2004,89,0.269
2004,90,0.199
2004,91,0.143
2004,92,0.101
2004,93,0.070
2004,94,0.050
2004,95,0.035
2004,96,0.026
2004,97,0.016
2004,98,0.007
2004,99,0.001
2004,100,0.005
2005,0,56.524
2005,1,55.937
2005,2,55.476
2005,3,55.114
2005,4,54.824
2005,5,54.580
2005,6,54.358
2005,7,54.125
2005,8,53.857
