year,age,population
1990,0,652.033
1990,1,630.800
1990,2,610.782
1990,3,591.877
1990,4,573.978
1990,5,556.974
1990,6,540.762
1990,7,525.234
1990,8,510.283
1990,9,495.802
1990,10,481.855
1990,11,468.505
1990,12,454.794
1990,13,440.272
1990,14,425.344
1990,15,410.884
1990,16,396.735
1990,17,383.022
1990,18,369.890
1990,19,357.275
1990,20,344.997
1990,21,333.148
1990,22,321.649
1990,23,310.459
1990,24,299.682
1990,25,289.381
1990,26,279.434
1990,27,270.542
1990,28,263.023
1990,29,256.518
1990,30,250.056
1990,31,243.480
1990,32,237.861
1990,33,233.523
1990,34,229.761
1990,35,226.130
1990,36,223.409
1990,37,217.167
1990,38,205.373
1990,39,190.339
1990,40,176.030
1990,41,161.190
1990,42,150.329
1990,43,145.943
1990,44,145.727
1990,45,144.921
1990,46,144.525
1990,47,142.994
1990,48,139.104
1990,49,133.735
1990,50,129.052
1990,51,124.683
1990,52,120.202
1990,53,115.640
1990,54,111.056
1990,55,106.419
1990,56,101.663
1990,57,97.370
1990,58,93.811
1990,59,90.700
1990,60,87.514
1990,61,84.393
1990,62,80.932
1990,63,76.898
1990,64,72.488
1990,65,68.182
1990,66,63.924
1990,67,59.611
1990,68,55.256
1990,69,50.905
1990,70,46.604
1990,71,42.350
1990,72,38.305
1990,73,34.557
1990,74,31.061
1990,75,27.682
1990,76,24.457
1990,77,21.408
1990,78,18.537
1990,79,15.852
1990,80,13.358
1990,81,11.044
1990,82,9.003
1990,83,7.281
1990,84,5.833
1990,85,4.543
1990,86,3.412
1990,87,2.495
1990,88,1.799
1990,89,1.288
1990,90,0.898
1990,91,0.631
1990,92,0.429
1990,93,0.257
1990,94,0.121
1990,95,0.070
1990,96,0.064
1990,97,0.060
1990,98,0.037
1990,99,0.007
1990,100,0.015
1991,0,662.759
1991,1,644.739
1991,2,624.681
1991,3,605.686
1991,4,587.660
1991,5,570.510
1991,6,554.139
1991,7,538.458
1991,8,523.357
1991,9,508.732
1991,10,494.498
1991,11,480.723
1991,12,467.456
1991,13,453.885
1991,14,439.629
1991,15,425.027
1991,16,410.828
1991,17,396.915
1991,18,383.311
1991,19,370.107
1991,20,357.293
1991,21,344.814
1991,22,332.751
1991,23,321.013
1991,24,309.569
1991,25,298.534
1991,26,287.965
1991,27,277.734
1991,28,268.639
1991,29,261.041
1991,30,254.543
1991,31,248.086
1991,32,241.532
1991,33,235.934
1991,34,231.598
1991,35,227.829
1991,36,224.208
1991,37,221.499
1991,38,215.295
1991,39,203.571
1991,40,188.626
1991,41,174.403
1991,42,159.651
1991,43,148.837
1991,44,144.433
1991,45,144.154
1991,46,143.288
1991,47,142.824
1991,48,141.233
1991,49,137.299
1991,50,131.898
1991,51,127.172
1991,52,122.755
1991,53,118.225
1991,54,113.616
1991,55,108.984
1991,56,104.300
1991,57,99.498
1991,58,95.146
1991,59,91.505
1991,60,88.301
1991,61,85.027
1991,62,81.822
1991,63,78.288
1991,64,74.194
1991,65,69.741
1991,66,65.397
1991,67,61.111
1991,68,56.785
1991,69,52.436
1991,70,48.109
1991,71,43.843
1991,72,39.637
1991,73,35.658
1991,74,31.998
1991,75,28.607
1991,76,25.341
1991,77,22.239
1991,78,19.333
1991,79,16.631
1991,80,14.135
1991,81,11.829
1991,82,9.706
1991,83,7.848
1991,84,6.299
1991,85,5.013
1991,86,3.879
1991,87,2.902
1991,88,2.113
1991,89,1.511
1991,90,1.067
1991,91,0.739
1991,92,0.522
1991,93,0.358
1991,94,0.215
1991,95,0.098
1991,96,0.069
1991,97,0.062
1991,98,0.040
1991,99,0.008
1991,100,0.016
1992,0,674.204
1992,1,653.514
1992,2,638.503
1992,3,619.586
1992,4,601.581
1992,5,584.405
1992,6,567.974
1992,7,552.208
1992,8,537.034
1992,9,522.333
1992,10,508.010
1992,11,494.000
1992,12,480.375
1992,13,467.170
1992,14,453.715
1992,15,439.702
1992,16,425.401
1992,17,411.440
1992,18,397.741
1992,19,384.224
1992,20,370.925
1992,21,357.892
1992,22,345.193
1992,23,332.896
1992,24,320.901
1992,25,309.182
1992,26,297.873
1992,27,287.019
1992,28,276.488
1992,29,267.176
1992,30,259.486
1992,31,252.984
1992,32,246.522
1992,33,239.980
1992,34,234.393
1992,35,230.051
1992,36,226.272
1992,37,222.651
1992,38,219.954
1992,39,213.774
1992,40,202.103
1992,41,187.223
1992,42,173.060
1992,43,158.374
1992,44,147.590
1992,45,143.159
1992,46,142.818
1992,47,141.889
1992,48,141.359
1992,49,139.703
1992,50,135.720
1992,51,130.277
1992,52,125.502
1992,53,121.028
1992,54,116.442
1992,55,111.780
1992,56,107.093
1992,57,102.353
1992,58,97.498
1992,59,93.079
1992,60,89.350
1992,61,86.049
1992,62,82.682
1992,63,79.387
1992,64,75.773
1992,65,71.616
1992,66,67.110
1992,67,62.722
1992,68,58.400
1992,69,54.055
1992,70,49.705
1992,71,45.394
1992,72,41.157
1992,73,36.992
1992,74,33.073
1992,75,29.494
1992,76,26.201
1992,77,23.046
1992,78,20.058
1992,79,17.292
1992,80,14.755
1992,81,12.443
1992,82,10.323
1992,83,8.384
1992,84,6.708
1992,85,5.329
1992,86,4.200
1992,87,3.223
1992,88,2.397
1992,89,1.735
1992,90,1.225
1992,91,0.849
1992,92,0.582
1992,93,0.414
1992,94,0.288
1992,95,0.172
1992,96,0.076
1992,97,0.065
1992,98,0.041
1992,99,0.007
1992,100,0.016
1993,0,685.766
1993,1,665.505
1993,2,646.322
1993,3,632.747
1993,4,614.960
1993,5,597.932
1993,6,581.592
1993,7,565.870
1993,8,550.697
1993,9,536.019
1993,10,521.709
1993,11,507.676
1993,12,493.879
1993,13,480.394
1993,14,467.240
1993,15,453.894
1993,16,440.111
1993,17,426.102
1993,18,412.367
1993,19,398.871
1993,20,385.432
1993,21,372.029
1993,22,358.766
1993,23,345.835
1993,24,333.297
1993,25,321.033
1993,26,309.033
1993,27,297.438
1993,28,286.292
1993,29,275.453
1993,30,265.914
1993,31,258.129
1993,32,251.616
1993,33,245.145
1993,34,238.610
1993,35,233.029
1993,36,228.680
1993,37,224.884
1993,38,221.265
1993,39,218.573
1993,40,212.415
1993,41,200.788
1993,42,185.961
1993,43,171.849
1993,44,157.217
1993,45,146.454
1993,46,141.994
1993,47,141.589
1993,48,140.598
1993,49,139.998
1993,50,138.279
1993,51,134.243
1993,52,128.754
1993,53,123.926
1993,54,119.392
1993,55,114.747
1993,56,110.026
1993,57,105.282
1993,58,100.482
1993,59,95.569
1993,60,91.081
1993,61,87.263
1993,62,83.859
1993,63,80.398
1993,64,77.010
1993,65,73.314
1993,66,69.088
1993,67,64.527
1993,68,60.092
1993,69,55.731
1993,70,51.364
1993,71,47.008
1993,72,42.711
1993,73,38.499
1993,74,34.373
1993,75,30.510
1993,76,27.009
1993,77,23.813
1993,78,20.765
1993,79,17.891
1993,80,15.261
1993,81,12.889
1993,82,10.758
1993,83,8.821
1993,84,7.068
1993,85,5.571
1993,86,4.362
1993,87,3.391
1993,88,2.569
1993,89,1.893
1993,90,1.358
1993,91,0.940
1993,92,0.630
