year,age,population
1990,0,189.008
1990,1,187.664
1990,2,185.862
1990,3,183.764
1990,4,181.530
1990,5,179.322
1990,6,177.301
1990,7,175.624
1990,8,174.456
1990,9,173.955
1990,10,173.896
1990,11,174.044
1990,12,176.512
1990,13,182.239
1990,14,190.215
1990,15,198.170
1990,16,206.165
1990,17,214.848
1990,18,224.184
1990,19,233.654
1990,20,242.907
1990,21,252.172
1990,22,258.919
1990,23,261.897
1990,24,262.162
1990,25,262.207
1990,26,261.749
1990,27,260.234
1990,28,257.700
1990,29,254.425
1990,30,250.788
1990,31,246.891
1990,32,243.039
1990,33,239.485
1990,34,236.309
1990,35,232.626
1990,36,227.765
1990,37,226.188
1990,38,229.751
1990,39,236.038
1990,40,241.570
1990,41,248.010
1990,42,247.942
1990,43,237.631
1990,44,220.910
1990,45,205.203
1990,46,188.862
1990,47,175.875
1990,48,168.925
1990,49,165.996
1990,50,162.217
1990,51,158.350
1990,52,155.411
1990,53,153.350
1990,54,151.905
1990,55,150.938
1990,56,150.569
1990,57,149.391
1990,58,146.715
1990,59,143.128
1990,60,139.694
1990,61,135.950
1990,62,133.147
1990,63,131.934
1990,64,131.529
1990,65,130.798
1990,66,130.324
1990,67,127.664
1990,68,121.602
1990,69,113.442
1990,70,105.509
1990,71,97.118
1990,72,90.462
1990,73,86.806
1990,74,84.997
1990,75,82.699
1990,76,80.474
1990,77,77.292
1990,78,72.438
1990,79,66.518
1990,80,60.913
1990,81,55.420
1990,82,49.933
1990,83,44.560
1990,84,39.329
1990,85,34.173
1990,86,29.115
1990,87,24.481
1990,88,20.432
1990,89,16.877
1990,90,13.536
1990,91,10.418
1990,92,7.826
1990,93,5.867
1990,94,4.403
1990,95,3.172
1990,96,2.188
1990,97,1.435
1990,98,0.871
1990,99,0.471
1990,100,0.759
1991,0,190.110
1991,1,190.116
1991,2,188.648
1991,3,186.751
1991,4,184.587
1991,5,182.310
1991,6,180.083
1991,7,178.071
1991,8,176.397
1991,9,175.217
1991,10,174.697
1991,11,174.635
1991,12,174.788
1991,13,177.289
1991,14,183.086
1991,15,191.158
1991,16,199.206
1991,17,207.291
1991,18,216.068
1991,19,225.504
1991,20,235.069
1991,21,244.411
1991,22,253.762
1991,23,260.551
1991,24,263.504
1991,25,263.700
1991,26,263.669
1991,27,263.127
1991,28,261.513
1991,29,258.868
1991,30,255.475
1991,31,251.709
1991,32,247.677
1991,33,243.700
1991,34,240.046
1991,35,236.785
1991,36,233.014
1991,37,228.068
1991,38,226.402
1991,39,229.875
1991,40,236.068
1991,41,241.512
1991,42,247.862
1991,43,247.718
1991,44,237.348
1991,45,220.579
1991,46,204.822
1991,47,188.432
1991,48,175.392
1991,49,168.383
1991,50,165.391
1991,51,161.546
1991,52,157.612
1991,53,154.595
1991,54,152.442
1991,55,150.894
1991,56,149.820
1991,57,149.334
1991,58,148.042
1991,59,145.258
1991,60,141.565
1991,61,138.019
1991,62,134.168
1991,63,131.226
1991,64,129.827
1991,65,129.209
1991,66,128.267
1991,67,127.569
1991,68,124.730
1991,69,118.562
1991,70,110.342
1991,71,102.343
1991,72,93.907
1991,73,87.144
1991,74,83.280
1991,75,81.207
1991,76,78.677
1991,77,76.236
1991,78,72.890
1991,79,67.952
1991,80,62.015
1991,81,56.409
1991,82,50.935
1991,83,45.541
1991,84,40.354
1991,85,35.378
1991,86,30.493
1991,87,25.724
1991,88,21.413
1991,89,17.722
1991,90,14.547
1991,91,11.586
1991,92,8.855
1991,93,6.601
1991,94,4.901
1991,95,3.639
1991,96,2.274
1991,97,1.492
1991,98,0.905
1991,99,0.494
1991,100,0.799
1992,0,191.647
1992,1,192.135
1992,2,191.236
1992,3,189.641
1992,4,187.651
1992,5,185.420
1992,6,183.099
1992,7,180.855
1992,8,178.848
1992,9,177.181
1992,10,175.987
1992,11,175.448
1992,12,175.383
1992,13,175.542
1992,14,178.075
1992,15,183.943
1992,16,192.112
1992,17,200.252
1992,18,208.428
1992,19,217.301
1992,20,226.835
1992,21,236.497
1992,22,245.927
1992,23,255.367
1992,24,262.197
1992,25,265.126
1992,26,265.251
1992,27,265.145
1992,28,264.519
1992,29,262.806
1992,30,260.051
1992,31,256.537
1992,32,252.645
1992,33,248.475
1992,34,244.375
1992,35,240.619
1992,36,237.273
1992,37,233.414
1992,38,228.382
1992,39,226.629
1992,40,230.010
1992,41,236.110
1992,42,241.465
1992,43,247.727
1992,44,247.506
1992,45,237.077
1992,46,220.259
1992,47,204.451
1992,48,188.011
1992,49,174.918
1992,50,167.850
1992,51,164.793
1992,52,160.882
1992,53,156.882
1992,54,153.787
1992,55,151.541
1992,56,149.891
1992,57,148.707
1992,58,148.106
1992,59,146.699
1992,60,143.809
1992,61,140.007
1992,62,136.351
1992,63,132.392
1992,64,129.309
1992,65,127.725
1992,66,126.895
1992,67,125.740
1992,68,124.819
1992,69,121.800
1992,70,115.528
1992,71,107.244
1992,72,99.182
1992,73,90.697
1992,74,83.829
1992,75,79.756
1992,76,77.419
1992,77,74.656
1992,78,71.999
1992,79,68.488
1992,80,63.469
1992,81,57.511
1992,82,51.906
1992,83,46.450
1992,84,41.149
1992,85,36.145
1992,86,31.426
1992,87,26.814
1992,88,22.331
1992,89,18.344
1992,90,15.013
1992,91,12.215
1992,92,9.636
1992,93,7.292
1992,94,5.376
1992,95,3.934
1992,96,2.873
1992,97,1.544
1992,98,0.940
1992,99,0.514
1992,100,0.835
1993,0,193.240
1993,1,194.150
1993,2,194.021
1993,3,192.320
1993,4,190.600
1993,5,188.516
1993,6,186.219
1993,7,183.855
1993,8,181.593
1993,9,179.595
1993,10,177.931
1993,11,176.725
1993,12,176.167
1993,13,176.099
1993,14,176.264
1993,15,178.829
1993,16,184.766
1993,17,193.030
1993,18,201.263
1993,19,209.526
1993,20,218.493
1993,21,228.126
1993,22,237.882
1993,23,247.400
1993,24,256.924
1993,25,263.795
1993,26,266.700
1993,27,266.754
1993,28,266.574
1993,29,265.863
1993,30,264.051
1993,31,261.185
1993,32,257.554
1993,33,253.533
1993,34,249.227
1993,35,245.005
1993,36,241.149
1993,37,237.717
1993,38,233.771
1993,39,228.654
1993,40,226.814
1993,41,230.103
1993,42,236.109
1993,43,241.373
1993,44,247.546
1993,45,247.248
1993,46,236.762
1993,47,219.898
1993,48,204.043
1993,49,187.554
1993,50,174.412
1993,51,167.285
1993,52,164.165
1993,53,160.189
1993,54,156.122
1993,55,152.949
1993,56,150.613
1993,57,148.858
1993,58,147.567
1993,59,146.850
1993,60,145.329
1993,61,142.331
1993,62,138.424
1993,63,134.657
1993,64,130.589
1993,65,127.369
1993,66,125.598
1993,67,124.556
1993,68,123.189
1993,69,122.044
1993,70,118.847
1993,71,112.470
1993,72,104.126
1993,73,95.999
1993,74,87.470
1993,75,80.496
1993,76,76.217
1993,77,73.614
1993,78,70.619
1993,79,67.747
1993,80,64.072
1993,81,58.970
1993,82,52.996
1993,83,47.390
1993,84,41.954
1993,85,36.747
1993,86,31.929
1993,87,27.467
1993,88,23.126
1993,89,18.933
1993,90,15.271
1993,91,12.298
1993,92,9.881
1993,93,7.683
1993,94,5.726
1993,95,4.149
1993,96,2.967
1993,97,2.107
1993,98,0.972
1993,99,0.535
1993,100,0.872
1994,0,194.363
1994,1,195.611
1994,2,195.837
1994,3,195.199
1994,4,193.339
1994,5,191.495
1994,6,189.317
1994,7,186.955
1994,8,184.549
1994,9,182.270
1994,10,180.279
1994,11,178.623
1994,12,177.403
1994,13,176.826
1994,14,176.755
1994,15,176.926
1994,16,179.522
1994,17,185.527
1994,18,193.884
1994,19,202.204
1994,20,210.554
1994,21,219.612
1994,22,229.339
1994,23,239.187
1994,24,248.788
1994,25,258.395
1994,26,265.305
1994,27,268.182
1994,28,268.168
1994,29,267.911
1994,30,267.117
1994,31,265.207
1994,32,262.231
1994,33,258.483
1994,34,254.336
1994,35,249.896
1994,36,245.551
1994,37,241.597
1994,38,238.081
1994,39,234.049
1994,40,228.849
1994,41,226.922
1994,42,230.118
1994,43,236.028
1994,44,241.200
1994,45,247.281
1994,46,246.907
1994,47,236.367
1994,48,219.462
1994,49,203.565
1994,50,187.035
1994,51,173.846
1994,52,166.663
1994,53,163.482
1994,54,159.441
1994,55,155.310
1994,56,152.060
1994,57,149.633
1994,58,147.775
1994,59,146.378
1994,60,145.544
1994,61,143.910
1994,62,140.805
1994,63,136.793
1994,64,132.917
1994,65,128.744
1994,66,125.385
1994,67,123.430
1994,68,122.173
1994,69,120.597
1994,70,119.229
1994,71,115.853
1994,72,109.374
1994,73,100.973
1994,74,92.784
1994,75,84.214
1994,76,77.136
1994,77,72.651
1994,78,69.785
1994,79,66.558
1994,80,63.472
1994,81,59.635
1994,82,54.452
1994,83,48.462
1994,84,42.858
1994,85,37.444
1994,86,32.333
1994,87,27.702
1994,88,23.498
1994,89,19.432
1994,90,15.528
1994,91,12.192
1994,92,9.580
1994,93,7.544
1994,94,5.727
1994,95,4.159
1994,96,2.920
1994,97,1.999
1994,98,1.340
1994,99,0.556
1994,100,0.909
1995,0,194.673
1995,1,196.325
1995,2,196.971
1995,3,196.750
1995,4,195.807
1995,5,194.279
1995,6,192.311
1995,7,190.041
1995,8,187.614
1995,9,185.168
1995,10,182.872
1995,11,180.891
1995,12,179.240
1995,13,178.009
1995,14,177.414
1995,15,177.339
1995,16,177.516
1995,17,180.142
1995,18,186.212
1995,19,194.657
1995,20,203.064
1995,21,211.496
1995,22,220.641
1995,23,230.458
1995,24,240.393
1995,25,250.075
1995,26,259.760
1995,27,266.705
1995,28,269.556
1995,29,269.471
1995,30,269.139
1995,31,268.262
1995,32,266.254
1995,33,263.171
1995,34,259.306
1995,35,255.036
1995,36,250.462
1995,37,245.998
1995,38,241.946
1995,39,238.349
1995,40,234.232
1995,41,228.950
1995,42,226.938
1995,43,230.040
1995,44,235.851
1995,45,240.930
1995,46,246.916
1995,47,246.466
1995,48,235.876
1995,49,218.938
1995,50,203.006
1995,51,186.440
1995,52,173.210
1995,53,165.975
1995,54,162.732
1995,55,158.630
1995,56,154.435
1995,57,151.110
1995,58,148.593
1995,59,146.634
1995,60,145.129
1995,61,144.181
1995,62,142.433
1995,63,139.224
1995,64,135.108
1995,65,131.125
1995,66,126.847
1995,67,123.352
1995,68,121.212
1995,69,119.745
1995,70,117.957
1995,71,116.367
1995,72,112.815
1995,73,106.236
1995,74,97.781
1995,75,89.535
1995,76,80.925
1995,77,73.748
1995,78,69.058
1995,79,65.931
1995,80,62.474
1995,81,59.174
1995,82,55.177
1995,83,49.915
1995,84,43.912
1995,85,38.313
1995,86,32.923
1995,87,27.908
1995,88,23.468
1995,89,19.523
1995,90,15.732
1995,91,12.120
1995,92,9.111
1995,93,6.860
1995,94,5.204
1995,95,3.771
1995,96,2.591
1995,97,1.692
1995,98,1.030
1995,99,0.573
1995,100,0.948
1996,0,194.240
1996,1,195.767
1996,2,197.104
1996,3,197.552
1996,4,197.230
1996,5,196.265
1996,6,194.795
1996,7,192.964
1996,8,190.802
1996,9,188.396
1996,10,185.924
1996,11,183.642
1996,12,181.695
1996,13,180.094
1996,14,178.937
1996,15,178.431
1996,16,178.439
1996,17,178.694
1996,18,181.395
1996,19,187.535
1996,20,196.040
1996,21,204.499
1996,22,212.978
1996,23,222.131
1996,24,231.898
1996,25,241.742
1996,26,251.330
1996,27,260.912
1996,28,267.743
1996,29,270.472
1996,30,270.261
1996,31,269.796
1996,32,268.781
1996,33,266.651
1996,34,263.475
1996,35,259.535
1996,36,255.190
1996,37,250.541
1996,38,246.007
1996,39,241.893
1996,40,238.238
1996,41,234.066
1996,42,228.735
1996,43,226.663
1996,44,229.685
1996,45,235.405
1996,46,240.395
1996,47,246.292
1996,48,245.767
1996,49,235.133
1996,50,218.166
1996,51,202.201
1996,52,185.597
1996,53,172.323
1996,54,165.036
1996,55,161.729
1996,56,157.561
1996,57,153.296
1996,58,149.881
1996,59,147.243
1996,60,145.143
1996,61,143.489
1996,62,142.383
1996,63,140.479
1996,64,137.126
1996,65,132.868
1996,66,128.740
1996,67,124.323
1996,68,120.652
1996,69,118.275
1996,70,116.540
1996,71,114.492
1996,72,112.637
1996,73,108.885
1996,74,102.206
1996,75,93.718
1996,76,85.447
1996,77,76.844
1996,78,69.625
1996,79,64.797
1996,80,61.488
1996,81,57.890
1996,82,54.467
1996,83,50.454
1996,84,45.332
1996,85,39.584
1996,86,34.242
1996,87,29.125
1996,88,24.433
1996,89,20.377
1996,90,16.849
1996,91,13.483
1996,92,10.305
1996,93,7.679
1996,94,5.725
1996,95,4.301
1996,96,2.674
1996,97,1.740
1996,98,1.060
1996,99,0.592
1996,100,0.990
1997,0,192.906
1997,1,195.675
1997,2,196.767
1997,3,197.789
1997,4,198.038
1997,5,197.615
1997,6,196.629
1997,7,195.218
1997,8,193.525
1997,9,191.471
1997,10,189.089
1997,11,186.590
1997,12,184.324
1997,13,182.412
1997,14,180.862
1997,15,179.780
1997,16,179.362
1997,17,179.455
1997,18,179.786
1997,19,182.562
1997,20,188.769
1997,21,197.329
1997,22,205.837
1997,23,214.359
1997,24,223.514
1997,25,233.227
1997,26,242.976
1997,27,252.464
1997,28,261.940
1997,29,268.653
1997,30,271.259
1997,31,270.920
1997,32,270.325
1997,33,269.170
1997,34,266.920
1997,35,263.651
1997,36,259.641
1997,37,255.221
1997,38,250.498
1997,39,245.897
1997,40,241.724
1997,41,238.012
1997,42,233.787
1997,43,228.411
1997,44,226.278
1997,45,229.218
1997,46,234.845
1997,47,239.745
1997,48,245.547
1997,49,244.950
1997,50,234.275
1997,51,217.289
1997,52,201.297
1997,53,184.664
1997,54,171.353
1997,55,164.016
1997,56,160.648
