year,age,population
1990,0,3.759
1990,1,3.692
1990,2,3.635
1990,3,3.590
1990,4,3.557
1990,5,3.533
1990,6,3.518
1990,7,3.512
1990,8,3.513
1990,9,3.521
1990,10,3.528
1990,11,3.522
1990,12,3.546
1990,13,3.609
1990,14,3.690
1990,15,3.763
1990,16,3.848
1990,17,3.840
1990,18,3.696
1990,19,3.465
1990,20,3.244
1990,21,3.011
1990,22,2.831
1990,23,2.739
1990,24,2.711
1990,25,2.667
1990,26,2.625
1990,27,2.587
1990,28,2.546
1990,29,2.506
1990,30,2.472
1990,31,2.445
1990,32,2.417
1990,33,2.388
1990,34,2.356
1990,35,2.327
1990,36,2.298
1990,37,2.267
1990,38,2.228
1990,39,2.185
1990,40,2.142
1990,41,2.095
1990,42,2.050
1990,43,2.010
1990,44,1.972
1990,45,1.930
1990,46,1.889
1990,47,1.837
1990,48,1.764
1990,49,1.680
1990,50,1.595
1990,51,1.509
1990,52,1.433
1990,53,1.376
1990,54,1.331
1990,55,1.285
1990,56,1.238
1990,57,1.189
1990,58,1.127
1990,59,1.062
1990,60,0.998
1990,61,0.937
1990,62,0.879
1990,63,0.830
1990,64,0.786
1990,65,0.743
1990,66,0.702
1990,67,0.659
1990,68,0.614
1990,69,0.567
1990,70,0.524
1990,71,0.483
1990,72,0.446
1990,73,0.414
1990,74,0.387
1990,75,0.360
1990,76,0.333
1990,77,0.310
1990,78,0.287
1990,79,0.265
1990,80,0.247
1990,81,0.229
1990,82,0.207
1990,83,0.175
1990,84,0.136
1990,85,0.102
1990,86,0.067
1990,87,0.041
1990,88,0.027
1990,89,0.022
1990,90,0.017
1990,91,0.013
1990,92,0.011
1990,93,0.007
1990,94,0.004
1990,95,0.002
1990,96,0.003
1990,97,0.001
1990,98,0.000
1990,99,0.001
1990,100,0.000
1991,0,3.849
1991,1,3.739
1991,2,3.679
1991,3,3.630
1991,4,3.594
1991,5,3.571
1991,6,3.557
1991,7,3.555
1991,8,3.554
1991,9,3.549
1991,10,3.547
1991,11,3.543
1991,12,3.526
1991,13,3.542
1991,14,3.598
1991,15,3.675
1991,16,3.743
1991,17,3.823
1991,18,3.815
1991,19,3.676
1991,20,3.453
1991,21,3.241
1991,22,3.016
1991,23,2.846
1991,24,2.764
1991,25,2.747
1991,26,2.712
1991,27,2.682
1991,28,2.650
1991,29,2.609
1991,30,2.564
1991,31,2.526
1991,32,2.495
1991,33,2.460
1991,34,2.426
1991,35,2.387
1991,36,2.351
1991,37,2.314
1991,38,2.277
1991,39,2.236
1991,40,2.192
1991,41,2.148
