year,age,population
1990,0,58.479
1990,1,56.711
1990,2,55.149
1990,3,53.800
1990,4,52.667
1990,5,51.749
1990,6,51.051
1990,7,50.574
1990,8,50.320
1990,9,50.292
1990,10,50.358
1990,11,50.382
1990,12,51.045
1990,13,52.612
1990,14,54.685
1990,15,56.718
1990,16,58.966
1990,17,60.148
1990,18,59.620
1990,19,58.020
1990,20,56.574
1990,21,54.967
1990,22,53.979
1990,23,54.094
1990,24,54.896
1990,25,55.451
1990,26,55.917
1990,27,56.248
1990,28,56.323
1990,29,56.183
1990,30,56.079
1990,31,56.055
1990,32,55.540
1990,33,54.305
1990,34,52.632
1990,35,50.937
1990,36,49.005
1990,37,47.747
1990,38,47.607
1990,39,48.115
1990,40,48.433
1990,41,48.842
1990,42,48.419
1990,43,46.659
1990,44,44.055
1990,45,41.621
1990,46,39.162
1990,47,37.003
1990,48,35.406
1990,49,34.210
1990,50,32.958
1990,51,31.702
1990,52,30.741
1990,53,30.168
1990,54,29.869
1990,55,29.623
1990,56,29.458
1990,57,29.291
1990,58,29.057
1990,59,28.776
1990,60,28.521
1990,61,28.258
1990,62,27.969
1990,63,27.646
1990,64,27.267
1990,65,26.855
1990,66,26.453
1990,67,25.767
1990,68,24.665
1990,69,23.298
1990,70,21.926
1990,71,20.462
1990,72,19.219
1990,73,18.367
1990,74,17.746
1990,75,17.054
1990,76,16.371
1990,77,15.510
1990,78,14.348
1990,79,13.003
1990,80,11.714
1990,81,10.449
1990,82,9.218
1990,83,8.047
1990,84,6.944
1990,85,5.865
1990,86,4.809
1990,87,3.904
1990,88,3.204
1990,89,2.658
1990,90,2.158
1990,91,1.719
1990,92,1.344
1990,93,1.021
1990,94,0.750
1990,95,0.533
1990,96,0.368
1990,97,0.241
1990,98,0.149
1990,99,0.087
1990,100,0.194
1991,0,58.687
1991,1,58.496
1991,2,56.929
1991,3,55.489
1991,4,54.200
1991,5,53.077
1991,6,52.110
1991,7,51.297
1991,8,50.761
1991,9,50.562
1991,10,50.651
1991,11,50.806
1991,12,50.929
1991,13,51.580
1991,14,52.959
1991,15,54.741
1991,16,56.509
1991,17,58.479
1991,18,59.510
1991,19,59.037
1991,20,57.629
1991,21,56.351
1991,22,54.909
1991,23,54.096
1991,24,54.381
1991,25,55.342
1991,26,56.065
1991,27,56.723
1991,28,57.141
1991,29,57.143
1991,30,56.833
1991,31,56.564
1991,32,56.350
1991,33,55.724
1991,34,54.518
1991,35,52.957
1991,36,51.349
1991,37,49.511
1991,38,48.287
1991,39,48.086
1991,40,48.470
1991,41,48.681
1991,42,48.984
1991,43,48.474
1991,44,46.661
1991,45,44.030
1991,46,41.559
1991,47,39.055
1991,48,36.884
1991,49,35.328
1991,50,34.201
1991,51,33.017
1991,52,31.843
1991,53,30.899
1991,54,30.239
1991,55,29.790
1991,56,29.404
1991,57,29.087
1991,58,28.829
1991,59,28.608
1991,60,28.402
1991,61,28.209
1991,62,28.009
1991,63,27.751
1991,64,27.396
1991,65,26.948
1991,66,26.475
1991,67,26.014
1991,68,25.268
1991,69,24.111
1991,70,22.693
1991,71,21.267
1991,72,19.751
1991,73,18.462
1991,74,17.573
1991,75,16.923
1991,76,16.207
1991,77,15.505
1991,78,14.635
1991,79,13.470
1991,80,12.133
1991,81,10.857
1991,82,9.608
1991,83,8.411
1991,84,7.295
1991,85,6.262
1991,86,5.254
1991,87,4.273
1991,88,3.439
1991,89,2.799
1991,90,2.306
1991,91,1.861
1991,92,1.475
1991,93,1.147
1991,94,0.866
1991,95,0.628
1991,96,0.388
1991,97,0.257
1991,98,0.161
1991,99,0.094
1991,100,0.202
1992,0,58.903
1992,1,58.312
1992,2,58.671
1992,3,57.299
1992,4,55.979
1992,5,54.745
1992,6,53.629
1992,7,52.611
1992,8,51.680
1992,9,51.083
1992,10,50.940
1992,11,51.147
1992,12,51.388
1992,13,51.614
1992,14,52.252
1992,15,53.448
1992,16,54.945
1992,17,56.453
1992,18,58.149
1992,19,59.033
1992,20,58.614
1992,21,57.392
1992,22,56.279
1992,23,54.999
1992,24,54.359
1992,25,54.814
1992,26,55.936
1992,27,56.830
1992,28,57.679
1992,29,58.186
1992,30,58.117
1992,31,57.635
1992,32,57.201
1992,33,56.796
1992,34,56.057
1992,35,54.876
1992,36,53.424
1992,37,51.900
1992,38,50.149
1992,39,48.956
1992,40,48.693
1992,41,48.956
1992,42,49.060
1992,43,49.257
1992,44,48.659
1992,45,46.788
1992,46,44.123
1992,47,41.610
1992,48,39.053
1992,49,36.865
1992,50,35.345
1992,51,34.284
1992,52,33.164
1992,53,32.068
1992,54,31.142
1992,55,30.391
1992,56,29.790
1992,57,29.264
1992,58,28.794
1992,59,28.447
1992,60,28.236
1992,61,28.106
1992,62,27.971
1992,63,27.837
1992,64,27.607
1992,65,27.221
1992,66,26.701
1992,67,26.166
1992,68,25.645
1992,69,24.838
1992,70,23.622
1992,71,22.150
1992,72,20.667
1992,73,19.094
1992,74,17.755
1992,75,16.827
1992,76,16.147
1992,77,15.404
1992,78,14.683
1992,79,13.799
1992,80,12.631
1992,81,11.296
1992,82,10.030
1992,83,8.795
1992,84,7.626
1992,85,6.563
1992,86,5.598
1992,87,4.658
1992,88,3.750
1992,89,2.983
1992,90,2.402
1992,91,1.961
1992,92,1.569
1992,93,1.235
1992,94,0.954
1992,95,0.713
1992,96,0.508
1992,97,0.285
1992,98,0.183
1992,99,0.107
1992,100,0.209
1993,0,58.976
1993,1,58.987
1993,2,58.692
1993,3,58.904
1993,4,57.725
1993,5,56.524
1993,6,55.346
1993,7,54.234
1993,8,53.164
1993,9,52.115
1993,10,51.456
1993,11,51.369
1993,12,51.693
1993,13,52.024
1993,14,52.349
1993,15,52.978
1993,16,53.989
1993,17,55.203
1993,18,56.451
1993,19,57.876
1993,20,58.612
1993,21,58.246
1993,22,57.212
1993,23,56.262
1993,24,55.143
1993,25,54.675
1993,26,55.302
1993,27,56.586
1993,28,57.651
1993,29,58.694
1993,30,59.291
1993,31,59.150
1993,32,58.495
1993,33,57.894
1993,34,57.299
1993,35,56.447
1993,36,55.289
1993,37,53.944
1993,38,52.503
1993,39,50.837
1993,40,49.675
1993,41,49.349
1993,42,49.489
1993,43,49.488
1993,44,49.579
1993,45,48.892
1993,46,46.962
1993,47,44.259
1993,48,41.701
1993,49,39.089
1993,50,36.882
1993,51,35.396
1993,52,34.401
1993,53,33.343
1993,54,32.327
1993,55,31.414
1993,56,30.573
1993,57,29.820
1993,58,29.153
1993,59,28.529
1993,60,28.090
1993,61,27.891
1993,62,27.835
1993,63,27.762
1993,64,27.691
1993,65,27.489
1993,66,27.072
1993,67,26.480
1993,68,25.882
1993,69,25.301
1993,70,24.430
1993,71,23.156
1993,72,21.627
1993,73,20.085
1993,74,18.454
1993,75,17.064
1993,76,16.095
1993,77,15.385
1993,78,14.614
1993,79,13.873
1993,80,12.975
1993,81,11.801
1993,82,10.468
1993,83,9.211
1993,84,7.988
1993,85,6.848
1993,86,5.836
1993,87,4.937
1993,88,4.066
1993,89,3.228
1993,90,2.530
1993,91,2.006
1993,92,1.617
1993,93,1.277
1993,94,0.996
1993,95,0.762
1993,96,0.559
1993,97,0.389
1993,98,0.209
1993,99,0.123
1993,100,0.217
1994,0,58.708
1994,1,59.304
1994,2,59.470
1994,3,59.271
1994,4,59.081
