year,age,population
1990,0,139.226
1990,1,139.722
1990,2,139.496
1990,3,138.609
1990,4,137.125
1990,5,135.103
1990,6,132.602
1990,7,129.688
1990,8,126.421
1990,9,122.861
1990,10,119.023
1990,11,114.917
1990,12,110.850
1990,13,106.975
1990,14,103.211
1990,15,99.368
1990,16,95.542
1990,17,91.612
1990,18,87.520
1990,19,83.383
1990,20,79.384
1990,21,75.474
1990,22,71.958
1990,23,68.998
1990,24,66.476
1990,25,64.011
1990,26,61.581
1990,27,59.620
1990,28,58.269
1990,29,57.295
1990,30,56.312
1990,31,55.402
1990,32,54.124
1990,33,52.214
1990,34,49.854
1990,35,47.626
1990,36,45.593
1990,37,42.933
1990,38,39.350
1990,39,35.295
1990,40,31.374
1990,41,27.309
1990,42,24.500
1990,43,23.658
1990,44,24.093
1990,45,24.429
1990,46,24.962
1990,47,25.102
1990,48,24.427
1990,49,23.244
1990,50,22.302
1990,51,21.445
1990,52,20.649
1990,53,19.971
1990,54,19.372
1990,55,18.742
1990,56,18.100
1990,57,17.477
1990,58,16.878
1990,59,16.291
1990,60,15.703
1990,61,15.118
1990,62,14.512
1990,63,13.878
1990,64,13.222
1990,65,12.567
1990,66,11.922
1990,67,11.232
1990,68,10.473
1990,69,9.679
1990,70,8.896
1990,71,8.116
1990,72,7.387
1990,73,6.741
1990,74,6.155
1990,75,5.582
1990,76,5.032
1990,77,4.503
1990,78,3.988
1990,79,3.498
1990,80,3.037
1990,81,2.608
1990,82,2.217
1990,83,1.872
1990,84,1.565
1990,85,1.287
1990,86,1.032
1990,87,0.819
1990,88,0.644
1990,89,0.504
1990,90,0.386
1990,91,0.292
1990,92,0.214
1990,93,0.155
1990,94,0.109
1990,95,0.078
1990,96,0.060
1990,97,0.047
1990,98,0.031
1990,99,0.017
1990,100,0.038
1991,0,138.561
1991,1,138.743
1991,2,138.993
1991,3,138.609
1991,4,137.641
1991,5,136.132
1991,6,134.148
1991,7,131.747
1991,8,128.890
1991,9,125.585
1991,10,121.931
1991,11,118.033
1991,12,113.883
1991,13,109.783
1991,14,105.891
1991,15,102.124
1991,16,98.279
1991,17,94.453
1991,18,90.536
1991,19,86.474
1991,20,82.382
1991,21,78.427
1991,22,74.566
1991,23,71.098
1991,24,68.181
1991,25,65.701
1991,26,63.280
1991,27,60.894
1991,28,58.971
1991,29,57.645
1991,30,56.687
1991,31,55.723
1991,32,54.829
1991,33,53.569
1991,34,51.683
1991,35,49.348
1991,36,47.144
1991,37,45.132
1991,38,42.497
1991,39,38.945
1991,40,34.921
1991,41,31.031
1991,42,26.997
1991,43,24.210
1991,44,23.376
1991,45,23.810
1991,46,24.144
1991,47,24.674
1991,48,24.812
1991,49,24.138
1991,50,22.958
1991,51,22.017
1991,52,21.159
1991,53,20.362
1991,54,19.680
1991,55,19.078
1991,56,18.444
1991,57,17.798
1991,58,17.168
1991,59,16.563
1991,60,15.969
1991,61,15.374
1991,62,14.781
1991,63,14.169
1991,64,13.528
1991,65,12.865
