year,age,population
1990,0,366.629
1990,1,336.178
1990,2,310.424
1990,3,288.882
1990,4,271.061
1990,5,256.470
1990,6,244.617
1990,7,235.016
1990,8,227.175
1990,9,220.604
1990,10,215.595
1990,11,212.435
1990,12,206.735
1990,13,196.447
1990,14,183.417
1990,15,171.662
1990,16,160.514
1990,17,150.367
1990,18,141.866
1990,19,134.768
1990,20,127.731
1990,21,120.472
1990,22,116.140
1990,23,115.997
1990,24,118.437
1990,25,120.820
1990,26,123.943
1990,27,124.503
1990,28,120.678
1990,29,114.054
1990,30,108.081
1990,31,102.112
1990,32,96.625
1990,33,92.215
1990,34,88.546
1990,35,84.619
1990,36,80.564
1990,37,77.082
1990,38,74.400
1990,39,72.268
1990,40,70.192
1990,41,68.253
1990,42,66.259
1990,43,64.056
1990,44,61.721
1990,45,59.526
1990,46,57.457
1990,47,55.203
1990,48,52.649
1990,49,49.933
1990,50,47.292
1990,51,44.654
1990,52,42.278
1990,53,40.307
1990,54,38.614
1990,55,36.924
1990,56,35.277
1990,57,33.677
1990,58,32.094
1990,59,30.530
1990,60,29.024
1990,61,27.570
1990,62,26.084
1990,63,24.520
1990,64,22.915
1990,65,21.352
1990,66,19.824
1990,67,18.293
1990,68,16.745
1990,69,15.211
1990,70,13.718
1990,71,12.263
1990,72,10.890
1990,73,9.626
1990,74,8.455
1990,75,7.341
1990,76,6.290
1990,77,5.324
1990,78,4.450
1990,79,3.661
1990,80,2.945
1990,81,2.292
1990,82,1.745
1990,83,1.317
1990,84,0.985
1990,85,0.708
1990,86,0.486
1990,87,0.316
1990,88,0.192
1990,89,0.108
1990,90,0.058
1990,91,0.049
1990,92,0.041
1990,93,0.026
1990,94,0.006
1990,95,0.003
1990,96,0.003
1990,97,0.001
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,377.625
1991,1,352.817
1991,2,325.363
1991,3,302.156
1991,4,282.733
1991,5,266.630
1991,6,253.419
1991,7,242.672
1991,8,233.727
1991,9,226.030
1991,10,219.243
1991,11,213.864
1991,12,210.152
1991,13,204.018
1991,14,193.591
1991,15,180.614
1991,16,168.811
1991,17,157.552
1991,18,147.422
1991,19,139.121
1991,20,132.342
1991,21,125.624
1991,22,118.709
1991,23,114.666
1991,24,114.704
1991,25,117.257
1991,26,119.769
1991,27,123.018
1991,28,123.718
1991,29,120.063
1991,30,113.622
1991,31,107.813
1991,32,101.997
1991,33,96.619
1991,34,92.261
1991,35,88.597
1991,36,84.670
1991,37,80.605
1991,38,77.092
1991,39,74.355
1991,40,72.152
1991,41,69.998
1991,42,67.970
1991,43,65.902
1991,44,63.653
1991,45,61.290
1991,46,59.062
1991,47,56.960
1991,48,54.672
1991,49,52.083
1991,50,49.331
1991,51,46.657
1991,52,43.987
1991,53,41.582
1991,54,39.582
1991,55,37.861
1991,56,36.145
1991,57,34.473
1991,58,32.851
1991,59,31.245
1991,60,29.662
1991,61,28.138
1991,62,26.670
1991,63,25.169
1991,64,23.592
1991,65,21.973
1991,66,20.402
1991,67,18.868
1991,68,17.339
1991,69,15.799
1991,70,14.280
