year,age,population
1990,0,3633.314
1990,1,3486.448
1990,2,3351.193
1990,3,3226.487
1990,4,3111.262
1990,5,3004.457
1990,6,2905.003
1990,7,2811.838
1990,8,2723.895
1990,9,2640.110
1990,10,2560.827
1990,11,2486.387
1990,12,2408.687
1990,13,2323.848
1990,14,2235.025
1990,15,2149.894
1990,16,2067.678
1990,17,1985.860
1990,18,1904.198
1990,19,1823.909
1990,20,1745.829
1990,21,1669.043
1990,22,1600.169
1990,23,1542.351
1990,24,1492.456
1990,25,1444.104
1990,26,1398.432
1990,27,1353.530
1990,28,1307.762
1990,29,1262.032
1990,30,1219.198
1990,31,1179.056
1990,32,1138.882
1990,33,1097.714
1990,34,1056.708
1990,35,1017.442
1990,36,978.956
1990,37,945.372
1990,38,918.689
1990,39,896.683
1990,40,875.051
1990,41,854.574
1990,42,833.224
1990,43,809.528
1990,44,784.354
1990,45,760.209
1990,46,736.796
1990,47,712.392
1990,48,686.458
1990,49,659.634
1990,50,633.122
1990,51,606.700
1990,52,581.063
1990,53,556.684
1990,54,533.275
1990,55,509.975
1990,56,486.842
1990,57,464.606
1990,58,443.516
1990,59,423.240
1990,60,403.218
1990,61,383.560
1990,62,363.801
1990,63,343.655
1990,64,323.309
1990,65,303.342
1990,66,283.749
1990,67,263.955
1990,68,243.766
1990,69,223.467
1990,70,203.678
1990,71,184.439
1990,72,165.542
1990,73,147.004
1990,74,129.043
1990,75,111.846
1990,76,95.367
1990,77,80.432
1990,78,67.470
1990,79,56.177
1990,80,45.721
1990,81,36.150
1990,82,28.037
1990,83,21.542
1990,84,16.392
1990,85,12.058
1990,86,8.523
1990,87,5.789
1990,88,3.756
1990,89,2.327
1990,90,1.455
1990,91,1.109
1990,92,0.864
1990,93,0.488
1990,94,0.080
1990,95,0.086
1990,96,0.068
1990,97,0.052
1990,98,0.033
1990,99,0.017
1990,100,0.007
1991,0,3704.541
1991,1,3562.357
1991,2,3424.305
1991,3,3297.931
1991,4,3181.948
1991,5,3075.066
1991,6,2976.424
1991,7,2885.160
1991,8,2797.837
1991,9,2712.304
1991,10,2628.559
1991,11,2549.172
1991,12,2474.130
1991,13,2395.750
1991,14,2310.617
1991,15,2221.701
1991,16,2136.021
1991,17,2052.915
1991,18,1970.513
1991,19,1888.827
1991,20,1808.882
1991,21,1731.059
1991,22,1654.516
1991,23,1585.949
1991,24,1528.492
1991,25,1478.996
1991,26,1431.077
1991,27,1385.874
1991,28,1341.391
1991,29,1295.951
1991,30,1250.488
1991,31,1207.924
1991,32,1168.042
1991,33,1128.114
1991,34,1087.185
1991,35,1046.401
1991,36,1007.332
1991,37,969.022
1991,38,935.568
1991,39,908.961
1991,40,886.982
1991,41,865.361
1991,42,844.870
1991,43,823.488
1991,44,799.741
1991,45,774.501
1991,46,750.265
1991,47,726.735
1991,48,702.214
1991,49,676.176
1991,50,649.247
1991,51,622.605
1991,52,596.038
1991,53,570.214
1991,54,545.587
1991,55,521.887
1991,56,498.291
1991,57,474.860
1991,58,452.285
1991,59,430.801
1991,60,410.103
1991,61,389.677
1991,62,369.640
1991,63,349.519
1991,64,329.033
1991,65,308.388
1991,66,288.177
1991,67,268.403
1991,68,248.516
1991,69,228.344
1991,70,208.171
1991,71,188.581
1991,72,169.595
1991,73,151.158
1991,74,133.349
1991,75,116.313
1991,76,100.074
1991,77,84.590
1991,78,70.711
1991,79,58.851
1991,80,48.678
1991,81,39.343
1991,82,30.896
1991,83,23.789
1991,84,18.124
1991,85,13.662
1991,86,9.985
1991,87,7.068
1991,88,4.819
1991,89,3.107
1991,90,1.874
1991,91,1.185
1991,92,0.904
1991,93,0.703
1991,94,0.399
1991,95,0.068
1991,96,0.073
1991,97,0.054
1991,98,0.037
1991,99,0.018
1991,100,0.007
1992,0,3783.609
1992,1,3621.143
1992,2,3493.064
1992,3,3363.752
1992,4,3246.193
1992,5,3138.872
1992,6,3040.273
1992,7,2949.741
1992,8,2866.617
1992,9,2785.091
1992,10,2701.925
1992,11,2618.185
1992,12,2538.658
1992,13,2462.982
1992,14,2383.888
1992,15,2298.423
1992,16,2209.377
1992,17,2123.109
1992,18,2039.078
1992,19,1956.055
1992,20,1874.310
1992,21,1794.675
1992,22,1717.072
1992,23,1640.737
1992,24,1572.448
1992,25,1515.326
1992,26,1466.207
1992,27,1418.699
1992,28,1373.943
1992,29,1329.861
1992,30,1284.728
1992,31,1239.510
1992,32,1197.198
1992,33,1157.559
1992,34,1117.858
1992,35,1077.149
1992,36,1036.569
1992,37,997.680
1992,38,959.529
1992,39,926.191
1992,40,899.645
1992,41,877.686
1992,42,856.064
1992,43,835.553
1992,44,814.127
1992,45,790.320
1992,46,765.003
1992,47,740.665
1992,48,717.008
1992,49,692.360
1992,50,666.205
1992,51,639.159
1992,52,612.376
1992,53,585.654
1992,54,559.629
1992,55,534.746
1992,56,510.744
1992,57,486.841
1992,58,463.104
1992,59,440.179
1992,60,418.292
1992,61,397.163
1992,62,376.326
1992,63,355.900
1992,64,335.408
1992,65,314.576
1992,66,293.622
1992,67,273.158
1992,68,253.194
1992,69,233.206
1992,70,213.042
1992,71,192.987
1992,72,173.585
1992,73,154.844
1992,74,136.859
1992,75,119.771
1992,76,103.649
1992,77,88.360
1992,78,73.865
1992,79,61.034
1992,80,50.268
1992,81,41.209
1992,82,32.990
1992,83,25.662
1992,84,19.559
1992,85,14.718
1992,86,10.941
1992,87,7.918
1992,88,5.619
1992,89,3.853
1992,90,2.460
1992,91,1.422
1992,92,0.915
1992,93,0.699
1992,94,0.544
1992,95,0.309
1992,96,0.057
1992,97,0.057
1992,98,0.038
1992,99,0.019
1992,100,0.008
1993,0,3870.638
1993,1,3697.211
1993,2,3542.271
