year,age,population
1990,0,4394.864
1990,1,4361.154
1990,2,4315.441
1990,3,4258.743
1990,4,4192.086
1990,5,4116.485
1990,6,4032.975
1990,7,3942.569
1990,8,3846.286
1990,9,3745.161
1990,10,3640.599
1990,11,3534.032
1990,12,3424.487
1990,13,3312.198
1990,14,3199.378
1990,15,3087.020
1990,16,2973.750
1990,17,2872.609
1990,18,2789.840
1990,19,2719.643
1990,20,2649.598
1990,21,2581.745
1990,22,2514.447
1990,23,2445.485
1990,24,2375.715
1990,25,2308.432
1990,26,2243.283
1990,27,2176.161
1990,28,2105.447
1990,29,2032.636
1990,30,1960.825
1990,31,1889.377
1990,32,1819.211
1990,33,1751.098
1990,34,1684.508
1990,35,1618.527
1990,36,1553.803
1990,37,1488.569
1990,38,1422.006
1990,39,1355.309
1990,40,1291.400
1990,41,1230.776
1990,42,1170.858
1990,43,1111.010
1990,44,1053.155
1990,45,998.361
1990,46,944.587
1990,47,904.330
1990,48,883.331
1990,49,875.224
1990,50,867.636
1990,51,862.680
1990,52,855.164
1990,53,841.134
1990,54,822.738
1990,55,806.150
1990,56,790.237
1990,57,771.595
1990,58,749.187
1990,59,723.837
1990,60,697.823
1990,61,671.153
1990,62,642.006
1990,63,609.839
1990,64,575.658
1990,65,541.133
1990,66,506.096
1990,67,471.900
1990,68,439.457
1990,69,408.386
1990,70,377.421
1990,71,346.829
1990,72,317.573
1990,73,290.005
1990,74,263.916
1990,75,238.766
1990,76,214.663
1990,77,191.809
1990,78,170.227
1990,79,149.915
1990,80,130.866
1990,81,113.117
1990,82,96.542
1990,83,81.075
1990,84,66.821
1990,85,53.816
1990,86,41.879
1990,87,31.933
1990,88,24.372
1990,89,18.708
1990,90,13.916
1990,91,10.060
1990,92,7.050
1990,93,4.683
1990,94,2.911
1990,95,1.786
1990,96,1.356
1990,97,1.020
1990,98,0.620
1990,99,0.221
1990,100,0.394
1991,0,4358.684
1991,1,4376.847
1991,2,4347.427
1991,3,4305.532
1991,4,4252.157
1991,5,4188.299
1991,6,4115.052
1991,7,4033.518
1991,8,3944.178
1991,9,3847.828
1991,10,3745.763
1991,11,3640.046
1991,12,3532.124
1991,13,3420.734
1991,14,3306.066
1991,15,3190.580
1991,16,3075.545
1991,17,2959.537
1991,18,2856.287
1991,19,2772.409
1991,20,2701.873
1991,21,2631.524
1991,22,2563.415
1991,23,2496.637
1991,24,2429.227
1991,25,2361.682
1991,26,2296.678
1991,27,2233.973
1991,28,2168.956
1991,29,2099.697
1991,30,2027.872
1991,31,1957.130
1991,32,1886.770
1991,33,1817.346
1991,34,1749.507
1991,35,1682.870
1991,36,1616.753
1991,37,1551.747
1991,38,1486.342
1991,39,1419.865
1991,40,1353.386
1991,41,1289.574
1991,42,1228.994
1991,43,1168.944
1991,44,1108.699
1991,45,1050.269
1991,46,994.898
1991,47,940.506
1991,48,899.648
1991,49,878.099
1991,50,869.480
1991,51,861.332
1991,52,855.768
1991,53,847.714
1991,54,833.270
1991,55,814.518
1991,56,797.557
1991,57,781.301
1991,58,762.133
1991,59,738.907
1991,60,712.565
1991,61,685.600
1991,62,657.972
1991,63,627.991
1991,64,595.211
1991,65,560.568
1991,66,525.596
1991,67,490.175
1991,68,455.578
1991,69,422.670
1991,70,391.130
1991,71,359.796
1991,72,328.912
1991,73,299.546
1991,74,272.102
1991,75,246.336
