year,age,population
1990,0,4208.199
1990,1,4199.905
1990,2,4182.180
1990,3,4156.782
1990,4,4125.485
1990,5,4090.046
1990,6,4052.236
1990,7,4013.816
1990,8,3976.550
1990,9,3942.206
1990,10,3910.615
1990,11,3881.605
1990,12,3866.611
1990,13,3871.261
1990,14,3891.523
1990,15,3916.909
1990,16,3948.544
1990,17,3991.427
1990,18,4046.697
1990,19,4112.234
1990,20,4181.165
1990,21,4250.514
1990,22,4334.166
1990,23,4436.928
1990,24,4549.547
1990,25,4655.832
1990,26,4756.449
1990,27,4843.140
1990,28,4909.308
1990,29,4955.779
1990,30,4994.105
1990,31,5026.896
1990,32,5019.309
1990,33,4956.720
1990,34,4855.717
1990,35,4745.140
1990,36,4616.385
1990,37,4499.671
1990,38,4412.052
1990,39,4338.213
1990,40,4252.203
1990,41,4166.925
1990,42,4042.506
1990,43,3858.990
1990,44,3640.384
1990,45,3429.236
1990,46,3215.328
1990,47,3035.547
1990,48,2912.009
1990,49,2827.596
1990,50,2743.158
1990,51,2666.648
1990,52,2596.816
1990,53,2529.152
1990,54,2466.843
1990,55,2414.182
1990,56,2366.224
1990,57,2339.085
1990,58,2339.889
1990,59,2358.217
1990,60,2375.370
1990,61,2393.686
1990,62,2402.141
1990,63,2392.885
1990,64,2369.201
1990,65,2345.000
1990,66,2320.832
1990,67,2273.547
1990,68,2194.078
1990,69,2093.098
1990,70,1989.447
1990,71,1878.254
1990,72,1776.839
1990,73,1695.386
1990,74,1625.575
1990,75,1549.917
1990,76,1473.115
1990,77,1388.321
1990,78,1290.756
1990,79,1185.283
1990,80,1082.551
1990,81,981.646
1990,82,881.615
1990,83,783.477
1990,84,688.242
1990,85,595.773
1990,86,505.915
1990,87,425.502
1990,88,357.876
1990,89,300.553
1990,90,247.076
1990,91,197.994
1990,92,156.671
1990,93,123.907
1990,94,98.127
1990,95,76.641
1990,96,59.587
1990,97,45.328
1990,98,32.641
1990,99,21.785
1990,100,34.620
1991,0,4241.003
1991,1,4217.838
1991,2,4210.754
1991,3,4196.348
1991,4,4175.851
1991,5,4150.519
1991,6,4122.076
1991,7,4092.265
1991,8,4059.855
1991,9,4025.101
1991,10,3990.725
1991,11,3959.477
1991,12,3931.146
1991,13,3914.253
1991,14,3913.441
1991,15,3926.084
1991,16,3944.069
1991,17,3968.027
1991,18,4005.232
1991,19,4058.181
1991,20,4123.829
1991,21,4192.382
1991,22,4260.699
1991,23,4346.183
1991,24,4454.859
1991,25,4575.619
1991,26,4689.769
1991,27,4799.142
1991,28,4889.541
1991,29,4951.365
1991,30,4988.379
1991,31,5017.868
1991,32,5041.058
1991,33,5026.289
1991,34,4961.037
1991,35,4860.148
1991,36,4748.972
1991,37,4619.963
1991,38,4501.364
1991,39,4409.000
1991,40,4328.893
1991,41,4237.220
1991,42,4145.972
1991,43,4018.675
1991,44,3837.133
1991,45,3623.491
1991,46,3416.891
1991,47,3208.030
1991,48,3031.053
1991,49,2906.439
1991,50,2818.492
1991,51,2731.007
1991,52,2651.214
1991,53,2578.984
1991,54,2510.627
1991,55,2448.598
1991,56,2395.661
1991,57,2347.178
1991,58,2318.903
1991,59,2317.627
1991,60,2333.160
1991,61,2347.581
1991,62,2363.336
1991,63,2368.196
1991,64,2353.866
1991,65,2324.295
1991,66,2294.230
1991,67,2263.734
1991,68,2212.101
1991,69,2131.463
1991,70,2031.254
1991,71,1928.265
1991,72,1818.520
1991,73,1716.224
1991,74,1629.955
1991,75,1553.138
1991,76,1471.374
1991,77,1388.474
1991,78,1300.501
1991,79,1204.354
1991,80,1103.388
1991,81,1005.045
1991,82,909.029
1991,83,813.710
1991,84,719.435
1991,85,627.623
1991,86,539.128
1991,87,453.457
1991,88,377.656
1991,89,315.225
1991,90,263.397
1991,91,215.285
1991,92,171.541
1991,93,134.909
1991,94,105.832
1991,95,83.002
1991,96,61.041
1991,97,46.717
1991,98,33.752
1991,99,22.515
1991,100,37.148
1992,0,4280.177
1992,1,4262.688
1992,2,4226.526
1992,3,4220.647
1992,4,4209.552
1992,5,4193.954
1992,6,4174.582
1992,7,4153.136
1992,8,4131.323
1992,9,4104.926
1992,10,4072.683
1992,11,4038.286
1992,12,4007.392
1992,13,3979.743
1992,14,3960.951
1992,15,3954.688
1992,16,3959.716
1992,17,3970.297
1992,18,3986.586
1992,19,4018.103
1992,20,4068.725
1992,21,4134.466
1992,22,4202.628
1992,23,4269.897
1992,24,4357.190
1992,25,4471.741
1992,26,4600.597
1992,27,4722.561
1992,28,4840.650
1992,29,4934.726
1992,30,4992.196
1992,31,5019.760
1992,32,5040.420
1992,33,5054.018
1992,34,5032.089
1992,35,4964.186
1992,36,4863.439
1992,37,4751.687
1992,38,4622.458
1992,39,4502.000
1992,40,4404.922
1992,41,4318.563
1992,42,4221.255
1992,43,4124.058
1992,44,3993.914
1992,45,3814.382
1992,46,3605.759
1992,47,3403.746
1992,48,3199.975
1992,49,3025.837
1992,50,2900.183
1992,51,2808.735
1992,52,2718.222
1992,53,2635.174
1992,54,2560.569
1992,55,2491.530
1992,56,2429.796
1992,57,2376.586
1992,58,2327.588
1992,59,2298.182
1992,60,2294.830
1992,61,2307.572
1992,62,2319.259
1992,63,2332.459
1992,64,2333.726
1992,65,2314.333
1992,66,2278.888
1992,67,2242.971
1992,68,2206.159
1992,69,2150.194
1992,70,2068.408
1992,71,1968.994
1992,72,1866.695
1992,73,1758.423
1992,74,1655.271
1992,75,1564.214
1992,76,1480.405
1992,77,1392.565
1992,78,1303.591
1992,79,1212.458
1992,80,1117.755
1992,81,1021.310
1992,82,927.379
1992,83,836.271
1992,84,745.684
1992,85,655.288
1992,86,566.918
1992,87,482.407
1992,88,400.941
1992,89,329.765
1992,90,272.540
1992,91,226.211
1992,92,183.471
1992,93,145.073
1992,94,113.133
1992,95,87.753
1992,96,67.867
1992,97,47.441
1992,98,34.195
1992,99,22.812
1992,100,39.892
1993,0,4315.268
1993,1,4287.614
1993,2,4261.680
1993,3,4235.732
1993,4,4231.047
1993,5,4223.258
1993,6,4212.551
1993,7,4199.132
1993,8,4184.669
1993,9,4170.841
1993,10,4150.447
1993,11,4120.716
1993,12,4086.285
1993,13,4055.740
1993,14,4028.771
1993,15,4008.083
1993,16,3996.367
1993,17,3993.783
1993,18,3996.978
1993,19,4005.596
1993,20,4031.441
1993,21,4079.735
1993,22,4145.585
1993,23,4213.361
1993,24,4279.597
1993,25,4368.702
1993,26,4489.129
1993,27,4626.079
1993,28,4755.855
1993,29,4882.653
1993,30,4980.406
1993,31,5033.537
1993,32,5051.669
1993,33,5063.518
1993,34,5067.538
1993,35,5038.454
1993,36,4967.901
1993,37,4867.284
1993,38,4754.942
1993,39,4625.483
1993,40,4503.154
1993,41,4401.346
1993,42,4308.733
1993,43,4205.781
1993,44,4102.625
1993,45,3969.620
1993,46,3792.080
1993,47,3588.436
1993,48,3390.992
1993,49,3192.281
1993,50,3020.967
1993,51,2894.260
1993,52,2799.299
1993,53,2705.761
1993,54,2619.449
1993,55,2542.467
1993,56,2472.735
1993,57,2411.282
1993,58,2357.795
1993,59,2308.270
1993,60,2277.729
1993,61,2272.304
1993,62,2282.262
1993,63,2291.229
1993,64,2301.876
1993,65,2299.558
1993,66,2275.105
1993,67,2233.787
1993,68,2192.018
1993,69,2148.895
1993,70,2088.596
1993,71,2005.659
1993,72,1907.027
1993,73,1805.406
1993,74,1698.598
1993,75,1594.579
1993,76,1498.724
1993,77,1407.927
1993,78,1313.998
1993,79,1218.941
1993,80,1124.645
1993,81,1031.368
1993,82,939.436
1993,83,849.900
1993,84,763.687
1993,85,677.815
1993,86,591.282
1993,87,506.344
1993,88,425.800
1993,89,348.523
1993,90,281.959
1993,91,229.925
1993,92,189.088
1993,93,151.712
1993,94,118.646
1993,95,91.389
1993,96,69.697
1993,97,52.759
1993,98,34.156
1993,99,22.809
1993,100,42.611
1994,0,4331.555
1994,1,4301.007
1994,2,4275.598
1994,3,4254.668
1994,4,4247.300
1994,5,4243.810
1994,6,4239.321
1994,7,4233.495
1994,8,4226.016
1994,9,4218.530
1994,10,4212.680
1994,11,4198.273
1994,12,4171.033
1994,13,4136.552
1994,14,4106.337
1994,15,4080.026
1994,16,4057.435
1994,17,4040.256
1994,18,4030.066
1994,19,4025.866
1994,20,4026.824
1994,21,4047.006
1994,22,4093.009
