year,age,population
1990,0,1242.523
1990,1,1245.765
1990,2,1243.203
1990,3,1235.955
1990,4,1225.125
1990,5,1211.821
1990,6,1197.165
1990,7,1182.263
1990,8,1168.215
1990,9,1156.142
1990,10,1144.963
1990,11,1133.611
1990,12,1134.109
1990,13,1151.940
1990,14,1181.668
1990,15,1211.243
1990,16,1241.758
1990,17,1274.493
1990,18,1308.465
1990,19,1342.478
1990,20,1375.682
1990,21,1407.455
1990,22,1434.474
1990,23,1454.738
1990,24,1468.467
1990,25,1480.168
1990,26,1491.617
1990,27,1487.197
1990,28,1460.427
1990,29,1419.367
1990,30,1379.191
1990,31,1337.673
1990,32,1302.020
1990,33,1277.634
1990,34,1262.038
1990,35,1243.486
1990,36,1219.721
1990,37,1215.524
1990,38,1240.574
1990,39,1282.009
1990,40,1320.548
1990,41,1363.935
1990,42,1377.390
1990,43,1342.885
1990,44,1277.848
1990,45,1217.470
1990,46,1154.380
1990,47,1102.343
1990,48,1071.645
1990,49,1054.985
1990,50,1034.670
1990,51,1014.138
1990,52,995.676
1990,53,978.605
1990,54,963.250
1990,55,950.065
1990,56,938.330
1990,57,929.996
1990,58,925.869
1990,59,924.542
1990,60,922.513
1990,61,918.926
1990,62,917.561
1990,63,919.435
1990,64,921.718
1990,65,922.822
1990,66,925.779
1990,67,912.296
1990,68,873.996
1990,69,820.232
1990,70,767.127
1990,71,709.485
1990,72,665.531
1990,73,645.314
1990,74,639.404
1990,75,629.054
1990,76,618.933
1990,77,599.276
1990,78,563.640
1990,79,517.589
1990,80,473.795
1990,81,430.472
1990,82,386.643
1990,83,343.317
1990,84,300.880
1990,85,258.707
1990,86,216.944
1990,87,179.430
1990,88,148.024
1990,89,121.517
1990,90,96.515
1990,91,73.289
1990,92,54.271
1990,93,40.200
1990,94,30.022
1990,95,21.725
1990,96,15.445
1990,97,10.622
1990,98,6.679
1990,99,3.647
1990,100,6.570
1991,0,1236.727
1991,1,1244.536
1991,2,1246.674
1991,3,1243.491
1991,4,1236.012
1991,5,1225.246
1991,6,1212.334
1991,7,1198.423
1991,8,1183.933
1991,9,1169.640
1991,10,1156.935
1991,11,1145.290
1991,12,1133.498
1991,13,1133.760
1991,14,1151.697
1991,15,1181.740
1991,16,1211.566
1991,17,1242.332
1991,18,1275.181
1991,19,1309.036
1991,20,1342.769
1991,21,1375.739
1991,22,1407.323
1991,23,1434.020
1991,24,1453.777
1991,25,1466.912
1991,26,1478.031
1991,27,1488.829
1991,28,1484.117
1991,29,1457.618
1991,30,1417.170
1991,31,1377.550
1991,32,1336.630
1991,33,1301.339
1991,34,1276.917
1991,35,1261.012
1991,36,1242.206
1991,37,1218.171
1991,38,1213.695
1991,39,1238.488
1991,40,1279.676
1991,41,1317.931
1991,42,1361.010
1991,43,1374.154
1991,44,1339.323
1991,45,1273.965
1991,46,1213.240
1991,47,1149.748
1991,48,1097.422
1991,49,1066.612
1991,50,1049.931
1991,51,1029.530
1991,52,1008.899
1991,53,990.132
1991,54,972.457
1991,55,956.281
1991,56,942.243
1991,57,929.578
1991,58,920.265
1991,59,915.157
1991,60,912.809
1991,61,909.709
1991,62,905.062
1991,63,902.401
