year,age,population
1990,0,58.951
1990,1,57.347
1990,2,55.881
1990,3,54.574
1990,4,53.440
1990,5,52.501
1990,6,51.771
1990,7,51.269
1990,8,51.012
1990,9,51.016
1990,10,51.175
1990,11,51.378
1990,12,52.275
1990,13,54.145
1990,14,56.618
1990,15,59.043
1990,16,61.533
1990,17,63.634
1990,18,65.047
1990,19,65.943
1990,20,66.869
1990,21,67.799
1990,22,68.190
1990,23,67.847
1990,24,67.019
1990,25,66.123
1990,26,65.050
1990,27,64.252
1990,28,63.985
1990,29,64.044
1990,30,63.999
1990,31,63.986
1990,32,63.773
1990,33,63.228
1990,34,62.503
1990,35,61.749
1990,36,60.757
1990,37,60.440
1990,38,61.216
1990,39,62.557
1990,40,63.669
1990,41,64.874
1990,42,64.774
1990,43,62.645
1990,44,59.199
1990,45,55.923
1990,46,52.574
1990,47,49.471
1990,48,46.942
1990,49,44.846
1990,50,42.679
1990,51,40.508
1990,52,38.846
1990,53,37.891
1990,54,37.460
1990,55,37.147
1990,56,36.998
1990,57,37.057
1990,58,37.295
1990,59,37.683
1990,60,38.141
1990,61,38.598
1990,62,39.242
1990,63,40.132
1990,64,41.103
1990,65,41.988
1990,66,42.882
1990,67,43.122
1990,68,42.383
1990,69,40.967
1990,70,39.512
1990,71,37.899
1990,72,36.278
1990,73,34.789
1990,74,33.349
1990,75,31.750
1990,76,30.047
1990,77,28.258
1990,78,26.375
1990,79,24.423
1990,80,22.466
1990,81,20.520
1990,82,18.542
1990,83,16.532
1990,84,14.530
1990,85,12.584
1990,86,10.690
1990,87,8.961
1990,88,7.461
1990,89,6.153
1990,90,4.923
1990,91,3.780
1990,92,2.830
1990,93,2.108
1990,94,1.570
1990,95,1.119
1990,96,0.759
1990,97,0.488
1990,98,0.286
1990,99,0.149
1990,100,0.266
1991,0,59.606
1991,1,58.981
1991,2,57.491
1991,3,56.094
1991,4,54.817
1991,5,53.681
1991,6,52.709
1991,7,51.918
1991,8,51.370
1991,9,51.110
1991,10,51.138
1991,11,51.304
1991,12,51.509
1991,13,52.411
1991,14,54.288
1991,15,56.771
1991,16,59.206
1991,17,61.704
1991,18,63.819
1991,19,65.251
1991,20,66.172
1991,21,67.119
1991,22,68.073
1991,23,68.470
1991,24,68.113
1991,25,67.254
1991,26,66.329
1991,27,65.224
1991,28,64.397
1991,29,64.108
1991,30,64.149
1991,31,64.084
1991,32,64.049
1991,33,63.818
1991,34,63.257
1991,35,62.518
1991,36,61.752
1991,37,60.748
1991,38,60.417
1991,39,61.176
1991,40,62.499
1991,41,63.592
1991,42,64.781
1991,43,64.666
1991,44,62.526
1991,45,59.071
1991,46,55.785
1991,47,52.426
1991,48,49.315
1991,49,46.780
1991,50,44.678
1991,51,42.505
1991,52,40.326
1991,53,38.652
1991,54,37.680
1991,55,37.225
1991,56,36.887
1991,57,36.709
1991,58,36.734
1991,59,36.937
1991,60,37.284
1991,61,37.699
1991,62,38.112
1991,63,38.697
1991,64,39.511
1991,65,40.394
1991,66,41.190
1991,67,41.992
1991,68,42.148
1991,69,41.336
1991,70,39.858
1991,71,38.340
1991,72,36.670
1991,73,34.983
1991,74,33.415
1991,75,31.891
1991,76,30.216
1991,77,28.449
1991,78,26.609
1991,79,24.698
1991,80,22.737
1991,81,20.781
1991,82,18.843
1991,83,16.904
1991,84,14.971
1991,85,13.074
1991,86,11.239
1991,87,9.462
1991,88,7.860
1991,89,6.493
