year,age,population
1990,0,502.035
1990,1,503.194
1990,2,502.366
1990,3,499.902
1990,4,496.123
1990,5,491.383
1990,6,486.017
1990,7,480.367
1990,8,474.762
1990,9,469.555
1990,10,463.886
1990,11,456.897
1990,12,454.903
1990,13,460.589
1990,14,470.755
1990,15,480.197
1990,16,490.858
1990,17,495.038
1990,18,488.639
1990,19,475.674
1990,20,463.799
1990,21,451.017
1990,22,442.221
1990,23,440.431
1990,24,443.001
1990,25,444.200
1990,26,445.166
1990,27,444.744
1990,28,441.780
1990,29,437.042
1990,30,432.653
1990,31,428.418
1990,32,422.976
1990,33,415.977
1990,34,407.961
1990,35,399.474
1990,36,389.840
1990,37,382.322
1990,38,378.363
1990,39,376.243
1990,40,373.334
1990,41,370.859
1990,42,363.810
1990,43,349.650
1990,44,331.047
1990,45,313.184
1990,46,294.935
1990,47,279.086
1990,48,267.495
1990,49,258.840
1990,50,249.922
1990,51,241.387
1990,52,233.495
1990,53,226.090
1990,54,219.281
1990,55,213.121
1990,56,207.204
1990,57,203.117
1990,58,201.529
1990,59,201.478
1990,60,201.290
1990,61,201.272
1990,62,200.039
1990,63,196.707
1990,64,191.815
1990,65,187.043
1990,66,182.378
1990,67,175.957
1990,68,167.118
1990,69,156.747
1990,70,146.276
1990,71,135.196
1990,72,125.748
1990,73,119.102
1990,74,114.201
1990,75,108.896
1990,76,103.781
1990,77,97.619
1990,78,89.646
1990,79,80.587
1990,80,72.004
1990,81,63.638
1990,82,55.720
1990,83,48.551
1990,84,42.001
1990,85,35.650
1990,86,29.530
1990,87,24.202
1990,88,19.850
1990,89,16.288
1990,90,13.050
1990,91,10.224
1990,92,7.862
1990,93,5.977
1990,94,4.486
1990,95,3.306
1990,96,2.449
1990,97,1.758
1990,98,1.175
1990,99,0.699
1990,100,1.092
1991,0,508.402
1991,1,504.599
1991,2,504.570
1991,3,503.082
1991,4,500.381
1991,5,496.700
1991,6,492.390
1991,7,487.782
1991,8,482.673
1991,9,477.133
1991,10,471.682
1991,11,465.933
1991,12,458.964
1991,13,456.863
1991,14,462.238
1991,15,471.980
1991,16,481.026
1991,17,491.282
1991,18,495.205
1991,19,488.796
1991,20,475.988
1991,21,464.243
1991,22,451.576
1991,23,443.009
1991,24,441.617
1991,25,444.659
1991,26,446.331
1991,27,447.815
1991,28,447.666
1991,29,444.591
1991,30,439.499
1991,31,434.770
1991,32,430.151
1991,33,424.446
1991,34,417.428
1991,35,409.530
1991,36,401.103
1991,37,391.537
1991,38,383.945
1991,39,379.702
1991,40,377.162
1991,41,373.863
1991,42,370.985
1991,43,363.612
1991,44,349.265
1991,45,330.564
1991,46,312.591
1991,47,294.228
1991,48,278.287
1991,49,266.633
1991,50,257.918
1991,51,248.953
1991,52,240.370
1991,53,232.425
1991,54,224.961
1991,55,218.082
1991,56,211.840
1991,57,205.848
1991,58,201.634
1991,59,199.830
1991,60,199.519
1991,61,199.066
1991,62,198.776
1991,63,197.281
1991,64,193.722
1991,65,188.627
1991,66,183.642
1991,67,178.771
1991,68,172.148
1991,69,163.107
1991,70,152.553
1991,71,141.911
1991,72,130.676
1991,73,121.082
1991,74,114.292
1991,75,109.250
1991,76,103.840
1991,77,98.644
1991,78,92.448
1991,79,84.484
1991,80,75.490
1991,81,66.990
1991,82,58.730
1991,83,51.001
1991,84,44.142
1991,85,37.984
1991,86,32.031
1991,87,26.319
1991,88,21.391
1991,89,17.407
1991,90,14.184
1991,91,11.286
1991,92,8.800
1991,93,6.728
1991,94,5.076
1991,95,3.764
1991,96,2.558
1991,97,1.847
1991,98,1.244
1991,99,0.737
1991,100,1.171
1992,0,519.269
1992,1,518.494
1992,2,506.848
1992,3,505.628
1992,4,503.459
1992,5,500.516
1992,6,496.926
1992,7,493.045
1992,8,489.198
1992,9,484.635
1992,10,479.167
1992,11,473.470
1992,12,467.644
1992,13,460.715
1992,14,458.494
1992,15,463.558
1992,16,472.865
1992,17,481.496
1992,18,491.338
1992,19,494.997
1992,20,488.572
1992,21,475.927
1992,22,464.322
1992,23,451.771
1992,24,443.447
