year,age,population
1990,0,67.040
1990,1,66.060
1990,2,64.849
1990,3,63.424
1990,4,61.803
1990,5,59.998
1990,6,58.030
1990,7,55.909
1990,8,53.659
1990,9,51.288
1990,10,48.900
1990,11,46.596
1990,12,43.972
1990,13,40.876
1990,14,37.579
1990,15,34.425
1990,16,31.261
1990,17,28.949
1990,18,27.927
1990,19,27.782
1990,20,27.653
1990,21,27.678
1990,22,27.739
1990,23,27.673
1990,24,27.548
1990,25,27.572
1990,26,27.689
1990,27,27.766
1990,28,27.752
1990,29,27.661
1990,30,27.555
1990,31,27.418
1990,32,27.178
1990,33,26.806
1990,34,26.317
1990,35,25.779
1990,36,25.208
1990,37,24.460
1990,38,23.484
1990,39,22.352
1990,40,21.196
1990,41,19.991
1990,42,18.839
1990,43,17.804
1990,44,16.845
1990,45,15.867
1990,46,14.896
1990,47,13.934
1990,48,12.984
1990,49,12.051
1990,50,11.155
1990,51,10.290
1990,52,9.488
1990,53,8.770
1990,54,8.120
1990,55,7.504
1990,56,6.927
1990,57,6.402
1990,58,5.939
1990,59,5.524
1990,60,5.144
1990,61,4.798
1990,62,4.487
1990,63,4.205
1990,64,3.951
1990,65,3.719
1990,66,3.510
1990,67,3.311
1990,68,3.120
1990,69,2.934
1990,70,2.763
1990,71,2.602
1990,72,2.435
1990,73,2.252
1990,74,2.060
1990,75,1.877
1990,76,1.702
1990,77,1.527
1990,78,1.351
1990,79,1.177
1990,80,1.013
1990,81,0.851
1990,82,0.708
1990,83,0.588
1990,84,0.481
1990,85,0.386
1990,86,0.296
1990,87,0.223
1990,88,0.166
1990,89,0.124
1990,90,0.090
1990,91,0.062
1990,92,0.041
1990,93,0.026
1990,94,0.014
1990,95,0.009
1990,96,0.006
1990,97,0.005
1990,98,0.003
1990,99,0.000
1990,100,0.001
1991,0,66.561
1991,1,65.661
1991,2,64.783
1991,3,63.701
1991,4,62.423
1991,5,60.955
1991,6,59.324
1991,7,57.562
1991,8,55.558
1991,9,53.277
1991,10,50.790
1991,11,48.322
1991,12,45.963
1991,13,43.309
1991,14,40.222
1991,15,36.985
1991,16,33.888
1991,17,30.747
1991,18,28.682
1991,19,28.246
1991,20,28.888
1991,21,29.497
1991,22,30.272
1991,23,30.875
1991,24,31.012
1991,25,30.850
1991,26,30.846
1991,27,30.924
1991,28,30.833
1991,29,30.504
1991,30,29.999
1991,31,29.450
1991,32,28.824
1991,33,28.180
1991,34,27.563
1991,35,26.933
1991,36,26.235
1991,37,25.515
1991,38,24.611
1991,39,23.449
1991,40,22.124
1991,41,20.800
1991,42,19.440
1991,43,18.196
1991,44,17.163
1991,45,16.269
1991,46,15.359
1991,47,14.470
1991,48,13.577
1991,49,12.664
1991,50,11.745
1991,51,10.877
1991,52,10.043
1991,53,9.267
1991,54,8.563
1991,55,7.918
1991,56,7.308
1991,57,6.734
1991,58,6.211
1991,59,5.748
1991,60,5.332
1991,61,4.951
1991,62,4.601
1991,63,4.289
1991,64,4.010
1991,65,3.762
1991,66,3.536
1991,67,3.331
1991,68,3.139
1991,69,2.956
1991,70,2.779
1991,71,2.618
1991,72,2.466
1991,73,2.307
1991,74,2.125
1991,75,1.931
1991,76,1.748
1991,77,1.572
1991,78,1.399
1991,79,1.231
1991,80,1.068
1991,81,0.913
1991,82,0.763
1991,83,0.630
1991,84,0.520
1991,85,0.422
1991,86,0.338
1991,87,0.257
1991,88,0.193
1991,89,0.143
1991,90,0.105
1991,91,0.076
1991,92,0.052
1991,93,0.035
1991,94,0.022
1991,95,0.012
1991,96,0.008
1991,97,0.005
1991,98,0.004
1991,99,0.000
1991,100,0.001
1992,0,66.151
1992,1,65.358
1992,2,64.597
1992,3,63.819
1992,4,62.860
1992,5,61.723
1992,6,60.403
1992,7,58.937
1992,8,57.375
1992,9,55.477
1992,10,53.155
1992,11,50.539
1992,12,47.978
1992,13,45.552
1992,14,42.854
1992,15,39.764
1992,16,36.568
1992,17,33.517
1992,18,30.380
1992,19,28.555
1992,20,28.705
1992,21,30.139
1992,22,31.493
1992,23,33.025
1992,24,34.175
1992,25,34.517
1992,26,34.315
1992,27,34.285
1992,28,34.322
1992,29,34.064
1992,30,33.416
1992,31,32.493
1992,32,31.497
1992,33,30.376
1992,34,29.325
1992,35,28.458
1992,36,27.683
1992,37,26.821
1992,38,25.949
1992,39,24.883
1992,40,23.529
1992,41,22.002
1992,42,20.506
1992,43,18.981
1992,44,17.640
1992,45,16.604
1992,46,15.770
1992,47,14.924
1992,48,14.112
1992,49,13.287
1992,50,12.403
1992,51,11.497
1992,52,10.650
1992,53,9.845
1992,54,9.090
1992,55,8.396
1992,56,7.755
1992,57,7.147
1992,58,6.573
1992,59,6.050
1992,60,5.584
1992,61,5.166
1992,62,4.781
1992,63,4.426
1992,64,4.110
1992,65,3.835
1992,66,3.590
1992,67,3.369
1992,68,3.169
1992,69,2.982
1992,70,2.806
1992,71,2.637
1992,72,2.484
1992,73,2.342
1992,74,2.189
1992,75,2.008
1992,76,1.812
1992,77,1.627
1992,78,1.449
1992,79,1.278
1992,80,1.115
1992,81,0.964
1992,82,0.818
1992,83,0.678
1992,84,0.555
1992,85,0.453
1992,86,0.366
1992,87,0.291
1992,88,0.220
1992,89,0.163
1992,90,0.120
1992,91,0.087
1992,92,0.062
1992,93,0.044
1992,94,0.029
1992,95,0.018
1992,96,0.009
1992,97,0.007
1992,98,0.004
1992,99,0.001
1992,100,0.002
1993,0,65.522
1993,1,64.771
1993,2,64.017
1993,3,63.548
1993,4,62.870
1993,5,62.037
1993,6,61.040
1993,7,59.869
1993,8,58.570
1993,9,57.207
1993,10,55.417
1993,11,53.053
1993,12,50.305
1993,13,47.650
1993,14,45.155
1993,15,42.412
1993,16,39.316
1993,17,36.163
1993,18,33.153
1993,19,30.022
1993,20,28.438
1993,21,29.180
1993,22,31.413
1993,23,33.520
1993,24,35.817
1993,25,37.519
1993,26,38.066
1993,27,37.827
1993,28,37.769
1993,29,37.766
1993,30,37.338
1993,31,36.368
1993,32,35.023
1993,33,33.577
1993,34,31.954
1993,35,30.491
1993,36,29.373
1993,37,28.451
1993,38,27.423
1993,39,26.396
1993,40,25.167
1993,41,23.619
1993,42,21.889
1993,43,20.216
1993,44,18.525
1993,45,17.086
1993,46,16.046
1993,47,15.272
1993,48,14.491
1993,49,13.757
1993,50,12.998
1993,51,12.146
1993,52,11.250
1993,53,10.425
1993,54,9.650
1993,55,8.914
1993,56,8.232
1993,57,7.593
1993,58,6.987
1993,59,6.414
1993,60,5.889
1993,61,5.421
1993,62,5.000
1993,63,4.611
1993,64,4.251
1993,65,3.932
1993,66,3.658
1993,67,3.420
1993,68,3.201
1993,69,3.006
1993,70,2.824
1993,71,2.656
1993,72,2.495
1993,73,2.350
1993,74,2.218
1993,75,2.071
1993,76,1.891
1993,77,1.692
1993,78,1.505
1993,79,1.326
1993,80,1.155
1993,81,1.000
1993,82,0.858
1993,83,0.723
1993,84,0.593
1993,85,0.478
1993,86,0.387
1993,87,0.310
1993,88,0.243
1993,89,0.182
1993,90,0.134
1993,91,0.096
1993,92,0.069
1993,93,0.049
1993,94,0.034
1993,95,0.023
1993,96,0.014
1993,97,0.007
1993,98,0.006
1993,99,0.000
1993,100,0.003
1994,0,64.318
1994,1,63.655
1994,2,63.045
1994,3,62.458
1994,4,62.172
1994,5,61.595
1994,6,60.893
1994,7,60.043
1994,8,59.026
1994,9,57.903
1994,10,56.747
1994,11,55.074
1994,12,52.680
1994,13,49.813
1994,14,47.077
1994,15,44.526
1994,16,41.752
1994,17,38.665
1994,18,35.571
1994,19,32.620
1994,20,29.509
1994,21,28.175
1994,22,29.508
1994,23,32.533
1994,24,35.385
1994,25,38.438
1994,26,40.688
1994,27,41.439
1994,28,41.161
1994,29,41.076
1994,30,41.033
1994,31,40.437
1994,32,39.148
1994,33,37.386
1994,34,35.493
1994,35,33.378
1994,36,31.507
1994,37,30.141
1994,38,29.078
1994,39,27.888
1994,40,26.712
1994,41,25.324
1994,42,23.588
1994,43,21.663
1994,44,19.822
1994,45,17.973
1994,46,16.442
1994,47,15.403
1994,48,14.695
1994,49,13.981
1994,50,13.331
1994,51,12.641
1994,52,11.825
1994,53,10.944
1994,54,10.147
1994,55,9.403
1994,56,8.694
1994,57,8.023
1994,58,7.393
1994,59,6.790
1994,60,6.221
1994,61,5.698
1994,62,5.229
1994,63,4.808
1994,64,4.417
1994,65,4.053
1994,66,3.734
1994,67,3.462
1994,68,3.230
1994,69,3.018
1994,70,2.826
1994,71,2.651
1994,72,2.491
1994,73,2.340
1994,74,2.203
1994,75,2.082
1994,76,1.942
1994,77,1.764
1994,78,1.563
1994,79,1.375
1994,80,1.195
1994,81,1.027
1994,82,0.879
1994,83,0.748
1994,84,0.623
1994,85,0.503
1994,86,0.401
1994,87,0.317
1994,88,0.252
1994,89,0.194
1994,90,0.143
1994,91,0.103
1994,92,0.073
1994,93,0.050
1994,94,0.035
1994,95,0.024
1994,96,0.017
1994,97,0.011
1994,98,0.004
1994,99,0.002
1994,100,0.003
1995,0,62.378
1995,1,61.885
1995,2,61.464
1995,3,61.080
1995,4,60.699
1995,5,60.289
1995,6,59.820
1995,7,59.252
1995,8,58.556
1995,9,57.700
1995,10,56.759
1995,11,55.819
1995,12,54.276
1995,13,51.871
1995,14,48.911
1995,15,46.118
1995,16,43.532
1995,17,40.750
1995,18,37.699
