year,age,population
1990,0,277.855
1990,1,298.777
1990,2,317.912
1990,3,335.222
1990,4,350.675
1990,5,364.237
1990,6,375.877
1990,7,385.559
1990,8,393.249
1990,9,398.915
1990,10,403.474
1990,11,407.852
1990,12,407.242
1990,13,399.709
1990,14,388.076
1990,15,376.474
1990,16,363.317
1990,17,356.345
1990,18,359.593
1990,19,369.314
1990,20,377.631
1990,21,386.008
1990,22,392.655
1990,23,395.847
1990,24,396.578
1990,25,397.649
1990,26,398.607
1990,27,397.902
1990,28,395.067
1990,29,390.564
1990,30,384.895
1990,31,377.461
1990,32,370.691
1990,33,365.683
1990,34,361.014
1990,35,355.325
1990,36,350.280
1990,37,338.090
1990,38,315.192
1990,39,285.898
1990,40,257.716
1990,41,228.700
1990,42,206.090
1990,43,194.099
1990,44,189.304
1990,45,183.808
1990,46,178.891
1990,47,175.112
1990,48,171.866
1990,49,169.138
1990,50,167.594
1990,51,167.167
1990,52,165.963
1990,53,163.130
1990,54,159.328
1990,55,155.835
1990,56,152.097
1990,57,149.393
1990,58,148.388
1990,59,148.229
1990,60,147.590
1990,61,146.991
1990,62,144.195
1990,63,138.037
1990,64,129.643
1990,65,121.417
1990,66,113.017
1990,67,104.668
1990,68,96.770
1990,69,89.251
1990,70,81.500
1990,71,73.490
1990,72,66.635
1990,73,61.534
1990,74,57.574
1990,75,53.672
1990,76,50.191
1990,77,45.995
1990,78,40.455
1990,79,34.194
1990,80,28.421
1990,81,22.837
1990,82,18.154
1990,83,14.822
1990,84,12.465
1990,85,10.221
1990,86,8.225
1990,87,6.535
1990,88,5.087
1990,89,3.874
1990,90,2.933
1990,91,2.239
1990,92,1.676
1990,93,1.188
1990,94,0.782
1990,95,0.518
1990,96,0.375
1990,97,0.267
1990,98,0.159
1990,99,0.061
1990,100,0.137
1991,0,289.071
1991,1,282.424
1991,2,300.337
1991,3,317.556
1991,4,333.866
1991,5,349.053
1991,6,363.078
1991,7,375.904
1991,8,386.436
1991,9,394.104
1991,10,399.224
1991,11,403.599
1991,12,407.976
1991,13,407.338
1991,14,399.733
1991,15,387.999
1991,16,376.305
1991,17,363.072
1991,18,355.992
1991,19,359.087
1991,20,368.632
1991,21,376.784
1991,22,384.980
1991,23,391.551
1991,24,394.831
1991,25,395.750
1991,26,396.998
1991,27,398.149
1991,28,397.570
1991,29,394.747
1991,30,390.181
1991,31,384.466
1991,32,376.988
1991,33,370.178
1991,34,365.143
1991,35,360.456
1991,36,354.741
1991,37,349.663
1991,38,337.454
1991,39,314.560
1991,40,285.283
1991,41,257.114
1991,42,228.111
1991,43,205.508
1991,44,193.516
1991,45,188.712
1991,46,183.204
1991,47,178.270
1991,48,174.468
1991,49,171.184
1991,50,168.410
1991,51,166.812
1991,52,166.320
1991,53,165.046
1991,54,162.135
1991,55,158.248
1991,56,154.663
1991,57,150.832
1991,58,148.005
1991,59,146.838
1991,60,146.490
1991,61,145.667
1991,62,144.882
1991,63,141.917
1991,64,135.615
1991,65,127.100
1991,66,118.754
1991,67,110.235
1991,68,101.795
1991,69,93.842
1991,70,86.293
1991,71,78.529
1991,72,70.538
1991,73,63.664
1991,74,58.473
1991,75,54.395
1991,76,50.401
1991,77,46.826
1991,78,42.665
1991,79,37.355
1991,80,31.447
1991,81,26.020
1991,82,20.801
1991,83,16.435
1991,84,13.327
1991,85,11.135
1991,86,9.068
1991,87,7.251
