year,age,population
1990,0,4001.962
1990,1,3833.690
1990,2,3675.806
1990,3,3527.723
1990,4,3388.845
1990,5,3258.579
1990,6,3136.335
1990,7,3021.516
1990,8,2913.529
1990,9,2811.785
1990,10,2716.421
1990,11,2627.581
1990,12,2540.998
1990,13,2454.611
1990,14,2370.029
1990,15,2290.170
1990,16,2213.543
1990,17,2144.042
1990,18,2083.610
1990,19,2029.693
1990,20,1977.306
1990,21,1926.865
1990,22,1877.166
1990,23,1826.919
1990,24,1776.172
1990,25,1726.476
1990,26,1677.779
1990,27,1625.805
1990,28,1568.662
1990,29,1507.965
1990,30,1448.998
1990,31,1392.818
1990,32,1331.202
1990,33,1261.278
1990,34,1187.896
1990,35,1117.345
1990,36,1046.644
1990,37,992.001
1990,38,961.577
1990,39,947.533
1990,40,933.191
1990,41,921.069
1990,42,909.142
1990,43,894.461
1990,44,877.857
1990,45,863.723
1990,46,851.916
1990,47,834.522
1990,48,808.269
1990,49,776.360
1990,50,745.211
1990,51,713.467
1990,52,683.802
1990,53,658.173
1990,54,635.177
1990,55,611.449
1990,56,587.650
1990,57,564.146
1990,58,540.779
1990,59,517.640
1990,60,494.911
1990,61,472.483
1990,62,450.556
1990,63,429.223
1990,64,408.320
1990,65,387.653
1990,66,367.339
1990,67,346.735
1990,68,325.522
1990,69,304.026
1990,70,282.957
1990,71,262.273
1990,72,241.826
1990,73,221.649
1990,74,201.854
1990,75,182.637
1990,76,164.081
1990,77,146.145
1990,78,128.867
1990,79,112.394
1990,80,96.772
1990,81,81.915
1990,82,68.744
1990,83,57.697
1990,84,48.373
1990,85,39.857
1990,86,32.231
1990,87,25.696
1990,88,20.222
1990,89,15.694
1990,90,11.939
1990,91,8.905
1990,92,6.488
1990,93,4.591
1990,94,3.153
1990,95,2.187
1990,96,1.655
1990,97,1.246
1990,98,0.798
1990,99,0.371
1990,100,0.775
1991,0,4021.957
1991,1,3951.126
1991,2,3799.502
1991,3,3653.755
1991,4,3513.913
1991,5,3379.997
1991,6,3251.560
1991,7,3128.154
1991,8,3012.161
1991,9,2904.554
1991,10,2803.939
1991,11,2708.162
1991,12,2617.910
1991,13,2529.900
1991,14,2442.362
1991,15,2356.828
1991,16,2275.815
1991,17,2197.870
1991,18,2127.559
1991,19,2067.102
1991,20,2013.703
1991,21,1961.819
1991,22,1911.937
1991,23,1862.915
1991,24,1813.418
1991,25,1763.471
1991,26,1714.643
1991,27,1666.887
1991,28,1615.699
1991,29,1559.074
1991,30,1498.714
1991,31,1440.095
1991,32,1384.230
1991,33,1322.917
1991,34,1253.313
1991,35,1180.241
1991,36,1109.947
1991,37,1039.462
1991,38,984.962
1991,39,954.585
1991,40,940.516
1991,41,926.123
1991,42,913.921
1991,43,901.886
1991,44,887.075
1991,45,870.320
1991,46,856.012
1991,47,844.006
1991,48,826.426
1991,49,800.020
1991,50,767.973
1991,51,736.670
1991,52,704.760
1991,53,674.914
1991,54,649.087
1991,55,625.874
1991,56,601.922
1991,57,577.888
1991,58,554.135
1991,59,530.509
1991,60,507.097
1991,61,484.095
1991,62,461.404
1991,63,439.162
1991,64,417.434
1991,65,396.096
1991,66,375.026
1991,67,354.340
1991,68,333.404
1991,69,311.917
1991,70,290.210
1991,71,268.983
1991,72,248.199
1991,73,227.763
1991,74,207.738
1991,75,188.219
1991,76,169.335
1991,77,151.158
1991,78,133.773
1991,79,117.267
1991,80,101.718
1991,81,87.043
1991,82,73.166
1991,83,60.959
1991,84,50.812
1991,85,42.338
1991,86,34.674
1991,87,27.891
1991,88,22.114
1991,89,17.281
1991,90,13.297
1991,91,10.052
1991,92,7.488
1991,93,5.453
1991,94,3.833
1991,95,2.588
1991,96,1.685
1991,97,1.258
1991,98,0.796
1991,99,0.364
1991,100,0.774
1992,0,4003.476
1992,1,3907.951
1992,2,3903.527
1992,3,3768.415
1992,4,3634.676
1992,5,3502.955
1992,6,3373.889
1992,7,3247.174
1992,8,3122.507
1992,9,3005.250
1992,10,2897.933
1992,11,2798.366
1992,12,2702.099
1992,13,2610.363
1992,14,2520.856
1992,15,2432.096
1992,16,2345.544
1992,17,2263.312
1992,18,2183.987
1992,19,2112.809
1992,20,2052.280
1992,21,1999.354
1992,22,1947.931
1992,23,1898.568
1992,24,1850.181
1992,25,1801.395
1992,26,1752.206
1992,27,1704.206
1992,28,1657.353
1992,29,1606.907
1992,30,1550.754
1992,31,1490.683
1992,32,1432.363
1992,33,1376.768
1992,34,1315.709
1992,35,1246.367
1992,36,1173.547
1992,37,1103.452
1992,38,1033.127
1992,39,978.726
1992,40,948.370
1992,41,934.264
1992,42,919.810
1992,43,907.519
1992,44,895.365
1992,45,880.411
1992,46,863.493
1992,47,849.001
1992,48,836.784
1992,49,819.006
1992,50,792.425
1992,51,760.215
1992,52,728.731
1992,53,696.629
1992,54,666.581
1992,55,640.532
1992,56,617.086
1992,57,592.890
1992,58,568.601
1992,59,544.582
1992,60,520.676
1992,61,496.974
1992,62,473.679
1992,63,450.708
1992,64,428.132
1992,65,405.993
1992,66,384.203
1992,67,362.715
1992,68,341.639
1992,69,320.354
1992,70,298.576
1992,71,276.641
1992,72,255.239
1992,73,234.338
1992,74,213.897
1992,75,194.007
1992,76,174.748
1992,77,156.182
1992,78,138.369
1992,79,121.520
1992,80,105.773
1992,81,91.133
1992,82,77.392
1992,83,64.485
1992,84,53.230
1992,85,43.975
1992,86,36.343
1992,87,29.523
1992,88,23.577
