year,age,population
1990,0,63.696
1990,1,62.690
1990,2,61.803
1990,3,61.026
1990,4,60.344
1990,5,59.743
1990,6,59.207
1990,7,58.727
1990,8,58.287
1990,9,57.871
1990,10,57.471
1990,11,57.065
1990,12,56.647
1990,13,56.206
1990,14,55.724
1990,15,55.213
1990,16,54.692
1990,17,53.990
1990,18,53.040
1990,19,51.914
1990,20,50.759
1990,21,49.549
1990,22,48.348
1990,23,47.205
1990,24,46.087
1990,25,44.918
1990,26,43.724
1990,27,42.477
1990,28,41.157
1990,29,39.793
1990,30,38.429
1990,31,37.068
1990,32,35.709
1990,33,34.362
1990,34,33.032
1990,35,31.720
1990,36,30.424
1990,37,29.182
1990,38,28.010
1990,39,26.897
1990,40,25.814
1990,41,24.760
1990,42,23.778
1990,43,22.888
1990,44,22.065
1990,45,21.273
1990,46,20.517
1990,47,19.778
1990,48,19.039
1990,49,18.308
1990,50,17.611
1990,51,16.940
1990,52,16.284
1990,53,15.640
1990,54,15.010
1990,55,14.400
1990,56,13.806
1990,57,13.233
1990,58,12.684
1990,59,12.155
1990,60,11.640
1990,61,11.138
1990,62,10.653
1990,63,10.181
1990,64,9.724
1990,65,9.277
1990,66,8.840
1990,67,8.414
1990,68,7.998
1990,69,7.592
1990,70,7.192
1990,71,6.800
1990,72,6.404
1990,73,5.993
1990,74,5.575
1990,75,5.169
1990,76,4.770
1990,77,4.375
1990,78,3.988
1990,79,3.607
1990,80,3.238
1990,81,2.883
1990,82,2.547
1990,83,2.236
1990,84,1.949
1990,85,1.675
1990,86,1.421
1990,87,1.190
1990,88,0.987
1990,89,0.811
1990,90,0.650
1990,91,0.507
1990,92,0.386
1990,93,0.294
1990,94,0.221
1990,95,0.161
1990,96,0.116
1990,97,0.080
1990,98,0.052
1990,99,0.031
1990,100,0.056
1991,0,63.782
1991,1,63.452
1991,2,62.543
1991,3,61.722
1991,4,60.984
1991,5,60.319
1991,6,59.715
1991,7,59.153
1991,8,58.655
1991,9,58.216
1991,10,57.815
1991,11,57.418
1991,12,57.009
1991,13,56.587
1991,14,56.142
1991,15,55.655
1991,16,55.140
1991,17,54.613
1991,18,53.906
1991,19,52.953
1991,20,51.824
1991,21,50.667
1991,22,49.453
1991,23,48.251
1991,24,47.108
1991,25,45.989
1991,26,44.821
1991,27,43.628
1991,28,42.381
1991,29,41.063
1991,30,39.701
1991,31,38.339
1991,32,36.980
1991,33,35.623
1991,34,34.277
1991,35,32.949
1991,36,31.638
1991,37,30.342
1991,38,29.102
1991,39,27.928
1991,40,26.816
1991,41,25.731
1991,42,24.676
1991,43,23.692
1991,44,22.800
1991,45,21.975
1991,46,21.181
1991,47,20.422
1991,48,19.680
1991,49,18.938
1991,50,18.204
1991,51,17.504
1991,52,16.829
1991,53,16.169
1991,54,15.521
1991,55,14.886
1991,56,14.271
1991,57,13.673
1991,58,13.094
1991,59,12.539
1991,60,12.005
1991,61,11.482
1991,62,10.975
1991,63,10.483
1991,64,10.004
1991,65,9.540
1991,66,9.086
1991,67,8.642
1991,68,8.209
1991,69,7.785
1991,70,7.372
1991,71,6.965
1991,72,6.567
1991,73,6.166
1991,74,5.752
1991,75,5.331
1991,76,4.924
1991,77,4.525
1991,78,4.132
1991,79,3.750
1991,80,3.375
1991,81,3.013
1991,82,2.667
1991,83,2.342
1991,84,2.043
1991,85,1.770
1991,86,1.512
1991,87,1.272
1991,88,1.058
1991,89,0.870
1991,90,0.711
1991,91,0.565
1991,92,0.439
1991,93,0.331
1991,94,0.249
1991,95,0.186
1991,96,0.124
1991,97,0.085
1991,98,0.056
1991,99,0.033
1991,100,0.061
1992,0,63.661
1992,1,63.081
1992,2,63.242
1992,3,62.430
1992,4,61.674
1992,5,60.975
1992,6,60.327
1992,7,59.718
1992,8,59.131
1992,9,58.614
1992,10,58.178
1992,11,57.790
1992,12,57.394
1992,13,56.984
1992,14,56.558
1992,15,56.108
1992,16,55.618
1992,17,55.096
1992,18,54.563
1992,19,53.852
1992,20,52.894
1992,21,51.762
1992,22,50.601
1992,23,49.385
1992,24,48.180
1992,25,47.035
1992,26,45.917
1992,27,44.748
1992,28,43.555
1992,29,42.309
1992,30,40.991
1992,31,39.630
1992,32,38.270
1992,33,36.912
1992,34,35.556
1992,35,34.211
1992,36,32.884
1992,37,31.572
1992,38,30.278
1992,39,29.036
1992,40,27.863
1992,41,26.748
1992,42,25.662
1992,43,24.605
1992,44,23.619
1992,45,22.725
1992,46,21.897
1992,47,21.100
1992,48,20.338
1992,49,19.592
1992,50,18.848
1992,51,18.110
1992,52,17.406
1992,53,16.728
1992,54,16.062
1992,55,15.411
1992,56,14.770
1992,57,14.150
1992,58,13.547
1992,59,12.962
1992,60,12.402
1992,61,11.860
1992,62,11.332
1992,63,10.818
1992,64,10.318
1992,65,9.833
1992,66,9.360
1992,67,8.900
1992,68,8.449
1992,69,8.008
1992,70,7.577
1992,71,7.155
1992,72,6.742
1992,73,6.339
1992,74,5.932
1992,75,5.513
1992,76,5.091
1992,77,4.682
1992,78,4.282
1992,79,3.892
1992,80,3.513
1992,81,3.144
1992,82,2.792
1992,83,2.452
1992,84,2.137
1992,85,1.852
1992,86,1.593
1992,87,1.349
1992,88,1.124
1992,89,0.926
1992,90,0.755
1992,91,0.611
1992,92,0.481
1992,93,0.370
1992,94,0.276
1992,95,0.206
1992,96,0.150
1992,97,0.091
1992,98,0.060
1992,99,0.035
1992,100,0.065
1993,0,63.543
1993,1,63.235
1993,2,62.869
1993,3,63.053
1993,4,62.337
1993,5,61.646
1993,6,60.985
1993,7,60.354
1993,8,59.740
1993,9,59.129
1993,10,58.591
1993,11,58.158
1993,12,57.783
1993,13,57.390
1993,14,56.977
1993,15,56.546
1993,16,56.092
1993,17,55.597
1993,18,55.071
1993,19,54.531
1993,20,53.814
1993,21,52.853
1993,22,51.715
1993,23,50.553
1993,24,49.332
1993,25,48.125
1993,26,46.977
1993,27,45.859
1993,28,44.690
1993,29,43.495
1993,30,42.250
1993,31,40.932
1993,32,39.572
1993,33,38.213
1993,34,36.855
1993,35,35.501
1993,36,34.156
1993,37,32.828
1993,38,31.517
1993,39,30.223
1993,40,28.981
1993,41,27.805
1993,42,26.689
1993,43,25.601
1993,44,24.543
1993,45,23.554
1993,46,22.656
1993,47,21.826
1993,48,21.025
1993,49,20.261
1993,50,19.511
1993,51,18.764
1993,52,18.022
1993,53,17.313
1993,54,16.631
1993,55,15.962
1993,56,15.304
1993,57,14.660
1993,58,14.034
1993,59,13.424
1993,60,12.835
1993,61,12.267
1993,62,11.720
1993,63,11.185
1993,64,10.664
1993,65,10.157
1993,66,9.665
1993,67,9.184
1993,68,8.717
1993,69,8.257
1993,70,7.810
1993,71,7.372
1993,72,6.941
1993,73,6.521
1993,74,6.112
1993,75,5.699
1993,76,5.277
1993,77,4.852
1993,78,4.441
1993,79,4.041
1993,80,3.652
1993,81,3.278
1993,82,2.915
1993,83,2.570
1993,84,2.239
1993,85,1.933
1993,86,1.661
1993,87,1.415
1993,88,1.187
1993,89,0.977
1993,90,0.795
1993,91,0.639
1993,92,0.511
1993,93,0.397
1993,94,0.301
1993,95,0.222
1993,96,0.162
1993,97,0.115
1993,98,0.064
1993,99,0.038
1993,100,0.070
1994,0,63.719
1994,1,63.569
1994,2,63.321
1994,3,62.993
1994,4,62.863
1994,5,62.241
1994,6,61.617
1994,7,60.995
1994,8,60.380
1994,9,59.762
1994,10,59.124
1994,11,58.568
1994,12,58.136
1994,13,57.777
1994,14,57.385
1994,15,56.968
1994,16,56.534
1994,17,56.075
1994,18,55.576
1994,19,55.044
1994,20,54.497
1994,21,53.776
1994,22,52.810
1994,23,51.669
1994,24,50.503
1994,25,49.278
1994,26,48.068
1994,27,46.920
1994,28,45.800
1994,29,44.630
