year,age,population
1990,0,131.067
1990,1,129.048
1990,2,127.013
1990,3,124.971
1990,4,122.927
1990,5,120.887
1990,6,118.857
1990,7,116.843
1990,8,114.851
1990,9,112.888
1990,10,110.831
1990,11,108.553
1990,12,106.712
1990,13,105.572
1990,14,104.749
1990,15,103.784
1990,16,102.988
1990,17,100.823
1990,18,96.543
1990,19,90.956
1990,20,85.567
1990,21,80.021
1990,22,75.341
1990,23,72.166
1990,24,69.995
1990,25,67.676
1990,26,65.418
1990,27,63.275
1990,28,61.157
1990,29,59.097
1990,30,57.198
1990,31,55.402
1990,32,53.728
1990,33,52.184
1990,34,50.721
1990,35,49.310
1990,36,47.998
1990,37,46.448
1990,38,44.496
1990,39,42.309
1990,40,40.205
1990,41,38.102
1990,42,36.218
1990,43,34.693
1990,44,33.411
1990,45,32.120
1990,46,30.863
1990,47,29.643
1990,48,28.436
1990,49,27.245
1990,50,26.110
1990,51,25.024
1990,52,23.928
1990,53,22.799
1990,54,21.658
1990,55,20.548
1990,56,19.459
1990,57,18.403
1990,58,17.392
1990,59,16.415
1990,60,15.457
1990,61,14.522
1990,62,13.596
1990,63,12.668
1990,64,11.749
1990,65,10.860
1990,66,9.998
1990,67,9.165
1990,68,8.366
1990,69,7.597
1990,70,6.862
1990,71,6.157
1990,72,5.497
1990,73,4.887
1990,74,4.320
1990,75,3.790
1990,76,3.295
1990,77,2.844
1990,78,2.439
1990,79,2.079
1990,80,1.751
1990,81,1.456
1990,82,1.198
1990,83,0.977
1990,84,0.793
1990,85,0.632
1990,86,0.495
1990,87,0.383
1990,88,0.291
1990,89,0.216
1990,90,0.159
1990,91,0.120
1990,92,0.086
1990,93,0.059
1990,94,0.035
1990,95,0.021
1990,96,0.016
1990,97,0.011
1990,98,0.006
1990,99,0.002
1990,100,0.006
1991,0,134.666
1991,1,130.811
1991,2,128.571
1991,3,126.434
1991,4,124.385
1991,5,122.407
1991,6,120.509
1991,7,118.699
1991,8,116.838
1991,9,114.857
1991,10,112.816
1991,11,110.721
1991,12,108.418
1991,13,106.550
1991,14,105.388
1991,15,104.545
1991,16,103.555
1991,17,102.731
1991,18,100.545
1991,19,96.258
1991,20,90.674
1991,21,85.287
1991,22,79.743
1991,23,75.064
1991,24,71.890
1991,25,69.719
1991,26,67.401
1991,27,65.143
1991,28,63.000
1991,29,60.880
1991,30,58.816
1991,31,56.913
1991,32,55.112
1991,33,53.433
1991,34,51.880
1991,35,50.406
1991,36,48.985
1991,37,47.660
1991,38,46.100
1991,39,44.142
1991,40,41.952
1991,41,39.842
1991,42,37.734
1991,43,35.843
1991,44,34.305
1991,45,33.010
1991,46,31.705
1991,47,30.433
1991,48,29.199
1991,49,27.979
1991,50,26.774
1991,51,25.627
1991,52,24.528
1991,53,23.419
1991,54,22.279
1991,55,21.128
1991,56,20.009
1991,57,18.911
1991,58,17.847
1991,59,16.828
1991,60,15.843
1991,61,14.879
1991,62,13.940
1991,63,13.012
1991,64,12.090
1991,65,11.179
1991,66,10.301
1991,67,9.452
1991,68,8.634
1991,69,7.854
1991,70,7.107
1991,71,6.397
1991,72,5.716
1991,73,5.082
1991,74,4.500
1991,75,3.961
1991,76,3.459
1991,77,2.993
1991,78,2.570
1991,79,2.193
1991,80,1.860
1991,81,1.558
1991,82,1.289
1991,83,1.054
1991,84,0.855
1991,85,0.689
1991,86,0.547
1991,87,0.427
1991,88,0.328
1991,89,0.248
1991,90,0.183
1991,91,0.133
1991,92,0.101
1991,93,0.073
1991,94,0.049
1991,95,0.029
1991,96,0.017
1991,97,0.012
1991,98,0.007
1991,99,0.002
1991,100,0.006
1992,0,139.620
1992,1,135.847
1992,2,130.470
1992,3,128.012
1992,4,125.772
1992,5,123.718
1992,6,121.807
1992,7,120.052
1992,8,118.465
1992,9,116.755
1992,10,114.788
1992,11,112.672
1992,12,110.539
1992,13,108.212
1992,14,106.319
1992,15,105.135
1992,16,104.273
1992,17,103.259
1992,18,102.406
1992,19,100.202
1992,20,95.911
1992,21,90.333
1992,22,84.950
1992,23,79.413
1992,24,74.740
1992,25,71.567
1992,26,69.397
1992,27,67.081
1992,28,64.826
1992,29,62.684
1992,30,60.563
1992,31,58.497
1992,32,56.591
1992,33,54.787
1992,34,53.103
1992,35,51.542
1992,36,50.058
1992,37,48.627
1992,38,47.291
1992,39,45.723
1992,40,43.759
1992,41,41.566
1992,42,39.453
1992,43,37.342
1992,44,35.444
1992,45,33.897
1992,46,32.587
1992,47,31.268
1992,48,29.984
1992,49,28.736
1992,50,27.502
1992,51,26.287
1992,52,25.126
1992,53,24.016
1992,54,22.895
1992,55,21.745
1992,56,20.584
1992,57,19.456
1992,58,18.351
1992,59,17.280
1992,60,16.252
1992,61,15.261
1992,62,14.291
1992,63,13.347
1992,64,12.421
1992,65,11.503
1992,66,10.602
1992,67,9.735
1992,68,8.899
1992,69,8.097
1992,70,7.337
1992,71,6.613
1992,72,5.926
1992,73,5.272
1992,74,4.664
1992,75,4.110
1992,76,3.599
1992,77,3.126
1992,78,2.689
1992,79,2.294
1992,80,1.946
1992,81,1.639
1992,82,1.365
1992,83,1.120
1992,84,0.910
1992,85,0.732
1992,86,0.585
1992,87,0.461
1992,88,0.358
1992,89,0.274
1992,90,0.205
1992,91,0.149
1992,92,0.108
1992,93,0.082
1992,94,0.059
1992,95,0.039
1992,96,0.023
1992,97,0.014
1992,98,0.008
1992,99,0.001
1992,100,0.006
1993,0,145.477
1993,1,140.195
1993,2,135.580
1993,3,130.092
1993,4,127.414
1993,5,125.074
1993,6,123.015
1993,7,121.172
1993,8,119.560
1993,9,118.196
1993,10,116.640
1993,11,114.685
1993,12,112.495
1993,13,110.323
1993,14,107.975
1993,15,106.057
1993,16,104.852
1993,17,103.970
1993,18,102.933
1993,19,102.052
1993,20,99.829
1993,21,95.536
1993,22,89.966
1993,23,84.590
1993,24,79.059
1993,25,74.393
1993,26,71.224
1993,27,69.056
1993,28,66.741
1993,29,64.490
1993,30,62.350
1993,31,60.229
1993,32,58.161
1993,33,56.252
1993,34,54.446
1993,35,52.757
1993,36,51.190
1993,37,49.696
1993,38,48.254
1993,39,46.909
1993,40,45.332
1993,41,43.364
1993,42,41.169
1993,43,39.053
1993,44,36.938
1993,45,35.036
1993,46,33.477
1993,47,32.155
1993,48,30.823
1993,49,29.525
1993,50,28.265
1993,51,27.019
1993,52,25.791
1993,53,24.620
1993,54,23.496
1993,55,22.365
1993,56,21.205
1993,57,20.034
1993,58,18.898
1993,59,17.786
1993,60,16.707
1993,61,15.673
1993,62,14.673
1993,63,13.700
1993,64,12.752
1993,65,11.825
1993,66,10.913
1993,67,10.023
1993,68,9.167
1993,69,8.343
1993,70,7.558
1993,71,6.819
1993,72,6.117
1993,73,5.454
1993,74,4.826
1993,75,4.245
1993,76,3.718
1993,77,3.236
1993,78,2.793
1993,79,2.384
1993,80,2.019
1993,81,1.698
1993,82,1.418
1993,83,1.170
1993,84,0.952
1993,85,0.765
1993,86,0.609
1993,87,0.481
1993,88,0.375
1993,89,0.290
1993,90,0.219
1993,91,0.162
1993,92,0.116
1993,93,0.082
1993,94,0.062
1993,95,0.046
1993,96,0.030
1993,97,0.016
1993,98,0.009
1993,99,0.002
1993,100,0.006
1994,0,151.570
1994,1,144.912
1994,2,139.210
1994,3,134.368
1994,4,129.749
1994,5,126.851
1994,6,124.411
1994,7,122.346
1994,8,120.571
1994,9,119.101
1994,10,117.959
1994,11,116.556
1994,12,114.614
1994,13,112.349
1994,14,110.139
1994,15,107.767
1994,16,105.824
1994,17,104.598
1994,18,103.696
1994,19,102.635
1994,20,101.726
1994,21,99.484
1994,22,95.187
1994,23,89.624
1994,24,84.252
1994,25,78.729
1994,26,74.066
1994,27,70.900
1994,28,68.733
1994,29,66.421
1994,30,64.172
1994,31,62.034
1994,32,59.910
1994,33,57.841
1994,34,55.930
1994,35,54.119
1994,36,52.427
1994,37,50.851
1994,38,49.348
1994,39,47.896
1994,40,46.539
1994,41,44.954
1994,42,42.981
1994,43,40.783
1994,44,38.664
1994,45,36.545
1994,46,34.637
1994,47,33.067
1994,48,31.732
1994,49,30.387
1994,50,29.075
1994,51,27.802
1994,52,26.543
1994,53,25.303
1994,54,24.119
1994,55,22.984
1994,56,21.842
1994,57,20.670
1994,58,19.490
1994,59,18.345
1994,60,17.226
1994,61,16.140
1994,62,15.098
1994,63,14.091
1994,64,13.112
1994,65,12.161
1994,66,11.233
1994,67,10.327
1994,68,9.446
1994,69,8.601
1994,70,7.791
1994,71,7.022
1994,72,6.302
1994,73,5.623
1994,74,4.984
1994,75,4.382
1994,76,3.827
1994,77,3.328
1994,78,2.874
1994,79,2.460
1994,80,2.080
1994,81,1.744
1994,82,1.450
1994,83,1.198
1994,84,0.977
1994,85,0.783
1994,86,0.621
1994,87,0.487
1994,88,0.377
1994,89,0.289
1994,90,0.221
1994,91,0.165
1994,92,0.119
1994,93,0.082
1994,94,0.056
1994,95,0.044
1994,96,0.032
1994,97,0.020
1994,98,0.010
1994,99,0.003
1994,100,0.007
1995,0,157.353
1995,1,149.783
1995,2,143.312
1995,3,137.838
1995,4,133.256
1995,5,129.460
1995,6,126.342
1995,7,123.800
1995,8,121.728
1995,9,120.019
1995,10,118.693
1995,11,117.771
1995,12,116.521
1995,13,114.591
1995,14,112.249
1995,15,110.001
1995,16,107.604
1995,17,105.635
1995,18,104.387
1995,19,103.466
1995,20,102.380
1995,21,101.442
1995,22,99.181
1995,23,94.878
1995,24,89.319
1995,25,83.950
1995,26,78.430
1995,27,73.771
1995,28,70.605
1995,29,68.440
1995,30,66.128
1995,31,63.880
1995,32,61.743
1995,33,59.618
1995,34,57.545
1995,35,55.630
1995,36,53.816
1995,37,52.117
1995,38,50.534
1995,39,49.020
1995,40,47.558
1995,41,46.189
1995,42,44.594
1995,43,42.616
1995,44,40.415
1995,45,38.290
1995,46,36.168
1995,47,34.252
1995,48,32.671
1995,49,31.322
1995,50,29.964
1995,51,28.637
1995,52,27.350
1995,53,26.078
1995,54,24.826
1995,55,23.629
1995,56,22.481
1995,57,21.327
1995,58,20.144
1995,59,18.955
1995,60,17.800
1995,61,16.673
1995,62,15.579
1995,63,14.529
1995,64,13.515
1995,65,12.530
1995,66,11.574
1995,67,10.646
1995,68,9.745
1995,69,8.873
1995,70,8.039
1995,71,7.242
1995,72,6.488
1995,73,5.788
1995,74,5.131
1995,75,4.517
1995,76,3.939
1995,77,3.411
1995,78,2.939
1995,79,2.514
1995,80,2.128
1995,81,1.777
1995,82,1.469
1995,83,1.204
1995,84,0.978
1995,85,0.783
1995,86,0.616
1995,87,0.477
1995,88,0.364
1995,89,0.273
1995,90,0.203
1995,91,0.153
1995,92,0.111
1995,93,0.076
1995,94,0.048
1995,95,0.031
1995,96,0.024
1995,97,0.019
1995,98,0.010
1995,99,0.004
1995,100,0.007
1996,0,162.566
1996,1,155.938
1996,2,148.912
1996,3,142.821
1996,4,137.583
1996,5,133.120
1996,6,129.330
1996,7,126.107
1996,8,123.485
1996,9,121.425
1996,10,119.782
1996,11,118.465
1996,12,117.515
1996,13,116.241
1996,14,114.292
1996,15,111.938
1996,16,109.672
1996,17,107.254
1996,18,105.265
1996,19,104.001
1996,20,103.068
1996,21,101.969
1996,22,101.018
1996,23,98.752
1996,24,94.456
1996,25,88.911
1996,26,83.556
1996,27,78.052
1996,28,73.403
1996,29,70.241
1996,30,68.074
1996,31,65.761
1996,32,63.511
1996,33,61.370
1996,34,59.241
1996,35,57.160
1996,36,55.238
1996,37,53.416
1996,38,51.707
1996,39,50.113
1996,40,48.586
1996,41,47.112
1996,42,45.729
1996,43,44.122
1996,44,42.135
1996,45,39.926
1996,46,37.793
1996,47,35.663
1996,48,33.737
1996,49,32.145
1996,50,30.783
1996,51,29.412
1996,52,28.074
1996,53,26.775
1996,54,25.489
1996,55,24.224
1996,56,23.015
1996,57,21.856
1996,58,20.692
1996,59,19.500
1996,60,18.304
1996,61,17.144
1996,62,16.013
1996,63,14.920
1996,64,13.874
1996,65,12.868
1996,66,11.892
1996,67,10.950
1996,68,10.037
1996,69,9.156
1996,70,8.307
1996,71,7.499
1996,72,6.729
1996,73,6.004
1996,74,5.333
1996,75,4.709
1996,76,4.126
1996,77,3.580
1996,78,3.085
1996,79,2.645
1996,80,2.250
1996,81,1.895
1996,82,1.574
1996,83,1.293
1996,84,1.054
1996,85,0.850
1996,86,0.678
1996,87,0.531
1996,88,0.409
1996,89,0.311
1996,90,0.231
1996,91,0.170
1996,92,0.128
1996,93,0.094
1996,94,0.064
1996,95,0.039
1996,96,0.025
1996,97,0.020
1996,98,0.012
1996,99,0.004
1996,100,0.007
1997,0,167.523
1997,1,159.592
1997,2,154.604
1997,3,148.119
1997,4,142.402
1997,5,137.399
1997,6,133.054
1997,7,129.267
1997,8,125.937
1997,9,123.233
1997,10,121.186
1997,11,119.607
1997,12,118.297
1997,13,117.321
1997,14,116.019
1997,15,114.054
1997,16,111.685
1997,17,109.398
1997,18,106.959
1997,19,104.951
1997,20,103.669
1997,21,102.723
1997,22,101.611
1997,23,100.646
1997,24,98.374
1997,25,94.083
1997,26,88.550
1997,27,83.205
1997,28,77.713
1997,29,73.074
1997,30,69.913
1997,31,67.744
1997,32,65.427
1997,33,63.175
