year,age,population
1990,0,133.505
1990,1,132.638
1990,2,131.204
1990,3,129.269
1990,4,126.889
1990,5,124.130
1990,6,121.050
1990,7,117.715
1990,8,114.182
1990,9,110.516
1990,10,106.761
1990,11,102.964
1990,12,99.262
1990,13,95.748
1990,14,92.439
1990,15,89.152
1990,16,85.798
1990,17,83.191
1990,18,81.683
1990,19,80.859
1990,20,80.022
1990,21,79.361
1990,22,78.180
1990,23,76.079
1990,24,73.401
1990,25,70.889
1990,26,68.405
1990,27,66.038
1990,28,63.916
1990,29,61.962
1990,30,59.945
1990,31,57.876
1990,32,55.983
1990,33,54.340
1990,34,52.849
1990,35,51.362
1990,36,49.958
1990,37,48.274
1990,38,46.129
1990,39,43.713
1990,40,41.397
1990,41,39.103
1990,42,37.015
1990,43,35.258
1990,44,33.748
1990,45,32.239
1990,46,30.742
1990,47,29.455
1990,48,28.435
1990,49,27.592
1990,50,26.811
1990,51,26.169
1990,52,25.296
1990,53,24.018
1990,54,22.521
1990,55,21.117
1990,56,19.677
1990,57,18.648
1990,58,18.259
1990,59,18.267
1990,60,18.223
1990,61,18.240
1990,62,17.986
1990,63,17.246
1990,64,16.205
1990,65,15.235
1990,66,14.267
1990,67,13.358
1990,68,12.583
1990,69,11.893
1990,70,11.170
1990,71,10.443
1990,72,9.720
1990,73,8.999
1990,74,8.285
1990,75,7.590
1990,76,6.919
1990,77,6.262
1990,78,5.621
1990,79,5.000
1990,80,4.407
1990,81,3.841
1990,82,3.310
1990,83,2.818
1990,84,2.365
1990,85,1.943
1990,86,1.551
1990,87,1.216
1990,88,0.954
1990,89,0.748
1990,90,0.570
1990,91,0.419
1990,92,0.301
1990,93,0.209
1990,94,0.142
1990,95,0.097
1990,96,0.072
1990,97,0.053
1990,98,0.033
1990,99,0.012
1990,100,0.030
1991,0,134.653
1991,1,133.498
1991,2,132.474
1991,3,130.961
1991,4,129.005
1991,5,126.651
1991,6,123.964
1991,7,121.010
1991,8,117.749
1991,9,114.195
1991,10,110.448
1991,11,106.634
1991,12,102.785
1991,13,99.036
1991,14,95.488
1991,15,92.150
1991,16,88.835
1991,17,85.456
1991,18,82.809
1991,19,81.234
1991,20,80.333
1991,21,79.425
1991,22,78.693
1991,23,77.481
1991,24,75.409
1991,25,72.802
1991,26,70.357
1991,27,67.946
1991,28,65.647
1991,29,63.579
1991,30,61.670
1991,31,59.703
1991,32,57.684
1991,33,55.833
1991,34,54.215
1991,35,52.738
1991,36,51.264
1991,37,49.869
1991,38,48.190
1991,39,46.047
1991,40,43.630
1991,41,41.309
1991,42,39.008
1991,43,36.911
1991,44,35.147
1991,45,33.629
1991,46,32.110
1991,47,30.604
1991,48,29.305
1991,49,28.274
1991,50,27.419
1991,51,26.627
1991,52,25.970
1991,53,25.087
1991,54,23.803
1991,55,22.302
1991,56,20.894
1991,57,19.450
1991,58,18.412
1991,59,18.002
1991,60,17.985
1991,61,17.915
1991,62,17.907
1991,63,17.632
1991,64,16.879
1991,65,15.829
1991,66,14.851
1991,67,13.875
1991,68,12.960
1991,69,12.178
1991,70,11.485
1991,71,10.758
1991,72,10.031
1991,73,9.307
1991,74,8.581
1991,75,7.861
1991,76,7.163
1991,77,6.491
1991,78,5.838
1991,79,5.206
1991,80,4.600
1991,81,4.023
1991,82,3.473
1991,83,2.967
1991,84,2.507
1991,85,2.093
1991,86,1.709
1991,87,1.357
1991,88,1.057
1991,89,0.823
1991,90,0.641
1991,91,0.485
1991,92,0.356
1991,93,0.257
1991,94,0.176
1991,95,0.118
1991,96,0.077
1991,97,0.056
1991,98,0.035
1991,99,0.014
1991,100,0.033
1992,0,135.651
1992,1,135.099
1992,2,133.433
1992,3,132.256
1992,4,130.661
1992,5,128.687
1992,6,126.359
1992,7,123.747
1992,8,120.917
1992,9,117.734
1992,10,114.161
1992,11,110.332
1992,12,106.463
1992,13,102.563
1992,14,98.768
1992,15,95.186
1992,16,91.824
1992,17,88.479
1992,18,85.077
1992,19,82.392
1992,20,80.751
1992,21,79.773
1992,22,78.795
1992,23,77.991
1992,24,76.748
1992,25,74.708
1992,26,72.170
1992,27,69.796
1992,28,67.458
1992,29,65.228
1992,30,63.215
1992,31,61.352
1992,32,59.434
1992,33,57.469
1992,34,55.658
1992,35,54.068
1992,36,52.605
1992,37,51.144
1992,38,49.759
1992,39,48.086
1992,40,45.946
1992,41,43.528
1992,42,41.203
1992,43,38.897
1992,44,36.792
1992,45,35.020
1992,46,33.496
1992,47,31.968
1992,48,30.452
1992,49,29.143
1992,50,28.101
1992,51,27.235
1992,52,26.430
1992,53,25.761
1992,54,24.868
1992,55,23.577
1992,56,22.074
1992,57,20.660
1992,58,19.216
1992,59,18.167
1992,60,17.739
1992,61,17.693
1992,62,17.600
1992,63,17.566
1992,64,17.271
1992,65,16.504
1992,66,15.447
1992,67,14.461
1992,68,13.476
1992,69,12.555
1992,70,11.770
1992,71,11.070
1992,72,10.342
1992,73,9.615
1992,74,8.889
1992,75,8.158
1992,76,7.434
1992,77,6.733
1992,78,6.060
1992,79,5.410
1992,80,4.790
1992,81,4.197
1992,82,3.637
1992,83,3.105
1992,84,2.621
1992,85,2.195
1992,86,1.819
1992,87,1.475
1992,88,1.161
1992,89,0.898
1992,90,0.692
1992,91,0.533
1992,92,0.401
1992,93,0.293
1992,94,0.211
1992,95,0.144
1992,96,0.094
1992,97,0.060
1992,98,0.038
1992,99,0.015
1992,100,0.035
1993,0,136.606
1993,1,136.033
1993,2,135.104
1993,3,133.335
1993,4,132.001
1993,5,130.329
1993,6,128.335
1993,7,126.034
1993,8,123.498
1993,9,120.794
1993,10,117.688
1993,11,114.096
1993,12,110.189
1993,13,106.263
1993,14,102.314
1993,15,98.474
1993,16,94.861
1993,17,91.472
1993,18,88.101
1993,19,84.677
1993,20,81.953
1993,21,80.246
1993,22,79.193
1993,23,78.143
1993,24,77.270
1993,25,75.995
1993,26,73.987
1993,27,71.521
1993,28,69.216
1993,29,66.952
1993,30,64.792
1993,31,62.835
1993,32,61.017
1993,33,59.152
1993,34,57.237
1993,35,55.470
1993,36,53.906
1993,37,52.459
1993,38,51.010
1993,39,49.636
1993,40,47.969
1993,41,45.833
1993,42,43.415
1993,43,41.087
1993,44,38.775
1993,45,36.663
1993,46,34.886
1993,47,33.353
1993,48,31.818
1993,49,30.292
1993,50,28.973
1993,51,27.920
1993,52,27.044
1993,53,26.227
1993,54,25.545
1993,55,24.642
1993,56,23.346
1993,57,21.839
1993,58,20.423
1993,59,18.976
1993,60,17.917
1993,61,17.470
1993,62,17.399
1993,63,17.279
1993,64,17.221
1993,65,16.905
1993,66,16.125
1993,67,15.060
1993,68,14.067
1993,69,13.075
1993,70,12.147
1993,71,11.357
1993,72,10.653
1993,73,9.923
1993,74,9.196
1993,75,8.469
1993,76,7.734
1993,77,7.004
1993,78,6.302
1993,79,5.627
1993,80,4.982
1993,81,4.371
1993,82,3.794
1993,83,3.249
1993,84,2.735
1993,85,2.275
1993,86,1.883
1993,87,1.545
1993,88,1.240
1993,89,0.966
1993,90,0.739
1993,91,0.560
1993,92,0.425
1993,93,0.315
1993,94,0.231
1993,95,0.166
1993,96,0.112
1993,97,0.069
1993,98,0.040
1993,99,0.017
1993,100,0.038
1994,0,137.643
1994,1,136.960
1994,2,136.031
1994,3,134.858
1994,4,133.216
1994,5,131.728
1994,6,129.976
1994,7,127.964
1994,8,125.690
1994,9,123.229
1994,10,120.653
1994,11,117.624
1994,12,114.015
1994,13,110.028
1994,14,106.047
1994,15,102.050
1994,16,98.166
1994,17,94.521
1994,18,91.107
1994,19,87.709
1994,20,84.264
1994,21,81.502
1994,22,79.730
1994,23,78.600
1994,24,77.481
1994,25,76.536
1994,26,75.232
1994,27,73.254
1994,28,70.861
1994,29,68.625
1994,30,66.437
1994,31,64.346
1994,32,62.446
1994,33,60.673
1994,34,58.860
