year,age,population
1990,0,636.766
1990,1,615.873
1990,2,598.630
1990,3,584.587
1990,4,573.294
1990,5,564.305
1990,6,557.171
1990,7,551.446
1990,8,546.675
1990,9,542.416
1990,10,539.016
1990,11,536.828
1990,12,531.405
1990,13,520.707
1990,14,506.677
1990,15,493.101
1990,16,478.969
1990,17,466.637
1990,18,457.579
1990,19,450.462
1990,20,442.554
1990,21,434.495
1990,22,425.200
1990,23,413.888
1990,24,401.207
1990,25,388.749
1990,26,376.393
1990,27,363.490
1990,28,349.944
1990,29,336.091
1990,30,322.263
1990,31,308.275
1990,32,295.515
1990,33,284.674
1990,34,275.122
1990,35,265.636
1990,36,256.561
1990,37,247.124
1990,38,236.844
1990,39,226.187
1990,40,216.081
1990,41,206.330
1990,42,197.320
1990,43,189.337
1990,44,182.175
1990,45,175.238
1990,46,168.524
1990,47,162.582
1990,48,157.586
1990,49,153.251
1990,50,149.098
1990,51,145.203
1990,52,141.113
1990,53,136.542
1990,54,131.659
1990,55,126.953
1990,56,122.375
1990,57,117.541
1990,58,112.322
1990,59,106.874
1990,60,101.491
1990,61,96.120
1990,62,90.932
1990,63,86.049
1990,64,81.397
1990,65,76.791
1990,66,72.263
1990,67,67.906
1990,68,63.750
1990,69,59.769
1990,70,55.890
1990,71,52.106
1990,72,48.500
1990,73,45.105
1990,74,41.867
1990,75,38.733
1990,76,35.754
1990,77,32.669
1990,78,29.359
1990,79,25.955
1990,80,22.725
1990,81,19.636
1990,82,16.742
1990,83,14.100
1990,84,11.698
1990,85,9.437
1990,86,7.305
1990,87,5.546
1990,88,4.260
1990,89,3.335
1990,90,2.541
1990,91,1.907
1990,92,1.397
1990,93,0.972
1990,94,0.628
1990,95,0.408
1990,96,0.294
1990,97,0.211
1990,98,0.121
1990,99,0.037
1990,100,0.092
1991,0,639.424
1991,1,629.733
1991,2,611.626
1991,3,596.257
1991,4,583.318
1991,5,572.504
1991,6,563.372
1991,7,555.481
1991,8,549.206
1991,9,544.512
1991,10,540.685
1991,11,537.402
1991,12,535.157
1991,13,529.641
1991,14,518.820
1991,15,504.642
1991,16,490.908
1991,17,476.607
1991,18,464.116
1991,19,454.917
1991,20,447.678
1991,21,439.655
1991,22,431.482
1991,23,422.132
1991,24,410.844
1991,25,398.246
1991,26,385.875
1991,27,373.615
1991,28,360.828
1991,29,347.417
1991,30,333.711
1991,31,320.034
1991,32,306.210
1991,33,293.576
1991,34,282.798
1991,35,273.270
1991,36,263.811
1991,37,254.753
1991,38,245.344
1991,39,235.116
1991,40,224.521
1991,41,214.468
1991,42,204.764
1991,43,195.785
1991,44,187.809
1991,45,180.635
1991,46,173.686
1991,47,166.953
1991,48,160.994
1991,49,155.990
1991,50,151.649
1991,51,147.486
1991,52,143.580
1991,53,139.466
1991,54,134.859
1991,55,129.930
1991,56,125.177
1991,57,120.550
1991,58,115.672
1991,59,110.423
1991,60,104.954
1991,61,99.547
1991,62,94.155
1991,63,88.935
1991,64,84.000
1991,65,79.288
1991,66,74.626
1991,67,70.042
1991,68,65.644
1991,69,61.468
1991,70,57.483
1991,71,53.604
1991,72,49.832
1991,73,46.230
1991,74,42.825
1991,75,39.571
1991,76,36.437
1991,77,33.464
1991,78,30.420
1991,79,27.194
1991,80,23.909
1991,81,20.801
1991,82,17.838
1991,83,15.095
1991,84,12.636
1991,85,10.437
1991,86,8.377
