year,age,population
1990,0,1986.529
1990,1,1935.646
1990,2,1887.510
1990,3,1841.871
1990,4,1798.476
1990,5,1757.071
1990,6,1717.403
1990,7,1679.220
1990,8,1642.268
1990,9,1606.295
1990,10,1571.537
1990,11,1538.225
1990,12,1503.673
1990,13,1466.646
1990,14,1428.358
1990,15,1391.085
1990,16,1354.177
1990,17,1319.367
1990,18,1287.691
1990,19,1258.187
1990,20,1228.786
1990,21,1199.807
1990,22,1171.063
1990,23,1142.219
1990,24,1113.369
1990,25,1085.042
1990,26,1057.266
1990,27,1028.929
1990,28,999.577
1990,29,969.695
1990,30,939.409
1990,31,907.711
1990,32,879.177
1990,33,855.787
1990,34,834.849
1990,35,813.415
1990,36,794.127
1990,37,764.442
1990,38,718.486
1990,39,663.023
1990,40,609.866
1990,41,555.649
1990,42,512.263
1990,43,486.500
1990,44,472.439
1990,45,457.341
1990,46,443.714
1990,47,429.256
1990,48,411.527
1990,49,392.101
1990,50,374.766
1990,51,358.502
1990,52,343.415
1990,53,329.854
1990,54,317.216
1990,55,305.001
1990,56,293.833
1990,57,280.385
1990,58,263.115
1990,59,243.780
1990,60,225.272
1990,61,206.524
1990,62,191.547
1990,63,182.477
1990,64,177.210
1990,65,171.674
1990,66,166.875
1990,67,160.409
1990,68,150.728
1990,69,139.132
1990,70,128.383
1990,71,117.825
1990,72,108.280
1990,73,100.397
1990,74,93.601
1990,75,86.761
1990,76,80.213
1990,77,73.232
1990,78,65.376
1990,79,57.094
1990,80,49.308
1990,81,41.873
1990,82,35.009
1990,83,28.934
1990,84,23.555
1990,85,18.493
1990,86,13.734
1990,87,9.905
1990,88,7.257
1990,89,5.497
1990,90,4.051
1990,91,2.986
1990,92,2.155
1990,93,1.415
1990,94,0.796
1990,95,0.457
1990,96,0.361
1990,97,0.287
1990,98,0.175
1990,99,0.053
1990,100,0.092
1991,0,2005.879
1991,1,1977.180
1991,2,1929.861
1991,3,1884.188
1991,4,1840.067
1991,5,1797.403
1991,6,1755.968
1991,7,1715.537
1991,8,1676.675
1991,9,1639.555
1991,10,1603.682
1991,11,1568.654
1991,12,1534.858
1991,13,1499.780
1991,14,1462.221
1991,15,1423.409
1991,16,1385.594
1991,17,1348.117
1991,18,1312.899
1991,19,1281.058
1991,20,1251.561
1991,21,1222.171
1991,22,1193.230
1991,23,1164.573
1991,24,1135.851
1991,25,1107.153
1991,26,1079.008
1991,27,1051.440
1991,28,1023.294
1991,29,994.087
1991,30,964.322
1991,31,934.165
1991,32,902.606
1991,33,874.179
1991,34,850.854
1991,35,829.954
1991,36,808.554
1991,37,789.277
1991,38,759.650
1991,39,713.826
1991,40,658.535
1991,41,605.530
1991,42,551.466
1991,43,508.164
1991,44,482.382
1991,45,468.234
1991,46,453.047
1991,47,439.318
1991,48,424.766
1991,49,406.970
1991,50,387.492
1991,51,370.092
1991,52,353.762
1991,53,338.580
1991,54,324.881
1991,55,312.082
1991,56,299.705
1991,57,288.360
1991,58,274.798
1991,59,257.510
1991,60,238.217
1991,61,219.743
1991,62,201.046
1991,63,186.040
1991,64,176.805
1991,65,171.294
1991,66,165.537
1991,67,160.512
1991,68,153.889
1991,69,144.166
1991,70,132.602
1991,71,121.893
1991,72,111.411
1991,73,101.901
1991,74,93.971
