year,age,population
1990,0,516.761
1990,1,564.734
1990,2,603.835
1990,3,634.703
1990,4,657.974
1990,5,674.287
1990,6,684.282
1990,7,688.595
1990,8,687.868
1990,9,682.736
1990,10,673.708
1990,11,661.294
1990,12,646.780
1990,13,631.063
1990,14,614.392
1990,15,596.822
1990,16,579.180
1990,17,561.149
1990,18,542.858
1990,19,525.386
1990,20,509.681
1990,21,495.537
1990,22,487.021
1990,23,486.249
1990,24,491.790
1990,25,497.962
1990,26,503.336
1990,27,519.232
1990,28,549.889
1990,29,588.920
1990,30,626.191
1990,31,664.297
1990,32,690.176
1990,33,696.472
1990,34,688.883
1990,35,680.917
1990,36,670.416
1990,37,655.367
1990,38,636.293
1990,39,613.601
1990,40,589.255
1990,41,565.366
1990,42,534.247
1990,43,493.090
1990,44,447.244
1990,45,402.825
1990,46,356.158
1990,47,328.339
1990,48,329.710
1990,49,349.972
1990,50,368.590
1990,51,389.802
1990,52,404.929
1990,53,407.619
1990,54,402.289
1990,55,399.609
1990,56,397.323
1990,57,394.434
1990,58,391.464
1990,59,387.899
1990,60,382.460
1990,61,375.111
1990,62,366.679
1990,63,357.351
1990,64,346.600
1990,65,335.406
1990,66,325.603
1990,67,307.419
1990,68,276.737
1990,69,239.123
1990,70,202.654
1990,71,163.786
1990,72,138.777
1990,73,135.921
1990,74,147.015
1990,75,155.993
1990,76,166.598
1990,77,170.304
1990,78,161.419
1990,79,144.471
1990,80,129.958
1990,81,116.128
1990,82,102.129
1990,83,88.706
1990,84,75.839
1990,85,62.698
1990,86,49.359
1990,87,38.063
1990,88,29.817
1990,89,23.825
1990,90,18.170
1990,91,13.095
1990,92,9.096
1990,93,6.183
1990,94,4.156
1990,95,2.755
1990,96,1.975
1990,97,1.405
1990,98,0.796
1990,99,0.236
1990,100,0.641
1991,0,505.144
1991,1,523.786
1991,2,566.331
1991,3,602.042
1991,4,631.215
1991,5,654.143
1991,6,671.471
1991,7,683.844
1991,8,689.811
1991,9,688.976
1991,10,682.672
1991,11,673.159
1991,12,660.593
1991,13,645.944
1991,14,630.126
1991,15,613.376
1991,16,595.726
1991,17,578.004
1991,18,559.910
1991,19,541.572
1991,20,524.068
1991,21,508.331
1991,22,494.152
1991,23,485.626
1991,24,484.884
1991,25,490.474
1991,26,496.687
1991,27,502.109
1991,28,517.999
1991,29,548.566
1991,30,587.452
1991,31,624.583
1991,32,662.545
1991,33,688.279
1991,34,694.441
1991,35,686.724
1991,36,678.628
1991,37,667.998
1991,38,652.833
1991,39,633.658
1991,40,610.881
1991,41,586.445
1991,42,562.445
1991,43,531.283
1991,44,490.186
1991,45,444.453
1991,46,400.124
1991,47,353.548
1991,48,325.706
1991,49,326.877
1991,50,346.815
1991,51,365.109
1991,52,385.970
1991,53,400.741
1991,54,403.090
1991,55,397.422
1991,56,394.382
1991,57,391.725
1991,58,388.435
1991,59,385.024
1991,60,380.997
1991,61,375.126
1991,62,367.395
1991,63,358.547
1991,64,348.747
1991,65,337.521
1991,66,325.858
1991,67,315.500
1991,68,297.178
1991,69,266.998
1991,70,230.253
1991,71,194.606
1991,72,156.698
1991,73,132.007
1991,74,128.425
1991,75,138.159
1991,76,145.945
1991,77,155.355
1991,78,158.247
1991,79,149.198
1991,80,132.543
1991,81,118.286
1991,82,104.724
1991,83,91.269
1991,84,78.731
1991,85,66.977
1991,86,54.988
1991,87,42.865
1991,88,32.689
1991,89,25.366
1991,90,20.148
1991,91,15.285
1991,92,10.995
1991,93,7.630
1991,94,5.142
1991,95,3.384
1991,96,2.062
1991,97,1.452
1991,98,0.815
1991,99,0.234
1991,100,0.661
1992,0,505.626
1992,1,536.490
1992,2,530.328
1992,3,567.402
1992,4,599.687
1992,5,627.137
1992,6,649.699
1992,7,668.028
1992,8,682.768
1992,9,690.387
1992,10,689.441
1992,11,681.974
1992,12,671.982
1992,13,659.276
1992,14,644.506
1992,15,628.601
1992,16,611.789
1992,17,594.073
1992,18,576.291
1992,19,558.148
1992,20,539.780
1992,21,522.261
1992,22,506.507
1992,23,492.305
1992,24,483.779
1992,25,483.066
1992,26,488.699
1992,27,494.950
1992,28,500.413
1992,29,516.282
1992,30,546.731
1992,31,585.437
1992,32,622.392
1992,33,660.174
1992,34,685.740
1992,35,691.761
1992,36,683.923
1992,37,675.706
1992,38,664.958
1992,39,649.688
1992,40,630.431
1992,41,607.590
1992,42,583.086
1992,43,558.998
1992,44,527.823
1992,45,486.824
1992,46,441.246
1992,47,397.047
1992,48,350.607
1992,49,322.768
1992,50,323.737
1992,51,343.334
1992,52,361.284
1992,53,381.776
1992,54,396.177
1992,55,398.182
1992,56,392.182
1992,57,388.783
1992,58,385.758
1992,59,382.071
1992,60,378.221
1992,61,373.736
1992,62,367.437
1992,63,359.330
1992,64,350.075
1992,65,339.811
1992,66,328.122
1992,67,316.000
1992,68,305.096
1992,69,286.652
1992,70,257.004
1992,71,221.162
1992,72,186.370
1992,73,149.461
1992,74,125.108
1992,75,120.804
1992,76,129.169
1992,77,135.752
1992,78,143.960
1992,79,146.034
1992,80,136.828
1992,81,120.483
1992,82,106.496
1992,83,93.215
1992,84,80.315
1992,85,68.675
1992,86,58.046
1992,87,47.222
1992,88,36.326
1992,89,27.281
1992,90,20.888
1992,91,16.451
1992,92,12.382
1992,93,8.885
1992,94,6.156
1992,95,4.094
1992,96,2.609
1992,97,1.517
1992,98,0.850
1992,99,0.242
1992,100,0.672
1993,0,511.626
1993,1,528.076
1993,2,545.939
1993,3,536.617
1993,4,568.205
1993,5,597.052
1993,6,622.766
1993,7,644.955
1993,8,664.272
1993,9,681.373
1993,10,690.637
1993,11,689.584
1993,12,680.955
1993,13,670.489
1993,14,657.650
1993,15,642.767
1993,16,626.782
1993,17,609.914
1993,18,592.143
1993,19,574.307
1993,20,556.126
1993,21,537.736
1993,22,520.209
1993,23,504.446
1993,24,490.229
1993,25,481.705
1993,26,481.022
1993,27,486.697
1993,28,492.981
1993,29,498.483
1993,30,514.324
1993,31,544.641
1993,32,583.147
1993,33,619.910
1993,34,657.495
1993,35,682.881
1993,36,688.757
1993,37,680.804
1993,38,672.468
1993,39,661.606
1993,40,646.241
1993,41,626.910
1993,42,604.016
1993,43,579.455
1993,44,555.291
1993,45,524.117
1993,46,483.234
1993,47,437.834
1993,48,393.787
1993,49,347.504
1993,50,319.680
1993,51,320.446
1993,52,339.694
1993,53,357.293
1993,54,377.405
1993,55,391.429
1993,56,393.091
