year,age,population
1990,0,16.202
1990,1,15.782
1990,2,15.384
1990,3,15.001
1990,4,14.634
1990,5,14.293
1990,6,13.968
1990,7,13.666
1990,8,13.390
1990,9,13.140
1990,10,12.903
1990,11,12.672
1990,12,12.507
1990,13,12.428
1990,14,12.409
1990,15,12.375
1990,16,12.332
1990,17,12.276
1990,18,12.186
1990,19,12.062
1990,20,11.931
1990,21,11.796
1990,22,11.547
1990,23,11.110
1990,24,10.563
1990,25,10.023
1990,26,9.467
1990,27,8.944
1990,28,8.474
1990,29,8.052
1990,30,7.620
1990,31,7.171
1990,32,6.826
1990,33,6.656
1990,34,6.576
1990,35,6.507
1990,36,6.476
1990,37,6.344
1990,38,6.018
1990,39,5.583
1990,40,5.183
1990,41,4.775
1990,42,4.484
1990,43,4.388
1990,44,4.408
1990,45,4.425
1990,46,4.450
1990,47,4.411
1990,48,4.239
1990,49,3.997
1990,50,3.778
1990,51,3.557
1990,52,3.384
1990,53,3.308
1990,54,3.283
1990,55,3.250
1990,56,3.225
1990,57,3.152
1990,58,3.011
1990,59,2.824
1990,60,2.644
1990,61,2.461
1990,62,2.312
1990,63,2.210
1990,64,2.146
1990,65,2.075
1990,66,2.010
1990,67,1.908
1990,68,1.750
1990,69,1.544
1990,70,1.356
1990,71,1.162
1990,72,1.018
1990,73,0.942
1990,74,0.925
1990,75,0.893
1990,76,0.878
1990,77,0.831
1990,78,0.738
1990,79,0.616
1990,80,0.506
1990,81,0.402
1990,82,0.313
1990,83,0.264
1990,84,0.228
1990,85,0.195
1990,86,0.164
1990,87,0.145
1990,88,0.111
1990,89,0.089
1990,90,0.056
1990,91,0.047
1990,92,0.033
1990,93,0.029
1990,94,0.016
1990,95,0.010
1990,96,0.006
1990,97,0.006
1990,98,0.001
1990,99,0.001
1990,100,0.002
1991,0,16.123
1991,1,15.948
1991,2,15.584
1991,3,15.236
1991,4,14.895
1991,5,14.560
1991,6,14.247
1991,7,13.941
1991,8,13.642
1991,9,13.349
1991,10,13.065
1991,11,12.790
1991,12,12.522
1991,13,12.315
1991,14,12.188
1991,15,12.119
1991,16,12.040
1991,17,11.948
1991,18,11.863
1991,19,11.778
1991,20,11.679
1991,21,11.572
1991,22,11.465
1991,23,11.246
1991,24,10.851
1991,25,10.338
1991,26,9.841
1991,27,9.329
1991,28,8.837
1991,29,8.384
1991,30,7.961
1991,31,7.532
1991,32,7.085
1991,33,6.743
1991,34,6.581
1991,35,6.516
1991,36,6.457
1991,37,6.436
1991,38,6.309
1991,39,5.980
1991,40,5.539
1991,41,5.136
1991,42,4.718
1991,43,4.423
1991,44,4.326
1991,45,4.342
1991,46,4.353
1991,47,4.377
1991,48,4.336
1991,49,4.172
1991,50,3.938
1991,51,3.725
1991,52,3.516
1991,53,3.345
1991,54,3.263
1991,55,3.220
1991,56,3.173
1991,57,3.133
1991,58,3.056
1991,59,2.911
1991,60,2.740
1991,61,2.566
1991,62,2.392
1991,63,2.250
1991,64,2.142
1991,65,2.069
