year,age,population
1990,0,108.766
1990,1,109.919
1990,2,112.139
1990,3,115.270
1990,4,119.157
1990,5,123.644
1990,6,128.579
1990,7,133.805
1990,8,139.165
1990,9,144.509
1990,10,149.780
1990,11,154.931
1990,12,159.289
1990,13,162.496
1990,14,164.706
1990,15,166.672
1990,16,168.543
1990,17,168.674
1990,18,166.426
1990,19,162.632
1990,20,158.695
1990,21,154.239
1990,22,150.836
1990,23,149.388
1990,24,149.157
1990,25,148.541
1990,26,147.892
1990,27,146.921
1990,28,145.333
1990,29,143.365
1990,30,141.549
1990,31,139.768
1990,32,138.096
1990,33,136.621
1990,34,135.273
1990,35,133.846
1990,36,132.318
1990,37,130.956
1990,38,129.851
1990,39,128.854
1990,40,127.893
1990,41,127.188
1990,42,125.605
1990,43,122.635
1990,44,118.907
1990,45,115.401
1990,46,111.746
1990,47,109.480
1990,48,109.409
1990,49,110.751
1990,50,111.902
1990,51,113.159
1990,52,114.055
1990,53,114.183
1990,54,113.784
1990,55,113.486
1990,56,113.140
1990,57,112.608
1990,58,111.869
1990,59,110.910
1990,60,109.686
1990,61,108.164
1990,62,106.416
1990,63,104.455
1990,64,102.215
1990,65,99.806
1990,66,97.447
1990,67,93.942
1990,68,88.787
1990,69,82.651
1990,70,76.555
1990,71,70.107
1990,72,65.053
1990,73,62.309
1990,74,61.005
1990,75,59.396
1990,76,57.877
1990,77,55.668
1990,78,52.219
1990,79,47.961
1990,80,43.962
1990,81,40.109
1990,82,36.023
1990,83,31.659
1990,84,27.187
1990,85,22.819
1990,86,18.500
1990,87,14.732
1990,88,11.781
1990,89,9.453
1990,90,7.254
1990,91,5.229
1990,92,3.629
1990,93,2.505
1990,94,1.752
1990,95,1.196
1990,96,0.844
1990,97,0.585
1990,98,0.334
1990,99,0.113
1990,100,0.222
1991,0,107.999
1991,1,108.190
1991,2,109.575
1991,3,111.993
1991,4,115.287
1991,5,119.300
1991,6,123.886
1991,7,128.898
1991,8,134.138
1991,9,139.432
1991,10,144.654
1991,11,149.795
1991,12,154.809
1991,13,159.018
1991,14,162.067
1991,15,164.122
1991,16,165.935
1991,17,167.650
1991,18,167.696
1991,19,165.472
1991,20,161.776
1991,21,157.937
1991,22,153.584
1991,23,150.305
1991,24,149.002
1991,25,148.927
1991,26,148.472
1991,27,147.997
1991,28,147.142
1991,29,145.582
1991,30,143.585
1991,31,141.741
1991,32,139.922
1991,33,138.227
1991,34,136.761
1991,35,135.442
1991,36,134.032
1991,37,132.517
1991,38,131.149
1991,39,130.008
1991,40,128.958
1991,41,127.943
1991,42,127.180
1991,43,125.555
1991,44,122.572
1991,45,118.845
1991,46,115.335
1991,47,111.676
1991,48,109.394
1991,49,109.289
1991,50,110.586
1991,51,111.686
1991,52,112.883
1991,53,113.726
1991,54,113.818
1991,55,113.388
1991,56,113.048
1991,57,112.662
1991,58,112.039
1991,59,111.139
1991,60,109.973
1991,61,108.545
1991,62,106.814
1991,63,104.872
1991,64,102.746
1991,65,100.363
1991,66,97.809
1991,67,95.306
1991,68,91.674
1991,69,86.414
1991,70,80.188
1991,71,74.005
1991,72,67.470
1991,73,62.356
1991,74,59.596
1991,75,58.295
1991,76,56.705
1991,77,55.245
1991,78,53.000
1991,79,49.357
1991,80,44.825
1991,81,40.588
1991,82,36.491
1991,83,32.338
1991,84,28.181
1991,85,24.098
1991,86,20.102
1991,87,16.172
1991,88,12.772
1991,89,10.128
1991,90,8.065
1991,91,6.146
1991,92,4.411
1991,93,3.046
1991,94,2.080
1991,95,1.429
1991,96,0.903
1991,97,0.614
1991,98,0.346
1991,99,0.119
1991,100,0.241
1992,0,109.152
1992,1,107.635
1992,2,107.761
1992,3,109.380
1992,4,111.997
1992,5,115.458
1992,6,119.604
1992,7,124.294
1992,8,129.389
1992,9,134.650
1992,10,139.886
1992,11,144.992
1992,12,150.012
1992,13,154.895
1992,14,158.960
1992,15,161.857
1992,16,163.759
1992,17,165.424
1992,18,166.983
1992,19,166.946
1992,20,164.741
1992,21,161.141
1992,22,157.393
1992,23,153.135
1992,24,149.977
1992,25,148.818
1992,26,148.898
1992,27,148.603
1992,28,148.298
1992,29,147.561
