year,age,population
1990,0,61.080
1990,1,60.219
1990,2,59.858
1990,3,59.925
1990,4,60.350
1990,5,61.059
1990,6,61.983
1990,7,63.049
1990,8,64.187
1990,9,65.325
1990,10,66.477
1990,11,67.658
1990,12,68.369
1990,13,68.362
1990,14,67.827
1990,15,67.271
1990,16,66.688
1990,17,65.684
1990,18,64.147
1990,19,62.284
1990,20,60.378
1990,21,58.328
1990,22,56.726
1990,23,55.874
1990,24,55.510
1990,25,55.059
1990,26,54.633
1990,27,54.145
1990,28,53.492
1990,29,52.741
1990,30,52.069
1990,31,51.460
1990,32,50.784
1990,33,50.002
1990,34,49.165
1990,35,48.322
1990,36,47.405
1990,37,46.732
1990,38,46.443
1990,39,46.363
1990,40,46.208
1990,41,46.077
1990,42,45.579
1990,43,44.511
1990,44,43.064
1990,45,41.660
1990,46,40.236
1990,47,38.810
1990,48,37.443
1990,49,36.126
1990,50,34.784
1990,51,33.422
1990,52,32.219
1990,53,31.253
1990,54,30.459
1990,55,29.682
1990,56,28.953
1990,57,28.243
1990,58,27.528
1990,59,26.821
1990,60,26.140
1990,61,25.448
1990,62,24.872
1990,63,24.464
1990,64,24.144
1990,65,23.804
1990,66,23.508
1990,67,22.941
1990,68,21.956
1990,69,20.704
1990,70,19.479
1990,71,18.203
1990,72,17.106
1990,73,16.327
1990,74,15.744
1990,75,15.100
1990,76,14.459
1990,77,13.714
1990,78,12.791
1990,79,11.752
1990,80,10.758
1990,81,9.797
1990,82,8.802
1990,83,7.760
1990,84,6.708
1990,85,5.687
1990,86,4.669
1990,87,3.832
1990,88,3.258
1990,89,2.870
1990,90,2.506
1990,91,2.204
1990,92,1.879
1990,93,1.474
1990,94,1.037
1990,95,0.538
1990,96,0.305
1990,97,0.136
1990,98,0.057
1990,99,0.044
1990,100,0.496
1991,0,61.969
1991,1,60.792
1991,2,60.082
1991,3,59.835
1991,4,59.984
1991,5,60.461
1991,6,61.190
1991,7,62.098
1991,8,63.149
1991,9,64.291
1991,10,65.435
1991,11,66.576
1991,12,67.749
1991,13,68.368
1991,14,68.149
1991,15,67.328
1991,16,66.503
1991,17,65.648
1991,18,64.449
1991,19,62.845
1991,20,61.005
1991,21,59.118
1991,22,57.092
1991,23,55.565
1991,24,54.852
1991,25,54.668
1991,26,54.402
1991,27,54.175
1991,28,53.856
1991,29,53.319
1991,30,52.647
1991,31,52.056
1991,32,51.531
1991,33,50.903
1991,34,50.119
1991,35,49.247
1991,36,48.367
1991,37,47.404
1991,38,46.696
1991,39,46.397
1991,40,46.325
1991,41,46.170
1991,42,46.033
1991,43,45.545
1991,44,44.507
1991,45,43.103
1991,46,41.740
1991,47,40.358
1991,48,38.960
1991,49,37.598
1991,50,36.269
1991,51,34.917
1991,52,33.542
1991,53,32.321
1991,54,31.331
1991,55,30.506
1991,56,29.696
1991,57,28.929
1991,58,28.186
1991,59,27.452
1991,60,26.731
1991,61,26.033
1991,62,25.327
1991,63,24.720
1991,64,24.260
1991,65,23.871
1991,66,23.469
1991,67,23.109
1991,68,22.488
1991,69,21.458
1991,70,20.171
1991,71,18.911
1991,72,17.597
1991,73,16.481
1991,74,15.717
1991,75,15.167
1991,76,14.556
1991,77,13.962
1991,78,13.227
1991,79,12.258
1991,80,11.139
1991,81,10.076
1991,82,9.043
1991,83,8.018
1991,84,7.013
1991,85,6.043
1991,86,5.100
1991,87,4.164
1991,88,3.396
1991,89,2.865
1991,90,2.500
1991,91,2.168
1991,92,1.896
1991,93,1.609
1991,94,1.257
1991,95,0.878
1991,96,0.339
1991,97,0.163
1991,98,0.077
1991,99,0.053
1991,100,0.464
1992,0,63.655
1992,1,61.850
1992,2,60.503
1992,3,59.944
1992,4,59.812
1992,5,60.042
1992,6,60.572
1992,7,61.320
1992,8,62.211
1992,9,63.249
1992,10,64.394
1992,11,65.545
1992,12,66.674
1992,13,67.839
1992,14,68.368
1992,15,67.934
1992,16,66.829
1992,17,65.735
1992,18,64.606
1992,19,63.214
1992,20,61.541
1992,21,59.724
1992,22,57.858
1992,23,55.855
1992,24,54.404
1992,25,53.830
1992,26,53.824
1992,27,53.745
1992,28,53.715
1992,29,53.567
1992,30,53.146
1992,31,52.551
1992,32,52.043
1992,33,51.602
1992,34,51.022
1992,35,50.235
1992,36,49.330
1992,37,48.411
1992,38,47.402
1992,39,46.660
1992,40,46.351
1992,41,46.285
1992,42,46.132
1992,43,45.988
1992,44,45.510
1992,45,44.503
1992,46,43.142
1992,47,41.819
1992,48,40.480
1992,49,39.110
1992,50,37.752
1992,51,36.412
1992,52,35.049
1992,53,33.663
1992,54,32.422
1992,55,31.408
1992,56,30.554
1992,57,29.710
1992,58,28.903
1992,59,28.130
1992,60,27.375
1992,61,26.640
1992,62,25.927
