year,age,population
1990,0,9.340
1990,1,10.113
1990,2,10.598
1990,3,10.827
1990,4,10.832
1990,5,10.649
1990,6,10.309
1990,7,9.845
1990,8,9.292
1990,9,8.681
1990,10,8.015
1990,11,7.300
1990,12,6.716
1990,13,6.361
1990,14,6.172
1990,15,5.997
1990,16,5.859
1990,17,5.834
1990,18,5.939
1990,19,6.156
1990,20,6.426
1990,21,6.746
1990,22,7.154
1990,23,7.660
1990,24,8.235
1990,25,8.818
1990,26,9.385
1990,27,10.007
1990,28,10.703
1990,29,11.412
1990,30,12.069
1990,31,12.687
1990,32,13.091
1990,33,13.180
1990,34,13.030
1990,35,12.838
1990,36,12.591
1990,37,12.165
1990,38,11.528
1990,39,10.741
1990,40,9.915
1990,41,9.040
1990,42,8.201
1990,43,7.459
1990,44,6.789
1990,45,6.101
1990,46,5.402
1990,47,4.809
1990,48,4.370
1990,49,4.038
1990,50,3.723
1990,51,3.446
1990,52,3.161
1990,53,2.840
1990,54,2.502
1990,55,2.202
1990,56,1.927
1990,57,1.687
1990,58,1.492
1990,59,1.332
1990,60,1.185
1990,61,1.055
1990,62,0.938
1990,63,0.830
1990,64,0.730
1990,65,0.646
1990,66,0.572
1990,67,0.509
1990,68,0.454
1990,69,0.405
1990,70,0.366
1990,71,0.333
1990,72,0.303
1990,73,0.268
1990,74,0.235
1990,75,0.206
1990,76,0.183
1990,77,0.161
1990,78,0.144
1990,79,0.133
1990,80,0.121
1990,81,0.111
1990,82,0.104
1990,83,0.101
1990,84,0.100
1990,85,0.100
1990,86,0.101
1990,87,0.097
1990,88,0.083
1990,89,0.062
1990,90,0.043
1990,91,0.024
1990,92,0.009
1990,93,0.004
1990,94,0.003
1990,95,0.003
1990,96,0.005
1990,97,0.005
1990,98,0.004
1990,99,0.002
1990,100,0.003
1991,0,9.229
1991,1,9.471
1991,2,10.064
1991,3,10.415
1991,4,10.551
1991,5,10.499
1991,6,10.297
1991,7,9.978
1991,8,9.527
1991,9,8.953
1991,10,8.310
1991,11,7.637
1991,12,6.921
1991,13,6.392
1991,14,6.168
1991,15,6.160
1991,16,6.160
1991,17,6.200
1991,18,6.334
1991,19,6.565
1991,20,6.879
1991,21,7.242
1991,22,7.650
1991,23,8.112
1991,24,8.623
1991,25,9.168
1991,26,9.711
1991,27,10.224
1991,28,10.770
1991,29,11.366
1991,30,11.957
1991,31,12.490
1991,32,12.982
1991,33,13.253
1991,34,13.203
1991,35,12.916
1991,36,12.590
1991,37,12.209
1991,38,11.688
1991,39,11.013
1991,40,10.229
1991,41,9.408
1991,42,8.545
1991,43,7.728
1991,44,7.012
1991,45,6.372
1991,46,5.722
1991,47,5.070
1991,48,4.512
1991,49,4.095
1991,50,3.772
1991,51,3.470
1991,52,3.206
1991,53,2.937
1991,54,2.639
1991,55,2.328
1991,56,2.053
1991,57,1.803
1991,58,1.583
1991,59,1.400
1991,60,1.250
1991,61,1.110
1991,62,0.987
1991,63,0.878
1991,64,0.777
1991,65,0.684
1991,66,0.607
1991,67,0.539
1991,68,0.480
1991,69,0.430
1991,70,0.386
1991,71,0.349
1991,72,0.320
1991,73,0.292
1991,74,0.259
1991,75,0.227
1991,76,0.199
1991,77,0.177
1991,78,0.154
1991,79,0.138
1991,80,0.127
1991,81,0.114
1991,82,0.103
1991,83,0.096
1991,84,0.093
1991,85,0.090
1991,86,0.091
1991,87,0.091
1991,88,0.087
1991,89,0.074
1991,90,0.055
1991,91,0.038
1991,92,0.021
1991,93,0.008
1991,94,0.003
1991,95,0.003
1991,96,0.005
1991,97,0.004
1991,98,0.003
1991,99,0.001
1991,100,0.003
1992,0,9.163
1992,1,9.877
1992,2,9.510
1992,3,9.915
1992,4,10.129
1992,5,10.170
1992,6,10.061
1992,7,9.841
1992,8,9.547
1992,9,9.112
1992,10,8.524
1992,11,7.855
1992,12,7.181
1992,13,6.473
1992,14,6.002
1992,15,5.914
1992,16,6.086
1992,17,6.264
1992,18,6.483
1992,19,6.778
1992,20,7.131
