year,age,population
1990,0,558.284
1990,1,613.051
1990,2,657.413
1990,3,692.560
1990,4,719.677
1990,5,739.960
1990,6,754.594
1990,7,764.775
1990,8,771.686
1990,9,776.522
1990,10,777.768
1990,11,773.907
1990,12,779.655
1990,13,801.609
1990,14,832.850
1990,15,860.908
1990,16,889.548
1990,17,907.090
1990,18,906.875
1990,19,895.108
1990,20,884.438
1990,21,872.077
1990,22,862.888
1990,23,860.479
1990,24,862.086
1990,25,860.134
1990,26,854.717
1990,27,851.750
1990,28,852.967
1990,29,855.233
1990,30,855.613
1990,31,857.021
1990,32,843.611
1990,33,807.940
1990,34,758.195
1990,35,709.734
1990,36,659.156
1990,37,616.314
1990,38,587.554
1990,39,568.190
1990,40,547.250
1990,41,527.007
1990,42,507.711
1990,43,488.422
1990,44,469.876
1990,45,452.937
1990,46,436.452
1990,47,424.552
1990,48,419.064
1990,49,417.406
1990,50,415.510
1990,51,414.579
1990,52,408.964
1990,53,395.561
1990,54,376.981
1990,55,359.324
1990,56,341.824
1990,57,323.411
1990,58,304.317
1990,59,285.017
1990,60,265.422
1990,61,245.146
1990,62,228.097
1990,63,216.093
1990,64,207.357
1990,65,198.477
1990,66,190.347
1990,67,180.774
1990,68,168.393
1990,69,154.403
1990,70,141.323
1990,71,128.583
1990,72,116.988
1990,73,107.167
1990,74,98.610
1990,75,90.174
1990,76,82.086
1990,77,74.261
1990,78,66.548
1990,79,59.045
1990,80,52.065
1990,81,45.623
1990,82,39.343
1990,83,33.097
1990,84,27.076
1990,85,21.515
1990,86,16.278
1990,87,12.045
1990,88,9.148
1990,89,7.240
1990,90,5.601
1990,91,4.338
1990,92,3.299
1990,93,2.330
1990,94,1.476
1990,95,0.938
1990,96,0.624
1990,97,0.392
1990,98,0.205
1990,99,0.061
1990,100,0.164
1991,0,585.573
1991,1,568.244
1991,2,613.017
1991,3,651.335
1991,4,683.718
1991,5,710.682
1991,6,733.430
1991,7,753.157
1991,8,766.996
1991,9,774.105
1991,10,777.044
1991,11,777.676
1991,12,773.791
1991,13,779.547
1991,14,801.588
1991,15,832.940
1991,16,861.088
1991,17,889.881
1991,18,907.272
1991,19,906.445
1991,20,893.811
1991,21,882.330
1991,22,869.073
1991,23,859.519
1991,24,857.591
1991,25,860.206
1991,26,859.166
1991,27,854.692
1991,28,852.428
1991,29,853.907
1991,30,856.132
1991,31,856.540
1991,32,858.014
1991,33,844.477
1991,34,808.421
1991,35,758.134
1991,36,709.115
1991,37,657.893
1991,38,614.674
1991,39,585.977
1991,40,566.946
1991,41,546.284
1991,42,526.355
1991,43,507.172
1991,44,487.651
1991,45,468.660
1991,46,451.324
1991,47,434.418
1991,48,422.232
1991,49,416.693
1991,50,415.127
1991,51,413.287
1991,52,412.431
1991,53,406.774
1991,54,393.134
1991,55,374.198
1991,56,356.211
1991,57,338.360
1991,58,319.711
1991,59,300.572
1991,60,281.342
1991,61,261.793
1991,62,241.585
1991,63,224.497
1991,64,212.273
1991,65,203.209
1991,66,194.038
1991,67,185.629
1991,68,175.826
1991,69,163.305
1991,70,149.240
1991,71,136.089
1991,72,123.283
1991,73,111.694
1991,74,101.980
1991,75,93.595
1991,76,85.355
1991,77,77.507
1991,78,69.873
1991,79,62.253
1991,80,54.793
1991,81,47.887
1991,82,41.515
1991,83,35.433
1991,84,29.583
1991,85,24.081
1991,86,19.019
1991,87,14.290
1991,88,10.487
1991,89,7.885
1991,90,6.177
1991,91,4.745
1991,92,3.678
1991,93,2.804
1991,94,1.968
1991,95,1.218
1991,96,0.678
1991,97,0.442
1991,98,0.240
1991,99,0.079
1991,100,0.179
1992,0,645.189
1992,1,649.249
1992,2,576.109
1992,3,610.691
1992,4,642.803
1992,5,672.292
1992,6,699.001
1992,7,724.136
1992,8,748.899
1992,9,766.356
1992,10,773.638
1992,11,774.662
1992,12,774.675
1992,13,770.783
1992,14,776.524
1992,15,798.569
1992,16,829.916
1992,17,858.049
1992,18,886.887
1992,19,904.063
1992,20,902.624
1992,21,889.168
1992,22,876.915
1992,23,862.810
1992,24,852.927
1992,25,851.486
1992,26,855.103
1992,27,854.982
1992,28,851.473
1992,29,849.921
1992,30,851.657
1992,31,853.831
1992,32,854.267
1992,33,855.804
1992,34,842.188
1992,35,805.879
1992,36,755.239
1992,37,705.842
1992,38,654.168
1992,39,610.729
1992,40,582.204
1992,41,563.578
1992,42,543.272
1992,43,523.733
1992,44,504.735
1992,45,485.054
1992,46,465.689
1992,47,448.018
1992,48,430.752
1992,49,418.326
1992,50,412.756
1992,51,411.288
1992,52,409.512
1992,53,408.734
1992,54,403.057
1992,55,389.229
1992,56,370.007
1992,57,351.756
1992,58,333.620
1992,59,314.804
1992,60,295.690
1992,61,276.603
1992,62,257.175
1992,63,237.110
1992,64,220.044
1992,65,207.647
1992,66,198.289
1992,67,188.860
1992,68,180.201
1992,69,170.206
1992,70,157.589
1992,71,143.503
1992,72,130.329
1992,73,117.504
1992,74,105.967
1992,75,96.394
1992,76,88.215
1992,77,80.201
1992,78,72.624
1992,79,65.210
1992,80,57.710
1992,81,50.323
1992,82,43.518
1992,83,37.237
1992,84,31.378
1992,85,25.949
1992,86,20.986
1992,87,16.443
1992,88,12.242
1992,89,8.886
1992,90,6.588
1992,91,5.087
