year,age,population
1990,0,83.977
1990,1,85.168
1990,2,85.847
1990,3,86.061
1990,4,85.859
1990,5,85.293
1990,6,84.410
1990,7,83.258
1990,8,81.887
1990,9,80.348
1990,10,78.613
1990,11,76.659
1990,12,74.903
1990,13,73.545
1990,14,72.412
1990,15,71.305
1990,16,70.472
1990,17,68.969
1990,18,66.373
1990,19,63.256
1990,20,60.437
1990,21,57.537
1990,22,56.283
1990,23,57.544
1990,24,60.446
1990,25,63.161
1990,26,65.954
1990,27,68.537
1990,28,70.544
1990,29,72.081
1990,30,73.623
1990,31,75.084
1990,32,75.830
1990,33,75.595
1990,34,74.568
1990,35,73.373
1990,36,72.070
1990,37,69.843
1990,38,66.399
1990,39,62.197
1990,40,58.045
1990,41,53.872
1990,42,50.102
1990,43,47.058
1990,44,44.651
1990,45,42.219
1990,46,39.606
1990,47,38.541
1990,48,39.719
1990,49,42.275
1990,50,44.789
1990,51,47.716
1990,52,49.204
1990,53,48.244
1990,54,45.750
1990,55,43.547
1990,56,41.147
1990,57,39.547
1990,58,39.383
1990,59,40.061
1990,60,40.368
1990,61,40.576
1990,62,40.204
1990,63,38.911
1990,64,36.960
1990,65,35.109
1990,66,33.365
1990,67,31.071
1990,68,28.025
1990,69,24.583
1990,70,21.164
1990,71,17.512
1990,72,15.027
1990,73,14.396
1990,74,14.922
1990,75,15.310
1990,76,15.908
1990,77,15.765
1990,78,14.305
1990,79,12.039
1990,80,10.037
1990,81,8.065
1990,82,6.439
1990,83,5.421
1990,84,4.807
1990,85,4.144
1990,86,3.520
1990,87,2.936
1990,88,2.342
1990,89,1.771
1990,90,1.289
1990,91,0.874
1990,92,0.557
1990,93,0.357
1990,94,0.248
1990,95,0.174
1990,96,0.142
1990,97,0.118
1990,98,0.076
1990,99,0.028
1990,100,0.052
1991,0,78.499
1991,1,83.340
1991,2,84.766
1991,3,85.599
1991,4,85.901
1991,5,85.729
1991,6,85.138
1991,7,84.171
1991,8,82.954
1991,9,81.576
1991,10,80.059
1991,11,78.321
1991,12,76.357
1991,13,74.555
1991,14,73.093
1991,15,71.826
1991,16,70.592
1991,17,69.621
1991,18,68.049
1991,19,65.494
1991,20,62.485
1991,21,59.765
1991,22,56.972
1991,23,55.798
1991,24,57.088
1991,25,59.988
1991,26,62.708
1991,27,65.510
1991,28,68.091
1991,29,70.088
1991,30,71.606
1991,31,73.127
1991,32,74.564
1991,33,75.286
1991,34,75.028
1991,35,73.980
1991,36,72.764
1991,37,71.440
1991,38,69.196
1991,39,65.745
1991,40,61.544
1991,41,57.389
1991,42,53.209
1991,43,49.444
1991,44,46.425
1991,45,44.053
1991,46,41.651
1991,47,39.075
1991,48,38.009
1991,49,39.132
1991,50,41.599
1991,51,44.024
1991,52,46.856
1991,53,48.272
1991,54,47.283
1991,55,44.787
1991,56,42.575
1991,57,40.169
1991,58,38.540
1991,59,38.311
1991,60,38.901
1991,61,39.130
1991,62,39.267
1991,63,38.833
1991,64,37.495
1991,65,35.514
1991,66,33.632
1991,67,31.846
1991,68,29.561
1991,69,26.598
1991,70,23.282
1991,71,19.989
1991,72,16.489
1991,73,14.064
1991,74,13.343
1991,75,13.693
1991,76,13.925
1991,77,14.354
1991,78,14.149
1991,79,12.798
1991,80,10.750
1991,81,8.949
1991,82,7.188
1991,83,5.730
1991,84,4.801
1991,85,4.225
1991,86,3.614
1991,87,3.042
1991,88,2.514
1991,89,1.993
1991,90,1.499
1991,91,1.086
1991,92,0.734
1991,93,0.466
1991,94,0.296
1991,95,0.202
1991,96,0.146
1991,97,0.117
1991,98,0.072
1991,99,0.026
1991,100,0.053
1992,0,71.452
1992,1,76.416
1992,2,82.731
1992,3,84.392
1992,4,85.381
1992,5,85.769
1992,6,85.629
1992,7,85.010
1992,8,83.960
1992,9,82.680
1992,10,81.292
1992,11,79.797
1992,12,78.054
1992,13,76.081
1992,14,74.231
1992,15,72.666
1992,16,71.263
1992,17,69.901
1992,18,68.793
1992,19,67.153
1992,20,64.635
1992,21,61.735
1992,22,59.113
1992,23,56.425
1992,24,55.330
1992,25,56.652
1992,26,59.549
1992,27,62.276
1992,28,65.087
1992,29,67.669
