year,age,population
1990,0,388.388
1990,1,365.926
1990,2,350.710
1990,3,341.870
1990,4,338.542
1990,5,339.852
1990,6,344.932
1990,7,352.917
1990,8,362.935
1990,9,374.118
1990,10,386.961
1990,11,401.952
1990,12,411.420
1990,13,411.766
1990,14,406.210
1990,15,400.637
1990,16,392.759
1990,17,388.798
1990,18,392.088
1990,19,398.864
1990,20,404.428
1990,21,412.590
1990,22,407.250
1990,23,380.846
1990,24,342.405
1990,25,306.551
1990,26,267.984
1990,27,247.633
1990,28,256.624
1990,29,284.249
1990,30,308.567
1990,31,333.862
1990,32,353.080
1990,33,360.464
1990,34,359.711
1990,35,360.814
1990,36,362.437
1990,37,359.413
1990,38,350.383
1990,39,337.172
1990,40,323.919
1990,41,310.938
1990,42,296.140
1990,43,279.272
1990,44,262.086
1990,45,245.064
1990,46,226.277
1990,47,218.662
1990,48,228.121
1990,49,248.178
1990,50,266.998
1990,51,287.610
1990,52,300.584
1990,53,300.244
1990,54,291.289
1990,55,283.893
1990,56,275.763
1990,57,269.192
1990,58,266.258
1990,59,265.222
1990,60,262.146
1990,61,257.675
1990,62,251.894
1990,63,244.406
1990,64,235.276
1990,65,226.206
1990,66,218.345
1990,67,204.687
1990,68,182.405
1990,69,155.446
1990,70,129.259
1990,71,101.145
1990,72,83.875
1990,73,83.848
1990,74,94.559
1990,75,103.674
1990,76,114.316
1990,77,118.274
1990,78,110.427
1990,79,95.105
1990,80,81.868
1990,81,68.937
1990,82,57.168
1990,83,47.987
1990,84,40.629
1990,85,32.800
1990,86,24.841
1990,87,18.338
1990,88,13.810
1990,89,10.752
1990,90,8.064
1990,91,5.887
1990,92,4.179
1990,93,2.779
1990,94,1.684
1990,95,1.026
1990,96,0.753
1990,97,0.558
1990,98,0.300
1990,99,0.034
1990,100,0.181
1991,0,357.494
1991,1,377.610
1991,2,361.891
1991,3,350.966
1991,4,344.362
1991,5,341.612
1991,6,341.849
1991,7,344.212
1991,8,350.198
1991,9,360.121
1991,10,372.334
1991,11,385.375
1991,12,400.148
1991,13,409.323
1991,14,409.285
1991,15,403.293
1991,16,397.288
1991,17,388.977
1991,18,384.642
1991,19,387.655
1991,20,394.233
1991,21,399.608
1991,22,407.584
1991,23,402.184
1991,24,375.885
1991,25,337.664
1991,26,302.039
1991,27,263.733
1991,28,243.593
1991,29,252.695
1991,30,280.366
1991,31,304.753
1991,32,330.128
1991,33,349.416
1991,34,356.865
1991,35,356.170
1991,36,357.326
1991,37,358.995
1991,38,356.025
1991,39,347.069
1991,40,333.940
1991,41,320.753
1991,42,307.815
1991,43,293.081
1991,44,276.313
1991,45,259.237
1991,46,242.306
1991,47,223.611
1991,48,215.970
1991,49,225.225
1991,50,244.961
1991,51,263.461
1991,52,283.721
1991,53,296.403
1991,54,295.882
1991,55,286.813
1991,56,279.278
1991,57,271.010
1991,58,264.254
1991,59,261.060
1991,60,259.716
1991,61,256.367
1991,62,251.660
1991,63,245.625
1991,64,237.854
1991,65,228.447
1991,66,219.092
1991,67,210.867
1991,68,197.167
1991,69,175.339
1991,70,149.110
1991,71,123.623
1991,72,96.341
1991,73,79.310
1991,74,78.569
1991,75,87.995
1991,76,95.970
1991,77,105.438
1991,78,108.710
1991,79,100.987
1991,80,86.336
1991,81,73.699
1991,82,61.389
1991,83,50.334
1991,84,41.925
1991,85,35.373
1991,86,28.401
1991,87,21.349
1991,88,15.621
1991,89,11.652
1991,90,8.997
1991,91,6.711
1991,92,4.916
1991,93,3.509
1991,94,2.322
1991,95,1.371
1991,96,0.807
1991,97,0.607
1991,98,0.332
1991,99,0.049
1991,100,0.196
1992,0,306.460
1992,1,313.088
1992,2,367.644
1992,3,358.630
1992,4,351.968
1992,5,347.583
1992,6,345.407
1992,7,344.573
1992,8,344.225
1992,9,348.226
1992,10,358.076
1992,11,371.342
1992,12,384.611
1992,13,399.197
1992,14,408.098
1992,15,407.678
1992,16,401.235
1992,17,394.787
1992,18,386.026
1992,19,381.308
1992,20,384.050
1992,21,390.445
1992,22,395.641
1992,23,403.451
1992,24,397.976
1992,25,371.729
1992,26,333.646
1992,27,298.173
1992,28,260.047
1992,29,240.074
1992,30,249.307
1992,31,277.082
1992,32,301.592
1992,33,327.099
1992,34,346.499
1992,35,354.027
1992,36,353.391
1992,37,354.601
1992,38,356.318
1992,39,353.399
1992,40,344.495
1992,41,331.421
1992,42,318.273
1992,43,305.350
1992,44,290.647
1992,45,273.944
1992,46,256.943
1992,47,240.064
1992,48,221.425
1992,49,213.739
1992,50,222.810
1992,51,242.268
1992,52,260.487
1992,53,280.439
1992,54,292.857
1992,55,292.152
1992,56,282.952
1992,57,275.260
1992,58,266.838
1992,59,259.883
1992,60,256.421
1992,61,254.768
1992,62,251.138
1992,63,246.185
1992,64,239.885
1992,65,231.813
1992,66,222.109
1992,67,212.450
1992,68,203.844
1992,69,190.073
1992,70,168.652
1992,71,143.097
1992,72,118.254
1992,73,91.746
1992,74,74.918
1992,75,73.460
1992,76,81.624
1992,77,88.478
1992,78,96.791
1992,79,99.385
1992,80,91.771
1992,81,77.757
1992,82,65.694
1992,83,53.977
1992,84,43.613
1992,85,35.957
1992,86,30.198
1992,87,24.066
1992,88,17.904
1992,89,12.940
1992,90,9.520
1992,91,7.263
1992,92,5.375
1992,93,3.955
1992,94,2.847
1992,95,1.870
1992,96,1.061
1992,97,0.674
1992,98,0.382
1992,99,0.072
1992,100,0.212
1993,0,247.081
1993,1,276.332
1993,2,300.346
1993,3,358.012
1993,4,355.709
1993,5,353.314
1993,6,351.149
1993,7,349.544
1993,8,347.637
1993,9,344.572
1993,10,346.586
1993,11,356.374
1993,12,370.708
1993,13,384.219
1993,14,398.631
1993,15,407.265
1993,16,406.462
1993,17,399.563
1993,18,392.663
1993,19,383.441
1993,20,378.337
1993,21,380.809
1993,22,387.027
1993,23,392.050
1993,24,399.699
1993,25,394.145
1993,26,367.923
1993,27,329.942
1993,28,294.587
1993,29,256.604
1993,30,236.782
1993,31,246.152
1993,32,274.060
1993,33,298.715
1993,34,324.380
1993,35,343.911
1993,36,351.527
1993,37,350.947
1993,38,352.214
1993,39,353.982
1993,40,351.108
1993,41,342.250
1993,42,329.218
1993,43,316.095
1993,44,303.175
1993,45,288.490
1993,46,271.836
1993,47,254.891
1993,48,238.052
1993,49,219.446
1993,50,211.712
1993,51,220.606
1993,52,239.803
1993,53,257.759
1993,54,277.422
1993,55,289.585
