year,age,population
1990,0,2197.868
1990,1,2272.711
1990,2,2325.007
1990,3,2357.124
1990,4,2371.424
1990,5,2370.278
1990,6,2356.046
1990,7,2331.101
1990,8,2297.802
1990,9,2258.521
1990,10,2212.296
1990,11,2158.167
1990,12,2115.129
1990,13,2092.197
1990,14,2081.763
1990,15,2072.174
1990,16,2071.733
1990,17,2053.127
1990,18,2003.522
1990,19,1939.767
1990,20,1885.160
1990,21,1827.379
1990,22,1822.270
1990,23,1897.535
1990,24,2024.064
1990,25,2142.927
1990,26,2263.363
1990,27,2369.045
1990,28,2445.067
1990,29,2497.828
1990,30,2550.794
1990,31,2601.876
1990,32,2623.228
1990,33,2604.144
1990,34,2555.374
1990,35,2497.838
1990,36,2426.708
1990,37,2353.390
1990,38,2285.462
1990,39,2216.976
1990,40,2149.168
1990,41,2099.511
1990,42,1993.640
1990,43,1800.402
1990,44,1565.179
1990,45,1340.545
1990,46,1087.233
1990,47,998.350
1990,48,1166.121
1990,49,1489.130
1990,50,1791.166
1990,51,2128.399
1990,52,2308.604
1990,53,2225.018
1990,54,1977.883
1990,55,1760.962
1990,56,1519.630
1990,57,1383.255
1990,58,1430.604
1990,59,1587.119
1990,60,1708.876
1990,61,1835.938
1990,62,1872.608
1990,63,1760.401
1990,64,1553.972
1990,65,1367.711
1990,66,1180.226
1990,67,1019.081
1990,68,909.981
1990,69,837.862
1990,70,755.907
1990,71,666.232
1990,72,614.648
1990,73,616.967
1990,74,652.582
1990,75,687.811
1990,76,732.656
1990,77,744.559
1990,78,699.965
1990,79,619.114
1990,80,546.768
1990,81,475.127
1990,82,406.970
1990,83,348.551
1990,84,297.300
1990,85,243.930
1990,86,189.748
1990,87,144.580
1990,88,112.236
1990,89,89.404
1990,90,68.488
1990,91,50.426
1990,92,36.284
1990,93,25.641
1990,94,17.967
1990,95,13.016
1990,96,10.663
1990,97,8.738
1990,98,6.074
1990,99,3.211
1990,100,6.229
1991,0,1981.162
1991,1,2201.232
1991,2,2281.829
1991,3,2337.618
1991,4,2371.331
1991,5,2385.692
1991,6,2383.115
1991,7,2366.001
1991,8,2338.692
1991,9,2304.557
1991,10,2265.364
1991,11,2218.533
1991,12,2163.421
1991,13,2119.630
1991,14,2096.316
1991,15,2085.765
1991,16,2076.015
1991,17,2075.361
1991,18,2056.789
1991,19,2007.557
1991,20,1944.356
1991,21,1890.253
1991,22,1833.012
1991,23,1828.014
1991,24,1902.719
1991,25,2028.231
1991,26,2146.098
1991,27,2265.494
