year,age,population
1990,0,313.592
1990,1,302.353
1990,2,291.309
1990,3,280.459
1990,4,269.803
1990,5,259.344
1990,6,249.083
1990,7,239.017
1990,8,229.153
1990,9,219.487
1990,10,210.075
1990,11,200.972
1990,12,191.910
1990,13,182.784
1990,14,173.756
1990,15,165.085
1990,16,156.713
1990,17,148.945
1990,18,141.957
1990,19,135.622
1990,20,129.599
1990,21,123.910
1990,22,118.760
1990,23,114.200
1990,24,110.135
1990,25,106.331
1990,26,102.728
1990,27,99.580
1990,28,96.956
1990,29,94.663
1990,30,92.478
1990,31,90.485
1990,32,88.034
1990,33,84.792
1990,34,81.036
1990,35,77.379
1990,36,73.685
1990,37,70.086
1990,38,66.709
1990,39,63.452
1990,40,60.213
1990,41,57.146
1990,42,53.677
1990,43,49.555
1990,44,45.135
1990,45,40.958
1990,46,36.832
1990,47,33.663
1990,48,31.931
1990,49,31.197
1990,50,30.483
1990,51,29.902
1990,52,29.557
1990,53,29.378
1990,54,29.300
1990,55,29.333
1990,56,29.486
1990,57,29.320
1990,58,28.632
1990,59,27.567
1990,60,26.524
1990,61,25.476
1990,62,24.166
1990,63,22.523
1990,64,20.664
1990,65,18.794
1990,66,16.896
1990,67,15.092
1990,68,13.471
1990,69,12.007
1990,70,10.549
1990,71,9.099
1990,72,7.914
1990,73,7.100
1990,74,6.543
1990,75,6.029
1990,76,5.604
1990,77,5.147
1990,78,4.579
1990,79,3.957
1990,80,3.419
1990,81,2.936
1990,82,2.488
1990,83,2.075
1990,84,1.698
1990,85,1.354
1990,86,1.033
1990,87,0.774
1990,88,0.585
1990,89,0.451
1990,90,0.340
1990,91,0.254
1990,92,0.187
1990,93,0.127
1990,94,0.076
1990,95,0.047
1990,96,0.032
1990,97,0.022
1990,98,0.013
1990,99,0.004
1990,100,0.009
1991,0,276.422
1991,1,285.598
1991,2,277.716
1991,3,269.545
1991,4,261.125
1991,5,252.498
1991,6,243.709
1991,7,234.807
1991,8,225.802
1991,9,216.729
1991,10,207.641
1991,11,198.625
1991,12,189.733
1991,13,180.948
1991,14,172.291
1991,15,163.848
1991,16,155.654
1991,17,147.685
1991,18,140.362
1991,19,133.895
1991,20,128.115
1991,21,122.612
1991,22,117.421
1991,23,112.696
1991,24,108.450
1991,25,104.616
1991,26,101.027
1991,27,97.621
1991,28,94.593
1991,29,91.986
1991,30,89.645
1991,31,87.404
1991,32,85.349
1991,33,82.840
1991,34,79.560
1991,35,75.792
1991,36,72.125
1991,37,68.418
1991,38,64.907
1991,39,61.770
1991,40,58.854
1991,41,55.945
1991,42,53.203
1991,43,50.089
1991,44,46.352
1991,45,42.322
1991,46,38.530
1991,47,34.808
1991,48,31.882
1991,49,30.146
1991,50,29.249
1991,51,28.379
1991,52,27.611
1991,53,27.147
1991,54,26.980
1991,55,26.998
1991,56,27.098
1991,57,27.317
1991,58,27.186
1991,59,26.478
1991,60,25.362
1991,61,24.285
1991,62,23.209
1991,63,21.906
1991,64,20.327
1991,65,18.571
1991,66,16.801
1991,67,14.999
1991,68,13.322
1991,69,11.868
1991,70,10.592
1991,71,9.323
1991,72,8.074
1991,73,7.027
1991,74,6.248
1991,75,5.659
1991,76,5.123
1991,77,4.666
1991,78,4.216
1991,79,3.727
1991,80,3.230
1991,81,2.801
1991,82,2.425
1991,83,2.071
1991,84,1.726
1991,85,1.401
1991,86,1.110
1991,87,0.841
1991,88,0.625
1991,89,0.470
1991,90,0.362
1991,91,0.273
1991,92,0.205
1991,93,0.151
1991,94,0.103
1991,95,0.061
1991,96,0.031
1991,97,0.022
1991,98,0.013
1991,99,0.004
1991,100,0.009
1992,0,221.205
1992,1,226.038
1992,2,255.100
1992,3,250.579
1992,4,245.301
1992,5,239.348
1992,6,232.795
1992,7,225.734
1992,8,218.258
1992,9,210.388
1992,10,202.187
1992,11,193.766
1992,12,185.236
1992,13,176.650
1992,14,168.232
1992,15,160.131
1992,16,152.351
1992,17,144.715
