year,age,population
1990,0,14.550
1990,1,13.937
1990,2,13.419
1990,3,12.990
1990,4,12.644
1990,5,12.374
1990,6,12.172
1990,7,12.037
1990,8,11.958
1990,9,11.930
1990,10,11.946
1990,11,12.000
1990,12,12.087
1990,13,12.201
1990,14,12.333
1990,15,12.469
1990,16,12.586
1990,17,12.739
1990,18,12.940
1990,19,13.151
1990,20,13.333
1990,21,13.515
1990,22,13.516
1990,23,13.245
1990,24,12.795
1990,25,12.342
1990,26,11.861
1990,27,11.391
1990,28,10.974
1990,29,10.590
1990,30,10.174
1990,31,9.725
1990,32,9.344
1990,33,9.067
1990,34,8.854
1990,35,8.636
1990,36,8.447
1990,37,8.160
1990,38,7.714
1990,39,7.175
1990,40,6.668
1990,41,6.160
1990,42,5.756
1990,43,5.518
1990,44,5.393
1990,45,5.262
1990,46,5.146
1990,47,5.033
1990,48,4.907
1990,49,4.771
1990,50,4.654
1990,51,4.547
1990,52,4.453
1990,53,4.383
1990,54,4.322
1990,55,4.262
1990,56,4.214
1990,57,4.113
1990,58,3.932
1990,59,3.701
1990,60,3.475
1990,61,3.235
1990,62,3.051
1990,63,2.958
1990,64,2.920
1990,65,2.870
1990,66,2.830
1990,67,2.739
1990,68,2.558
1990,69,2.326
1990,70,2.108
1990,71,1.887
1990,72,1.700
1990,73,1.573
1990,74,1.484
1990,75,1.390
1990,76,1.302
1990,77,1.209
1990,78,1.108
1990,79,1.002
1990,80,0.903
1990,81,0.809
1990,82,0.724
1990,83,0.644
1990,84,0.570
1990,85,0.501
1990,86,0.438
1990,87,0.376
1990,88,0.315
1990,89,0.258
1990,90,0.206
1990,91,0.158
1990,92,0.118
1990,93,0.090
1990,94,0.069
1990,95,0.052
1990,96,0.037
1990,97,0.027
1990,98,0.016
1990,99,0.011
1990,100,0.019
1991,0,14.441
1991,1,14.396
1991,2,13.880
1991,3,13.428
1991,4,13.043
1991,5,12.719
1991,6,12.453
1991,7,12.232
1991,8,12.083
1991,9,12.009
1991,10,11.994
1991,11,12.014
1991,12,12.066
1991,13,12.138
1991,14,12.214
1991,15,12.297
1991,16,12.386
1991,17,12.458
1991,18,12.575
1991,19,12.758
1991,20,12.965
1991,21,13.142
1991,22,13.318
1991,23,13.335
1991,24,13.111
1991,25,12.727
1991,26,12.338
1991,27,11.926
1991,28,11.506
1991,29,11.110
1991,30,10.727
1991,31,10.313
1991,32,9.867
1991,33,9.479
1991,34,9.182
1991,35,8.943
1991,36,8.696
1991,37,8.475
1991,38,8.164
1991,39,7.709
1991,40,7.171
1991,41,6.664
1991,42,6.154
1991,43,5.749
1991,44,5.507
1991,45,5.375
1991,46,5.240
1991,47,5.120
1991,48,5.003
1991,49,4.875
1991,50,4.737
1991,51,4.618
1991,52,4.508
1991,53,4.413
1991,54,4.339
1991,55,4.274
1991,56,4.211
1991,57,4.160
1991,58,4.056
1991,59,3.873
1991,60,3.643
1991,61,3.416
1991,62,3.177
1991,63,2.991
1991,64,2.897
1991,65,2.854
1991,66,2.801
1991,67,2.758
1991,68,2.665
1991,69,2.485
1991,70,2.257
1991,71,2.041
1991,72,1.824
1991,73,1.640
1991,74,1.511
1991,75,1.419
1991,76,1.324
1991,77,1.234
1991,78,1.140
1991,79,1.040
1991,80,0.934
1991,81,0.838
1991,82,0.744
1991,83,0.663
1991,84,0.585
1991,85,0.516
1991,86,0.450
1991,87,0.392
1991,88,0.335
1991,89,0.279
1991,90,0.227
1991,91,0.179
1991,92,0.137
1991,93,0.102
1991,94,0.076
1991,95,0.058
1991,96,0.040
1991,97,0.028
1991,98,0.017
1991,99,0.012
1991,100,0.021
1992,0,14.201
1992,1,13.936
1992,2,14.274
1992,3,13.851
1992,4,13.467
1992,5,13.122
