year,age,population
1990,0,3.489
1990,1,3.526
1990,2,3.547
1990,3,3.547
1990,4,3.535
1990,5,3.509
1990,6,3.473
1990,7,3.428
1990,8,3.376
1990,9,3.319
1990,10,3.257
1990,11,3.182
1990,12,3.127
1990,13,3.098
1990,14,3.084
1990,15,3.067
1990,16,3.051
1990,17,3.011
1990,18,2.933
1990,19,2.829
1990,20,2.728
1990,21,2.619
1990,22,2.533
1990,23,2.483
1990,24,2.454
1990,25,2.419
1990,26,2.383
1990,27,2.328
1990,28,2.233
1990,29,2.117
1990,30,2.005
1990,31,1.894
1990,32,1.788
1990,33,1.692
1990,34,1.604
1990,35,1.516
1990,36,1.428
1990,37,1.353
1990,38,1.297
1990,39,1.256
1990,40,1.217
1990,41,1.184
1990,42,1.147
1990,43,1.094
1990,44,1.038
1990,45,0.986
1990,46,0.937
1990,47,0.900
1990,48,0.884
1990,49,0.881
1990,50,0.877
1990,51,0.875
1990,52,0.874
1990,53,0.869
1990,54,0.864
1990,55,0.861
1990,56,0.860
1990,57,0.851
1990,58,0.823
1990,59,0.789
1990,60,0.755
1990,61,0.718
1990,62,0.693
1990,63,0.684
1990,64,0.684
1990,65,0.683
1990,66,0.679
1990,67,0.676
1990,68,0.677
1990,69,0.675
1990,70,0.675
1990,71,0.673
1990,72,0.660
1990,73,0.623
1990,74,0.574
1990,75,0.526
1990,76,0.474
1990,77,0.426
1990,78,0.384
1990,79,0.349
1990,80,0.311
1990,81,0.275
1990,82,0.234
1990,83,0.192
1990,84,0.147
1990,85,0.107
1990,86,0.064
1990,87,0.034
1990,88,0.023
1990,89,0.022
1990,90,0.022
1990,91,0.024
1990,92,0.026
1990,93,0.022
1990,94,0.015
1990,95,0.011
1990,96,0.010
1990,97,0.006
1990,98,0.005
1990,99,0.004
1990,100,0.009
1991,0,3.540
1991,1,3.503
1991,2,3.530
1991,3,3.544
1991,4,3.538
1991,5,3.522
1991,6,3.493
1991,7,3.456
1991,8,3.408
