year,age,population
1990,0,2.574
1990,1,2.634
1990,2,2.683
1990,3,2.723
1990,4,2.755
1990,5,2.777
1990,6,2.791
1990,7,2.796
1990,8,2.794
1990,9,2.783
1990,10,2.764
1990,11,2.742
1990,12,2.708
1990,13,2.664
1990,14,2.613
1990,15,2.558
1990,16,2.500
1990,17,2.436
1990,18,2.365
1990,19,2.287
1990,20,2.208
1990,21,2.121
1990,22,2.056
1990,23,2.030
1990,24,2.025
1990,25,2.013
1990,26,2.006
1990,27,1.966
1990,28,1.881
1990,29,1.761
1990,30,1.648
1990,31,1.533
1990,32,1.426
1990,33,1.339
1990,34,1.262
1990,35,1.183
1990,36,1.105
1990,37,1.035
1990,38,0.971
1990,39,0.916
1990,40,0.865
1990,41,0.820
1990,42,0.775
1990,43,0.724
1990,44,0.674
1990,45,0.629
1990,46,0.582
1990,47,0.560
1990,48,0.572
1990,49,0.608
1990,50,0.641
1990,51,0.682
1990,52,0.700
1990,53,0.678
1990,54,0.636
1990,55,0.597
1990,56,0.555
1990,57,0.527
1990,58,0.518
1990,59,0.521
1990,60,0.522
1990,61,0.521
1990,62,0.517
1990,63,0.505
1990,64,0.489
1990,65,0.473
1990,66,0.459
1990,67,0.445
1990,68,0.431
1990,69,0.420
1990,70,0.406
1990,71,0.392
1990,72,0.376
1990,73,0.355
1990,74,0.330
1990,75,0.306
1990,76,0.281
1990,77,0.256
1990,78,0.237
1990,79,0.220
1990,80,0.201
1990,81,0.185
1990,82,0.165
1990,83,0.146
1990,84,0.125
1990,85,0.105
1990,86,0.087
1990,87,0.070
1990,88,0.055
1990,89,0.043
1990,90,0.032
1990,91,0.023
1990,92,0.014
1990,93,0.008
1990,94,0.007
1990,95,0.002
1990,96,0.002
1990,97,0.001
1990,98,0.000
1990,99,0.001
1990,100,0.000
1991,0,2.545
1991,1,2.548
1991,2,2.601
1991,3,2.643
1991,4,2.680
1991,5,2.709
1991,6,2.729
1991,7,2.744
1991,8,2.750
1991,9,2.744
1991,10,2.731
1991,11,2.709
1991,12,2.685
1991,13,2.650
1991,14,2.604
1991,15,2.551
1991,16,2.494
1991,17,2.436
1991,18,2.372
1991,19,2.301
1991,20,2.224
1991,21,2.147
1991,22,2.062
1991,23,1.999
1991,24,1.976
1991,25,1.974
1991,26,1.966
1991,27,1.962
1991,28,1.927
1991,29,1.844
1991,30,1.728
1991,31,1.619
1991,32,1.507
1991,33,1.403
1991,34,1.318
1991,35,1.243
1991,36,1.167
1991,37,1.090
1991,38,1.021
1991,39,0.959
1991,40,0.905
1991,41,0.855
1991,42,0.810
1991,43,0.767
1991,44,0.716
1991,45,0.667
1991,46,0.622
1991,47,0.576
1991,48,0.554
1991,49,0.566
1991,50,0.602
1991,51,0.635
1991,52,0.675
1991,53,0.693
1991,54,0.671
1991,55,0.630
1991,56,0.590
1991,57,0.550
1991,58,0.521
1991,59,0.512
1991,60,0.514
1991,61,0.515
1991,62,0.514
1991,63,0.509
1991,64,0.497
1991,65,0.480
1991,66,0.464
1991,67,0.450
1991,68,0.434
1991,69,0.420
1991,70,0.409
1991,71,0.394
1991,72,0.380
1991,73,0.364
1991,74,0.340
1991,75,0.313
1991,76,0.287
1991,77,0.260
1991,78,0.233
1991,79,0.215
1991,80,0.200
1991,81,0.182
1991,82,0.168
1991,83,0.151
1991,84,0.132
1991,85,0.112
1991,86,0.094
1991,87,0.077
1991,88,0.061
1991,89,0.048
1991,90,0.037
1991,91,0.028
1991,92,0.020
1991,93,0.012
1991,94,0.006
1991,95,0.006
1991,96,0.003
1991,97,0.001
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,2.524
1992,1,2.559
1992,2,2.521
1992,3,2.565
1992,4,2.601
1992,5,2.634
1992,6,2.659
1992,7,2.680
1992,8,2.694
1992,9,2.700
1992,10,2.693
1992,11,2.675
1992,12,2.651
1992,13,2.627
1992,14,2.588
1992,15,2.541
1992,16,2.487
1992,17,2.428
1992,18,2.370
1992,19,2.304
1992,20,2.235
1992,21,2.159
1992,22,2.085
1992,23,2.000
1992,24,1.939
1992,25,1.921
1992,26,1.921
1992,27,1.917
1992,28,1.917
1992,29,1.885
1992,30,1.806
1992,31,1.694
1992,32,1.587
1992,33,1.479
1992,34,1.379
1992,35,1.296
1992,36,1.224
1992,37,1.148
1992,38,1.074
1992,39,1.006
1992,40,0.946
1992,41,0.893
1992,42,0.844
1992,43,0.800
1992,44,0.758
1992,45,0.707
1992,46,0.659
1992,47,0.615
1992,48,0.569
1992,49,0.548
1992,50,0.560
1992,51,0.595
1992,52,0.627
1992,53,0.668
1992,54,0.685
1992,55,0.665
1992,56,0.622
1992,57,0.584
1992,58,0.543
1992,59,0.514
1992,60,0.506
1992,61,0.508
1992,62,0.507
1992,63,0.505
1992,64,0.501
1992,65,0.488
1992,66,0.471
1992,67,0.455
1992,68,0.440
1992,69,0.423
1992,70,0.409
1992,71,0.397
1992,72,0.382
1992,73,0.368
1992,74,0.351
1992,75,0.325
1992,76,0.296
1992,77,0.267
1992,78,0.238
1992,79,0.211
1992,80,0.193
1992,81,0.179
1992,82,0.163
1992,83,0.151
1992,84,0.136
1992,85,0.118
1992,86,0.100
1992,87,0.082
1992,88,0.067
1992,89,0.052
1992,90,0.041
1992,91,0.031
1992,92,0.024
1992,93,0.016
1992,94,0.010
1992,95,0.005
1992,96,0.005
1992,97,0.002
1992,98,0.002
1992,99,0.001
1992,100,0.000
1993,0,2.506
1993,1,2.518
1993,2,2.532
1993,3,2.493
1993,4,2.527
1993,5,2.559
1993,6,2.586
1993,7,2.610
1993,8,2.629
1993,9,2.645
1993,10,2.649
1993,11,2.640
1993,12,2.619
1993,13,2.594
1993,14,2.566
1993,15,2.526
1993,16,2.478
1993,17,2.422
1993,18,2.362
1993,19,2.302
1993,20,2.238
1993,21,2.167
1993,22,2.094
1993,23,2.021
1993,24,1.938
1993,25,1.880
1993,26,1.864
1993,27,1.868
1993,28,1.867
1993,29,1.872
1993,30,1.842
1993,31,1.768
1993,32,1.659
1993,33,1.556
1993,34,1.450
1993,35,1.355
1993,36,1.273
1993,37,1.204
1993,38,1.130
1993,39,1.058
1993,40,0.991
1993,41,0.933
1993,42,0.881
1993,43,0.833
1993,44,0.789
1993,45,0.748
1993,46,0.699
1993,47,0.651
1993,48,0.607
1993,49,0.563
1993,50,0.541
1993,51,0.553
1993,52,0.588
1993,53,0.620
1993,54,0.660
1993,55,0.678
1993,56,0.657
1993,57,0.615
1993,58,0.577
1993,59,0.536
1993,60,0.508
1993,61,0.499
1993,62,0.500
1993,63,0.500
1993,64,0.497
1993,65,0.493
1993,66,0.479
1993,67,0.462
1993,68,0.446
1993,69,0.429
1993,70,0.412
1993,71,0.398
1993,72,0.384
1993,73,0.371
1993,74,0.355
1993,75,0.338
1993,76,0.310
1993,77,0.279
1993,78,0.248
1993,79,0.215
1993,80,0.189
1993,81,0.170
1993,82,0.159
1993,83,0.145
1993,84,0.134
1993,85,0.120
1993,86,0.104
1993,87,0.087
1993,88,0.072
1993,89,0.055
1993,90,0.045
1993,91,0.033
1993,92,0.026
1993,93,0.018
1993,94,0.014
1993,95,0.008
1993,96,0.004
1993,97,0.003
1993,98,0.000
1993,99,0.001
1993,100,0.000
1994,0,2.481
1994,1,2.474
1994,2,2.472
1994,3,2.480
1994,4,2.466
1994,5,2.492
1994,6,2.517
1994,7,2.541
1994,8,2.562
1994,9,2.579
1994,10,2.596
1994,11,2.600
1994,12,2.589
1994,13,2.565
1994,14,2.537
1994,15,2.507
1994,16,2.466
1994,17,2.416
1994,18,2.358
1994,19,2.296
1994,20,2.237
1994,21,2.171
1994,22,2.101
1994,23,2.031
1994,24,1.958
1994,25,1.877
1994,26,1.822
1994,27,1.808
1994,28,1.816
1994,29,1.819
1994,30,1.826
1994,31,1.802
1994,32,1.729
1994,33,1.625
1994,34,1.525
1994,35,1.424
1994,36,1.331
1994,37,1.251
1994,38,1.184
1994,39,1.112
1994,40,1.043
