year,age,population
1990,0,4.866
1990,1,4.725
1990,2,4.608
1990,3,4.510
1990,4,4.431
1990,5,4.366
1990,6,4.318
1990,7,4.282
1990,8,4.256
1990,9,4.240
1990,10,4.225
1990,11,4.204
1990,12,4.203
1990,13,4.232
1990,14,4.272
1990,15,4.306
1990,16,4.346
1990,17,4.307
1990,18,4.145
1990,19,3.906
1990,20,3.669
1990,21,3.415
1990,22,3.205
1990,23,3.076
1990,24,2.996
1990,25,2.904
1990,26,2.821
1990,27,2.695
1990,28,2.494
1990,29,2.250
1990,30,2.022
1990,31,1.784
1990,32,1.625
1990,33,1.586
1990,34,1.622
1990,35,1.653
1990,36,1.702
1990,37,1.697
1990,38,1.588
1990,39,1.424
1990,40,1.278
1990,41,1.127
1990,42,1.033
1990,43,1.029
1990,44,1.079
1990,45,1.123
1990,46,1.174
1990,47,1.192
1990,48,1.155
1990,49,1.080
1990,50,1.018
1990,51,0.952
1990,52,0.905
1990,53,0.893
1990,54,0.899
1990,55,0.902
1990,56,0.905
1990,57,0.892
1990,58,0.853
1990,59,0.796
1990,60,0.742
1990,61,0.685
1990,62,0.644
1990,63,0.627
1990,64,0.626
1990,65,0.621
1990,66,0.619
1990,67,0.599
1990,68,0.552
1990,69,0.486
1990,70,0.425
1990,71,0.362
1990,72,0.312
1990,73,0.282
1990,74,0.267
1990,75,0.249
1990,76,0.234
1990,77,0.214
1990,78,0.191
1990,79,0.163
1990,80,0.138
1990,81,0.116
1990,82,0.095
1990,83,0.078
1990,84,0.065
1990,85,0.050
1990,86,0.038
1990,87,0.030
1990,88,0.021
1990,89,0.018
1990,90,0.013
1990,91,0.013
1990,92,0.010
1990,93,0.007
1990,94,0.006
1990,95,0.003
1990,96,0.001
1990,97,0.001
1990,98,0.000
1990,99,0.000
1990,100,0.001
1991,0,4.946
1991,1,4.826
1991,2,4.698
1991,3,4.591
1991,4,4.501
1991,5,4.427
1991,6,4.366
1991,7,4.317
1991,8,4.277
1991,9,4.242
1991,10,4.213
1991,11,4.183
1991,12,4.151
1991,13,4.129
1991,14,4.124
1991,15,4.124
1991,16,4.121
1991,17,4.120
1991,18,4.060
1991,19,3.911
1991,20,3.703
1991,21,3.496
1991,22,3.275
1991,23,3.091
1991,24,2.979
1991,25,2.906
1991,26,2.827
1991,27,2.756
1991,28,2.639
1991,29,2.444
1991,30,2.201
1991,31,1.975
1991,32,1.738
1991,33,1.580
1991,34,1.547
1991,35,1.590
1991,36,1.628
1991,37,1.683
1991,38,1.682
1991,39,1.577
1991,40,1.413
1991,41,1.268
1991,42,1.118
1991,43,1.025
1991,44,1.021
1991,45,1.070
1991,46,1.114
1991,47,1.164
1991,48,1.181
1991,49,1.141
1991,50,1.062
1991,51,0.995
1991,52,0.926
1991,53,0.876
1991,54,0.863
1991,55,0.872
1991,56,0.875
1991,57,0.879
1991,58,0.869
1991,59,0.830
1991,60,0.776
1991,61,0.724
1991,62,0.670
1991,63,0.629
1991,64,0.609
1991,65,0.603
1991,66,0.593
1991,67,0.587
1991,68,0.564
1991,69,0.519
1991,70,0.457
1991,71,0.401
1991,72,0.341
1991,73,0.295
1991,74,0.265
1991,75,0.249
1991,76,0.231
1991,77,0.216
1991,78,0.196
1991,79,0.174
1991,80,0.148
1991,81,0.124
1991,82,0.104
1991,83,0.085
1991,84,0.069
1991,85,0.057
1991,86,0.044
1991,87,0.033
1991,88,0.026
1991,89,0.018
1991,90,0.015
1991,91,0.011
1991,92,0.011
1991,93,0.009
1991,94,0.006
1991,95,0.005
1991,96,0.001
1991,97,0.001
1991,98,0.000
