year,age,population
1990,0,4.557
1990,1,4.163
1990,2,3.867
1990,3,3.657
1990,4,3.517
1990,5,3.439
1990,6,3.407
1990,7,3.410
1990,8,3.433
1990,9,3.466
1990,10,3.521
1990,11,3.611
1990,12,3.594
1990,13,3.411
1990,14,3.122
1990,15,2.852
1990,16,2.567
1990,17,2.348
1990,18,2.231
1990,19,2.186
1990,20,2.126
1990,21,2.064
1990,22,2.000
1990,23,1.916
1990,24,1.823
1990,25,1.741
1990,26,1.663
1990,27,1.583
1990,28,1.498
1990,29,1.410
1990,30,1.324
1990,31,1.242
1990,32,1.161
1990,33,1.081
1990,34,1.005
1990,35,0.931
1990,36,0.864
1990,37,0.799
1990,38,0.736
1990,39,0.679
1990,40,0.628
1990,41,0.580
1990,42,0.543
1990,43,0.519
1990,44,0.502
1990,45,0.491
1990,46,0.481
1990,47,0.487
1990,48,0.517
1990,49,0.561
1990,50,0.604
1990,51,0.651
1990,52,0.681
1990,53,0.679
1990,54,0.660
1990,55,0.643
1990,56,0.621
1990,57,0.605
1990,58,0.588
1990,59,0.575
1990,60,0.559
1990,61,0.538
1990,62,0.521
1990,63,0.503
1990,64,0.486
1990,65,0.470
1990,66,0.453
1990,67,0.432
1990,68,0.404
1990,69,0.374
1990,70,0.343
1990,71,0.312
1990,72,0.283
1990,73,0.262
1990,74,0.241
1990,75,0.222
1990,76,0.203
1990,77,0.184
1990,78,0.167
1990,79,0.149
1990,80,0.134
1990,81,0.120
1990,82,0.106
1990,83,0.091
1990,84,0.079
1990,85,0.064
1990,86,0.053
1990,87,0.043
1990,88,0.034
1990,89,0.031
1990,90,0.025
1990,91,0.023
1990,92,0.018
1990,93,0.014
1990,94,0.009
1990,95,0.001
1990,96,0.001
1990,97,0.000
1990,98,0.001
1990,99,0.000
1990,100,0.001
1991,0,4.628
1991,1,4.441
1991,2,4.104
1991,3,3.843
1991,4,3.651
1991,5,3.515
1991,6,3.427
1991,7,3.372
1991,8,3.357
1991,9,3.379
1991,10,3.420
1991,11,3.476
1991,12,3.563
1991,13,3.544
1991,14,3.360
1991,15,3.069
1991,16,2.798
1991,17,2.513
1991,18,2.292
1991,19,2.176
1991,20,2.132
1991,21,2.072
1991,22,2.011
1991,23,1.949
1991,24,1.866
1991,25,1.777
1991,26,1.697
1991,27,1.621
1991,28,1.545
1991,29,1.462
1991,30,1.376
1991,31,1.292
1991,32,1.212
1991,33,1.134
1991,34,1.055
1991,35,0.982
1991,36,0.909
1991,37,0.844
1991,38,0.779
1991,39,0.719
1991,40,0.662
1991,41,0.613
1991,42,0.566
1991,43,0.530
1991,44,0.506
1991,45,0.491
1991,46,0.480
1991,47,0.470
1991,48,0.476
1991,49,0.506
1991,50,0.550
1991,51,0.592
1991,52,0.638
1991,53,0.668
1991,54,0.666
1991,55,0.647
1991,56,0.629
1991,57,0.608
1991,58,0.591
1991,59,0.574
1991,60,0.561
1991,61,0.544
1991,62,0.523
1991,63,0.506
1991,64,0.487
1991,65,0.470
1991,66,0.453
