year,age,population
1990,0,546.851
1990,1,551.862
1990,2,550.545
1990,3,543.658
1990,4,531.954
1990,5,516.189
1990,6,497.118
1990,7,475.496
1990,8,452.079
1990,9,427.622
1990,10,402.429
1990,11,376.798
1990,12,353.753
1990,13,334.952
1990,14,319.794
1990,15,305.209
1990,16,290.850
1990,17,282.998
1990,18,284.170
1990,19,291.352
1990,20,298.674
1990,21,306.911
1990,22,314.020
1990,23,318.261
1990,24,320.233
1990,25,322.601
1990,26,325.207
1990,27,323.999
1990,28,317.337
1990,29,306.842
1990,30,295.799
1990,31,283.594
1990,32,271.290
1990,33,259.760
1990,34,248.482
1990,35,236.425
1990,36,224.228
1990,37,210.574
1990,38,194.840
1990,39,178.051
1990,40,161.658
1990,41,145.161
1990,42,131.302
1990,43,121.532
1990,44,114.588
1990,45,107.776
1990,46,101.664
1990,47,95.618
1990,48,89.070
1990,49,82.434
1990,50,76.631
1990,51,71.403
1990,52,66.989
1990,53,63.582
1990,54,60.943
1990,55,58.589
1990,56,56.534
1990,57,54.808
1990,58,53.344
1990,59,52.075
1990,60,50.967
1990,61,49.990
1990,62,48.899
1990,63,47.554
1990,64,46.001
1990,65,44.473
1990,66,42.987
1990,67,41.055
1990,68,38.472
1990,69,35.468
1990,70,32.497
1990,71,29.509
1990,72,26.590
1990,73,23.848
1990,74,21.266
1990,75,18.696
1990,76,16.144
1990,77,13.930
1990,78,12.195
1990,79,10.806
1990,80,9.502
1990,81,8.332
1990,82,7.213
1990,83,6.068
1990,84,4.949
1990,85,3.972
1990,86,3.098
1990,87,2.365
1990,88,1.798
1990,89,1.363
1990,90,0.996
1990,91,0.696
1990,92,0.466
1990,93,0.296
1990,94,0.174
1990,95,0.105
1990,96,0.080
1990,97,0.061
1990,98,0.036
1990,99,0.010
1990,100,0.018
1991,0,550.879
1991,1,545.999
1991,2,549.427
1991,3,547.655
1991,4,541.200
1991,5,530.569
1991,6,516.602
1991,7,500.144
1991,8,480.052
1991,9,456.180
1991,10,430.028
1991,11,403.577
1991,12,376.825
1991,13,352.846
1991,14,333.506
1991,15,318.110
1991,16,303.214
1991,17,288.452
1991,18,280.711
1991,19,282.746
1991,20,291.255
1991,21,299.861
1991,22,309.459
1991,23,317.572
1991,24,322.203
1991,25,324.148
1991,26,326.530
1991,27,329.105
1991,28,327.793
1991,29,320.991
1991,30,310.300
1991,31,298.977
1991,32,286.439
1991,33,273.677
1991,34,261.534
1991,35,249.542
1991,36,236.786
1991,37,223.916
1991,38,209.577
1991,39,193.148
1991,40,175.702
1991,41,158.691
1991,42,141.565
1991,43,127.440
1991,44,117.935
1991,45,111.608
1991,46,105.400
1991,47,99.937
1991,48,94.465
1991,49,88.315
1991,50,81.949
1991,51,76.457
1991,52,71.569
1991,53,67.336
1991,54,63.885
1991,55,61.053
1991,56,58.496
1991,57,56.200
1991,58,54.279
1991,59,52.724
1991,60,51.428
1991,61,50.263
1991,62,49.221
1991,63,48.046
1991,64,46.585
1991,65,44.898
1991,66,43.250
1991,67,41.649
1991,68,39.632
1991,69,37.008
1991,70,33.997
1991,71,31.023
1991,72,28.040
1991,73,25.146
1991,74,22.451
1991,75,19.934
1991,76,17.437
1991,77,14.971
1991,78,12.832
1991,79,11.154
1991,80,9.811
1991,81,8.561
1991,82,7.443
1991,83,6.391
1991,84,5.336
1991,85,4.319
1991,86,3.440
1991,87,2.663
1991,88,2.017
1991,89,1.518
1991,90,1.141
1991,91,0.828
1991,92,0.581
1991,93,0.391
1991,94,0.248
1991,95,0.141
1991,96,0.087
1991,97,0.065
1991,98,0.039
1991,99,0.010
1991,100,0.019
1992,0,553.646
1992,1,556.974
1992,2,544.143
1992,3,545.980
1992,4,543.758
1992,5,537.745
1992,6,528.207
1992,7,516.068
1992,8,502.258
1992,9,483.737
1992,10,459.450
1992,11,431.649
1992,12,403.988
1992,13,376.160
1992,14,351.290
1992,15,331.445
1992,16,315.841
1992,17,300.659
1992,18,285.520
1992,19,277.907
1992,20,280.801
1992,21,290.623
1992,22,300.501
1992,23,311.442
1992,24,320.548
1992,25,325.561
1992,26,327.475
1992,27,329.866
1992,28,332.405
1992,29,330.994
1992,30,324.062
1992,31,313.195
1992,32,301.612
1992,33,288.763
1992,34,275.566
1992,35,262.831
1992,36,250.147
1992,37,236.713
1992,38,223.192
1992,39,208.193
1992,40,191.100
1992,41,173.027
1992,42,155.428
1992,43,137.703
1992,44,123.337
1992,45,114.117
1992,46,108.418
1992,47,102.826
1992,48,98.023
1992,49,93.138
1992,50,87.397
1992,51,81.314
1992,52,76.142
1992,53,71.602
1992,54,67.561
1992,55,64.072
1992,56,61.050
1992,57,58.296
1992,58,55.762
1992,59,53.650
1992,60,52.007
1992,61,50.686
1992,62,49.464
1992,63,48.361
1992,64,47.104
1992,65,45.529
1992,66,43.711
1992,67,41.945
1992,68,40.232
1992,69,38.134
1992,70,35.474
1992,71,32.461
1992,72,29.491
1992,73,26.516
1992,74,23.653
1992,75,21.011
1992,76,18.563
1992,77,16.145
1992,78,13.767
1992,79,11.709
1992,80,10.091
1992,81,8.797
1992,82,7.601
1992,83,6.540
1992,84,5.557
1992,85,4.592
1992,86,3.680
1992,87,2.901
1992,88,2.222
1992,89,1.664
1992,90,1.237
1992,91,0.915
1992,92,0.659
1992,93,0.464
1992,94,0.316
1992,95,0.198
1992,96,0.108
1992,97,0.074
1992,98,0.042
1992,99,0.004
1992,100,0.020
1993,0,555.868
1993,1,555.193
1993,2,552.800
1993,3,541.971
1993,4,542.217
1993,5,539.545
1993,6,533.979
1993,7,525.539
1993,8,515.234
1993,9,504.076
1993,10,487.135
1993,11,462.451
1993,12,433.016
1993,13,404.162
1993,14,375.276
1993,15,349.531
1993,16,329.193
1993,17,313.387
1993,18,297.931
1993,19,282.425
1993,20,274.941
1993,21,278.694
1993,22,289.823
1993,23,300.963
1993,24,313.243
1993,25,323.334
1993,26,328.727
1993,27,330.607
1993,28,333.008
1993,29,335.509
1993,30,333.998
1993,31,326.941
1993,32,315.905
1993,33,304.069
1993,34,290.917
1993,35,277.293
1993,36,263.973
1993,37,250.605
1993,38,236.502
1993,39,222.339
1993,40,206.689
1993,41,188.941
1993,42,170.252
1993,43,152.078
1993,44,133.763
1993,45,119.165
1993,46,110.235
1993,47,105.168
1993,48,100.195
1993,49,96.053
1993,50,91.757
1993,51,86.429
1993,52,80.630
1993,53,75.783
1993,54,71.595
1993,55,67.745
1993,56,64.222
1993,57,61.012
1993,58,58.062
1993,59,55.291
1993,60,52.990
1993,61,51.260
1993,62,49.915
1993,63,48.638
1993,64,47.472
1993,65,46.136
1993,66,44.447
1993,67,42.500
1993,68,40.616
1993,69,38.793
1993,70,36.614
1993,71,33.921
1993,72,30.908
1993,73,27.941
1993,74,24.979
1993,75,22.146
1993,76,19.560
1993,77,17.183
1993,78,14.843
1993,79,12.557
1993,80,10.580
1993,81,9.023
1993,82,7.779
1993,83,6.638
1993,84,5.633
1993,85,4.719
1993,86,3.847
1993,87,3.040
1993,88,2.360
1993,89,1.781
1993,90,1.310
1993,91,0.954
1993,92,0.690
1993,93,0.489
1993,94,0.347
1993,95,0.241
1993,96,0.148
1993,97,0.075
1993,98,0.044
1993,99,0.005
1993,100,0.022
1994,0,557.818
1994,1,553.327
1994,2,549.207
1994,3,545.186
1994,4,539.880
1994,5,538.537
1994,6,535.414
1994,7,530.294
1994,8,522.950
1994,9,514.475
1994,10,505.965
1994,11,490.600
1994,12,465.515
1994,13,434.445
1994,14,404.393
1994,15,374.448
1994,16,347.824
1994,17,326.990
1994,18,310.983
1994,19,295.249
1994,20,279.373
1994,21,272.020
1994,22,276.629
1994,23,289.064
1994,24,301.470
1994,25,315.086
1994,26,326.164
1994,27,331.936
1994,28,333.784
1994,29,336.193
1994,30,338.659
1994,31,337.045
1994,32,329.866
1994,33,318.656
1994,34,306.567
1994,35,293.111
1994,36,279.057
1994,37,265.153
1994,38,251.098
1994,39,236.325
1994,40,221.519
1994,41,205.217
1994,42,186.812
1994,43,167.506
1994,44,148.752
1994,45,129.848
1994,46,115.016
1994,47,106.372
1994,48,101.937
1994,49,97.581
1994,50,94.100
1994,51,90.391
1994,52,85.473
1994,53,79.960
1994,54,75.436
1994,55,71.598
1994,56,67.939
1994,57,64.380
1994,58,60.983
1994,59,57.836
1994,60,54.830
1994,61,52.338
1994,62,50.521
1994,63,49.152
1994,64,47.820
1994,65,46.592
1994,66,45.174
1994,67,43.373
1994,68,41.296
1994,69,39.295
1994,70,37.362
1994,71,35.101
1994,72,32.374
1994,73,29.361
1994,74,26.398
1994,75,23.446
1994,76,20.646
1994,77,18.114
1994,78,15.806
1994,79,13.546
1994,80,11.350
1994,81,9.453
1994,82,7.957
1994,83,6.763
1994,84,5.678
1994,85,4.728
1994,86,3.883
1994,87,3.103
1994,88,2.400
1994,89,1.821
1994,90,1.340
1994,91,0.958
1994,92,0.671
1994,93,0.465
1994,94,0.319
1994,95,0.231
1994,96,0.166
1994,97,0.099
1994,98,0.041
1994,99,0.006
1994,100,0.023
1995,0,559.355
1995,1,552.567
1995,2,547.490
1995,3,543.653
1995,4,540.585
1995,5,537.819
1995,6,534.888
1995,7,531.316
1995,8,526.641
1995,9,520.391
1995,10,513.743
1995,11,507.879
1995,12,494.087
1995,13,468.599
1995,14,435.895
1995,15,404.646
1995,16,373.640
1995,17,346.136
1995,18,324.808
1995,19,308.597
1995,20,292.585
1995,21,276.339
1995,22,269.115
1995,23,274.581
1995,24,288.322
1995,25,301.991
1995,26,316.944
1995,27,329.008
1995,28,335.159
1995,29,336.975
1995,30,339.393
1995,31,341.822
1995,32,340.109
1995,33,332.803
1995,34,321.422
1995,35,309.079
1995,36,295.317
1995,37,280.834
1995,38,266.345
1995,39,251.604
1995,40,236.161
1995,41,220.712
1995,42,203.756
1995,43,184.695
1995,44,164.771
1995,45,145.438
1995,46,125.943
1995,47,110.877
1995,48,102.520
1995,49,98.714
1995,50,94.974
1995,51,92.154
1995,52,89.031
1995,53,84.524
1995,54,79.294
1995,55,75.093
1995,56,71.604
1995,57,68.137
1995,58,64.541
1995,59,60.958
1995,60,57.613
1995,61,54.372
1995,62,51.689
1995,63,49.786
1995,64,48.392
1995,65,47.005
1995,66,45.715
1995,67,44.217
1995,68,42.302
1995,69,40.095
1995,70,37.978
1995,71,35.933
1995,72,33.592
1995,73,30.831
1995,74,27.816
1995,75,24.858
1995,76,21.917
1995,77,19.148
1995,78,16.669
1995,79,14.432
1995,80,12.250
1995,81,10.145
1995,82,8.329
1995,83,6.892
1995,84,5.749
1995,85,4.718
1995,86,3.824
1995,87,3.049
1995,88,2.359
1995,89,1.762
1995,90,1.282
1995,91,0.900
1995,92,0.605
1995,93,0.389
1995,94,0.241
1995,95,0.149
1995,96,0.115
1995,97,0.090
1995,98,0.050
1995,99,0.008
1995,100,0.025
1996,0,560.268
1996,1,557.614
1996,2,551.348
1996,3,546.191
1996,4,541.738
1996,5,537.577
1996,6,533.583
1996,7,529.622
1996,8,523.909
1996,9,515.493
1996,10,504.790
1996,11,494.080
1996,12,483.993
1996,13,468.941
1996,14,446.715
1996,15,420.299
1996,16,394.939
1996,17,369.673
1996,18,348.551
1996,19,334.157
1996,20,324.885
1996,21,315.708
1996,22,306.636
1996,23,303.079
1996,24,306.910
1996,25,315.495
1996,26,324.160
1996,27,333.655
1996,28,340.660
1996,29,342.989
1996,30,341.838
1996,31,340.851
1996,32,339.611
1996,33,335.198
1996,34,326.618
1996,35,314.967
1996,36,302.430
1996,37,288.690
1996,38,274.394
1996,39,260.124
1996,40,245.655
1996,41,230.684
1996,42,215.866
1996,43,199.471
1996,44,180.796
1996,45,161.139
1996,46,142.130
1996,47,123.006
1996,48,108.175
1996,49,99.860
1996,50,95.971
1996,51,92.155
1996,52,89.228
1996,53,86.095
1996,54,81.747
1996,55,76.785
1996,56,72.814
1996,57,69.539
1996,58,66.283
1996,59,62.881
1996,60,59.472
1996,61,56.299
1996,62,53.235
1996,63,50.640
1996,64,48.690
1996,65,47.163
1996,66,45.645
1996,67,44.214
1996,68,42.595
1996,69,40.605
1996,70,38.356
1996,71,36.191
1996,72,34.094
1996,73,31.737
1996,74,29.007
1996,75,26.057
1996,76,23.170
1996,77,20.311
1996,78,17.634
1996,79,15.256
1996,80,13.126
1996,81,11.058
1996,82,9.071
1996,83,7.372
1996,84,6.045
1996,85,5.008
1996,86,4.080
1996,87,3.288
1996,88,2.607
1996,89,2.001
1996,90,1.478
1996,91,1.068
1996,92,0.751
1996,93,0.507
1996,94,0.324
1996,95,0.194
1996,96,0.122
1996,97,0.094
1996,98,0.052
1996,99,0.008
1996,100,0.027
1997,0,561.463
1997,1,555.083
1997,2,556.010
1997,3,550.262
1997,4,545.025
1997,5,539.955
1997,6,534.705
1997,7,529.484
1997,8,524.495
1997,9,516.647
1997,10,504.499
1997,11,489.353
1997,12,474.589
1997,13,460.290
1997,14,443.978
1997,15,425.000
1997,16,404.845
1997,17,385.354
1997,18,365.804
1997,19,351.041
1997,20,343.558
1997,21,341.202
1997,22,338.839
1997,23,336.918
1997,24,337.016
1997,25,339.219
1997,26,342.662
1997,27,346.342
1997,28,350.396
1997,29,352.358
1997,30,350.878
1997,31,346.767
1997,32,342.385
1997,33,337.487
1997,34,330.380
1997,35,320.528
1997,36,308.603
1997,37,295.872
1997,38,282.150
1997,39,268.038
1997,40,253.981
1997,41,239.782
1997,42,225.277
1997,43,211.084
1997,44,195.245
1997,45,176.950
1997,46,157.556
1997,47,138.866
1997,48,120.105
1997,49,105.508
1997,50,97.230
1997,51,93.259
1997,52,89.366
1997,53,86.331
1997,54,83.187
1997,55,78.999
1997,56,74.300
1997,57,70.560
1997,58,67.496
1997,59,64.449
1997,60,61.240
1997,61,58.005
1997,62,55.002
1997,63,52.115
1997,64,49.605
1997,65,47.610
1997,66,45.947
1997,67,44.300
1997,68,42.727
1997,69,40.988
1997,70,38.922
1997,71,36.633
1997,72,34.416
1997,73,32.270
1997,74,29.894
1997,75,27.194
1997,76,24.309
1997,77,21.494
1997,78,18.714
1997,79,16.129
1997,80,13.851
1997,81,11.826
1997,82,9.871
1997,83,8.002
1997,84,6.420
1997,85,5.203
1997,86,4.269
1997,87,3.444
1997,88,2.755
1997,89,2.167
1997,90,1.645
1997,91,1.196
1997,92,0.854
1997,93,0.602
1997,94,0.410
1997,95,0.258
1997,96,0.149
1997,97,0.098
1997,98,0.053
1997,99,0.007
1997,100,0.028
1998,0,562.499
1998,1,557.975
1998,2,554.489
1998,3,554.763
1998,4,549.529
1998,5,544.209
1998,6,538.520
1998,7,532.180
1998,8,525.730
1998,9,519.714
1998,10,509.729
1998,11,493.848
1998,12,474.258
1998,13,455.440
1998,14,436.929
1998,15,419.348
1998,16,403.598
1998,17,389.683
1998,18,376.033
1998,19,362.175
1998,20,353.751
1998,21,353.159
1998,22,357.703
1998,23,362.140
1998,24,367.353
1998,25,371.100
1998,26,371.678
1998,27,369.995
1998,28,368.700
1998,29,367.326
1998,30,364.258
1998,31,358.974
1998,32,351.908
1998,33,344.134
1998,34,335.582
1998,35,325.782
1998,36,314.654
1998,37,302.450
1998,38,289.515
1998,39,275.803
1998,40,261.865
1998,41,248.014
1998,42,234.072
1998,43,220.024
1998,44,206.448
1998,45,191.151
1998,46,173.226
1998,47,154.080
1998,48,135.697
1998,49,117.287
1998,50,102.912
1998,51,94.668
1998,52,90.611
1998,53,86.640
1998,54,83.495
1998,55,80.339
1998,56,76.305
1998,57,71.868
1998,58,68.355
1998,59,65.500
1998,60,62.661
1998,61,59.642
1998,62,56.577
1998,63,53.742
1998,64,51.030
1998,65,48.605
1998,66,46.561
1998,67,44.764
1998,68,42.986
1998,69,41.271
1998,70,39.410
1998,71,37.268
1998,72,34.934
1998,73,32.669
1998,74,30.468
1998,75,28.075
1998,76,25.403
1998,77,22.580
1998,78,19.834
1998,79,17.132
1998,80,14.637
1998,81,12.457
1998,82,10.537
1998,83,8.694
1998,84,6.940
1998,85,5.474
1998,86,4.365
1998,87,3.534
1998,88,2.813
1998,89,2.225
1998,90,1.728
1998,91,1.290
1998,92,0.916
1998,93,0.641
1998,94,0.455
1998,95,0.312
1998,96,0.194
1998,97,0.103
1998,98,0.055
1998,99,0.009
1998,100,0.031
1999,0,562.866
1999,1,560.568
1999,2,558.442
1999,3,556.229
1999,4,554.303
1999,5,549.576
1999,6,544.165
1999,7,537.850
1999,8,530.409
1999,9,522.723
1999,10,515.670
1999,11,503.534
1999,12,483.898
1999,13,459.837
1999,14,436.937
1999,15,414.186
1999,16,395.312
1999,17,382.769
1999,18,375.072
1999,19,367.245
1999,20,359.062
1999,21,356.962
1999,22,363.262
1999,23,374.713
1999,24,385.956
1999,25,398.311
1999,26,405.712
1999,27,404.668
1999,28,397.852
1999,29,391.583
1999,30,384.779
1999,31,376.676
1999,32,367.580
1999,33,357.548
1999,34,346.372
1999,35,334.153
1999,36,321.647
1999,37,309.226
1999,38,296.726
1999,39,283.569
1999,40,269.848
1999,41,256.062
1999,42,242.399
1999,43,228.694
1999,44,215.084
1999,45,202.104
1999,46,187.329
1999,47,169.747
1999,48,150.822
1999,49,132.721
1999,50,114.635
1999,51,100.463
1999,52,92.240
1999,53,88.092
1999,54,84.036
1999,55,80.778
1999,56,77.604
1999,57,73.720
1999,58,69.538
1999,59,66.247
1999,60,63.598
1999,61,60.960
1999,62,58.128
1999,63,55.230
1999,64,52.559
1999,65,50.017
1999,66,47.674
1999,67,45.578
1999,68,43.645
1999,69,41.732
1999,70,39.874
1999,71,37.887
1999,72,35.667
1999,73,33.286
1999,74,30.967
1999,75,28.710
1999,76,26.296
1999,77,23.647
1999,78,20.883
1999,79,18.202
1999,80,15.575
1999,81,13.166
1999,82,11.080
1999,83,9.264
1999,84,7.527
1999,85,5.889
1999,86,4.535
1999,87,3.534
1999,88,2.805
1999,89,2.185
1999,90,1.697
1999,91,1.293
1999,92,0.937
1999,93,0.636
1999,94,0.430
1999,95,0.307
1999,96,0.216
1999,97,0.129
1999,98,0.058
1999,99,0.008
1999,100,0.033
2000,0,562.446
2000,1,562.259
2000,2,561.578
2000,3,560.252
2000,4,558.115
2000,5,555.013
2000,6,550.783
2000,7,545.270
2000,8,538.313
2000,9,529.752
2000,10,520.809
2000,11,512.700
2000,12,498.380
2000,13,474.934
2000,14,446.334
2000,15,419.290
2000,16,392.237
2000,17,372.024
2000,18,362.674
2000,19,361.200
2000,20,359.202
2000,21,356.695
2000,22,360.938
2000,23,374.168
2000,24,392.575
2000,25,410.672
2000,26,430.221
2000,27,441.305
2000,28,438.629
2000,29,426.651
2000,30,415.374
2000,31,403.107
2000,32,389.932
2000,33,376.994
2000,34,363.963
2000,35,349.349
