year,age,population
1990,0,301.777
1990,1,288.468
1990,2,276.449
1990,3,265.592
1990,4,255.767
1990,5,246.847
1990,6,238.703
1990,7,231.204
1990,8,224.223
1990,9,217.632
1990,10,211.460
1990,11,205.742
1990,12,199.542
1990,13,192.413
1990,14,184.706
1990,15,177.296
1990,16,170.090
1990,17,162.774
1990,18,155.304
1990,19,147.826
1990,20,140.498
1990,21,133.255
1990,22,126.615
1990,23,120.831
1990,24,115.691
1990,25,110.697
1990,26,105.936
1990,27,101.408
1990,28,97.064
1990,29,92.917
1990,30,89.007
1990,31,85.300
1990,32,81.805
1990,33,78.522
1990,34,75.413
1990,35,72.504
1990,36,69.854
1990,37,67.073
1990,38,63.994
1990,39,60.816
1990,40,57.837
1990,41,54.900
1990,42,52.662
1990,43,51.451
1990,44,50.911
1990,45,50.371
1990,46,49.967
1990,47,49.334
1990,48,48.216
1990,49,46.791
1990,50,45.487
1990,51,44.222
1990,52,42.910
1990,53,41.548
1990,54,40.146
1990,55,38.715
1990,56,37.251
1990,57,35.783
1990,58,34.329
1990,59,32.875
1990,60,31.406
1990,61,29.929
1990,62,28.424
1990,63,26.880
1990,64,25.316
1990,65,23.759
1990,66,22.211
1990,67,20.679
1990,68,19.172
1990,69,17.692
1990,70,16.237
1990,71,14.818
1990,72,13.421
1990,73,12.046
1990,74,10.704
1990,75,9.419
1990,76,8.193
1990,77,7.043
1990,78,5.988
1990,79,5.026
1990,80,4.126
1990,81,3.290
1990,82,2.575
1990,83,2.004
1990,84,1.552
1990,85,1.158
1990,86,0.825
1990,87,0.564
1990,88,0.372
1990,89,0.240
1990,90,0.152
1990,91,0.109
1990,92,0.077
1990,93,0.042
1990,94,0.006
1990,95,0.008
1990,96,0.006
1990,97,0.005
1990,98,0.003
1990,99,0.002
1990,100,0.001
1991,0,307.832
1991,1,297.315
1991,2,285.026
1991,3,273.845
1991,4,263.662
1991,5,254.363
1991,6,245.833
1991,7,237.958
1991,8,230.634
1991,9,223.748
1991,10,217.187
1991,11,210.976
1991,12,205.157
1991,13,198.857
1991,14,191.665
1991,15,183.916
1991,16,176.438
1991,17,169.143
1991,18,161.760
1991,19,154.257
1991,20,146.771
1991,21,139.434
1991,22,132.183
1991,23,125.548
1991,24,119.787
1991,25,114.680
1991,26,109.723
1991,27,105.005
1991,28,100.517
1991,29,96.210
1991,30,92.094
1991,31,88.220
1991,32,84.549
1991,33,81.088
1991,34,77.833
1991,35,74.749
1991,36,71.863
1991,37,69.234
1991,38,66.474
1991,39,63.417
1991,40,60.262
1991,41,57.302
1991,42,54.383
1991,43,52.155
1991,44,50.946
1991,45,50.401
1991,46,49.854
1991,47,49.441
1991,48,48.797
1991,49,47.671
1991,50,46.236
1991,51,44.921
1991,52,43.642
1991,53,42.315
1991,54,40.936
1991,55,39.517
1991,56,38.067
1991,57,36.583
1991,58,35.094
1991,59,33.617
1991,60,32.137
1991,61,30.645
1991,62,29.143
1991,63,27.615
1991,64,26.048
1991,65,24.460
1991,66,22.883
1991,67,21.317
1991,68,19.771
1991,69,18.250
1991,70,16.760
1991,71,15.300
1991,72,13.880
1991,73,12.493
1991,74,11.144
1991,75,9.838
1991,76,8.594
1991,77,7.410
1991,78,6.314
1991,79,5.328
1991,80,4.440
1991,81,3.619
1991,82,2.860
1991,83,2.218
1991,84,1.710
1991,85,1.313
1991,86,0.973
1991,87,0.692
1991,88,0.474
1991,89,0.309
1991,90,0.195
1991,91,0.124
1991,92,0.089
1991,93,0.063
1991,94,0.035
1991,95,0.005
1991,96,0.007
1991,97,0.005
1991,98,0.004
1991,99,0.002
1991,100,0.001
1992,0,313.532
1992,1,300.951
1992,2,293.132
1992,3,281.852
1992,4,271.500
1992,5,261.981
1992,6,253.197
1992,7,245.050
1992,8,237.438
1992,9,230.280
1992,10,223.484
1992,11,216.947
1992,12,210.691
1992,13,204.763
1992,14,198.359
1992,15,191.097
1992,16,183.300
1992,17,175.745
1992,18,168.356
1992,19,160.898
1992,20,153.356
1992,21,145.854
1992,22,138.500
1992,23,131.235
1992,24,124.600
1992,25,118.855
