year,age,population
1990,0,145.174
1990,1,145.495
1990,2,146.137
1990,3,147.032
1990,4,148.111
1990,5,149.302
1990,6,150.537
1990,7,151.745
1990,8,152.857
1990,9,153.800
1990,10,154.649
1990,11,155.477
1990,12,155.501
1990,13,154.365
1990,14,152.428
1990,15,150.467
1990,16,148.407
1990,17,146.207
1990,18,143.956
1990,19,141.704
1990,20,139.426
1990,21,137.136
1990,22,135.206
1990,23,133.829
1990,24,132.882
1990,25,132.164
1990,26,131.828
1990,27,131.491
1990,28,130.972
1990,29,130.549
1990,30,130.213
1990,31,129.402
1990,32,130.944
1990,33,136.056
1990,34,143.147
1990,35,149.526
1990,36,155.882
1990,37,159.348
1990,38,158.269
1990,39,153.960
1990,40,150.016
1990,41,146.478
1990,42,140.338
1990,43,130.704
1990,44,119.226
1990,45,107.954
1990,46,95.883
1990,47,88.782
1990,48,89.548
1990,49,95.424
1990,50,100.689
1990,51,106.396
1990,52,111.084
1990,53,113.422
1990,54,114.170
1990,55,115.384
1990,56,116.616
1990,57,117.158
1990,58,116.858
1990,59,115.761
1990,60,114.137
1990,61,112.017
1990,62,108.802
1990,63,104.249
1990,64,98.633
1990,65,92.865
1990,66,87.229
1990,67,80.090
1990,68,70.885
1990,69,60.635
1990,70,50.597
1990,71,40.114
1990,72,32.890
1990,73,30.767
1990,74,31.954
1990,75,32.828
1990,76,34.142
1990,77,34.485
1990,78,32.805
1990,79,29.835
1990,80,27.452
1990,81,25.378
1990,82,22.965
1990,83,20.100
1990,84,16.994
1990,85,13.945
1990,86,10.871
1990,87,8.288
1990,88,6.478
1990,89,5.226
1990,90,4.009
1990,91,2.903
1990,92,2.023
1990,93,1.365
1990,94,0.892
1990,95,0.533
1990,96,0.353
1990,97,0.221
1990,98,0.109
1990,99,0.026
1990,100,0.108
1991,0,141.660
1991,1,145.159
1991,2,145.899
1991,3,146.803
1991,4,147.831
1991,5,148.939
1991,6,150.053
1991,7,151.108
1991,8,152.189
1991,9,153.302
1991,10,154.327
1991,11,155.203
1991,12,156.032
1991,13,156.056
1991,14,154.916
1991,15,152.975
1991,16,151.008
1991,17,148.942
1991,18,146.733
1991,19,144.468
1991,20,142.197
1991,21,139.902
1991,22,137.594
1991,23,135.649
1991,24,134.256
