year,age,population
1990,0,1.589
1990,1,1.622
1990,2,1.652
1990,3,1.677
1990,4,1.698
1990,5,1.715
1990,6,1.727
1990,7,1.734
1990,8,1.736
1990,9,1.733
1990,10,1.727
1990,11,1.716
1990,12,1.697
1990,13,1.664
1990,14,1.623
1990,15,1.582
1990,16,1.540
1990,17,1.497
1990,18,1.454
1990,19,1.411
1990,20,1.368
1990,21,1.322
1990,22,1.290
1990,23,1.281
1990,24,1.286
1990,25,1.289
1990,26,1.290
1990,27,1.284
1990,28,1.258
1990,29,1.220
1990,30,1.181
1990,31,1.140
1990,32,1.097
1990,33,1.055
1990,34,1.013
1990,35,0.968
1990,36,0.931
1990,37,0.868
1990,38,0.765
1990,39,0.646
1990,40,0.530
1990,41,0.414
1990,42,0.335
1990,43,0.323
1990,44,0.352
1990,45,0.378
1990,46,0.411
1990,47,0.435
1990,48,0.447
1990,49,0.446
1990,50,0.452
1990,51,0.463
1990,52,0.468
1990,53,0.467
1990,54,0.460
1990,55,0.452
1990,56,0.444
1990,57,0.435
1990,58,0.430
1990,59,0.425
1990,60,0.418
1990,61,0.409
1990,62,0.400
1990,63,0.387
1990,64,0.374
1990,65,0.359
1990,66,0.348
1990,67,0.330
1990,68,0.309
1990,69,0.287
1990,70,0.263
1990,71,0.239
1990,72,0.219
1990,73,0.211
1990,74,0.205
1990,75,0.200
1990,76,0.195
1990,77,0.188
1990,78,0.175
1990,79,0.158
1990,80,0.145
1990,81,0.130
1990,82,0.116
1990,83,0.105
1990,84,0.093
1990,85,0.084
1990,86,0.074
1990,87,0.063
1990,88,0.053
1990,89,0.044
1990,90,0.035
1990,91,0.026
1990,92,0.020
1990,93,0.015
1990,94,0.013
1990,95,0.008
1990,96,0.007
1990,97,0.002
1990,98,0.003
1990,99,0.001
1990,100,0.003
1991,0,1.576
1991,1,1.585
1991,2,1.611
1991,3,1.635
1991,4,1.655
1991,5,1.671
1991,6,1.685
1991,7,1.694
1991,8,1.699
1991,9,1.699
1991,10,1.695
1991,11,1.689
1991,12,1.678
1991,13,1.660
1991,14,1.631
1991,15,1.595
1991,16,1.560
1991,17,1.524
1991,18,1.485
1991,19,1.444
1991,20,1.404
1991,21,1.361
1991,22,1.318
1991,23,1.286
1991,24,1.279
1991,25,1.284
1991,26,1.288
1991,27,1.289
1991,28,1.284
1991,29,1.259
1991,30,1.224
1991,31,1.186
1991,32,1.148
1991,33,1.106
1991,34,1.065
1991,35,1.022
1991,36,0.977
1991,37,0.940
1991,38,0.877
1991,39,0.774
1991,40,0.656
1991,41,0.540
1991,42,0.425
1991,43,0.345
1991,44,0.333
1991,45,0.360
1991,46,0.385
1991,47,0.416
1991,48,0.439
1991,49,0.449
1991,50,0.445
1991,51,0.450
1991,52,0.458
1991,53,0.461
1991,54,0.461
1991,55,0.454
1991,56,0.447
1991,57,0.439
1991,58,0.431
1991,59,0.425
1991,60,0.420
1991,61,0.412
1991,62,0.403
1991,63,0.394
1991,64,0.380
1991,65,0.367
1991,66,0.352
1991,67,0.340
1991,68,0.321
1991,69,0.301
1991,70,0.279
1991,71,0.254
1991,72,0.231
1991,73,0.211
1991,74,0.202
1991,75,0.195
1991,76,0.189
1991,77,0.183
1991,78,0.176
1991,79,0.162
1991,80,0.146
1991,81,0.132
1991,82,0.118
1991,83,0.105
1991,84,0.094
1991,85,0.083
1991,86,0.074
1991,87,0.065
1991,88,0.055
1991,89,0.046
1991,90,0.038
1991,91,0.030
1991,92,0.022
1991,93,0.017
1991,94,0.013
1991,95,0.010
1991,96,0.005
1991,97,0.004
1991,98,0.002
1991,99,0.001
1991,100,0.003
1992,0,1.584
1992,1,1.610
1992,2,1.588
1992,3,1.607
1992,4,1.624
1992,5,1.641
1992,6,1.652
1992,7,1.661
1992,8,1.668
1992,9,1.671
1992,10,1.669
1992,11,1.665
1992,12,1.657
1992,13,1.647
1992,14,1.630
1992,15,1.606
1992,16,1.574
1992,17,1.545
1992,18,1.513
1992,19,1.479
1992,20,1.442
1992,21,1.401
1992,22,1.361
1992,23,1.318
1992,24,1.289
1992,25,1.281
1992,26,1.289
1992,27,1.291
1992,28,1.294
1992,29,1.288
1992,30,1.266
1992,31,1.232
1992,32,1.198
1992,33,1.160
1992,34,1.119
1992,35,1.079
1992,36,1.036
1992,37,0.990
1992,38,0.952
1992,39,0.889
1992,40,0.787
1992,41,0.668
1992,42,0.553
1992,43,0.437
1992,44,0.357
1992,45,0.343
1992,46,0.370
1992,47,0.394
1992,48,0.423
1992,49,0.445
1992,50,0.452
1992,51,0.447
1992,52,0.449
1992,53,0.455
1992,54,0.457
1992,55,0.456
1992,56,0.450
1992,57,0.443
1992,58,0.437
1992,59,0.428
1992,60,0.422
1992,61,0.417
1992,62,0.408
1992,63,0.399
1992,64,0.389
1992,65,0.375
1992,66,0.362
1992,67,0.346
1992,68,0.332
1992,69,0.315
1992,70,0.293
1992,71,0.272
1992,72,0.248
1992,73,0.224
1992,74,0.204
1992,75,0.194
1992,76,0.186
1992,77,0.178
1992,78,0.172
1992,79,0.164
1992,80,0.150
1992,81,0.134
1992,82,0.120
1992,83,0.107
1992,84,0.094
1992,85,0.084
1992,86,0.073
1992,87,0.064
1992,88,0.057
1992,89,0.047
1992,90,0.039
1992,91,0.032
1992,92,0.025
1992,93,0.018
1992,94,0.014
1992,95,0.011
1992,96,0.008
1992,97,0.004
1992,98,0.002
1992,99,0.003
1992,100,0.003
1993,0,1.603
1993,1,1.616
1993,2,1.626
1993,3,1.593
1993,4,1.607
1993,5,1.618
1993,6,1.630
1993,7,1.636
1993,8,1.642
1993,9,1.646
1993,10,1.647
1993,11,1.643
1993,12,1.638
1993,13,1.630
1993,14,1.620
1993,15,1.604
1993,16,1.583
1993,17,1.558
1993,18,1.532
1993,19,1.507
1993,20,1.477
1993,21,1.441
1993,22,1.402
1993,23,1.364
1993,24,1.322
1993,25,1.294
1993,26,1.288
1993,27,1.295
1993,28,1.298
1993,29,1.301
1993,30,1.297
1993,31,1.275
1993,32,1.244
1993,33,1.211
1993,34,1.175
1993,35,1.136
1993,36,1.094
1993,37,1.052
1993,38,1.007
1993,39,0.966
1993,40,0.904
1993,41,0.801
