year,age,population
1990,0,154.049
1990,1,146.533
1990,2,139.641
1990,3,133.330
1990,4,127.546
1990,5,122.248
1990,6,117.382
1990,7,112.904
1990,8,108.765
1990,9,104.916
1990,10,101.348
1990,11,98.049
1990,12,94.788
1990,13,91.440
1990,14,88.070
1990,15,84.891
1990,16,81.890
1990,17,78.833
1990,18,75.629
1990,19,72.382
1990,20,69.274
1990,21,66.246
1990,22,63.499
1990,23,61.142
1990,24,59.075
1990,25,57.085
1990,26,55.193
1990,27,53.432
1990,28,51.785
1990,29,50.239
1990,30,48.807
1990,31,47.494
1990,32,46.176
1990,33,44.790
1990,34,43.393
1990,35,42.074
1990,36,40.778
1990,37,39.685
1990,38,38.875
1990,39,38.247
1990,40,37.619
1990,41,37.035
1990,42,36.336
1990,43,35.428
1990,44,34.384
1990,45,33.374
1990,46,32.377
1990,47,31.359
1990,48,30.329
1990,49,29.291
1990,50,28.244
1990,51,27.184
1990,52,26.162
1990,53,25.201
1990,54,24.280
1990,55,23.354
1990,56,22.429
1990,57,21.504
1990,58,20.573
1990,59,19.638
1990,60,18.707
1990,61,17.782
1990,62,16.840
1990,63,15.872
1990,64,14.886
1990,65,13.912
1990,66,12.947
1990,67,11.974
1990,68,10.988
1990,69,10.002
1990,70,9.041
1990,71,8.105
1990,72,7.197
1990,73,6.327
1990,74,5.496
1990,75,4.702
1990,76,3.949
1990,77,3.270
1990,78,2.689
1990,79,2.188
1990,80,1.730
1990,81,1.314
1990,82,0.973
1990,83,0.716
1990,84,0.526
1990,85,0.374
1990,86,0.258
1990,87,0.172
1990,88,0.103
1990,89,0.051
1990,90,0.030
1990,91,0.024
1990,92,0.017
1990,93,0.012
1990,94,0.005
1990,95,0.001
1990,96,0.002
1990,97,0.000
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,154.090
1991,1,147.449
1991,2,140.623
1991,3,134.366
1991,4,128.630
1991,5,123.363
1991,6,118.530
1991,7,114.087
1991,8,109.941
1991,9,106.017
1991,10,102.299
1991,11,98.830
1991,12,95.597
1991,13,92.381
1991,14,89.078
1991,15,85.748
1991,16,82.585
1991,17,79.581
1991,18,76.539
1991,19,73.388
1991,20,70.217
1991,21,67.175
1991,22,64.212
1991,23,61.531
1991,24,59.240
1991,25,57.239
1991,26,55.316
1991,27,53.491
1991,28,51.789
1991,29,50.191
1991,30,48.686
1991,31,47.293
1991,32,46.017
1991,33,44.733
1991,34,43.381
1991,35,42.014
