year,age,population
1990,0,46.349
1990,1,46.278
1990,2,45.934
1990,3,45.376
1990,4,44.669
1990,5,43.873
1990,6,43.050
1990,7,42.260
1990,8,41.570
1990,9,41.036
1990,10,40.596
1990,11,40.192
1990,12,40.500
1990,13,41.837
1990,14,43.887
1990,15,45.977
1990,16,48.175
1990,17,50.503
1990,18,52.881
1990,19,55.272
1990,20,57.686
1990,21,60.083
1990,22,62.284
1990,23,64.186
1990,24,65.805
1990,25,67.252
1990,26,68.488
1990,27,69.361
1990,28,69.794
1990,29,69.824
1990,30,69.621
1990,31,69.235
1990,32,68.230
1990,33,66.435
1990,34,64.082
1990,35,61.542
1990,36,58.693
1990,37,56.067
1990,38,53.946
1990,39,52.081
1990,40,50.092
1990,41,48.243
1990,42,45.637
1990,43,41.849
1990,44,37.424
1990,45,33.207
1990,46,28.878
1990,47,25.811
1990,48,24.722
1990,49,24.925
1990,50,25.027
1990,51,25.321
1990,52,25.282
1990,53,24.510
1990,54,23.292
1990,55,22.301
1990,56,21.388
1990,57,20.550
1990,58,19.858
1990,59,19.242
1990,60,18.603
1990,61,17.989
1990,62,17.235
1990,63,16.259
1990,64,15.154
1990,65,14.086
1990,66,13.009
1990,67,12.079
1990,68,11.387
1990,69,10.851
1990,70,10.305
1990,71,9.776
1990,72,9.254
1990,73,8.716
1990,74,8.174
1990,75,7.655
1990,76,7.158
1990,77,6.649
1990,78,6.120
1990,79,5.576
1990,80,5.054
1990,81,4.562
1990,82,4.024
1990,83,3.408
1990,84,2.760
1990,85,2.146
1990,86,1.540
1990,87,1.066
1990,88,0.786
1990,89,0.642
1990,90,0.509
1990,91,0.409
1990,92,0.326
1990,93,0.236
1990,94,0.149
1990,95,0.097
1990,96,0.069
1990,97,0.048
1990,98,0.029
1990,99,0.014
1990,100,0.022
1991,0,49.849
1991,1,47.536
1991,2,47.142
1991,3,46.590
1991,4,45.921
1991,5,45.177
1991,6,44.423
1991,7,43.719
1991,8,43.015
1991,9,42.319
1991,10,41.729
1991,11,41.272
1991,12,40.873
1991,13,41.190
1991,14,42.542
1991,15,44.613
1991,16,46.724
1991,17,48.944
1991,18,51.299
1991,19,53.707
1991,20,56.129
1991,21,58.576
1991,22,61.002
1991,23,63.233
1991,24,65.159
1991,25,66.801
1991,26,68.267
1991,27,69.519
1991,28,70.403
1991,29,70.837
1991,30,70.859
1991,31,70.647
1991,32,70.247
1991,33,69.224
1991,34,67.403
1991,35,65.021
1991,36,62.448
1991,37,59.565
1991,38,56.900
1991,39,54.734
1991,40,52.822
1991,41,50.784
1991,42,48.885
1991,43,46.231
1991,44,42.402
1991,45,37.937
1991,46,33.680
1991,47,29.313
1991,48,26.210
1991,49,25.086
1991,50,25.257
1991,51,25.329
1991,52,25.592
1991,53,25.525
1991,54,24.727
1991,55,23.484
1991,56,22.469
1991,57,21.534
1991,58,20.670
