year,age,population
1990,0,82.731
1990,1,82.132
1990,2,82.253
1990,3,82.974
1990,4,84.172
1990,5,85.724
1990,6,87.510
1990,7,89.405
1990,8,91.291
1990,9,93.043
1990,10,94.760
1990,11,96.536
1990,12,97.158
1990,13,96.063
1990,14,93.788
1990,15,91.594
1990,16,89.430
1990,17,86.821
1990,18,83.725
1990,19,80.449
1990,20,77.217
1990,21,73.834
1990,22,71.863
1990,23,72.062
1990,24,73.716
1990,25,75.294
1990,26,77.037
1990,27,78.765
1990,28,80.213
1990,29,81.462
1990,30,82.746
1990,31,83.884
1990,32,85.014
1990,33,86.181
1990,34,87.170
1990,35,87.935
1990,36,88.743
1990,37,87.908
1990,38,84.669
1990,39,79.893
1990,40,75.177
1990,41,70.165
1990,42,65.972
1990,43,63.299
1990,44,61.630
1990,45,59.779
1990,46,58.029
1990,47,56.258
1990,48,54.301
1990,49,52.330
1990,50,50.580
1990,51,48.880
1990,52,47.910
1990,53,47.994
1990,54,48.742
1990,55,49.504
1990,56,50.477
1990,57,50.888
1990,58,50.313
1990,59,49.128
1990,60,47.911
1990,61,46.259
1990,62,45.550
1990,63,46.439
1990,64,48.091
1990,65,49.493
1990,66,51.409
1990,67,50.362
1990,68,44.700
1990,69,36.304
1990,70,28.349
1990,71,19.765
1990,72,14.471
1990,73,14.600
1990,74,18.124
1990,75,21.005
1990,76,24.188
1990,77,25.745
1990,78,24.350
1990,79,21.083
1990,80,18.373
1990,81,15.776
1990,82,13.350
1990,83,11.385
1990,84,9.740
1990,85,7.975
1990,86,6.156
1990,87,4.652
1990,88,3.596
1990,89,2.869
1990,90,2.206
1990,91,1.644
1990,92,1.192
1990,93,0.818
1990,94,0.520
1990,95,0.226
1990,96,0.182
1990,97,0.137
1990,98,0.091
1990,99,0.046
1990,100,0.056
1991,0,81.074
1991,1,81.883
1991,2,81.754
1991,3,82.179
1991,4,83.063
1991,5,84.313
1991,6,85.802
1991,7,87.411
1991,8,89.184
1991,9,91.085
1991,10,92.932
1991,11,94.688
1991,12,96.476
1991,13,97.090
1991,14,95.960
1991,15,93.632
1991,16,91.388
1991,17,89.168
1991,18,86.524
1991,19,83.421
1991,20,80.159
1991,21,76.938
1991,22,73.565
1991,23,71.605
1991,24,71.810
1991,25,73.469
1991,26,75.055
1991,27,76.807
1991,28,78.537
1991,29,79.978
1991,30,81.215
1991,31,82.486
1991,32,83.611
1991,33,84.731
1991,34,85.895
1991,35,86.883
1991,36,87.645
1991,37,88.450
1991,38,87.612
1991,39,84.370
1991,40,79.591
1991,41,74.872
1991,42,69.855
1991,43,65.650
1991,44,62.956
1991,45,61.258
1991,46,59.377
1991,47,57.592
1991,48,55.791
1991,49,53.809
1991,50,51.818
1991,51,50.043
1991,52,48.317
1991,53,47.312
1991,54,47.343
1991,55,48.031
1991,56,48.727
1991,57,49.632
1991,58,49.980
1991,59,49.355
1991,60,48.127
1991,61,46.870
1991,62,45.196
1991,63,44.421
1991,64,45.169
1991,65,46.646
1991,66,47.880
1991,67,49.601
1991,68,48.493
1991,69,42.984
1991,70,34.864
1991,71,27.169
1991,72,18.877
1991,73,13.712
1991,74,13.701
1991,75,16.921
1991,76,19.537
1991,77,22.449
1991,78,23.833
1991,79,22.432
1991,80,19.273
1991,81,16.652
1991,82,14.146
1991,83,11.838
1991,84,10.020
1991,85,8.541
1991,86,6.951
1991,87,5.318
1991,88,3.979
1991,89,3.045
1991,90,2.412
1991,91,1.843
1991,92,1.374
1991,93,0.997
1991,94,0.679
1991,95,0.423
1991,96,0.196
1991,97,0.148
1991,98,0.100
1991,99,0.048
1991,100,0.058
1992,0,78.600
1992,1,78.405
1992,2,81.100
1992,3,81.442
1992,4,82.171
1992,5,83.220
1992,6,84.520
1992,7,85.950
1992,8,87.382
1992,9,89.034
1992,10,90.951
1992,11,92.898
1992,12,94.691
1992,13,96.493
1992,14,97.100
1992,15,95.934
1992,16,93.552
1992,17,91.254
1992,18,88.979
1992,19,86.296
1992,20,83.185
1992,21,79.934
1992,22,76.720
1992,23,73.355
1992,24,71.404
1992,25,71.617
1992,26,73.281
1992,27,74.876
1992,28,76.638
1992,29,78.372
1992,30,79.809
1992,31,81.032
1992,32,82.293
1992,33,83.406
1992,34,84.516
1992,35,85.677
1992,36,86.666
1992,37,87.427
1992,38,88.228
1992,39,87.385
1992,40,84.140
1992,41,79.354
1992,42,74.626
1992,43,69.601
1992,44,65.382
1992,45,62.663
1992,46,60.936
1992,47,59.022
1992,48,57.203
1992,49,55.368
1992,50,53.362
1992,51,51.348
1992,52,49.547
1992,53,47.794
1992,54,46.750
1992,55,46.732
1992,56,47.358
1992,57,47.992
1992,58,48.827
1992,59,49.113
1992,60,48.438
1992,61,47.165
1992,62,45.867
1992,63,44.171
1992,64,43.328
1992,65,43.938
1992,66,45.241
1992,67,46.306
1992,68,47.834
1992,69,46.666
1992,70,41.304
1992,71,33.454
1992,72,26.011
1992,73,18.005
1992,74,12.966
1992,75,12.814
1992,76,15.733
1992,77,18.086
1992,78,20.730
1992,79,21.942
1992,80,20.535
1992,81,17.480
1992,82,14.947
1992,83,12.528
1992,84,10.338
1992,85,8.665
1992,86,7.349
1992,87,5.934
1992,88,4.486
1992,89,3.309
1992,90,2.498
1992,91,1.957
1992,92,1.482
1992,93,1.105
1992,94,0.803
1992,95,0.542
1992,96,0.326
1992,97,0.151
1992,98,0.072
1992,99,0.006
1992,100,0.057
1993,0,75.431
1993,1,76.115
1993,2,77.117
1993,3,80.358
1993,4,81.171
1993,5,82.203
1993,6,83.417
1993,7,84.770
1993,8,86.139
1993,9,87.396
1993,10,88.928
1993,11,90.864
1993,12,92.907
1993,13,94.741
1993,14,96.558
1993,15,97.159
1993,16,95.954
1993,17,93.518
1993,18,91.166
1993,19,88.833
1993,20,86.111
1993,21,82.990
1993,22,79.747
1993,23,76.541
1993,24,73.181
1993,25,71.239
1993,26,71.458
1993,27,73.130
1993,28,74.734
1993,29,76.507
1993,30,78.246
1993,31,79.678
1993,32,80.891
1993,33,82.140
1993,34,83.241
1993,35,84.343
1993,36,85.501
1993,37,86.492
1993,38,87.252
1993,39,88.049
1993,40,87.202
1993,41,83.950
1993,42,79.156
1993,43,74.417
1993,44,69.383
1993,45,65.145
1993,46,62.402
1993,47,60.643
1993,48,58.697
1993,49,56.841
1993,50,54.973
1993,51,52.940
1993,52,50.903
1993,53,49.075
1993,54,47.294
1993,55,46.214
1993,56,46.143
1993,57,46.709
1993,58,47.279
1993,59,48.047
1993,60,48.270
1993,61,47.544
1993,62,46.227
1993,63,44.887
1993,64,43.168
1993,65,42.256
1993,66,42.728
1993,67,43.856
1993,68,44.756
1993,69,46.091
1993,70,44.861
1993,71,39.644
1993,72,32.061
1993,73,24.866
1993,74,17.142
1993,75,12.225
1993,76,11.934
1993,77,14.551
1993,78,16.644
1993,79,19.022
1993,80,20.061
1993,81,18.647
1993,82,15.696
1993,83,13.249
1993,84,10.916
1993,85,8.843
1993,86,7.314
1993,87,6.161
1993,88,4.919
1993,89,3.656
1993,90,2.642
1993,91,1.951
1993,92,1.502
1993,93,1.123
1993,94,0.836
1993,95,0.610
1993,96,0.404
1993,97,0.230
1993,98,0.093
1993,99,0.019
1993,100,0.058
1994,0,71.795
1994,1,73.465
1994,2,75.167
1994,3,76.896
1994,4,79.624
1994,5,80.907
1994,6,82.244
1994,7,83.624
1994,8,85.029
1994,9,86.337
1994,10,87.420
1994,11,88.832
1994,12,90.784
1994,13,92.927
1994,14,94.802
1994,15,96.633
1994,16,97.227
1994,17,95.986
1994,18,93.493
1994,19,91.088
1994,20,88.696
1994,21,85.934
1994,22,82.804
1994,23,79.570
1994,24,76.369
1994,25,73.015
1994,26,71.080
1994,27,71.309
1994,28,72.986
1994,29,74.599
1994,30,76.384
