year,age,population
1990,0,23.168
1990,1,23.835
1990,2,24.552
1990,3,25.302
1990,4,26.067
1990,5,26.827
1990,6,27.565
1990,7,28.266
1990,8,28.908
1990,9,29.476
1990,10,30.019
1990,11,30.592
1990,12,30.826
1990,13,30.562
1990,14,29.992
1990,15,29.445
1990,16,28.821
1990,17,28.488
1990,18,28.654
1990,19,29.137
1990,20,29.559
1990,21,30.002
1990,22,30.369
1990,23,30.580
1990,24,30.695
1990,25,30.858
1990,26,31.035
1990,27,31.243
1990,28,31.495
1990,29,31.779
1990,30,31.993
1990,31,32.082
1990,32,32.339
1990,33,32.878
1990,34,33.518
1990,35,34.075
1990,36,34.704
1990,37,34.603
1990,38,33.398
1990,39,31.501
1990,40,29.680
1990,41,27.751
1990,42,26.279
1990,43,25.624
1990,44,25.498
1990,45,25.274
1990,46,25.076
1990,47,24.850
1990,48,24.503
1990,49,24.099
1990,50,23.763
1990,51,23.429
1990,52,23.252
1990,53,23.307
1990,54,23.490
1990,55,23.631
1990,56,23.785
1990,57,23.697
1990,58,23.222
1990,59,22.488
1990,60,21.721
1990,61,20.838
1990,62,20.055
1990,63,19.489
1990,64,19.008
1990,65,18.491
1990,66,18.121
1990,67,17.105
1990,68,15.087
1990,69,12.524
1990,70,10.072
1990,71,7.432
1990,72,5.939
1990,73,6.275
1990,74,7.746
1990,75,9.032
1990,76,10.472
1990,77,11.175
1990,78,10.593
1990,79,9.190
1990,80,7.992
1990,81,6.811
1990,82,5.725
1990,83,4.875
1990,84,4.193
1990,85,3.442
1990,86,2.660
1990,87,2.023
1990,88,1.589
1990,89,1.302
1990,90,1.045
1990,91,0.831
1990,92,0.647
1990,93,0.470
1990,94,0.305
1990,95,0.107
1990,96,0.085
1990,97,0.064
1990,98,0.042
1990,99,0.021
1990,100,0.020
1991,0,22.142
1991,1,23.150
1991,2,23.861
1991,3,24.603
1991,4,25.360
1991,5,26.121
1991,6,26.861
1991,7,27.565
1991,8,28.244
1991,9,28.893
1991,10,29.482
1991,11,30.040
1991,12,30.626
1991,13,30.861
1991,14,30.577
1991,15,29.977
1991,16,29.400
1991,17,28.744
1991,18,28.390
1991,19,28.557
1991,20,29.050
1991,21,29.482
1991,22,29.933
1991,23,30.304
1991,24,30.507
1991,25,30.607
1991,26,30.759
1991,27,30.926
1991,28,31.121
1991,29,31.356
1991,30,31.622
1991,31,31.817
1991,32,31.883
1991,33,32.135
1991,34,32.697
1991,35,33.377
1991,36,33.970
1991,37,34.643
1991,38,34.557
1991,39,33.324
1991,40,31.372
1991,41,29.500
1991,42,27.515
1991,43,26.013
1991,44,25.370
1991,45,25.283
1991,46,25.092
1991,47,24.930
1991,48,24.720
1991,49,24.360
1991,50,23.924
1991,51,23.560
1991,52,23.195
1991,53,22.995
1991,54,23.041
1991,55,23.220
1991,56,23.357
1991,57,23.507
1991,58,23.410
1991,59,22.916
1991,60,22.161
1991,61,21.373
1991,62,20.470
1991,63,19.674
1991,64,19.105
1991,65,18.630
1991,66,18.116
1991,67,17.744
1991,68,16.734
1991,69,14.733
1991,70,12.191
1991,71,9.760
1991,72,7.148
1991,73,5.646
1991,74,5.918
1991,75,7.292
1991,76,8.489
1991,77,9.837
1991,78,10.480
1991,79,9.887
1991,80,8.507
1991,81,7.329
1991,82,6.171
1991,83,5.122
1991,84,4.326
1991,85,3.708
1991,86,3.025
1991,87,2.315
1991,88,1.743
1991,89,1.353
1991,90,1.100
1991,91,0.878
1991,92,0.697
1991,93,0.543
1991,94,0.392
1991,95,0.250
1991,96,0.098
1991,97,0.074
1991,98,0.049
1991,99,0.025
1991,100,0.021
1992,0,20.872
1992,1,21.717
1992,2,23.107
1992,3,23.864
1992,4,24.629
1992,5,25.393
1992,6,26.148
1992,7,26.869
1992,8,27.537
1992,9,28.194
1992,10,28.848
1992,11,29.458
1992,12,30.030
1992,13,30.630
1992,14,30.864
1992,15,30.563
1992,16,29.931
1992,17,29.324
1992,18,28.638
1992,19,28.265
1992,20,28.429
1992,21,28.935
1992,22,29.374
1992,23,29.835
1992,24,30.207
1992,25,30.404
1992,26,30.488
1992,27,30.628
1992,28,30.786
1992,29,30.967
1992,30,31.187
1992,31,31.433
1992,32,31.609
1992,33,31.651
1992,34,31.899
1992,35,32.482
1992,36,33.202
1992,37,33.831
1992,38,34.546
1992,39,34.477
1992,40,33.216
1992,41,31.211
1992,42,29.290
1992,43,27.251
1992,44,25.720
1992,45,25.090
1992,46,25.043
1992,47,24.885
1992,48,24.757
1992,49,24.566
1992,50,24.192
1992,51,23.725
1992,52,23.332
1992,53,22.938
1992,54,22.715
1992,55,22.750
1992,56,22.927
1992,57,23.059
1992,58,23.205
1992,59,23.098
1992,60,22.588
1992,61,21.811
1992,62,21.003
1992,63,20.081
1992,64,19.272
1992,65,18.702
1992,66,18.233
1992,67,17.722
1992,68,17.348
1992,69,16.345
1992,70,14.364
1992,71,11.846
1992,72,9.439
1992,73,6.856
1992,74,5.347
1992,75,5.555
1992,76,6.829
1992,77,7.936
1992,78,9.193
1992,79,9.773
1992,80,9.170
1992,81,7.814
1992,82,6.659
1992,83,5.524
1992,84,4.513
1992,85,3.772
1992,86,3.218
1992,87,2.604
1992,88,1.969
1992,89,1.459
1992,90,1.117
1992,91,0.896
1992,92,0.709
1992,93,0.563
1992,94,0.437
1992,95,0.314
1992,96,0.195
1992,97,0.072
1992,98,0.033
1992,99,0.010
1992,100,0.023
1993,0,19.547
1993,1,20.598
1993,2,21.630
1993,3,23.051
1993,4,23.851
1993,5,24.640
1993,6,25.412
1993,7,26.159
1993,8,26.859
1993,9,27.493
1993,10,28.126
1993,11,28.786
1993,12,29.417
1993,13,30.002
1993,14,30.614
1993,15,30.850
1993,16,30.528
1993,17,29.867
1993,18,29.232
1993,19,28.514
1993,20,28.122
1993,21,28.285
1993,22,28.802
1993,23,29.248
1993,24,29.718
1993,25,30.094
1993,26,30.281
1993,27,30.351
1993,28,30.478
1993,29,30.627
1993,30,30.795
1993,31,30.998
1993,32,31.225
1993,33,31.381
1993,34,31.401
1993,35,31.642
1993,36,32.249
1993,37,33.006
1993,38,33.672
1993,39,34.429
1993,40,34.375
1993,41,33.088
1993,42,31.030
1993,43,29.063
1993,44,26.970
1993,45,25.412
1993,46,24.796
1993,47,24.787
1993,48,24.662
1993,49,24.570
1993,50,24.396
1993,51,24.011
1993,52,23.510
1993,53,23.090
1993,54,22.667
1993,55,22.422
1993,56,22.446
1993,57,22.620
1993,58,22.747
1993,59,22.889
1993,60,22.773
1993,61,22.246
1993,62,21.446
1993,63,20.622
1993,64,19.679
1993,65,18.858
1993,66,18.288
1993,67,17.825
1993,68,17.318
1993,69,16.942
1993,70,15.947
1993,71,13.986
1993,72,11.494
1993,73,9.111
1993,74,6.559
1993,75,5.046
1993,76,5.188
1993,77,6.363
1993,78,7.379
1993,79,8.542
1993,80,9.062
1993,81,8.447
1993,82,7.117
1993,83,5.985
1993,84,4.873
1993,85,3.902
1993,86,3.216
1993,87,2.726
1993,88,2.182
1993,89,1.621
1993,90,1.176
1993,91,0.879
1993,92,0.693
1993,93,0.539
1993,94,0.428
1993,95,0.333
1993,96,0.234
1993,97,0.140
1993,98,0.050
1993,99,0.013
1993,100,0.024
1994,0,18.434
1994,1,19.614
1994,2,20.741
1994,3,21.811
1994,4,22.994
1994,5,23.838
1994,6,24.650
1994,7,25.427
1994,8,26.170
1994,9,26.849
1994,10,27.447
1994,11,28.057
1994,12,28.722
1994,13,29.375
1994,14,29.972
1994,15,30.597
1994,16,30.834
1994,17,30.492
1994,18,29.802
1994,19,29.138
1994,20,28.389
1994,21,27.978
1994,22,28.140
1994,23,28.666
1994,24,29.123
1994,25,29.600
1994,26,29.977
1994,27,30.158
1994,28,30.212
1994,29,30.328
1994,30,30.466
1994,31,30.622
1994,32,30.808
1994,33,31.015
1994,34,31.153
1994,35,31.148
1994,36,31.385
1994,37,32.013
1994,38,32.810
1994,39,33.511
1994,40,34.310
1994,41,34.271
1994,42,32.959
1994,43,30.849
1994,44,28.835
1994,45,26.688
1994,46,25.102
1994,47,24.501
1994,48,24.530
1994,49,24.439
1994,50,24.382
1994,51,24.225
1994,52,23.828
1994,53,23.295
1994,54,22.848
1994,55,22.395
1994,56,22.126
1994,57,22.142
1994,58,22.313
