year,age,population
1990,0,11.565
1990,1,11.015
1990,2,10.553
1990,3,10.166
1990,4,9.845
1990,5,9.582
1990,6,9.366
1990,7,9.189
1990,8,9.038
1990,9,8.907
1990,10,8.792
1990,11,8.690
1990,12,8.556
1990,13,8.362
1990,14,8.123
1990,15,7.892
1990,16,7.674
1990,17,7.383
1990,18,6.976
1990,19,6.508
1990,20,6.048
1990,21,5.572
1990,22,5.196
1990,23,4.978
1990,24,4.862
1990,25,4.738
1990,26,4.626
1990,27,4.497
1990,28,4.330
1990,29,4.136
1990,30,3.968
1990,31,3.812
1990,32,3.651
1990,33,3.475
1990,34,3.293
1990,35,3.121
1990,36,2.952
1990,37,2.815
1990,38,2.722
1990,39,2.663
1990,40,2.601
1990,41,2.540
1990,42,2.493
1990,43,2.464
1990,44,2.442
1990,45,2.425
1990,46,2.418
1990,47,2.361
1990,48,2.221
1990,49,2.031
1990,50,1.851
1990,51,1.658
1990,52,1.517
1990,53,1.467
1990,54,1.467
1990,55,1.461
1990,56,1.462
1990,57,1.429
1990,58,1.340
1990,59,1.216
1990,60,1.102
1990,61,0.989
1990,62,0.901
1990,63,0.856
1990,64,0.839
1990,65,0.818
1990,66,0.798
1990,67,0.769
1990,68,0.715
1990,69,0.646
1990,70,0.585
1990,71,0.525
1990,72,0.470
1990,73,0.428
1990,74,0.394
1990,75,0.359
1990,76,0.326
1990,77,0.292
1990,78,0.259
1990,79,0.227
1990,80,0.196
1990,81,0.169
1990,82,0.142
1990,83,0.118
1990,84,0.098
1990,85,0.079
1990,86,0.060
1990,87,0.047
1990,88,0.036
1990,89,0.028
1990,90,0.022
1990,91,0.018
1990,92,0.015
1990,93,0.010
1990,94,0.007
1990,95,0.001
1990,96,0.002
1990,97,0.000
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,11.774
1991,1,11.394
1991,2,10.894
1991,3,10.469
1991,4,10.107
1991,5,9.800
1991,6,9.542
1991,7,9.322
1991,8,9.140
1991,9,8.994
1991,10,8.872
1991,11,8.759
1991,12,8.658
1991,13,8.523
1991,14,8.329
1991,15,8.090
1991,16,7.857
1991,17,7.638
1991,18,7.346
1991,19,6.940
1991,20,6.474
1991,21,6.015
1991,22,5.542
1991,23,5.167
1991,24,4.949
1991,25,4.834
1991,26,4.711
1991,27,4.599
1991,28,4.470
1991,29,4.304
1991,30,4.111
1991,31,3.942
1991,32,3.787
1991,33,3.627
1991,34,3.451
1991,35,3.270
1991,36,3.099
1991,37,2.930
1991,38,2.793
1991,39,2.700
1991,40,2.641
1991,41,2.579
1991,42,2.517
1991,43,2.470
1991,44,2.440
1991,45,2.417
1991,46,2.399
1991,47,2.390
1991,48,2.333
1991,49,2.192
1991,50,2.004
1991,51,1.825
1991,52,1.633
1991,53,1.493
1991,54,1.441
1991,55,1.439
1991,56,1.432
1991,57,1.430
1991,58,1.397
1991,59,1.308
1991,60,1.185
1991,61,1.071
1991,62,0.960
1991,63,0.871
1991,64,0.826
1991,65,0.807
1991,66,0.784
1991,67,0.763
1991,68,0.733
1991,69,0.679
1991,70,0.611
1991,71,0.551
1991,72,0.492
1991,73,0.437
1991,74,0.397
1991,75,0.362
1991,76,0.329
1991,77,0.297
1991,78,0.264
1991,79,0.233
1991,80,0.202
1991,81,0.174
1991,82,0.148
1991,83,0.124
1991,84,0.102
1991,85,0.084
1991,86,0.068
1991,87,0.050
1991,88,0.040
1991,89,0.030
1991,90,0.024
1991,91,0.018
1991,92,0.015
1991,93,0.012
1991,94,0.008
1991,95,0.006
1991,96,0.002
1991,97,0.000
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,11.969
1992,1,11.451
1992,2,11.237
1992,3,10.790
1992,4,10.399
1992,5,10.062
1992,6,9.770
1992,7,9.515
1992,8,9.290
1992,9,9.105
1992,10,8.963
1992,11,8.848
1992,12,8.739
1992,13,8.637
1992,14,8.503
1992,15,8.308
1992,16,8.067
1992,17,7.834
1992,18,7.612
1992,19,7.319
1992,20,6.914
1992,21,6.448
1992,22,5.992
1992,23,5.519
1992,24,5.145
1992,25,4.928
1992,26,4.813
1992,27,4.690
1992,28,4.578
1992,29,4.450
1992,30,4.283
1992,31,4.092
1992,32,3.922
1992,33,3.768
1992,34,3.607
1992,35,3.432
1992,36,3.252
1992,37,3.081
1992,38,2.912
1992,39,2.775
1992,40,2.682
1992,41,2.623
1992,42,2.560
1992,43,2.498
1992,44,2.451
1992,45,2.419
1992,46,2.395
1992,47,2.376
1992,48,2.366
1992,49,2.307
1992,50,2.168
1992,51,1.980
1992,52,1.801
1992,53,1.610
1992,54,1.470
1992,55,1.417
1992,56,1.414
1992,57,1.404
1992,58,1.402
1992,59,1.366
1992,60,1.278
1992,61,1.155
1992,62,1.043
1992,63,0.931
1992,64,0.843
1992,65,0.797
1992,66,0.776
1992,67,0.752
1992,68,0.729
1992,69,0.698
1992,70,0.644
1992,71,0.578
1992,72,0.517
1992,73,0.459
1992,74,0.406
1992,75,0.365
1992,76,0.332
1992,77,0.299
1992,78,0.268
1992,79,0.237
1992,80,0.206
1992,81,0.178
1992,82,0.152
1992,83,0.128
1992,84,0.106
1992,85,0.086
1992,86,0.071
1992,87,0.056
1992,88,0.042
1992,89,0.032
1992,90,0.025
1992,91,0.018
1992,92,0.015
1992,93,0.012
1992,94,0.009
1992,95,0.006
1992,96,0.005
1992,97,0.001
1992,98,0.001
1992,99,0.000
1992,100,0.000
1993,0,12.149
1993,1,11.683
1993,2,11.263
1993,3,11.091
1993,4,10.693
1993,5,10.339
1993,6,10.025
1993,7,9.747
1993,8,9.497
1993,9,9.266
1993,10,9.077
1993,11,8.939
1993,12,8.832
1993,13,8.726
1993,14,8.625
1993,15,8.489
1993,16,8.293
1993,17,8.052
1993,18,7.817
1993,19,7.593
1993,20,7.298
1993,21,6.894
1993,22,6.428
1993,23,5.972
1993,24,5.501
1993,25,5.127
1993,26,4.911
1993,27,4.797
1993,28,4.672
1993,29,4.561
1993,30,4.433
1993,31,4.268
1993,32,4.075
1993,33,3.905
1993,34,3.752
1993,35,3.591
1993,36,3.416
1993,37,3.236
1993,38,3.066
1993,39,2.896
1993,40,2.759
1993,41,2.667
1993,42,2.606
1993,43,2.543
1993,44,2.482
1993,45,2.434
1993,46,2.400
1993,47,2.376
1993,48,2.354
1993,49,2.344
1993,50,2.284
1993,51,2.145
1993,52,1.957
1993,53,1.778
1993,54,1.589
1993,55,1.449
1993,56,1.395
1993,57,1.390
1993,58,1.377
1993,59,1.374
1993,60,1.337
1993,61,1.249
1993,62,1.126
1993,63,1.015
1993,64,0.903
1993,65,0.816
1993,66,0.768
1993,67,0.746
1993,68,0.720
1993,69,0.696
1993,70,0.664
1993,71,0.610
1993,72,0.544
1993,73,0.484
1993,74,0.426
1993,75,0.375
1993,76,0.334
1993,77,0.303
1993,78,0.269
1993,79,0.239
1993,80,0.209
1993,81,0.181
1993,82,0.154
1993,83,0.131
1993,84,0.107
1993,85,0.087
1993,86,0.072
1993,87,0.056
1993,88,0.045
1993,89,0.033
1993,90,0.025
1993,91,0.019
1993,92,0.014
1993,93,0.010
1993,94,0.009
1993,95,0.008
1993,96,0.004
1993,97,0.003
1993,98,0.001
1993,99,0.000
1993,100,0.000
1994,0,12.326
1994,1,11.913
1994,2,11.529
1994,3,11.170
1994,4,10.948
1994,5,10.599
1994,6,10.281
1994,7,9.992
1994,8,9.727
1994,9,9.480
1994,10,9.245
1994,11,9.053
1994,12,8.917
1994,13,8.819
1994,14,8.715
1994,15,8.614
1994,16,8.479
1994,17,8.280
1994,18,8.039
1994,19,7.802
1994,20,7.577
1994,21,7.279
1994,22,6.875
1994,23,6.410
1994,24,5.955
1994,25,5.485
1994,26,5.111
1994,27,4.895
1994,28,4.781
1994,29,4.656
1994,30,4.546
1994,31,4.418
1994,32,4.252
1994,33,4.060
1994,34,3.889
1994,35,3.737
1994,36,3.576
1994,37,3.401
1994,38,3.221
1994,39,3.052
1994,40,2.881
1994,41,2.744
1994,42,2.652
1994,43,2.590
1994,44,2.528
1994,45,2.466
1994,46,2.417
1994,47,2.382
1994,48,2.356
1994,49,2.335
1994,50,2.322
1994,51,2.262
1994,52,2.121
1994,53,1.935
1994,54,1.757
1994,55,1.568
1994,56,1.428
1994,57,1.373
1994,58,1.366
1994,59,1.351
1994,60,1.346
1994,61,1.309
1994,62,1.220
1994,63,1.098
1994,64,0.987
1994,65,0.876
1994,66,0.788
1994,67,0.740
1994,68,0.716
1994,69,0.688
1994,70,0.663
1994,71,0.630
1994,72,0.576
1994,73,0.510
1994,74,0.451
1994,75,0.394
1994,76,0.344
1994,77,0.303
1994,78,0.273
1994,79,0.239
1994,80,0.211
1994,81,0.182
1994,82,0.155
1994,83,0.130
1994,84,0.109
1994,85,0.086
1994,86,0.070
1994,87,0.056
1994,88,0.043
1994,89,0.033
1994,90,0.024
1994,91,0.018
1994,92,0.013
1994,93,0.009
1994,94,0.007
1994,95,0.006
1994,96,0.005
1994,97,0.002
1994,98,0.002
1994,99,0.000
1994,100,0.000
1995,0,12.503
1995,1,12.138
1995,2,11.786
1995,3,11.445
1995,4,11.118
1995,5,10.805
1995,6,10.507
1995,7,10.224
1995,8,9.958
1995,9,9.708
1995,10,9.465
1995,11,9.224
1995,12,9.028
1995,13,8.897
1995,14,8.806
1995,15,8.705
1995,16,8.604
1995,17,8.468
1995,18,8.269
1995,19,8.026
1995,20,7.788
1995,21,7.560
