year,age,population
1990,0,266.199
1990,1,249.692
1990,2,234.788
1990,3,221.378
1990,4,209.350
1990,5,198.590
1990,6,188.986
1990,7,180.426
1990,8,172.799
1990,9,165.991
1990,10,159.961
1990,11,154.665
1990,12,149.643
1990,13,144.643
1990,14,139.761
1990,15,135.324
1990,16,131.235
1990,17,127.291
1990,18,123.419
1990,19,119.623
1990,20,116.015
1990,21,112.597
1990,22,109.110
1990,23,105.455
1990,24,101.727
1990,25,98.131
1990,26,94.619
1990,27,91.281
1990,28,88.177
1990,29,85.259
1990,30,82.397
1990,31,79.605
1990,32,76.941
1990,33,74.415
1990,34,72.001
1990,35,69.648
1990,36,67.371
1990,37,65.094
1990,38,62.778
1990,39,60.450
1990,40,58.207
1990,41,56.073
1990,42,53.862
1990,43,51.504
1990,44,49.100
1990,45,46.767
1990,46,44.415
1990,47,42.491
1990,48,41.213
1990,49,40.341
1990,50,39.462
1990,51,38.703
1990,52,37.632
1990,53,36.006
1990,54,34.046
1990,55,32.203
1990,56,30.363
1990,57,28.746
1990,58,27.502
1990,59,26.498
1990,60,25.460
1990,61,24.446
1990,62,23.390
1990,63,22.239
1990,64,21.033
1990,65,19.868
1990,66,18.734
1990,67,17.592
1990,68,16.443
1990,69,15.292
1990,70,14.163
1990,71,13.053
1990,72,11.954
1990,73,10.859
1990,74,9.782
1990,75,8.743
1990,76,7.739
1990,77,6.790
1990,78,5.907
1990,79,5.089
1990,80,4.318
1990,81,3.592
1990,82,2.952
1990,83,2.412
1990,84,1.958
1990,85,1.550
1990,86,1.190
1990,87,0.893
1990,88,0.664
1990,89,0.487
1990,90,0.351
1990,91,0.250
1990,92,0.172
1990,93,0.110
1990,94,0.059
1990,95,0.035
1990,96,0.029
1990,97,0.025
1990,98,0.015
1990,99,0.001
1990,100,0.007
1991,0,265.751
1991,1,252.707
1991,2,237.592
1991,3,223.942
1991,4,211.652
1991,5,200.611
1991,6,190.727
1991,7,181.902
1991,8,173.953
1991,9,166.735
1991,10,160.188
1991,11,154.354
1991,12,149.177
1991,13,144.274
1991,14,139.443
1991,15,134.754
1991,16,130.458
1991,17,126.478
1991,18,122.643
1991,19,118.888
1991,20,115.215
1991,21,111.720
1991,22,108.405
1991,23,105.027
1991,24,101.488
1991,25,97.882
1991,26,94.402
1991,27,91.006
1991,28,87.778
1991,29,84.776
1991,30,81.955
1991,31,79.188
1991,32,76.490
1991,33,73.916
1991,34,71.474
1991,35,69.142
1991,36,66.869
1991,37,64.668
1991,38,62.469
1991,39,60.233
1991,40,57.989
1991,41,55.825
1991,42,53.767
1991,43,51.631
1991,44,49.348
1991,45,47.017
1991,46,44.755
1991,47,42.472
1991,48,40.605
1991,49,39.367
1991,50,38.524
1991,51,37.671
1991,52,36.935
1991,53,35.892
1991,54,34.306
1991,55,32.393
1991,56,30.594
1991,57,28.795
1991,58,27.214
1991,59,25.993
1991,60,25.007
1991,61,23.985
1991,62,22.989
1991,63,21.952
1991,64,20.821
1991,65,19.637
1991,66,18.495
1991,67,17.386
1991,68,16.272
1991,69,15.152
1991,70,14.035
1991,71,12.942
1991,72,11.870
1991,73,10.817
1991,74,9.780
1991,75,8.770
1991,76,7.798
1991,77,6.862
1991,78,5.986
1991,79,5.178
1991,80,4.439
1991,81,3.745
1991,82,3.097
1991,83,2.528
1991,84,2.052
1991,85,1.657
1991,86,1.306
1991,87,0.998
1991,88,0.747
1991,89,0.552
1991,90,0.401
1991,91,0.287
1991,92,0.205
1991,93,0.142
1991,94,0.091
1991,95,0.047
1991,96,0.029
1991,97,0.026
1991,98,0.014
1991,99,0.002
1991,100,0.007
1992,0,263.597
1992,1,247.652
1992,2,239.107
1992,3,225.384
1992,4,212.989
1992,5,201.819
1992,6,191.766
1992,7,182.756
1992,8,174.713
1992,9,167.374
1992,10,160.570
1992,11,154.287
1992,12,148.653
1992,13,143.598
1992,14,138.820
1992,15,134.159
1992,16,129.665
1992,17,125.514
1992,18,121.645
1992,19,117.921
1992,20,114.287
1992,21,110.740
1992,22,107.359
1992,23,104.150
1992,24,100.883
1992,25,97.461
1992,26,93.980
1992,27,90.620
1992,28,87.341
1992,29,84.224
1992,30,81.327
1992,31,78.604
1992,32,75.935
1992,33,73.332
1992,34,70.848
1992,35,68.494
1992,36,66.245
1992,37,64.052
1992,38,61.929
1992,39,59.809
1992,40,57.657
1992,41,55.495
1992,42,53.413
1992,43,51.432
1992,44,49.373
1992,45,47.165
