year,age,population
1990,0,1030.123
1990,1,1029.114
1990,2,1024.912
1990,3,1017.833
1990,4,1008.194
1990,5,996.313
1990,6,982.508
1990,7,967.094
1990,8,950.391
1990,9,932.713
1990,10,913.811
1990,11,893.439
1990,12,874.742
1990,13,859.179
1990,14,845.361
1990,15,830.691
1990,16,815.974
1990,17,799.091
1990,18,778.823
1990,19,756.375
1990,20,734.373
1990,21,712.515
1990,22,690.795
1990,23,669.551
1990,24,648.871
1990,25,628.201
1990,26,607.277
1990,27,588.826
1990,28,574.026
1990,29,561.577
1990,30,548.981
1990,31,536.725
1990,32,523.499
1990,33,508.389
1990,34,491.987
1990,35,476.128
1990,36,460.843
1990,37,444.116
1990,38,425.258
1990,39,405.279
1990,40,385.669
1990,41,365.866
1990,42,348.614
1990,43,335.353
1990,44,324.755
1990,45,314.122
1990,46,304.054
1990,47,293.523
1990,48,281.766
1990,49,269.377
1990,50,257.639
1990,51,246.188
1990,52,235.498
1990,53,225.892
1990,54,217.016
1990,55,208.217
1990,56,199.672
1990,57,190.819
1990,58,181.329
1990,59,171.484
1990,60,161.941
1990,61,152.619
1990,62,143.419
1990,63,134.378
1990,64,125.539
1990,65,116.866
1990,66,108.308
1990,67,100.351
1990,68,93.214
1990,69,86.670
1990,70,80.333
1990,71,74.351
1990,72,68.221
1990,73,61.677
1990,74,54.997
1990,75,48.697
1990,76,42.632
1990,77,37.214
1990,78,32.680
1990,79,28.821
1990,80,25.184
1990,81,21.861
1990,82,18.751
1990,83,15.762
1990,84,12.957
1990,85,10.467
1990,86,8.231
1990,87,6.377
1990,88,4.971
1990,89,3.920
1990,90,3.044
1990,91,2.360
1990,92,1.801
1990,93,1.308
1990,94,0.896
1990,95,0.617
1990,96,0.457
1990,97,0.333
1990,98,0.212
1990,99,0.102
1990,100,0.200
1991,0,1019.575
1991,1,1026.834
1991,2,1025.447
1991,3,1021.146
1991,4,1014.196
1991,5,1004.866
1991,6,993.483
1991,7,980.372
1991,8,965.522
1991,9,949.098
1991,10,931.530
1991,11,912.825
1991,12,892.665
1991,13,874.278
1991,14,859.183
1991,15,845.921
1991,16,831.764
1991,17,817.551
1991,18,801.050
1991,19,780.979
1991,20,758.594
1991,21,736.647
1991,22,714.826
1991,23,693.070
1991,24,671.705
1991,25,650.847
