year,age,population
1990,0,7223.123
1990,1,7259.990
1990,2,7279.322
1990,3,7281.800
1990,4,7268.135
1990,5,7239.023
1990,6,7195.157
1990,7,7137.245
1990,8,7065.978
1990,9,6982.055
1990,10,6890.395
1990,11,6795.911
1990,12,6678.212
1990,13,6529.560
1990,14,6363.301
1990,15,6197.253
1990,16,6023.891
1990,17,5884.951
1990,18,5801.767
1990,19,5754.619
1990,20,5699.883
1990,21,5643.158
1990,22,5585.950
1990,23,5523.603
1990,24,5454.892
1990,25,5386.940
1990,26,5322.860
1990,27,5227.498
1990,28,5085.517
1990,29,4913.412
1990,30,4741.716
1990,31,4562.790
1990,32,4399.274
1990,33,4265.044
1990,34,4148.691
1990,35,4026.547
1990,36,3905.249
1990,37,3774.105
1990,38,3626.026
1990,39,3468.402
1990,40,3316.552
1990,41,3168.443
1990,42,3026.453
1990,43,2893.660
1990,44,2769.441
1990,45,2647.996
1990,46,2527.929
1990,47,2425.792
1990,48,2348.438
1990,49,2287.742
1990,50,2229.722
1990,51,2178.317
1990,52,2118.925
1990,53,2043.203
1990,54,1958.315
1990,55,1878.162
1990,56,1798.032
1990,57,1728.624
1990,58,1676.026
1990,59,1633.516
1990,60,1589.320
1990,61,1547.036
1990,62,1494.450
1990,63,1424.683
1990,64,1344.064
1990,65,1266.084
1990,66,1188.419
1990,67,1113.102
1990,68,1042.656
1990,69,975.910
1990,70,908.826
1990,71,841.713
1990,72,779.253
1990,73,723.232
1990,74,671.773
1990,75,621.656
1990,76,574.071
1990,77,525.007
1990,78,472.332
1990,79,418.210
1990,80,367.136
1990,81,318.428
1990,82,272.997
1990,83,231.816
1990,84,194.538
1990,85,159.494
1990,86,126.607
1990,87,98.936
1990,88,77.686
1990,89,61.484
1990,90,47.461
1990,91,35.851
1990,92,26.501
1990,93,18.934
1990,94,13.009
1990,95,8.667
1990,96,6.483
1990,97,4.724
1990,98,3.085
1990,99,1.635
1990,100,2.854
1991,0,7197.001
1991,1,7216.199
