year,age,population
1990,0,237.901
1990,1,221.623
1990,2,207.374
1990,3,194.981
1990,4,184.277
1990,5,175.085
1990,6,167.236
1990,7,160.561
1990,8,154.886
1990,9,150.039
1990,10,146.013
1990,11,142.799
1990,12,139.413
1990,13,135.361
1990,14,130.961
1990,15,126.976
1990,16,123.209
1990,17,119.639
1990,18,116.319
1990,19,113.150
1990,20,110.020
1990,21,107.016
1990,22,103.678
1990,23,99.796
1990,24,95.589
1990,25,91.486
1990,26,87.388
1990,27,83.563
1990,28,80.194
1990,29,77.136
1990,30,74.154
1990,31,71.397
1990,32,68.415
1990,33,64.993
1990,34,61.415
1990,35,58.052
1990,36,54.676
1990,37,52.329
1990,38,51.514
1990,39,51.683
1990,40,51.796
1990,41,52.076
1990,42,51.910
1990,43,50.891
1990,44,49.315
1990,45,47.900
1990,46,46.533
1990,47,45.024
1990,48,43.353
1990,49,41.577
1990,50,39.757
1990,51,37.876
1990,52,36.100
1990,53,34.523
1990,54,33.073
1990,55,31.599
1990,56,30.139
1990,57,28.667
1990,58,27.161
1990,59,25.645
1990,60,24.165
1990,61,22.707
1990,62,21.300
1990,63,19.955
1990,64,18.660
1990,65,17.393
1990,66,16.164
1990,67,14.949
1990,68,13.735
1990,69,12.541
1990,70,11.392
1990,71,10.284
1990,72,9.230
1990,73,8.240
1990,74,7.308
1990,75,6.424
1990,76,5.592
1990,77,4.817
1990,78,4.105
1990,79,3.454
1990,80,2.857
1990,81,2.305
1990,82,1.835
1990,83,1.450
1990,84,1.140
1990,85,0.871
1990,86,0.645
1990,87,0.465
1990,88,0.325
1990,89,0.224
1990,90,0.151
1990,91,0.110
1990,92,0.078
1990,93,0.046
1990,94,0.019
1990,95,0.011
1990,96,0.011
1990,97,0.010
1990,98,0.007
1990,99,0.001
1990,100,0.002
1991,0,233.306
1991,1,223.493
1991,2,209.042
1991,3,196.265
1991,4,185.031
1991,5,175.216
1991,6,166.659
1991,7,159.203
1991,8,152.872
1991,9,147.591
1991,10,143.147
1991,11,139.387
1991,12,136.338
