year,age,population
1990,0,37115.187
1990,1,36666.692
1990,2,36134.748
1990,3,35529.540
1990,4,34861.246
1990,5,34140.042
1990,6,33376.094
1990,7,32579.607
1990,8,31760.739
1990,9,30929.675
1990,10,30084.600
1990,11,29223.674
1990,12,28417.099
1990,13,27699.033
1990,14,27043.655
1990,15,26390.419
1990,16,25750.748
1990,17,25128.545
1990,18,24519.469
1990,19,23925.486
1990,20,23347.417
1990,21,22778.579
1990,22,22241.510
1990,23,21745.399
1990,24,21275.054
1990,25,20809.083
1990,26,20355.318
1990,27,19871.183
1990,28,19334.445
1990,29,18764.858
1990,30,18199.873
1990,31,17626.530
1990,32,17077.034
1990,33,16569.437
1990,34,16084.092
1990,35,15597.936
1990,36,15133.101
1990,37,14596.713
1990,38,13945.845
1990,39,13233.448
1990,40,12549.881
1990,41,11870.482
1990,42,11291.154
1990,43,10866.674
1990,44,10551.380
1990,45,10235.345
1990,46,9929.222
1990,47,9667.375
1990,48,9452.223
1990,49,9266.411
1990,50,9094.799
1990,51,8945.970
1990,52,8744.072
1990,53,8451.529
1990,54,8101.107
1990,55,7761.796
1990,56,7418.193
1990,57,7090.706
1990,58,6795.939
1990,59,6520.564
1990,60,6236.915
1990,61,5953.177
1990,62,5656.217
1990,63,5337.619
1990,64,5006.661
1990,65,4682.048
1990,66,4361.238
1990,67,4048.931
1990,68,3749.749
1990,69,3462.261
1990,70,3180.361
1990,71,2905.264
1990,72,2644.162
1990,73,2400.076
1990,74,2170.948
1990,75,1952.010
1990,76,1744.494
1990,77,1548.087
1990,78,1362.247
1990,79,1187.720
1990,80,1025.435
1990,81,874.746
1990,82,738.745
1990,83,618.900
1990,84,513.601
1990,85,418.588
1990,86,333.372
1990,87,261.905
1990,88,205.302
1990,89,160.945
1990,90,124.406
1990,91,95.765
1990,92,72.382
1990,93,52.253
1990,94,35.576
1990,95,24.391
1990,96,17.513
1990,97,12.347
1990,98,7.664
1990,99,3.738
1990,100,9.835
1991,0,37084.790
1991,1,36850.424
1991,2,36418.540
1991,3,35910.915
1991,4,35335.417
1991,5,34699.897
1991,6,34015.676
1991,7,33294.052
1991,8,32525.640
1991,9,31711.383
1991,10,30869.502
1991,11,30015.850
1991,12,29145.554
1991,13,28330.104
1991,14,27606.256
1991,15,26947.143
1991,16,26288.266
1991,17,25641.470
1991,18,25015.432
1991,19,24407.684
1991,20,23818.405
1991,21,23244.749
1991,22,22680.724
1991,23,22147.816
1991,24,21654.299
1991,25,21185.545
1991,26,20721.634
1991,27,20270.114
1991,28,19787.929
1991,29,19252.745
1991,30,18684.393
1991,31,18120.484
1991,32,17548.009
1991,33,16999.207
1991,34,16492.147
1991,35,16007.159
1991,36,15521.108
1991,37,15056.099
1991,38,14519.398
1991,39,13868.108
1991,40,13155.110
1991,41,12470.626
1991,42,11789.993
1991,43,11209.058
1991,44,10782.546
1991,45,10464.788
1991,46,10146.008
1991,47,9836.908
1991,48,9571.369
1991,49,9351.613
1991,50,9160.536
1991,51,8983.484
1991,52,8828.977
1991,53,8621.381
1991,54,8323.286
1991,55,7967.385
1991,56,7622.603
1991,57,7273.727
1991,58,6940.601
1991,59,6639.593
1991,60,6357.794
1991,61,6068.176
1991,62,5778.803
1991,63,5477.346
1991,64,5155.853
1991,65,4823.299
1991,66,4497.607
1991,67,4176.403
1991,68,3864.503
1991,69,3566.508
1991,70,3281.022
1991,71,3001.908
1991,72,2730.336
1991,73,2473.792
1991,74,2235.424
1991,75,2013.003
1991,76,1801.300
1991,77,1601.454
1991,78,1413.676
1991,79,1237.593
1991,80,1073.584
1991,81,921.908
1991,82,781.907
1991,83,656.469
1991,84,546.850
1991,85,451.362
1991,86,365.946
1991,87,290.113
1991,88,226.805
1991,89,176.655
1991,90,137.437
1991,91,105.670
1991,92,81.265
1991,93,61.397
1991,94,44.089
1991,95,29.628
1991,96,18.411
1991,97,12.975
1991,98,8.056
1991,99,3.955
1991,100,10.127
1992,0,37031.559
1992,1,36810.019
1992,2,36593.076
1992,3,36177.094
1992,4,35693.170
1992,5,35146.851
1992,6,34543.658
1992,7,33896.036
1992,8,33216.412
1992,9,32475.823
1992,10,31665.986
1992,11,30813.152
1992,12,29950.823
1992,13,29071.092
1992,14,28246.700
1992,15,27516.964
1992,16,26853.984
1992,17,26189.375
1992,18,25535.356
