year,age,population
1990,0,11322.355
1990,1,11387.485
1990,2,11411.606
1990,3,11398.730
1990,4,11352.905
1990,5,11278.144
1990,6,11178.483
1990,7,11057.933
1990,8,10920.544
1990,9,10770.329
1990,10,10604.905
1990,11,10421.872
1990,12,10257.356
1990,13,10128.198
1990,14,10019.185
1990,15,9898.662
1990,16,9773.467
1990,17,9633.568
1990,18,9470.953
1990,19,9291.675
1990,20,9110.848
1990,21,8926.733
1990,22,8733.727
1990,23,8530.952
1990,24,8320.772
1990,25,8104.919
1990,26,7881.267
1990,27,7663.002
1990,28,7456.291
1990,29,7254.551
1990,30,7046.128
1990,31,6834.703
1990,32,6608.329
1990,33,6360.331
1990,34,6097.015
1990,35,5838.422
1990,36,5588.967
1990,37,5317.624
1990,38,5013.672
1990,39,4695.969
1990,40,4389.675
1990,41,4084.462
1990,42,3838.598
1990,43,3681.960
1990,44,3587.283
1990,45,3494.402
1990,46,3411.684
1990,47,3339.380
1990,48,3270.357
1990,49,3204.302
1990,50,3148.178
1990,51,3100.818
1990,52,3041.683
1990,53,2961.281
1990,54,2866.240
1990,55,2773.608
1990,56,2681.046
1990,57,2581.924
1990,58,2474.992
1990,59,2362.578
1990,60,2248.951
1990,61,2134.058
1990,62,2019.254
1990,63,1905.909
1990,64,1794.221
1990,65,1683.129
1990,66,1572.974
1990,67,1467.453
1990,68,1368.363
1990,69,1274.685
1990,70,1183.027
1990,71,1093.335
1990,72,1009.823
1990,73,933.998
1990,74,863.854
1990,75,796.495
1990,76,733.268
1990,77,668.108
1990,78,597.972
1990,79,525.959
1990,80,458.300
1990,81,393.890
1990,82,334.754
1990,83,282.586
1990,84,236.428
1990,85,193.216
1990,86,153.035
1990,87,119.231
1990,88,92.998
1990,89,72.808
1990,90,55.589
1990,91,41.530
1990,92,30.346
1990,93,21.434
1990,94,14.601
1990,95,10.092
1990,96,7.681
1990,97,5.809
1990,98,3.762
1990,99,1.800
1990,100,3.506
1991,0,11348.823
1991,1,11323.452
1991,2,11371.458
1991,3,11386.599
1991,4,11371.351
1991,5,11328.220
1991,6,11261.341
