year,age,population
1990,0,1211.634
1990,1,1207.642
1990,2,1200.305
1990,3,1189.947
1990,4,1176.891
1990,5,1161.470
1990,6,1144.006
1990,7,1124.820
1990,8,1104.250
1990,9,1082.604
1990,10,1059.674
1990,11,1035.222
1990,12,1012.335
1990,13,992.446
1990,14,974.220
1990,15,955.135
1990,16,935.979
1990,17,914.774
1990,18,890.382
1990,19,863.954
1990,20,837.996
1990,21,812.266
1990,22,786.637
1990,23,761.374
1990,24,736.666
1990,25,712.086
1990,26,687.354
1990,27,665.330
1990,28,647.286
1990,29,631.856
1990,30,616.348
1990,31,601.236
1990,32,585.434
1990,33,568.109
1990,34,549.716
1990,35,531.952
1990,36,514.924
1990,37,496.179
1990,38,474.811
1990,39,452.052
1990,40,429.826
1990,41,407.492
1990,42,387.943
1990,43,372.727
1990,44,360.459
1990,45,348.200
1990,46,336.549
1990,47,324.780
1990,48,312.231
1990,49,299.358
1990,50,287.171
1990,51,275.360
1990,52,264.202
1990,53,253.912
1990,54,244.195
1990,55,234.618
1990,56,225.351
1990,57,215.616
1990,58,205.014
1990,59,193.915
1990,60,183.127
1990,61,172.504
1990,62,162.195
1990,63,152.353
1990,64,142.907
1990,65,133.589
1990,66,124.409
1990,67,115.693
1990,68,107.550
1990,69,99.855
1990,70,92.418
1990,71,85.351
1990,72,78.185
1990,73,70.699
1990,74,63.143
1990,75,55.983
1990,76,49.077
1990,77,42.886
1990,78,37.670
1990,79,33.201
1990,80,28.991
1990,81,25.146
1990,82,21.545
1990,83,18.102
1990,84,14.874
1990,85,12.008
1990,86,9.433
1990,87,7.294
1990,88,5.669
1990,89,4.447
1990,90,3.427
1990,91,2.629
1990,92,1.984
1990,93,1.423
1990,94,0.965
1990,95,0.662
1990,96,0.490
1990,97,0.365
1990,98,0.228
1990,99,0.106
1990,100,0.209
1991,0,1202.847
1991,1,1207.632
1991,2,1203.363
1991,3,1196.017
1991,4,1185.871
1991,5,1173.193
1991,6,1158.333
1991,7,1141.622
1991,8,1123.021
1991,9,1102.692
1991,10,1081.084
1991,11,1058.276
1991,12,1033.950
1991,13,1011.313
1991,14,991.883
1991,15,974.233
1991,16,955.675
1991,17,937.038
1991,18,916.217
1991,19,891.998
1991,20,865.595
1991,21,839.662
1991,22,813.941
1991,23,788.264
1991,24,762.885
1991,25,738.018
1991,26,713.254
1991,27,688.301
1991,28,666.116
1991,29,648.015
1991,30,632.593
1991,31,617.077
1991,32,601.967
1991,33,586.108
1991,34,568.624
1991,35,550.021
1991,36,532.060
1991,37,514.823
1991,38,495.946
1991,39,474.573
1991,40,451.881
1991,41,429.705
1991,42,407.410
1991,43,387.878
1991,44,372.639
1991,45,360.308
1991,46,347.981
1991,47,336.254
1991,48,324.347
1991,49,311.565
1991,50,298.397
1991,51,285.905
1991,52,273.780
1991,53,262.288
1991,54,251.650
1991,55,241.574
1991,56,231.642
1991,57,222.015
1991,58,211.952
1991,59,201.071
1991,60,189.728
1991,61,178.712
1991,62,167.876
1991,63,157.388
1991,64,147.399
1991,65,137.839
1991,66,128.436
1991,67,119.203
1991,68,110.451
1991,69,102.287
1991,70,94.593
1991,71,87.180
1991,72,80.162
1991,73,73.108
1991,74,65.836
1991,75,58.557
1991,76,51.684
1991,77,45.089
1991,78,39.198
1991,79,34.241
1991,80,30.010
1991,81,26.049
1991,82,22.454
1991,83,19.119
1991,84,15.970
1991,85,13.047
1991,86,10.473
1991,87,8.183
1991,88,6.293
1991,89,4.853
1991,90,3.778
1991,91,2.892
1991,92,2.219
1991,93,1.674
1991,94,1.193
1991,95,0.798
1991,96,0.507
1991,97,0.377
1991,98,0.239
1991,99,0.112
1991,100,0.215
1992,0,1192.852
1992,1,1198.422
1992,2,1205.397
1992,3,1200.860
1992,4,1193.503
1992,5,1183.562
1992,6,1171.253
1992,7,1156.932
1992,8,1140.957
1992,9,1122.920
1992,10,1102.803
1992,11,1081.203
1992,12,1058.485
1992,13,1034.250
1992,14,1011.832
1992,15,992.835
1992,16,975.742
1992,17,957.684
1992,18,939.544
1992,19,919.079
1992,20,894.998
1992,21,868.580
1992,22,842.638
1992,23,816.886
1992,24,791.121
1992,25,765.591
1992,26,740.527
1992,27,715.546
1992,28,690.331
1992,29,667.951
1992,30,649.771
1992,31,634.335
1992,32,618.791
1992,33,603.661
1992,34,587.722
1992,35,570.057
1992,36,551.212
1992,37,533.023
1992,38,515.553
1992,39,496.513
1992,40,475.102
1992,41,452.442
1992,42,430.276
1992,43,407.989
1992,44,388.441
1992,45,373.152
1992,46,360.742
1992,47,348.325
1992,48,336.510
1992,49,324.438
1992,50,311.408
1992,51,297.916
1992,52,285.102
1992,53,272.640
1992,54,260.796
1992,55,249.790
1992,56,239.342
1992,57,229.034
1992,58,219.034
1992,59,208.627
1992,60,197.443
1992,61,185.844
1992,62,174.580
1992,63,163.515
1992,64,152.826
1992,65,142.677
1992,66,132.987
1992,67,123.483
1992,68,114.179
1992,69,105.381
1992,70,97.180
1992,71,89.475
1992,72,82.078
1992,73,75.092
1992,74,68.149
1992,75,61.071
1992,76,54.061
1992,77,47.465
1992,78,41.171
1992,79,35.569
1992,80,30.862
1992,81,26.866
1992,82,23.147
1992,83,19.796
1992,84,16.723
1992,85,13.860
1992,86,11.242
1992,87,8.955
1992,88,6.947
1992,89,5.297
1992,90,4.048
1992,91,3.112
1992,92,2.363
1992,93,1.811
1992,94,1.369
1992,95,0.966
1992,96,0.631
1992,97,0.395
1992,98,0.251
1992,99,0.119
1992,100,0.223
1993,0,1184.725
1993,1,1193.251
1993,2,1197.515
1993,3,1203.651
1993,4,1198.846
1993,5,1191.480
1993,6,1181.741
1993,7,1169.798
1993,8,1156.019
1993,9,1140.777
1993,10,1123.296
1993,11,1103.387
1993,12,1081.789
1993,13,1059.150
1993,14,1034.996
1993,15,1012.793
1993,16,994.222
1993,17,977.679
1993,18,960.123
1993,19,942.472
1993,20,922.357
1993,21,898.407
1993,22,871.964
1993,23,845.997
1993,24,820.210
1993,25,794.344
1993,26,768.651
1993,27,743.383
1993,28,718.166
1993,29,692.682
1993,30,670.098
1993,31,651.830
1993,32,636.376
1993,33,620.796
1993,34,605.644
1993,35,589.617
1993,36,571.761
1993,37,552.665
1993,38,534.243
1993,39,516.526
1993,40,497.317
1993,41,475.856
1993,42,453.218
1993,43,431.056
1993,44,408.762
1993,45,389.190
1993,46,373.845
1993,47,361.349
1993,48,348.838
1993,49,336.924
1993,50,324.690
1993,51,311.395
1993,52,297.579
1993,53,284.433
1993,54,271.628
1993,55,259.421
1993,56,248.045
1993,57,237.216
1993,58,226.529
1993,59,216.148
1993,60,205.387
1993,61,193.904
1993,62,182.035
1993,63,170.519
1993,64,159.218
1993,65,148.324
1993,66,138.010
1993,67,128.185
1993,68,118.572
1993,69,109.197
1993,70,100.343
1993,71,92.106
1993,72,84.384
1993,73,76.999
1993,74,70.047
1993,75,63.204
1993,76,56.325
1993,77,49.579
1993,78,43.257
1993,79,37.262
1993,80,31.946
1993,81,27.492
1993,82,23.723
1993,83,20.251
1993,84,17.141
1993,85,14.329
1993,86,11.753
1993,87,9.437
1993,88,7.438
1993,89,5.712
1993,90,4.303
1993,91,3.239
1993,92,2.447
1993,93,1.835
1993,94,1.404
1993,95,1.061
1993,96,0.739
1993,97,0.464
1993,98,0.267
1993,99,0.121
1993,100,0.233
1994,0,1182.535
1994,1,1191.385
1994,2,1196.607
1994,3,1198.434
1994,4,1200.628
1994,5,1195.556
1994,6,1188.184
1994,7,1178.658
1994,8,1167.091
1994,9,1153.866
1994,10,1139.370
1994,11,1122.468
1994,12,1102.784
1994,13,1081.211
1994,14,1058.676
1994,15,1034.630
1994,16,1012.662
1994,17,994.537
1994,18,978.567
1994,19,961.524
1994,20,944.383
1994,21,924.644
1994,22,900.845
1994,23,874.403
1994,24,848.444
1994,25,822.644
1994,26,796.708
1994,27,770.879
1994,28,745.428
1994,29,720.009
1994,30,694.281
1994,31,671.516
1994,32,653.179
1994,33,637.722
1994,34,622.122
1994,35,606.960
1994,36,590.866
1994,37,572.837
1994,38,553.510
1994,39,534.873
1994,40,516.933
1994,41,497.574
1994,42,476.084
1994,43,453.496
1994,44,431.358
1994,45,409.084
1994,46,389.512
1994,47,374.126
1994,48,361.557
1994,49,348.965
1994,50,336.967
1994,51,324.579
1994,52,311.041
1994,53,296.913
1994,54,283.446
1994,55,270.312
1994,56,257.760
1994,57,246.023
1994,58,234.824
1994,59,223.771
1994,60,213.019
1994,61,201.919
1994,62,190.144
1994,63,178.021
1994,64,166.261
1994,65,154.739
1994,66,143.655
1994,67,133.182
1994,68,123.233
1994,69,113.525
1994,70,104.087
1994,71,95.190
1994,72,86.922
1994,73,79.193
1994,74,71.830
1994,75,64.916
1994,76,58.184
1994,77,51.510
1994,78,45.035
1994,79,38.993
1994,80,33.307
1994,81,28.285
1994,82,24.086
1994,83,20.551
1994,84,17.327
1994,85,14.461
1994,86,11.918
1994,87,9.630
1994,88,7.617
1994,89,5.909
1994,90,4.467
1994,91,3.305
1994,92,2.426
1994,93,1.780
1994,94,1.302
1994,95,0.994
1994,96,0.752
1994,97,0.512
1994,98,0.296
1994,99,0.124
1994,100,0.241
1995,0,1188.699
1995,1,1194.661
1995,2,1198.206
1995,3,1199.410
1995,4,1198.353
1995,5,1195.118
1995,6,1189.783
1995,7,1182.416
1995,8,1173.113
1995,9,1161.942
1995,10,1149.295
1995,11,1135.570
1995,12,1119.273
1995,13,1099.857
1995,14,1078.347
1995,15,1055.963
1995,16,1032.073
1995,17,1010.382
1995,18,992.740
1995,19,977.364
1995,20,960.872
1995,21,944.269
1995,22,924.939
1995,23,901.346
1995,24,874.960
1995,25,849.059
1995,26,823.302
1995,27,797.348
1995,28,771.437
1995,29,745.861
1995,30,720.290
1995,31,694.375
1995,32,671.475
1995,33,653.108
1995,34,637.680
1995,35,622.090
1995,36,606.952
1995,37,590.821
1995,38,572.656
1995,39,553.144
1995,40,534.331
1995,41,516.205
1995,42,496.739
1995,43,475.270
1995,44,452.776
1995,45,430.716
1995,46,408.508
1995,47,388.977
1995,48,373.585
1995,49,360.969
1995,50,348.326
1995,51,336.269
1995,52,323.754
1995,53,310.002
1995,54,295.593
1995,55,281.842
1995,56,268.408
1995,57,255.536
1995,58,243.466
1995,59,231.924
1995,60,220.527
1995,61,209.431
1995,62,198.016
1995,63,185.975
1995,64,173.627
1995,65,161.650
1995,66,149.934
1995,67,138.679
1995,68,128.075
1995,69,118.025
1995,70,108.243
1995,71,98.762
1995,72,89.840
1995,73,81.561
1995,74,73.843
1995,75,66.515
1995,76,59.655
1995,77,53.047
1995,78,46.592
1995,79,40.401
1995,80,34.657
1995,81,29.285
1995,82,24.567
1995,83,20.634
1995,84,17.341
1995,85,14.369
1995,86,11.758
1995,87,9.480
1995,88,7.490
