year,age,population
1990,0,35569.722
1990,1,35163.009
1990,2,34673.019
1990,3,34109.698
1990,4,33482.992
1990,5,32802.830
1990,6,32079.156
1990,7,31321.918
1990,8,30541.047
1990,9,29746.489
1990,10,28936.921
1990,11,28111.003
1990,12,27335.028
1990,13,26641.455
1990,14,26006.419
1990,15,25372.023
1990,16,24747.928
1990,17,24145.397
1990,18,23563.614
1990,19,23000.491
1990,20,22451.220
1990,21,21912.601
1990,22,21392.732
1990,23,20893.803
1990,24,20408.561
1990,25,19930.253
1990,26,19463.429
1990,27,18975.796
1990,28,18451.598
1990,29,17905.786
1990,30,17363.825
1990,31,16814.353
1990,32,16293.397
1990,33,15819.455
1990,34,15371.470
1990,35,14924.105
1990,36,14499.452
1990,37,14003.066
1990,38,13390.853
1990,39,12715.850
1990,40,12068.028
1990,41,11420.815
1990,42,10875.666
1990,43,10489.436
1990,44,10212.309
1990,45,9932.291
1990,46,9665.427
1990,47,9416.623
1990,48,9175.022
1990,49,8939.033
1990,50,8719.473
1990,51,8516.040
1990,52,8287.393
1990,53,8014.591
1990,54,7712.835
1990,55,7416.951
1990,56,7120.801
1990,57,6823.382
1990,58,6527.974
1990,59,6233.514
1990,60,5936.491
1990,61,5638.577
1990,62,5340.677
1990,63,5043.248
1990,64,4747.319
1990,65,4454.415
1990,66,4165.352
1990,67,3880.167
1990,68,3599.412
1990,69,3324.262
1990,70,3056.014
1990,71,2795.236
1990,72,2543.918
1990,73,2303.485
1990,74,2074.117
1990,75,1854.420
1990,76,1644.435
1990,77,1449.451
1990,78,1271.888
1990,79,1109.802
1990,80,958.671
1990,81,819.191
1990,82,691.946
1990,83,576.692
1990,84,473.305
1990,85,380.623
1990,86,297.367
1990,87,228.785
1990,88,176.864
1990,89,138.185
1990,90,106.686
1990,91,82.842
1990,92,63.267
1990,93,45.427
1990,94,29.983
1990,95,19.969
1990,96,14.035
1990,97,9.646
1990,98,5.695
1990,99,2.427
1990,100,6.846
1991,0,35582.125
1991,1,35326.382
1991,2,34929.262
1991,3,34458.995
1991,4,33922.827
1991,5,33327.994
1991,6,32685.538
1991,7,32006.502
1991,8,31279.101
1991,9,30502.951
1991,10,29696.713
1991,11,28878.510
1991,12,28043.617
1991,13,27259.054
1991,14,26559.767
1991,15,25920.929
1991,16,25280.878
1991,17,24649.661
1991,18,24043.303
1991,19,23462.871
1991,20,22904.488
1991,21,22359.650
1991,22,21825.837
1991,23,21310.191
1991,24,20814.033
1991,25,20330.615
1991,26,19854.565
1991,27,19390.156
1991,28,18904.575
1991,29,18381.938
1991,30,17837.280
1991,31,17296.301
1991,32,16747.612
1991,33,16227.073
1991,34,15753.117
1991,35,15304.771
1991,36,14856.796
1991,37,14431.206
1991,38,13933.919
1991,39,13321.005
1991,40,12645.316
1991,41,11996.485
1991,42,11348.017
1991,43,10801.096
1991,44,10412.417
1991,45,10132.286
1991,46,9849.048
1991,47,9578.697
1991,48,9326.072
1991,49,9080.317
1991,50,8839.879
1991,51,8615.659
1991,52,8407.410
1991,53,8173.608
1991,54,7895.245
1991,55,7587.658
1991,56,7286.015
1991,57,6984.236
1991,58,6681.084
1991,59,6379.798
1991,60,6079.529
1991,61,5777.065
1991,62,5474.060
1991,63,5171.882
1991,64,4871.257
1991,65,4573.098
1991,66,4278.539
1991,67,3988.497
1991,68,3703.203
1991,69,3423.272
1991,70,3149.871
1991,71,2884.113
1991,72,2626.492
1991,73,2379.602
1991,74,2145.109
1991,75,1922.868
1991,76,1710.801
1991,77,1508.943
1991,78,1322.718
1991,79,1154.513
1991,80,1002.214
1991,81,861.005
1991,82,731.471
1991,83,614.240
1991,84,509.006
1991,85,415.435
1991,86,332.288
1991,87,258.373
1991,88,197.748
1991,89,151.818
1991,90,117.658
1991,91,90.356
1991,92,70.179
1991,93,53.650
1991,94,38.341
1991,95,24.942
1991,96,14.866
1991,97,10.344
1991,98,6.189
1991,99,2.692
1991,100,7.110
1992,0,35594.804
1992,1,35358.963
1992,2,35089.575
1992,3,34701.362
1992,4,34250.230
1992,5,33740.710
1992,6,33177.335
1992,7,32572.236
1992,8,31937.551
1992,9,31239.762
1992,10,30468.173
1992,11,29650.144
1992,12,28823.233
1992,13,27979.329
1992,14,27186.126
1992,15,26481.036
1992,16,25838.275
1992,17,25192.484
1992,18,24554.059
1992,19,23943.789
1992,20,23364.619
1992,21,22810.893
1992,22,22270.393
1992,23,21741.304
1992,24,21229.794
1992,25,20736.302
1992,26,20254.617
1992,27,19780.724
1992,28,19318.632
1992,29,18835.010
1992,30,18313.852
1992,31,17770.273
1992,32,17230.192
1992,33,16682.228
1992,34,16162.031
1992,35,15687.989
1992,36,15239.208
1992,37,14790.546
1992,38,14363.953
1992,39,13865.723
1992,40,13252.128
1992,41,12575.809
1992,42,11926.009
1992,43,11276.338
1992,44,10727.674
1992,45,10336.526
1992,46,10053.361
1992,47,9766.862
1992,48,9492.987
1992,49,9236.495
1992,50,8986.521
1992,51,8741.553
1992,52,8512.594
1992,53,8299.453
1992,54,8060.418
1992,55,7776.432
1992,56,7462.976
1992,57,7155.520
1992,58,6848.063
1992,59,6539.142
1992,60,6231.948
1992,61,5925.870
1992,62,5617.957
1992,63,5309.853
1992,64,5003.388
1992,65,4699.557
1992,66,4399.140
1992,67,4102.909
1992,68,3811.866
1992,69,3526.448
1992,70,3247.336
1992,71,2975.679
1992,72,2712.416
1992,73,2457.952
1992,74,2215.478
1992,75,1986.913
1992,76,1771.781
1992,77,1567.327
1992,78,1373.573
1992,79,1196.095
1992,80,1037.234
1992,81,894.696
1992,82,763.403
1992,83,643.793
1992,84,536.565
1992,85,441.345
1992,86,357.584
1992,87,283.966
1992,88,219.389
1992,89,166.717
1992,90,126.779
